Trajectories
100
,,IMUModel:LASI,,,IMUModel:LPSI,,,IMUModel:RPSI,,,IMUModel:RASI,,,IMUModel:RHIP,,,IMUModel:RKNE,,,IMUModel:RKNE2,,,IMUModel:RTIB,,,IMUModel:RANK,,,IMUModel:RANK2,,,IMUModel:RHEE,,,IMUModel:RTOE,,,IMUModel:LHIP,,,IMUModel:LKNE,,,IMUModel:LKNE2,,,IMUModel:LTIB,,,IMUModel:LANK,,,IMUModel:LANK2,,,IMUModel:LHEE,,,IMUModel:LTOE,,,IMUModel:TFXN,,,IMUModel:TFORI,,,IMUModel:TFXP,,,IMUModel:TFYMid,,,IMUModel:TFYP,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.9473,5.96569,52.839,5.91978,5.96713,52.8003,166.275,6.23858,52.8655,6.71031,126.66,52.5157,6.35519,246.88,52.8177
2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.9555,5.96507,52.8327,5.91327,5.96764,52.8081,166.279,6.23084,52.8797,6.69186,126.66,52.5258,6.35776,246.875,52.8232
3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.9442,5.95376,52.8516,5.94011,5.99996,52.7922,166.282,6.23803,52.8577,6.677,126.65,52.5347,6.37714,246.878,52.8241
4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.9471,5.96919,52.8362,5.91327,5.96764,52.8081,166.274,6.24872,52.8902,6.69598,126.656,52.5238,6.36715,246.876,52.8227
5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.9317,5.96328,52.8435,5.94007,5.97957,52.804,166.307,6.24967,52.8457,6.68803,126.66,52.5284,6.35709,246.865,52.8217
6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.9351,5.96409,52.831,5.97262,5.98579,52.7754,166.342,6.26881,52.8415,6.70309,126.65,52.5236,6.35323,246.858,52.825
7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.933,5.95878,52.818,5.99186,5.99774,52.7762,166.35,6.28361,52.8085,6.71262,126.646,52.5073,6.3648,246.875,52.8169
8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8889,5.9655,52.8126,6.00656,5.99691,52.7553,166.396,6.29602,52.7992,6.72532,126.653,52.4999,6.33503,246.859,52.8072
9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8896,5.98379,52.8012,6.04557,6.00543,52.7475,166.409,6.30227,52.7855,6.69808,126.659,52.5109,6.35416,246.874,52.8137
10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8985,5.97125,52.8132,6.04009,6.00871,52.742,166.432,6.3259,52.7651,6.72488,126.654,52.5038,6.35305,246.873,52.8115
11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8849,5.97355,52.7962,6.0736,6.0175,52.7363,166.459,6.33444,52.7586,6.70223,126.657,52.5028,6.33951,246.855,52.8149
12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8548,5.97871,52.7945,6.08572,6.02653,52.7298,166.494,6.3354,52.7464,6.696,126.647,52.5005,6.3613,246.873,52.8102
13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8636,5.97724,52.7939,6.11117,6.03355,52.7107,166.518,6.36887,52.7461,6.72224,126.644,52.4856,6.33428,246.867,52.8246
14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8309,5.99305,52.7823,6.12267,6.02846,52.7071,166.538,6.36069,52.7171,6.7268,126.654,52.4878,6.34586,246.867,52.8182
15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8546,5.98193,52.7915,6.08933,6.02488,52.7029,166.526,6.36691,52.7197,6.7084,126.652,52.4905,6.35674,246.866,52.8194
16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8536,5.97545,52.8072,6.11489,6.03661,52.7023,166.544,6.36772,52.7307,6.71077,126.653,52.4911,6.33991,246.868,52.8248
17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8449,5.98389,52.7746,6.11489,6.03661,52.7023,166.526,6.38382,52.7257,6.71895,126.65,52.4806,6.34419,246.876,52.8171
18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8502,5.99312,52.7897,6.10344,6.03369,52.7123,166.551,6.35062,52.7176,6.71996,126.645,52.4935,6.35936,246.882,52.806
19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8572,5.98538,52.7828,6.10963,6.03769,52.7091,166.53,6.36796,52.7148,6.69744,126.65,52.4958,6.36432,246.854,52.8113
20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8432,5.98506,52.7776,6.1327,6.04278,52.7003,166.548,6.36983,52.7259,6.7169,126.665,52.4894,6.33248,246.858,52.823
21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8628,5.98194,52.7937,6.11568,6.03733,52.7013,166.536,6.36081,52.7179,6.71151,126.656,52.491,6.36063,246.882,52.806
22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8868,5.96925,52.8089,6.11319,6.03646,52.7014,166.523,6.36822,52.7224,6.734,126.651,52.4776,6.33339,246.867,52.8239
23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8385,5.98365,52.799,6.11631,6.03115,52.701,166.55,6.34911,52.7186,6.7048,126.657,52.4915,6.33731,246.863,52.8122
24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8467,5.98495,52.7988,6.12594,6.04617,52.7033,166.543,6.35561,52.7298,6.7093,126.652,52.4905,6.34378,246.855,52.7936
25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8331,5.97548,52.7953,6.12075,6.03476,52.7079,166.551,6.36673,52.6973,6.72606,126.66,52.4834,6.35107,246.863,52.8066
26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.843,5.98367,52.7843,6.11732,6.03642,52.7136,166.54,6.36805,52.7213,6.72974,126.643,52.4793,6.34452,246.863,52.8148
27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8584,5.97565,52.7958,6.11918,6.03597,52.7027,166.534,6.3603,52.7154,6.72194,126.661,52.4794,6.36246,246.862,52.8082
28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8353,5.98533,52.784,6.12692,6.03596,52.7079,166.529,6.36066,52.7182,6.71865,126.664,52.4898,6.34542,246.866,52.8184
29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8503,5.9898,52.785,6.12285,6.0399,52.7113,166.542,6.36501,52.7001,6.70869,126.645,52.4816,6.34957,246.854,52.8126
30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8434,5.97861,52.8009,6.10996,6.03673,52.709,166.531,6.35843,52.7178,6.71791,126.663,52.4895,6.33753,246.854,52.8113
31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8473,5.98759,52.8073,6.12343,6.04572,52.6996,166.535,6.36138,52.7186,6.71005,126.654,52.4805,6.35117,246.872,52.8054
32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8373,5.99413,52.7861,6.11843,6.04585,52.6982,166.549,6.37433,52.7297,6.72456,126.644,52.4816,6.33185,246.867,52.8218
33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8441,5.98512,52.8062,6.11744,6.03287,52.7111,166.55,6.35132,52.7184,6.71741,126.654,52.483,6.35829,246.877,52.7916
