Trajectories
100
,,IMUModel:LASI,,,IMUModel:LPSI,,,IMUModel:RPSI,,,IMUModel:RASI,,,IMUModel:RHIP,,,IMUModel:RKNE,,,IMUModel:RKNE2,,,IMUModel:RTIB,,,IMUModel:RANK,,,IMUModel:RANK2,,,IMUModel:RHEE,,,IMUModel:RTOE,,,IMUModel:LHIP,,,IMUModel:LKNE,,,IMUModel:LKNE2,,,IMUModel:LTIB,,,IMUModel:LANK,,,IMUModel:LANK2,,,IMUModel:LHEE,,,IMUModel:LTOE,,,IMUModel:TFXN,,,IMUModel:TFORI,,,IMUModel:TFXP,,,IMUModel:TFYMid,,,IMUModel:TFYP,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
549,0,222.865,442.23,1051.47,313.103,266.933,1090.39,421.27,271.097,1092.99,497.624,456.732,1053.15,553.117,404.082,975.141,528.172,566.266,577.623,406.837,586.706,563.94,500.917,554.384,410.725,503.085,403.18,199.001,418.713,435.616,198.563,440.464,329.943,170.455,482.741,541.19,98.2645,192.923,365.485,972.531,216.329,371.083,537.004,330.341,388.94,535.849,245.381,388.832,384.057,255.242,285.477,127.443,339.845,314.932,137.95,309.048,232.29,88.6604,284.174,459.717,87.9044,,,,,,,,,,,,,,,
550,0,222.775,451.35,1050.38,313.023,276.34,1090.04,421.197,280.504,1092.44,497.611,465.993,1052.14,553.238,413.125,974.481,529.156,576.983,577.415,407.785,597.806,564.054,501.998,572.317,409.706,503.293,432.214,190.129,419.537,465.238,191.349,440.708,360.932,158.126,484.713,575.302,96.9116,192.947,374.02,971.844,216.341,374.109,536.576,329.554,393.42,534.958,245.38,390.35,383.696,255.437,285.628,127.545,340.594,315.416,137.986,309.218,232.45,88.7279,284.154,459.742,87.7404,,,,,,,,,,,,,,,
551,0,222.611,460.659,1049.25,312.963,285.707,1089.46,421.09,289.851,1091.85,497.873,475.222,1051.11,553.097,422.247,973.6,529.898,587.385,576.553,408.64,608.308,563.819,503.241,590.458,409.305,502.327,463.174,180.608,420.851,495.17,184.547,442.803,392.317,145.863,486.725,609.398,96.0224,192.999,382.753,971.113,216.436,377.292,536.043,329.39,397.211,534.246,245.44,392.437,383.086,255.678,285.845,127.66,340.792,315.633,137.873,309.334,232.495,88.8855,284.192,459.804,87.5363,,,,,,,,,,,,,,,
552,0,222.734,470.105,1048,312.85,295.213,1088.82,420.988,299.245,1091.15,498.013,484.564,1049.95,553.186,431.274,972.673,530.566,597.222,575.339,409.509,618.349,563.33,503.766,608.361,408.293,504.106,493.347,172.988,422.617,525.061,178.426,445.633,424.339,134.082,488.349,643.829,95.8137,193.056,391.712,970.253,216.485,380.791,535.521,329.418,400.675,533.514,245.182,394.539,382.896,255.88,286.016,127.808,341.026,315.783,137.886,309.462,232.569,89.0452,284.243,459.775,87.2982,,,,,,,,,,,,,,,
553,0,223.056,479.698,1046.61,312.8,304.892,1088.03,420.983,308.792,1090.34,498.269,493.969,1048.65,553.045,440.389,971.536,531.231,606.566,573.765,410.492,627.919,562.288,504.589,625.397,407.215,506.557,523.939,165.969,424.781,555.119,172.606,448.03,456.126,125.092,490.337,677.835,95.8937,193.305,400.874,969.198,216.685,384.54,534.995,329.473,404.188,532.757,245.566,396.746,382.138,256.088,286.252,127.939,341.164,316.156,137.834,309.606,232.628,89.2781,284.244,459.868,87.1001,,,,,,,,,,,,,,,
554,0,223.294,489.423,1045.3,312.92,314.673,1087.19,420.93,318.395,1089.53,498.647,503.454,1047.36,553.733,449.14,970.495,531.91,615.257,571.812,411.407,636.82,560.852,505.651,642.206,406.336,509.256,554.823,159.525,427.577,584.734,167.536,451.536,488.242,116.448,492.18,711.867,96.8139,193.357,410.105,968.213,216.856,388.388,534.415,329.66,407.823,531.944,245.825,399.594,381.417,256.333,286.541,128.084,341.378,316.58,137.785,309.719,232.695,89.4875,284.296,459.945,86.8964,,,,,,,,,,,,,,,
555,0,223.708,499.211,1043.74,312.926,324.502,1086.32,421.1,328.291,1088.65,499.028,513.066,1046.04,553.603,458.244,969.101,532.487,623.315,569.582,412.418,645.208,558.911,507.01,658.371,405.853,512.534,585.93,154.299,430.614,614.455,163.447,455.291,520.734,108.525,493.84,745.736,98.6781,193.785,419.437,967.018,217.11,392.561,533.752,329.979,411.618,531.068,246.121,402.332,380.727,256.506,286.773,128.285,341.884,316.994,137.751,309.866,232.737,89.7633,284.308,460.042,86.6984,,,,,,,,,,,,,,,
556,0,224.24,509.172,1042.22,312.943,334.465,1085.44,421.121,338.212,1087.71,499.601,522.786,1044.51,554.145,467.227,967.86,533.013,630.8,566.928,413.598,652.736,556.403,508.474,674.032,405.45,515.693,617.134,149.653,433.698,644.133,160.196,457.896,555.079,98.8351,495.386,779.298,101.706,194.069,428.788,965.797,217.379,396.965,532.996,330.326,415.716,530.069,246.524,405.19,379.929,256.766,287.095,128.525,343.16,316.161,137.385,309.991,232.816,90.0721,284.325,460.138,86.4892,,,,,,,,,,,,,,,
557,0,224.803,519.18,1040.51,313.108,344.61,1084.47,421.318,348.301,1086.71,500.263,532.549,1042.84,554.528,476.33,966.351,533.815,637.65,563.995,414.712,659.634,553.454,509.868,689.113,405.357,518.972,648.051,146.383,436.747,673.356,158.061,461.796,588.126,91.7359,496.974,812.316,106.505,194.571,438.149,964.483,217.669,401.543,532.18,330.727,420.133,529.005,246.867,408.166,378.992,257.046,287.448,128.743,341.098,317.925,137.841,310.156,232.888,90.417,284.312,460.235,86.2946,,,,,,,,,,,,,,,
