Trajectories
100
,,IMUModel:LASI,,,IMUModel:LPSI,,,IMUModel:RPSI,,,IMUModel:RASI,,,IMUModel:RHIP,,,IMUModel:RKNE,,,IMUModel:RKNE2,,,IMUModel:RTIB,,,IMUModel:RANK,,,IMUModel:RANK2,,,IMUModel:RHEE,,,IMUModel:RTOE,,,IMUModel:LHIP,,,IMUModel:LKNE,,,IMUModel:LKNE2,,,IMUModel:LTIB,,,IMUModel:LANK,,,IMUModel:LANK2,,,IMUModel:LHEE,,,IMUModel:LTOE,,,IMUModel:TFXN,,,IMUModel:TFORI,,,IMUModel:TFXP,,,IMUModel:TFYMid,,,IMUModel:TFYP,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
533,0,260.143,314.711,1053.94,347.528,140.23,1093.67,455.801,144.242,1096.47,535.616,331.461,1051.3,577.939,261.565,972.516,584.938,219.244,548.217,469.582,241.748,525.845,573.56,242.824,387.335,586.465,171.543,133.026,503.805,198.796,145.043,528.731,111.959,84.9279,593.158,335.482,84.4287,223.294,233.464,976.767,227.342,215.714,544.125,331.142,252.819,533.482,239.038,241.999,395.671,236.78,162.756,129.536,311.311,218.958,144.324,295.007,119.24,88.4064,232.272,339.899,88.6865,,,,,,,,,,,,,,,
534,0,260.138,314.763,1053.93,347.521,140.272,1093.69,455.771,144.282,1096.46,535.625,331.471,1051.31,577.961,261.557,972.528,584.909,219.278,548.221,469.582,241.748,525.844,573.584,242.818,387.342,586.233,171.608,132.924,503.897,198.773,145.016,528.714,111.946,84.9113,593.17,335.451,84.4198,223.306,233.493,976.747,227.347,215.732,544.121,331.034,252.927,533.541,238.925,242.028,395.721,236.788,162.755,129.541,311.277,219.018,144.347,295.032,119.236,88.374,232.264,339.902,88.6876,,,,,,,,,,,,,,,
535,0,260.142,314.779,1053.92,347.548,140.303,1093.69,455.764,144.329,1096.5,535.581,331.513,1051.28,577.9,261.586,972.519,584.866,219.314,548.206,469.555,241.78,525.847,573.538,242.84,387.322,585.996,171.664,132.838,504.068,198.641,144.978,528.732,111.955,84.9291,593.182,335.467,84.4183,223.31,233.514,976.743,227.342,215.714,544.125,331.045,252.931,533.557,239.018,241.997,395.694,236.801,162.76,129.53,311.289,219.01,144.314,295.026,119.237,88.3831,232.255,339.919,88.6726,,,,,,,,,,,,,,,
536,0,260.123,314.805,1053.92,347.549,140.347,1093.7,455.769,144.384,1096.47,535.54,331.603,1051.28,577.868,261.652,972.522,584.89,219.348,548.209,469.555,241.78,525.848,573.563,242.886,387.341,585.839,171.707,132.79,503.961,198.728,145.015,528.713,111.953,84.9079,593.108,335.496,84.4218,223.285,233.541,976.747,227.378,215.747,544.105,331.005,253.048,533.673,238.957,242,395.705,236.798,162.772,129.542,311.277,219.018,144.347,294.997,119.245,88.4114,232.261,339.907,88.6747,,,,,,,,,,,,,,,
537,0,260.104,314.833,1053.92,347.546,140.373,1093.72,455.788,144.4,1096.49,535.545,331.622,1051.28,577.945,261.704,972.51,584.859,219.38,548.185,469.572,241.86,525.862,573.561,242.886,387.341,586.149,171.625,132.893,503.928,198.782,145.03,528.725,111.96,84.932,593.177,335.472,84.4283,223.286,233.546,976.759,227.352,215.738,544.104,330.979,253.039,533.678,238.914,242.064,395.72,236.782,162.749,129.551,311.355,219.011,144.301,295.04,119.246,88.3822,232.272,339.896,88.6909,,,,,,,,,,,,,,,
538,0,260.074,314.85,1053.92,347.572,140.428,1093.72,455.797,144.445,1096.5,535.486,331.674,1051.26,578.055,261.732,972.525,584.872,219.418,548.197,469.573,241.86,525.862,573.562,242.886,387.341,586.027,171.662,132.849,503.786,198.885,145.079,528.691,111.982,84.9263,593.099,335.49,84.4271,223.285,233.577,976.744,227.32,215.747,544.129,330.989,253.08,533.639,238.852,242.054,395.75,236.804,162.776,129.52,311.289,219.014,144.307,295,119.241,88.414,232.26,339.899,88.6695,,,,,,,,,,,,,,,
539,0,260.085,314.867,1053.89,347.539,140.456,1093.74,455.765,144.473,1096.51,535.492,331.698,1051.26,578.017,261.792,972.505,584.841,219.45,548.172,469.53,241.828,525.878,573.55,242.908,387.334,586.275,171.596,132.944,503.917,198.777,145.032,528.702,111.982,84.9161,593.12,335.494,84.4271,223.29,233.602,976.74,227.328,215.77,544.106,331.018,253.014,533.562,238.926,242.059,395.712,236.8,162.768,129.537,311.289,219.012,144.312,295.084,119.255,88.3786,232.279,339.895,88.6585,,,,,,,,,,,,,,,
540,0,260.102,314.937,1053.88,347.529,140.51,1093.75,455.759,144.518,1096.51,535.488,331.733,1051.27,578.053,261.803,972.524,584.841,219.45,548.171,469.547,241.905,525.838,573.552,242.926,387.351,586.149,171.625,132.893,503.918,198.754,145.025,528.725,111.971,84.9259,593.107,335.501,84.4045,223.309,233.654,976.726,227.324,215.764,544.123,331.032,252.973,533.541,238.891,242.049,395.728,236.791,162.771,129.534,311.277,219.018,144.347,295.023,119.25,88.4114,232.254,339.901,88.6796,,,,,,,,,,,,,,,
541,0,260.074,314.948,1053.87,347.51,140.541,1093.78,455.789,144.548,1096.54,535.449,331.79,1051.25,578.155,261.82,972.541,584.865,219.483,548.176,469.547,241.905,525.838,573.543,242.935,387.367,586.407,171.559,133.002,503.956,198.727,145.012,528.722,111.962,84.9457,593.097,335.505,84.4082,223.287,233.712,976.744,227.328,215.77,544.106,331.059,252.957,533.507,238.937,242.057,395.727,236.806,162.77,129.54,311.277,219.018,144.347,294.993,119.253,88.4274,232.247,339.912,88.6738,,,,,,,,,,,,,,,
