Trajectories
100
,,IMUModel:LASI,,,IMUModel:LPSI,,,IMUModel:RPSI,,,IMUModel:RASI,,,IMUModel:RHIP,,,IMUModel:RKNE,,,IMUModel:RKNE2,,,IMUModel:RTIB,,,IMUModel:RANK,,,IMUModel:RANK2,,,IMUModel:RHEE,,,IMUModel:RTOE,,,IMUModel:LHIP,,,IMUModel:LKNE,,,IMUModel:LKNE2,,,IMUModel:LTIB,,,IMUModel:LANK,,,IMUModel:LANK2,,,IMUModel:LHEE,,,IMUModel:LTOE,,,IMUModel:TFXN,,,IMUModel:TFORI,,,IMUModel:TFXP,,,IMUModel:TFYMid,,,IMUModel:TFYP,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
849,0,187.02,478.346,1048.29,263.552,298.168,1090.86,371.975,296.053,1093.41,461.058,476.71,1049.03,512.167,419.711,973.503,501.828,573.63,571.464,381.389,595.884,555.499,477.56,571.84,404.171,480.704,436.351,180.568,399.221,467.372,183.127,418.576,366.122,146.057,465.94,580.879,95.033,149.543,402.415,970.506,177.042,389.483,534.794,290.267,405.278,533.875,207.033,402.156,381.965,217.897,291.288,127.587,304.23,324.378,139.328,274.165,241.4,88.1079,239.226,466.669,87.9601,,,,,,,,,,,,,,,
850,0,187.057,486.064,1047.45,263.496,306.135,1090.34,371.841,303.922,1093.02,460.954,484.652,1048.51,512.35,427.718,973.252,502.293,583.488,571.657,381.749,605.723,555.9,478.481,588.35,404.273,483.101,463.586,174.294,401.07,494.188,178.162,421.357,394.891,136.598,467.361,611.669,94.9816,149.669,409.662,969.774,177.24,393.055,534.327,290.601,408.736,533.371,207.153,404.686,381.586,218.093,291.571,127.755,304.332,324.889,139.313,274.265,241.429,88.32,239.221,466.787,87.7707,,,,,,,,,,,,,,,
851,0,187.008,493.848,1046.49,263.439,314.086,1089.81,371.87,311.914,1092.62,460.951,492.647,1048.01,512.482,435.732,972.992,502.705,593.061,571.42,382.222,615.247,556.051,479.164,604.644,403.977,484.674,491.769,167.799,403.382,521.159,173.685,424.933,423.451,127.65,468.902,642.609,95.4145,150.053,416.941,968.829,177.353,396.671,533.83,290.626,412.571,532.705,207.217,406.519,380.914,218.399,291.898,127.936,304.776,325.323,139.123,274.425,241.48,88.5732,239.214,466.765,87.5748,,,,,,,,,,,,,,,
852,0,186.998,501.703,1045.45,263.75,322.165,1089.27,372.024,320.123,1092.19,460.978,500.825,1047.35,512.639,443.792,972.597,503.245,602.067,571.008,382.891,624.394,555.958,480.296,620.535,404.069,486.859,519.396,162.175,406.006,548.083,169.463,428.239,452.915,119.197,470.099,673.718,96.342,150.285,424.154,967.964,177.549,400.259,533.273,290.873,416.55,531.932,207.629,409.569,380.233,218.7,292.226,128.095,306.009,324.384,138.916,274.584,241.57,88.8804,239.255,467.028,87.3073,,,,,,,,,,,,,,,
853,0,187.124,509.443,1044.43,263.97,330.306,1088.7,372.276,328.342,1091.66,461.031,509.194,1046.58,512.798,451.917,972.094,503.651,610.682,570.32,383.551,633.238,555.521,481.594,636.281,404.485,490.608,547.979,157.999,408.594,575.175,166.039,432.145,482.331,111.456,471.867,704.37,98.3866,150.785,431.455,966.962,177.9,404.129,532.692,290.98,420.89,531.18,207.717,412.151,379.618,218.913,292.567,128.381,306.52,323.51,139.387,274.751,241.677,89.2466,239.292,467.25,87.0046,,,,,,,,,,,,,,,
854,0,187.207,517.342,1043.16,264.357,338.483,1088.06,372.684,336.71,1091.13,461.109,517.706,1045.82,512.932,460.137,971.44,504.302,618.761,569.343,384.318,641.518,554.801,482.832,651.836,404.833,493.687,576.103,154.176,411.256,602.277,162.922,436.192,512.001,104.496,473.36,734.848,101.103,151.235,438.695,966.024,178.09,407.935,532.245,291.195,425.184,530.435,207.946,414.867,378.939,219.191,292.949,128.66,305.864,325.941,139.453,274.917,241.807,89.6261,239.295,467.415,86.7535,,,,,,,,,,,,,,,
855,0,187.453,525.267,1042.02,264.805,346.707,1087.33,373.192,345.241,1090.5,461.35,526.285,1044.94,513.197,468.35,970.637,504.718,626.666,567.992,385.185,649.456,553.617,483.953,666.903,405.39,496.831,604.329,151.081,413.718,629.177,160.674,440.449,541.75,98.2655,474.835,765.093,104.641,151.736,446.012,965.005,178.472,411.93,531.679,291.487,429.702,529.624,208.234,417.575,378.327,219.497,293.403,128.995,306.089,326.776,139.419,275.145,241.986,90.0809,239.186,467.534,86.5685,,,,,,,,,,,,,,,
856,0,187.664,533.148,1040.81,265.528,355.036,1086.62,373.842,353.89,1089.77,461.675,535.109,1043.86,513.477,476.928,969.557,505.228,634.195,566.478,385.988,657.017,552.02,485.334,681.492,405.929,499.974,632.08,148.626,416.977,655.516,159.153,444.331,571.249,92.6072,476.446,794.777,109.316,152.337,453.336,963.97,178.841,416.033,531.078,291.703,434.131,528.83,208.443,420.312,377.703,219.843,293.851,129.293,306.25,327.427,139.477,275.308,242.13,90.5061,239.153,467.683,86.3679,,,,,,,,,,,,,,,
857,0,187.927,541.195,1039.48,266.287,363.472,1085.77,374.657,362.642,1088.88,461.974,544.102,1042.66,513.894,485.519,968.527,505.928,641.415,564.747,386.849,664.028,550.03,486.52,695.669,406.774,503.256,659.589,147.357,419.695,681.64,158.307,448.727,601.076,88.4446,478.205,823.574,115.061,153.055,460.817,962.921,179.209,420.222,530.445,291.989,438.817,527.961,208.726,423.153,376.924,220.203,294.336,129.581,306.638,328.05,139.591,275.51,242.25,90.8941,239.058,467.835,86.1768,,,,,,,,,,,,,,,
858,0,188.418,549.176,1038.13,267.193,371.877,1084.86,375.553,371.598,1087.91,462.363,553.403,1041.25,514.146,494.408,967.136,506.743,648.535,562.728,387.726,670.508,547.896,487.684,709.513,407.704,505.934,686.718,146.569,422.296,707.286,158.396,452.431,630.242,84.6725,479.961,851.723,121.714,153.738,468.196,961.85,179.526,424.559,529.836,292.349,443.643,527.011,209.012,426.158,376.105,220.494,294.812,129.954,307.069,328.667,139.669,275.72,242.374,91.3081,239.009,467.978,85.9876,,,,,,,,,,,,,,,
