Trajectories
100
,,IMUModel:LASI,,,IMUModel:LPSI,,,IMUModel:RPSI,,,IMUModel:RASI,,,IMUModel:RHIP,,,IMUModel:RKNE,,,IMUModel:RKNE2,,,IMUModel:RTIB,,,IMUModel:RANK,,,IMUModel:RANK2,,,IMUModel:RHEE,,,IMUModel:RTOE,,,IMUModel:LHIP,,,IMUModel:LKNE,,,IMUModel:LKNE2,,,IMUModel:LTIB,,,IMUModel:LANK,,,IMUModel:LANK2,,,IMUModel:LHEE,,,IMUModel:LTOE,,,IMUModel:TFXN,,,IMUModel:TFORI,,,IMUModel:TFXP,,,IMUModel:TFYMid,,,IMUModel:TFYP,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
887,0,233.563,429.071,1029.96,328.426,242.403,1074.04,443.433,242.514,1080.49,529.598,421.067,1041.53,583.851,369.708,959.067,576.507,472.249,511.359,456.84,496.968,507.376,554.935,543.466,404.184,562.954,532.609,139.705,476.177,562.248,163.276,495.945,474.487,97.2542,546.524,704.109,136.003,189.043,364.904,943.934,234.686,296.798,497.282,346.258,327.823,489.349,254.456,326.92,368.911,289.403,253.434,116.895,374.186,286.296,145.632,360.419,184.397,99.923,309.445,416.109,89.0878,,,,,,,,,,,,,,,
888,0,233.735,434.999,1029.05,328.798,248.661,1073.74,443.624,248.828,1080.29,529.837,427.348,1040.86,584.088,375.613,958.575,575.669,479.079,510.523,456.083,503.272,506.996,554.371,554.537,406.168,562.813,554.591,141.229,476.192,583.076,165.847,495.955,497.098,97.7993,545.213,726.329,141.516,189.237,370.228,943.271,234.867,299.134,497.179,346.213,330.301,489.057,254.683,328.547,368.499,289.579,253.611,117.058,374.383,286.738,145.415,360.492,184.499,100.041,309.458,416.186,88.8901,,,,,,,,,,,,,,,
889,0,233.89,440.989,1028.14,329.213,254.942,1073.34,444.016,255.191,1080.01,530.029,433.758,1040.08,584.388,381.696,957.934,575.231,485.865,509.838,455.479,509.582,506.56,553.911,565.192,408.208,562.93,575.593,143.528,475.998,602.729,168.928,495.845,518.463,97.6284,543.659,747.463,147.939,189.743,375.595,942.562,235.147,301.709,497.004,347.676,332.236,488.855,254.678,330.333,368.25,289.766,253.791,117.229,374.64,287.434,145.163,360.645,184.584,100.153,309.488,416.267,88.6355,,,,,,,,,,,,,,,
890,0,234.101,447.016,1027.14,329.777,261.203,1072.88,444.62,261.638,1079.71,530.145,440.096,1039.18,584.822,387.954,957.156,574.435,492.946,509.145,454.69,516.046,506.185,553.238,575.677,410.214,562.483,595.668,146.027,475.444,621.491,172.352,496.647,539.994,99.739,542.039,767.377,155.05,190.133,381.099,941.871,235.453,304.727,496.811,347.917,335.278,488.344,255.053,332.427,367.702,290,254.056,117.368,375.824,285.753,145.743,360.793,184.695,100.299,309.541,416.364,88.3199,,,,,,,,,,,,,,,
891,0,234.461,453.136,1026.16,330.425,267.587,1072.45,445.218,268.154,1079.31,530.485,446.519,1038.2,585.123,394.209,956.343,574.066,500.006,508.617,454.098,522.439,505.924,552.684,585.659,412.24,561.751,614.801,148.682,474.716,639.27,175.913,496.536,560.09,100.909,540.452,786.208,162.487,190.805,386.727,941.17,235.741,308.14,496.543,348.275,338.427,487.835,255.346,334.922,367.306,290.296,254.27,117.451,375.617,287.276,145.279,361.461,184.728,100.373,309.636,416.499,88.0187,,,,,,,,,,,,,,,
892,0,234.729,459.269,1025.26,331.192,273.95,1071.95,445.892,274.68,1078.88,530.902,453.052,1037.26,585.548,400.645,955.449,573.433,507.043,507.979,453.523,529.104,505.604,552.123,595.367,414.012,561.301,632.835,151.561,473.808,656.172,179.457,496.252,579.315,102.056,539.072,803.887,170.068,191.181,392.401,940.451,236.21,311.911,495.975,348.594,341.9,487.319,255.778,337.582,366.633,290.603,254.556,117.675,375.992,288.018,145.103,361.343,184.948,100.67,309.727,416.7,87.6821,,,,,,,,,,,,,,,
893,0,235.075,465.424,1024.22,331.911,280.445,1071.49,446.65,281.24,1078.3,531.214,459.472,1036.18,586.066,407.017,954.56,572.596,514.246,507.19,453.255,536.212,505.171,551.619,604.867,415.704,560.685,649.693,154.386,473.121,672.332,182.766,495.635,597.686,103.441,537.919,820.49,177.231,191.816,398.195,939.604,236.406,315.961,495.611,349.051,345.526,486.66,256.319,340.544,366.026,290.793,254.904,117.956,376.605,288.433,144.981,361.475,185.127,100.877,309.861,416.901,87.339,,,,,,,,,,,,,,,
894,0,235.524,471.731,1023.16,332.603,286.969,1070.89,447.401,287.71,1077.77,531.797,465.907,1035.14,586.461,413.32,953.519,572.055,521.559,506.364,452.608,543.611,504.942,551.273,614.384,417.111,559.732,665.752,156.793,472.383,687.454,186.184,494.915,614.726,104.666,536.935,835.806,183.699,192.459,404.237,938.751,236.838,320.314,495.103,349.538,349.417,485.975,256.831,343.711,365.266,291.116,255.299,118.138,376.982,288.997,144.7,361.615,185.301,101.074,309.993,417.098,86.9949,,,,,,,,,,,,,,,
895,0,236.081,478.128,1022.13,333.276,293.42,1070.28,448.008,294.238,1077.04,532.299,472.233,1034.03,587.127,419.785,952.541,571.672,529.35,505.695,452.48,551.486,504.731,550.922,623.794,418.218,558.875,680.497,158.855,471.717,701.544,188.783,494.011,630.471,105.774,536.247,849.883,189.311,193.155,410.411,937.79,237.081,324.751,494.587,349.926,353.463,485.15,257.384,346.979,364.487,291.432,255.617,118.346,377.473,289.602,144.671,361.798,185.487,101.374,310.064,417.257,86.7141,,,,,,,,,,,,,,,
