Trajectories
100
,,IMUMode2:LASI,,,IMUMode2:LPSI,,,IMUMode2:RPSI,,,IMUMode2:RASI,,,IMUMode2:RHIP,,,IMUMode2:RKNE,,,IMUMode2:RKNE2,,,IMUMode2:RTIB,,,IMUMode2:RANK,,,IMUMode2:RANK2,,,IMUMode2:RHEE,,,IMUMode2:RTOE,,,IMUMode2:LHIP,,,IMUMode2:LKNE,,,IMUMode2:LKNE2,,,IMUMode2:LTIB,,,IMUMode2:LANK,,,IMUMode2:LANK2,,,IMUMode2:LHEE,,,IMUMode2:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,292.29,371.388,917.423,346.464,197.065,986.229,452.044,197.198,993.971,527.225,362.668,924.15,576.116,301.007,840.364,552.284,276.265,470.232,447.76,270.062,456.061,541.801,293.303,371.845,535.458,219.793,124.671,464.533,255.713,132.866,477.355,165.534,92.9058,536.981,368.511,79.6853,239.991,295.388,844.342,259.089,268.723,472.985,361.827,254.381,465.828,271.201,282.264,374.308,272.838,213.24,124.418,349.267,238.013,128.673,328.947,151.388,83.9115,280.672,353.688,81.1721
2,0,292.261,371.439,917.429,346.438,197.135,986.216,452.014,197.241,993.96,527.237,362.681,924.138,576.138,301.038,840.368,552.242,276.302,470.208,447.739,270.075,456.066,541.82,293.355,371.833,535.458,219.803,124.653,464.533,255.713,132.866,477.345,165.545,92.9122,536.98,368.501,79.6861,240.004,295.442,844.318,259.086,268.77,472.996,361.843,254.447,465.825,271.215,282.294,374.273,272.838,213.24,124.418,349.282,238.001,128.696,328.957,151.394,83.9256,280.674,353.707,81.1694
3,0,292.303,371.482,917.417,346.431,197.191,986.211,452.023,197.285,993.968,527.2,362.737,924.146,576.09,301.096,840.334,552.236,276.385,470.205,447.751,270.135,456.047,541.797,293.398,371.811,535.439,219.815,124.663,464.533,255.713,132.866,477.343,165.545,92.9399,536.981,368.511,79.6853,239.98,295.475,844.323,259.113,268.802,472.988,361.843,254.447,465.825,271.241,282.309,374.279,272.837,213.223,124.421,349.302,238.005,128.721,328.961,151.401,83.9103,280.669,353.676,81.1612
4,0,292.293,371.516,917.432,346.454,197.223,986.212,452.02,197.303,993.979,527.215,362.748,924.148,576.109,301.135,840.365,552.217,276.433,470.241,447.756,270.189,456.049,541.785,293.437,371.809,535.432,219.814,124.671,464.533,255.713,132.866,477.328,165.557,92.9373,536.975,368.51,79.6783,239.99,295.541,844.314,259.102,268.851,472.976,361.826,254.508,465.815,271.225,282.338,374.269,272.837,213.251,124.441,349.277,237.981,128.673,328.957,151.394,83.9256,280.68,353.701,81.1582
5,0,292.309,371.574,917.434,346.405,197.283,986.193,451.993,197.334,993.969,527.173,362.786,924.131,576.135,301.168,840.359,552.186,276.504,470.202,447.787,270.216,456.043,541.777,293.46,371.791,535.451,219.804,124.684,464.544,255.735,132.888,477.341,165.537,92.9581,536.983,368.513,79.6658,239.965,295.562,844.341,259.106,268.849,472.989,361.827,254.508,465.814,271.214,282.362,374.288,272.875,213.267,124.419,349.284,238.002,128.694,328.964,151.391,83.9105,280.679,353.698,81.1576
6,0,292.333,371.627,917.419,346.4,197.341,986.187,451.96,197.363,993.967,527.193,362.832,924.136,576.099,301.21,840.365,552.234,276.537,470.212,447.777,270.233,456.045,541.801,293.504,371.782,535.44,219.791,124.676,464.519,255.738,132.869,477.324,165.547,92.9662,536.969,368.512,79.6656,240.012,295.632,844.307,259.101,268.902,472.976,361.826,254.525,465.839,271.217,282.379,374.286,272.841,213.25,124.439,349.271,238.014,128.669,328.963,151.375,83.9258,280.665,353.687,81.1587
7,0,292.32,371.651,917.426,346.397,197.408,986.173,451.993,197.393,993.954,527.161,362.866,924.132,576.089,301.237,840.345,552.176,276.608,470.192,447.793,270.298,456.044,541.785,293.526,371.763,535.462,219.777,124.676,464.53,255.76,132.891,477.302,165.545,92.964,536.969,368.511,79.6654,239.983,295.629,844.345,259.113,268.938,472.989,361.801,254.604,465.794,271.227,282.424,374.282,272.842,213.251,124.438,349.292,238.03,128.67,328.965,151.364,83.9252,280.691,353.685,81.1557
8,0,292.311,371.68,917.43,346.395,197.447,986.19,451.977,197.425,993.959,527.154,362.892,924.125,576.084,301.265,840.373,552.165,276.651,470.188,447.806,270.351,456.041,541.782,293.589,371.78,535.452,219.778,124.666,464.502,255.741,132.874,477.303,165.533,92.9598,536.988,368.503,79.6779,239.997,295.684,844.323,259.103,268.969,472.992,361.81,254.586,465.827,271.208,282.433,374.288,272.846,213.25,124.435,349.289,237.994,128.711,328.968,151.356,83.9255,280.676,353.689,81.1559
9,0,292.297,371.704,917.435,346.378,197.507,986.169,451.966,197.439,993.938,527.148,362.931,924.115,576.073,301.298,840.368,552.167,276.69,470.187,447.845,270.33,456.028,541.781,293.587,371.747,535.451,219.773,124.674,464.52,255.787,132.875,477.28,165.519,93.0072,536.976,368.507,79.6579,239.973,295.716,844.329,259.133,269.003,472.982,361.828,254.652,465.821,271.228,282.425,374.28,272.851,213.249,124.432,349.291,237.994,128.71,328.971,151.347,83.9258,280.69,353.679,81.1545
10,0,292.331,371.77,917.445,346.383,197.551,986.174,451.976,197.487,993.944,527.152,362.942,924.128,576.07,301.317,840.367,552.143,276.706,470.181,447.822,270.356,456.022,541.781,293.593,371.766,535.453,219.751,124.689,464.532,255.762,132.889,477.284,165.513,92.9963,536.975,368.505,79.6577,239.976,295.734,844.328,259.144,269.013,472.976,361.829,254.652,465.82,271.211,282.45,374.285,272.897,213.269,124.417,349.278,238.016,128.662,328.969,151.355,83.9158,280.679,353.679,81.1672
