Trajectories
100
,,IMUMode2:LASI,,,IMUMode2:LPSI,,,IMUMode2:RPSI,,,IMUMode2:RASI,,,IMUMode2:RHIP,,,IMUMode2:RKNE,,,IMUMode2:RKNE2,,,IMUMode2:RTIB,,,IMUMode2:RANK,,,IMUMode2:RANK2,,,IMUMode2:RHEE,,,IMUMode2:RTOE,,,IMUMode2:LHIP,,,IMUMode2:LKNE,,,IMUMode2:LKNE2,,,IMUMode2:LTIB,,,IMUMode2:LANK,,,IMUMode2:LANK2,,,IMUMode2:LHEE,,,IMUMode2:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
885,0,270.454,353.576,903.663,327.576,194.816,993.806,431.876,196.429,1005.01,503.716,350.073,923.21,561.275,296.022,847.901,546.76,445.047,506.744,441.535,460.215,491.679,541.513,479.248,409.352,535.108,430.008,155.113,469.7,471.778,162.799,472.364,381.755,117.392,548.47,575.473,109.679,225.321,268.592,836.469,247.946,243.115,463.427,351.82,245.24,456.555,257.217,246.477,360.688,259.131,136.867,122.43,331.829,166.634,125.6,315.987,75.0082,81.6549,266.328,276.863,80.6811
886,0,271.331,360.07,902.431,328.912,201.785,993.161,433.249,203.79,1004,504.797,357.258,921.677,562.089,303.051,846.275,546.681,452.145,505.302,441.563,467.035,490.492,541.638,489.79,409.486,535.896,452.077,153.268,470.316,492.89,162.545,473.683,404.783,113.884,548.27,599.152,112.474,226.411,274.459,835.729,248.434,245.281,462.904,352.32,247.698,455.786,257.483,247.918,360.056,259.4,136.952,122.444,331.985,166.791,125.476,316.237,74.3643,81.7732,266.304,276.866,80.6316
887,0,272.301,366.894,901.079,330.471,208.964,992.343,434.803,211.344,1002.9,505.786,364.951,920.027,562.962,310.456,844.644,546.721,459.303,503.471,441.455,473.643,488.949,541.52,500.759,409.42,536.651,473.094,151.751,470.785,513.034,162.465,474.462,427.044,110.547,548.176,621.621,115.922,227.454,280.557,834.91,249.002,247.544,462.366,352.818,250.162,455.081,257.588,249.429,359.652,259.643,137.038,122.516,332.138,166.938,125.393,316.405,74.5252,82.0186,266.272,276.825,80.6133
888,0,273.24,373.981,899.667,331.966,216.468,991.4,436.489,219.216,1001.55,506.988,373.067,918.2,564.051,318.199,842.901,546.653,466.229,501.458,441.391,480.027,487.268,541.518,510.71,409.145,537.17,492.72,150.286,471.034,532.038,162.576,475.609,447.735,107.496,547.684,642.734,119.881,228.747,287.04,833.911,249.503,249.939,461.813,353.479,252.731,454.33,257.98,250.988,358.916,259.867,137.075,122.589,332.333,167.102,125.288,316.441,74.7041,81.9715,266.244,276.789,80.5775
889,0,274.224,381.482,898.248,333.69,224.265,990.138,438.223,227.061,1000.42,508.158,381.365,916.282,565.101,326.396,841.084,546.608,473.273,499.364,441.167,486.263,485.338,541.272,520.373,408.358,537.319,510.976,148.973,470.99,549.469,162.788,476.111,467.416,104.216,547.043,662.26,124.06,229.948,293.835,832.851,249.98,252.485,461.218,354.158,255.501,453.511,258.37,252.542,358.328,260.038,137.09,122.732,332.474,167.237,125.182,316.523,74.7549,82.0499,266.207,276.76,80.5453
890,0,275.178,389.327,896.613,335.325,232.349,988.678,440.205,234.854,998.971,509.34,390.035,914.279,566.113,335.128,839.012,546.665,480.473,496.913,439.489,493.612,483.69,541.184,529.455,407.213,537.442,527.729,147.243,470.828,565.121,162.506,476.454,485.57,100.687,545.878,679.953,127.956,231.361,301.113,831.582,250.645,255.241,460.478,354.722,258.556,452.541,258.973,254.098,357.803,260.282,137.17,122.839,332.658,167.374,125.1,316.688,74.7758,82.1317,266.176,276.729,80.5197
891,0,276.201,397.632,894.963,337.149,240.778,986.932,441.657,242.962,996.596,510.604,399.052,912.19,567.354,344.406,836.842,546.917,487.583,494.36,440.123,499.482,481.106,541.24,538.21,405.699,537.458,542.802,145.316,470.53,579.348,161.858,476.792,501.678,97.111,544.172,695.789,130.67,232.544,308.753,830.303,251.09,258.242,459.783,355.4,262.012,451.473,259.666,255.692,356.878,260.502,137.239,123.023,332.886,167.611,125.035,316.925,74.8384,82.2639,266.136,276.704,80.5064
892,0,277.339,406.325,893.095,338.964,249.534,984.995,443.624,251.889,994.393,511.762,408.465,910.085,568.37,354.023,834.441,547.399,494.868,491.245,440.35,505.789,478.291,541.091,546.814,403.507,537.326,556.315,142.882,470.013,591.628,160.594,476.884,515.687,93.5165,542.052,709.767,131.769,233.881,316.905,828.777,251.761,261.625,459.058,356.087,265.863,450.177,260.084,258.038,355.932,260.76,137.346,123.298,333.166,168.014,124.906,317.118,74.9199,82.4238,266.107,276.708,80.479
893,0,278.471,415.468,891.235,340.925,258.602,982.706,445.468,261.481,991.648,513.204,418.251,907.675,569.497,364.086,831.991,547.857,502.472,487.874,440.657,512.433,475.125,541.169,555.247,400.596,537.394,567.121,139.64,469.471,602.183,158.24,476.889,527.375,89.7925,539.471,721.645,131.24,235.44,325.56,827,252.294,265.411,458.163,357.175,268.917,449.628,260.116,260.972,355.129,261.178,137.606,123.529,334.558,167.769,125.027,317.318,75.0471,82.66,266.086,276.723,80.4359
