Trajectories
100
,,IMUMode2:LASI,,,IMUMode2:LPSI,,,IMUMode2:RPSI,,,IMUMode2:RASI,,,IMUMode2:RHIP,,,IMUMode2:RKNE,,,IMUMode2:RKNE2,,,IMUMode2:RTIB,,,IMUMode2:RANK,,,IMUMode2:RANK2,,,IMUMode2:RHEE,,,IMUMode2:RTOE,,,IMUMode2:LHIP,,,IMUMode2:LKNE,,,IMUMode2:LKNE2,,,IMUMode2:LTIB,,,IMUMode2:LANK,,,IMUMode2:LANK2,,,IMUMode2:LHEE,,,IMUMode2:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
761,0,273.735,481.062,907.799,328.546,313.982,986.859,433.606,313.02,996.682,505.626,471.701,922.738,562.241,424.106,843.022,533.326,579.998,509.78,426.424,587.142,494.669,524.538,593.225,407.139,517.778,485.27,171.093,450.47,524.878,171.311,458.592,427.388,148.065,521.455,617.464,91.1691,226.827,402.214,835.045,267.661,368.049,463.188,370.264,353.108,462.416,286.269,371.855,362.046,287.46,259.396,127.139,366.96,274.118,131.424,334.975,186.659,86.8968,308.232,391.66,79.8824
762,0,273.8,489.214,906.625,329.34,322.7,986.284,434.45,322.107,996.235,505.886,480.711,921.719,562.876,432.728,842.419,534.418,587.993,507.548,427.909,595.187,493.07,526.029,605.587,406.335,521.123,512.483,164.113,453.677,551.491,166.282,462.003,455.874,137.373,525.568,649.741,92.4614,227.44,409.63,834.303,267.603,370.099,463.116,370.294,355.396,462.435,285.722,373.468,361.919,287.83,259.583,127.736,367.776,274.491,131.815,335.006,186.904,87.6845,308.236,391.694,79.8692
763,0,274.058,497.533,905.332,330.212,331.498,985.746,435.202,331.338,995.657,506.441,489.83,920.48,563.49,441.408,841.419,535.594,594.335,505.83,429.398,602.405,490.87,527.563,617.453,405.237,524.197,540.048,157.588,456.762,578.361,161.755,465.386,484.886,127.407,528.857,681.105,94.1976,227.954,417.123,833.6,267.447,372.337,463.076,370.313,357.879,462.483,285.083,374.989,362.101,288.163,259.854,128.45,367.984,275.069,132.535,335.32,187.205,88.5941,308.206,391.733,79.8275
764,0,274.444,505.896,903.972,331.054,340.387,985.173,436.121,340.603,995.011,506.93,499.147,919.015,564.228,450.114,840.248,536.744,600.501,502.914,431.023,608.812,488.215,529.164,628.536,404.149,527.467,567.448,152.094,459.676,605.251,158.16,468.954,513.983,118.367,532.058,712.156,97.0678,228.501,424.653,832.896,267.103,374.624,463.171,369.977,360.889,462.356,285.475,376.481,362.176,288.562,260.193,129.134,367.927,275.942,133.046,335.637,187.524,89.5862,308.214,391.818,79.7569
765,0,274.814,514.441,902.676,332.018,349.402,984.551,437.153,350.02,994.238,507.454,508.588,917.386,564.714,458.686,838.751,537.792,605.725,499.71,432.534,614.545,485.068,530.612,638.985,402.89,530.708,594.56,147.872,462.654,631.598,155.345,472.553,542.97,110.502,534.945,742.343,101.298,228.971,432.215,832.163,266.971,377.324,463.251,369.845,364.037,462.165,285.237,378.522,362.132,288.845,260.581,130,368.226,276.805,133.792,335.997,187.882,90.7019,307.984,391.954,79.7286
766,0,275.154,522.971,901.407,333.025,358.442,983.876,438.236,359.635,993.237,508.102,518.299,915.64,565.388,467.545,837.181,539.089,610.811,496.225,434.015,619.508,481.364,532.154,649.076,401.589,533.447,621.197,144.436,464.955,657.31,153.969,475.715,571.684,103.617,537.278,771.69,106.758,229.379,439.879,831.534,266.947,380.439,463.21,369.894,367.61,462.141,284.979,380.816,362.189,289.102,261.03,130.976,368.291,277.656,134.535,336.318,188.296,91.9856,308.008,391.947,79.6625
767,0,275.541,531.594,900.153,334.177,367.592,983.046,439.397,369.292,992.121,508.793,528.242,913.793,565.754,476.566,835.371,540.839,615.792,492.693,435.728,623.834,477.294,534.036,659.074,400.489,534.595,646.082,141.483,467.169,681.792,153.542,478.514,599.639,97.8911,539.001,799.418,113.586,229.907,447.711,830.898,266.79,383.923,463.303,369.968,371.648,462.082,285.132,383.425,362.103,289.405,261.609,131.987,368.451,278.598,135.287,336.708,188.761,93.3113,307.956,392.009,79.5855
768,0,275.825,540.441,898.98,335.331,376.763,982.132,440.595,379.07,990.832,508.626,539.045,911.75,566.322,485.969,833.507,542.528,621.106,489.08,437.457,627.809,473,537.155,669.624,400.051,538.973,671.183,141.596,468.863,704.54,154.233,481.06,626.232,93.4974,539.82,825.21,121.724,230.361,455.683,830.158,266.85,388.023,463.178,370.128,376.263,461.952,284.461,386.657,361.641,289.784,262.362,133.017,368.693,279.667,136.153,337.086,189.256,94.7371,307.926,392.08,79.4787
769,0,276.022,549.275,897.785,336.607,385.997,981.047,441.945,389.03,989.366,508.808,549.814,909.812,566.689,495.749,831.476,544.856,626.475,485.673,439.591,631.656,468.434,538.906,678.727,399.074,539.958,694.038,140.6,470.214,725.441,155.784,483.421,651.174,90.1014,539.71,848.8,130.619,230.958,463.86,829.386,266.984,392.567,463.102,370.329,381.424,461.832,284.859,390.122,361.705,289.985,263.158,134.25,368.93,280.773,137.03,337.397,189.798,96.3599,307.881,392.129,79.4274
