Trajectories
100
,,IMUMode2:LASI,,,IMUMode2:LPSI,,,IMUMode2:RPSI,,,IMUMode2:RASI,,,IMUMode2:RHIP,,,IMUMode2:RKNE,,,IMUMode2:RKNE2,,,IMUMode2:RTIB,,,IMUMode2:RANK,,,IMUMode2:RANK2,,,IMUMode2:RHEE,,,IMUMode2:RTOE,,,IMUMode2:LHIP,,,IMUMode2:LKNE,,,IMUMode2:LKNE2,,,IMUMode2:LTIB,,,IMUMode2:LANK,,,IMUMode2:LANK2,,,IMUMode2:LHEE,,,IMUMode2:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
983,0,421.71,446.705,932.361,337.653,295.583,1012.51,234.546,300.626,996.503,190.169,464.832,906.501,478.876,387.481,855.272,475.667,486.616,494.698,371.211,494.329,473.043,475.223,520.476,399.438,487.232,489.199,141.71,417.841,521.321,150.533,480.597,640.214,112.02,432.926,437.011,95.4784,143.117,384.401,837.172,186.511,346.842,467.066,289.961,333.269,468.798,207.046,358.759,367.926,221.063,272.376,124.385,300.737,289.841,131.189,271.17,203.014,85.3133,247.815,408.992,79.8037
984,0,422.38,452.573,931.43,338.929,301.005,1011.7,235.595,305.589,995.856,190.502,469.752,906.02,479.536,393.471,854.493,476.561,493.383,494.214,372.745,499.18,472.132,475.642,530.234,399.675,488.901,503.491,141.277,419.116,534.448,150.738,480.544,655.643,114.574,435.274,451.372,94.2664,143.637,389,836.926,186.927,348.597,467.054,290.426,335.641,468.72,207.42,359.726,367.954,221.373,272.627,124.664,301.069,290.186,131.39,271.269,203.129,85.5209,247.88,409.089,79.8078
985,0,423.025,458.713,930.512,340.229,306.478,1010.78,236.846,310.703,995.219,190.929,474.706,905.543,480.25,399.628,853.624,477.74,500.002,493.756,373.589,505.144,471.863,476.442,538.527,400.003,490.665,516.854,141.1,420.28,546.669,151.068,480.143,669.118,116.46,438.175,464.846,93.1651,144.353,393.625,836.562,187.277,350.547,467.055,290.927,338.073,468.791,207.641,361.083,367.909,221.636,272.925,124.969,301.245,290.579,131.61,271.372,203.269,85.7652,247.914,409.151,79.817
986,0,423.721,464.928,929.571,342.296,312.296,1009.28,238.105,315.848,994.644,191.438,479.741,905.135,480.983,405.956,852.691,478.609,506.911,493.261,374.946,511.295,471.16,477.192,546.705,400.188,492.363,529.056,141.135,421.798,557.923,151.033,479.983,681.64,117.945,440.739,477.332,92.3688,145.125,398.218,836.255,187.613,352.679,467.223,291.579,340.721,468.865,207.823,362.63,367.964,221.944,273.169,125.364,301.342,291.043,131.868,271.517,203.449,86.041,247.94,409.22,79.83
987,0,424.562,471.16,928.845,343.806,318.008,1008.44,239.489,321.033,994.104,191.933,484.84,904.791,481.852,412.317,851.958,479.827,513.548,492.863,376.204,517.338,470.585,478.128,554.643,400.275,494.225,540.236,141.172,423.013,568.287,151.162,480.037,693.008,119.087,444.384,488.949,91.6704,145.938,402.917,836.017,188.186,354.994,467.335,292.074,343.651,468.837,208.017,364.349,367.984,222.168,273.452,125.844,301.592,291.511,132.172,271.657,203.608,86.3156,247.98,409.3,79.8291
988,0,425.172,477.552,928.014,345.46,323.829,1007.63,241.1,326.326,993.558,192.507,489.972,904.46,482.638,419.048,851.015,480.878,520.241,492.267,377.339,523.529,469.844,478.992,562.348,400.281,495.827,550.421,140.843,424.395,577.637,151.153,480.237,703.251,119.888,446.665,498.996,91.0039,146.828,407.639,835.839,188.553,357.51,467.456,292.947,346.733,468.943,208.424,366.172,367.877,222.332,273.67,126.427,301.891,291.999,132.535,271.733,203.743,86.5713,248.028,409.359,79.8602
989,0,426.13,484.041,927.32,347.088,329.698,1006.87,242.856,331.646,992.971,193.131,495.105,904.218,483.614,425.715,850.339,482.098,526.838,491.655,378.558,529.726,469.255,480.076,569.425,400.014,497.497,559.382,140.469,425.803,586.094,150.867,480.669,712.344,120.346,448.826,507.943,90.2315,147.769,412.354,835.613,189.206,360.25,467.486,293.76,350.179,468.808,208.496,368.5,367.934,222.548,273.924,127.03,302.093,292.467,132.888,271.845,203.9,86.8454,248.07,409.437,79.8534
990,0,426.767,490.834,926.585,349.019,335.837,1006.16,244.615,336.967,992.538,193.854,500.266,903.944,484.483,432.643,849.548,483.355,533.318,491.007,380.062,535.882,468.433,481.098,576.37,399.521,498.987,567.443,139.921,426.85,593.54,150.312,481.052,720.343,120.227,450.929,515.817,89.5306,148.864,417.08,835.477,189.871,363.249,467.613,294.764,353.893,468.732,208.99,370.714,367.886,222.854,274.306,127.567,302.171,292.985,133.338,271.944,204.094,87.2369,248.074,409.503,79.8584
991,0,427.571,497.694,925.941,351.07,342.111,1005.45,246.496,342.487,992.056,194.527,505.526,903.67,485.482,439.878,848.825,484.386,539.922,490.354,381.29,542.138,467.43,482.292,582.894,398.817,500.558,574.465,139.324,428.354,600.132,149.651,481.539,727.239,119.609,452.961,522.523,88.7783,149.99,421.858,835.226,190.756,366.552,467.602,295.968,358.029,468.502,209.498,373.371,367.718,223.226,274.775,127.999,302.349,293.561,133.751,272.114,204.334,87.8456,248.067,409.561,79.8345
992,0,428.572,504.669,925.248,353.137,348.557,1004.78,248.598,348.089,991.596,195.332,510.759,903.452,486.529,447.172,848.117,485.622,546.278,489.613,382.274,548.426,466.938,483.233,589.181,398.073,502.066,580.332,138.39,429.841,605.699,148.717,482.202,733.076,118.363,454.796,528.068,87.9353,151.148,426.629,835.18,191.379,370.094,467.808,296.869,362.445,468.192,210.158,376.005,367.665,223.522,275.12,128.772,302.569,294.242,134.122,272.214,204.635,88.6732,248.074,409.669,79.7825
993,0,429.455,511.881,924.61,355.325,355.052,1004.22,250.937,353.722,991.229,195.956,516.013,903.304,487.435,454.671,847.405,486.617,552.536,488.836,383.578,554.672,466.106,484.259,595.076,396.967,503.476,585.21,137.204,431.182,610.499,147.476,482.921,737.824,116.555,456.356,532.584,87.35,152.477,431.36,835.089,192.307,373.909,467.868,297.831,366.984,467.885,210.689,378.885,367.575,225.584,275.576,128.56,302.768,295.001,134.779,272.315,205.017,89.615,248.085,409.759,79.7176
994,0,430.395,519.314,923.917,357.762,361.785,1003.77,253.278,359.503,990.929,196.852,521.343,903.092,488.679,462.584,846.645,487.61,558.841,488.003,384.618,560.839,465.519,484.894,600.428,395.722,504.93,589.057,136.647,432.309,614.359,146.482,483.8,741.681,114.07,457.478,535.941,87.8731,154.011,436.154,835.114,193.3,377.797,467.952,298.829,371.677,467.605,211.434,381.891,367.562,225.697,276.091,129.467,302.832,295.681,135.347,272.371,205.342,90.6965,248.085,409.833,79.638
995,0,431.353,526.868,923.275,360.41,368.677,1003.27,255.822,365.37,990.701,197.695,526.706,903.087,490.016,469.774,846.713,488.641,564.956,487.073,385.421,566.878,464.746,485.554,605.812,394.411,505.708,592.097,135.656,433.381,617.49,145.085,484.832,744.602,110.945,458.317,538.266,88.6862,155.547,441.049,835.217,194.25,381.753,468.193,299.755,376.613,467.343,212.132,385.066,367.656,225.869,276.768,130.453,302.978,296.53,136.124,272.415,205.782,91.8093,248.085,409.928,79.5398
996,0,432.356,534.484,922.636,363.114,375.709,1002.91,258.58,371.478,990.54,198.593,532.241,903.065,491.409,477.699,846.096,489.359,571.145,486.158,386.41,572.934,463.864,487.407,611.942,393.135,506.434,594.056,134.228,434.071,619.768,143.716,485.995,746.488,107.115,459.212,538.191,90.6608,157.372,445.983,835.306,195.275,385.955,468.427,300.787,381.454,467.249,212.815,388.324,367.691,226.063,277.528,131.578,303.044,297.507,136.857,272.526,206.239,93.1196,248.075,410.002,79.4528
997,0,433.732,542.094,922.046,365.858,382.84,1002.69,261.327,377.642,990.414,199.804,537.895,903.079,493.015,485.525,845.609,490.181,577.223,485.365,387.012,578.72,463.245,487.875,617.194,391.851,506.88,595.24,133.067,434.609,621.456,142.231,487.194,747.72,103.464,459.085,539.08,90.9515,159.053,451.038,835.57,196.27,390.217,468.719,301.816,386.555,467.132,213.423,391.493,367.953,226.147,278.28,132.817,303.058,298.414,137.679,272.566,206.77,94.5494,248.049,410.035,79.3911
998,0,435.12,549.756,921.575,368.653,390.087,1002.45,264.223,384.06,990.368,201.237,543.764,903.008,494.6,493.632,845.04,490.564,583.43,484.512,387.864,584.609,462.454,488.209,621.982,390.214,507.062,596.068,131.963,434.647,622.915,140.85,487.965,748.449,100.127,458.933,539.877,91.1205,161.04,456.328,835.793,197.427,394.493,469.135,302.852,391.624,467.175,214.131,394.989,368.062,226.099,279.064,134.171,303.011,299.503,138.676,272.56,207.321,96.1196,248.017,410.075,79.3371
999,0,435.611,558.482,920.915,371.577,397.454,1002.22,267.017,390.565,990.439,202.547,549.69,903.147,496.343,501.545,844.587,491.106,589.257,483.578,388.347,590.276,461.867,488.45,626.344,388.572,506.7,596.966,130.849,434.527,624.056,139.419,488.266,749.086,97.2587,458.254,540.598,91.0333,163.124,461.766,836.024,198.421,399.012,469.637,303.876,396.974,467.112,214.511,398.251,368.627,226.062,279.962,135.676,302.983,300.647,139.728,273.066,207.662,97.8022,247.982,410.116,79.2912
1000,0,437.214,566.392,920.527,374.479,404.876,1002.1,269.894,397.285,990.541,204.325,555.855,903.242,498.054,509.629,843.982,491.332,594.881,482.451,388.883,595.494,461.055,488.82,630.476,387.007,506.091,597.951,130.099,433.968,625.507,138.075,488.355,749.894,94.5492,457.177,541.543,90.8829,165.221,467.421,836.425,199.459,403.686,470.189,304.876,402.559,467.087,215.087,401.822,369.025,226.035,280.967,137.106,302.757,301.88,140.807,273.142,208.223,99.3896,247.958,410.154,79.2606
1001,0,439.388,574.103,920.279,377.35,412.283,1002.07,272.883,404.028,990.724,206.076,562.102,903.432,500.091,517.779,843.583,491.868,599.987,481.44,389.271,600.203,460.257,488.798,634.682,385.636,505.113,599.709,129.184,433.21,627.299,136.965,487.883,751.022,92.025,456.047,542.792,91.0096,167.362,473.156,836.811,200.51,408.787,470.75,306.188,408.311,467.113,215.71,405.759,369.42,225.94,282.133,138.788,302.644,303.147,142.045,273.079,208.925,101.048,247.951,410.186,79.2461
1002,0,441.472,581.838,920.134,380.425,419.822,1002.07,275.817,410.923,990.973,207.969,568.525,903.705,502.133,525.846,843.307,492.244,604.772,480.313,389.611,604.773,459.626,488.585,639.167,384.284,504.138,601.879,128.45,432.195,629.321,135.923,486.682,752.551,89.0684,454.944,544.197,91.4856,169.693,479.197,837.176,201.57,414.28,471.278,307.464,414.468,467.011,216.475,410.14,369.77,225.749,283.407,140.679,302.314,304.615,143.324,272.943,209.669,102.976,247.936,410.218,79.2246
1003,0,443.601,589.616,920.139,383.372,427.244,1002.22,278.868,417.831,991.226,209.99,575.076,904.032,504.302,533.97,843.148,492.461,609.651,479.422,389.545,608.791,459.086,488.314,643.195,383.139,503.178,604.149,128.233,430.878,631.152,134.756,484.752,754.211,85.9615,454.061,545.275,92.156,171.99,485.429,837.643,202.936,420.177,471.695,308.645,420.945,466.846,217.199,414.883,370.107,225.462,284.868,142.764,302.102,306.253,144.783,272.786,210.406,105.182,247.927,410.285,79.208
1004,0,445.906,597.41,920.145,386.469,434.8,1002.41,281.86,424.762,991.557,212.219,581.684,904.443,506.431,542.214,843.013,492.793,614.651,478.582,389.444,612.922,458.744,486.645,647.127,381.861,502.034,606.214,127.66,429.612,632.581,133.653,482.91,755.338,83.8981,453.586,545.801,92.2547,174.326,491.689,838.138,204.094,426.625,472.108,309.972,427.822,466.797,217.913,419.967,370.486,225.142,286.467,144.881,301.778,307.898,146.313,272.642,211.326,107.379,247.904,410.343,79.2073
1005,0,448.164,605.212,920.352,389.422,442.203,1002.65,285.014,431.708,991.846,214.429,588.488,904.912,508.805,550.244,843.175,492.657,620.271,477.886,389.019,616.883,458.531,485.802,651.911,380.923,501.154,607.429,127.544,428.098,633,133.026,482.542,755.779,83.4113,453.167,545.969,92.2411,176.771,498.285,838.547,205.251,433.526,472.436,311.407,434.917,466.581,218.983,425.753,370.646,224.828,288.42,147.135,301.235,309.737,147.908,272.56,212.318,109.9,247.888,410.43,79.2008
1006,0,450.48,612.852,920.716,392.404,449.727,1002.89,288,438.81,992.204,216.687,595.466,905.401,510.927,558.501,843.029,492.554,626.35,477.599,388.707,621.023,458.636,484.944,657.001,380.134,500.972,607.686,127.523,427.508,633.129,132.676,482.826,755.717,83.1193,453.053,545.966,92.2314,179.151,505.069,839.028,206.561,440.894,472.666,312.805,442.482,466.467,219.778,431.643,370.843,224.253,290.453,149.711,300.871,311.86,149.665,272.508,213.422,112.631,247.838,410.521,79.2564
1007,0,452.945,620.492,921.039,395.437,457.17,1003.22,290.916,445.889,992.554,219.132,602.495,906.02,513.212,566.513,843.192,492.571,632.8,477.431,388.706,625.257,458.846,484.326,661.76,379.433,501.096,607.808,127.585,427.157,633.429,132.435,482.796,755.765,82.7971,453.127,545.919,92.2404,181.439,512.058,839.528,207.609,448.822,473.054,314.302,450.298,466.348,220.735,438.076,370.963,223.769,292.865,152.341,300.277,314.139,151.627,272.303,214.797,115.716,247.802,410.648,79.3111
1008,0,455.504,628.17,921.428,398.205,464.554,1003.47,293.727,452.99,992.897,221.738,609.617,906.615,515.535,574.574,843.537,492.797,639.094,477.126,389.142,629.643,458.944,484.36,666.211,378.727,501.225,608.144,127.669,426.768,633.858,132.357,482.852,755.928,82.5051,453.162,545.97,92.3375,183.709,519.324,839.981,209.174,457.258,472.961,315.621,458.662,466.186,221.549,444.794,371.151,223.264,295.516,155.119,299.703,316.847,153.553,271.998,216.482,119.31,247.764,410.837,79.3778
1009,0,458.031,635.9,921.966,401.083,471.997,1003.73,296.628,460.181,993.197,224.194,616.907,907.353,517.68,582.607,843.484,493.299,644.734,476.748,389.93,634.019,458.881,484.782,670.186,377.98,501.416,608.664,127.76,426.406,634.374,132.265,482.984,756.072,82.2461,453.153,546.109,92.4125,186.092,526.748,840.406,210.208,466.148,473.165,317.237,467.306,466.061,222.327,452.054,371.241,221.886,297.673,159.343,299.026,319.697,155.629,271.632,218.093,124.286,247.667,411.075,79.4878
1010,0,460.652,643.572,922.332,403.906,479.443,1003.91,299.349,467.432,993.455,226.767,624.331,908.01,520.092,590.308,843.698,494.196,649.74,476.268,390.958,638.215,458.597,485.43,674.153,377.151,501.437,609.163,127.534,426.367,634.544,132.013,483.109,756.226,81.9734,453.212,546.365,92.4036,188.412,534.397,840.788,211.367,475.658,473.021,318.563,476.537,465.748,223.161,460.033,371.092,221.774,301.179,161.747,298.226,322.858,157.725,271.275,220.548,128.918,247.526,411.416,79.6509
1011,0,463.329,651.182,922.72,406.608,486.96,1004.06,302.092,474.707,993.674,229.446,631.919,908.592,522.13,598.108,843.858,495.34,654.251,475.72,392.024,642.088,458.493,486.263,677.635,376.157,501.536,609.657,127.372,426.833,634.776,132.174,483.171,756.375,81.6648,453.399,546.634,92.3232,190.579,542.212,841.189,212.365,486.057,472.721,319.888,486.147,465.494,223.854,468.426,370.955,221.865,305.113,164.193,297.396,326.508,159.868,271.007,223.282,134.068,247.452,411.991,79.8025
1012,0,466.031,658.966,922.974,409.296,494.623,1004.04,304.758,482.113,993.841,232.032,639.601,909.21,524.579,605.8,843.91,496.492,658.525,474.965,393.024,645.691,458.222,486.789,681.104,375.066,501.844,609.967,127.174,426.871,635.072,132.051,483.242,756.429,81.4076,453.688,546.898,92.1055,192.701,550.224,841.437,213.14,497.211,472.358,320.746,496.271,465.195,224.552,477.583,370.539,221.955,309.491,166.822,296.298,330.568,162.304,270.712,226.619,139.754,247.426,412.683,80.0564
1013,0,468.751,666.65,923.133,411.926,502.162,1004.02,307.461,489.528,993.882,234.763,647.276,909.81,527.174,613.264,843.889,497.726,662.482,474.104,393.931,649.07,458.132,487.381,684.203,374.023,502.041,610.215,127.043,426.859,635.162,131.837,483.264,756.468,81.0772,453.68,545.516,92.2773,194.943,558.44,841.584,213.987,509.202,471.745,321.517,507.295,464.489,225.042,487.38,370.176,222.196,314.377,169.689,294.291,335.141,164.674,270.646,230.568,146.123,247.414,413.472,80.2188
1014,0,471.384,674.341,923.12,414.546,509.761,1003.97,310.015,496.975,993.897,237.406,655.049,910.37,529.603,620.577,843.716,498.81,666.228,473.222,395.077,652.201,457.843,488.295,686.965,373.09,502.108,610.428,126.899,426.815,635.239,131.679,483.266,756.479,80.7411,453.647,545.86,92.2323,196.868,566.736,841.821,214.551,522.074,471.216,322.262,520.291,462.886,225.372,498.026,369.769,220.048,319.588,175.354,292.883,340.342,167.621,270.832,235.227,153.177,247.157,414.225,80.5016
1015,0,474.147,681.874,922.947,416.994,517.387,1003.76,312.503,504.411,993.923,240.087,662.768,910.857,531.668,627.707,843.153,500.232,669.605,472.39,396.463,655.195,457.409,489.207,689.495,372.144,502.089,610.597,126.639,426.799,635.324,131.315,483.24,756.494,80.4799,453.726,546.114,92.1069,198.696,575.104,841.976,214.868,535.757,470.718,323.293,533.518,461.944,225.365,509.201,369.548,219.936,325.738,179.639,292.444,346.08,171.57,271.208,240.624,161.268,247.007,415.675,80.9131
1016,0,476.734,689.288,922.635,419.485,524.881,1003.59,314.982,511.795,993.895,242.626,670.442,911.493,533.542,634.167,842.962,501.729,672.848,471.511,397.433,658.605,457.141,490.497,692.061,371.179,502.903,610.153,126.577,426.941,635.395,130.973,483.169,756.543,80.157,453.815,546.218,91.9641,200.555,583.585,842.169,214.848,550.404,470.36,323.369,548.342,460.377,225.03,520.995,369.573,219.599,332.379,184.734,294.271,353.084,176.524,271.129,246.626,170.4,246.892,417.933,82.1516
1017,0,479.239,696.655,922.102,421.878,532.242,1003.34,317.374,519.14,993.866,245.189,678.107,912.019,535.46,642.108,840.998,503.298,675.817,470.645,398.555,663.197,456.875,491.936,694.36,370.106,502.83,610.299,125.946,427.024,635.527,130.769,483.398,756.449,79.9403,453.995,546.222,91.8813,202.31,592.095,842.325,216.508,564.864,469.389,324.986,563.158,459.705,224.514,533.569,369.675,219.557,339.909,190.197,293.81,360.824,181.102,270.767,254.621,180.152,246.837,420.6,83.2212
1018,0,481.593,703.727,921.556,424.019,539.457,1003.03,319.491,526.351,993.797,247.689,685.657,912.515,537.447,648.375,840.407,504.92,678.845,469.758,400.034,666.75,456.304,493.456,696.651,369.038,503.052,610.389,125.678,427.203,635.602,130.599,483.594,756.383,79.7166,454.075,546.208,91.8601,203.867,600.588,842.541,217.034,580.579,468.757,324.11,581.505,456.529,224.226,547.267,369.838,219.545,348.414,196.143,293.204,369.564,185.852,271.767,263.584,190.452,246.701,423.845,84.7607
1019,0,484.102,710.527,921.057,426.007,546.448,1002.79,321.388,533.417,993.793,250.079,693.083,912.969,539.306,654.167,839.905,506.45,681.806,469.076,401.323,670.142,455.724,495.006,698.093,368.199,503.214,610.512,125.516,427.289,635.711,130.551,483.746,756.307,79.5136,454.142,546.233,91.8608,205.301,609.068,842.637,217.847,596.891,468.33,324.965,599.316,455.004,224.328,561.652,370.223,219.705,357.754,202.397,293.027,378.964,191.109,272.6,273.627,201.395,246.356,427.932,86.7597
