Trajectories
100
,,IMUMode2:LASI,,,IMUMode2:LPSI,,,IMUMode2:RPSI,,,IMUMode2:RASI,,,IMUMode2:RHIP,,,IMUMode2:RKNE,,,IMUMode2:RKNE2,,,IMUMode2:RTIB,,,IMUMode2:RANK,,,IMUMode2:RANK2,,,IMUMode2:RHEE,,,IMUMode2:RTOE,,,IMUMode2:LHIP,,,IMUMode2:LKNE,,,IMUMode2:LKNE2,,,IMUMode2:LTIB,,,IMUMode2:LANK,,,IMUMode2:LANK2,,,IMUMode2:LHEE,,,IMUMode2:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
856,0,277.615,450.672,914.273,334.433,279.63,985.479,439.824,279.958,994.592,510.061,443.254,925.543,565.121,395.635,842.567,542.198,541.341,508.327,436.189,553.773,489.089,538.363,532.681,406.495,525.968,373.778,201.022,465.04,419.695,189.309,460.745,319.096,187.408,548.226,484.243,94.6938,229.314,375.673,838.561,277.089,362.977,464.895,379.611,347.496,466.866,296.599,368.801,363.661,379.865,278.84,130.624,300.736,261.638,126.575,352.217,190.079,85.9175,322.858,394.714,79.3378
857,0,277.629,457.49,913.619,334.646,287.152,985.03,439.931,287.1,994.414,510.026,450.292,925.251,565.459,402.601,842.558,543.247,550.047,508.841,437.637,563.213,489.551,539.946,545.428,406.763,528.448,395.327,193.869,467.661,443.171,183.879,463.204,342.956,176.752,551.745,512.547,93.6044,229.542,382.042,838.15,276.728,364.616,464.787,379.951,350.089,466.263,296.372,370.18,363.695,381.055,278.231,131.298,300.746,261.894,126.965,352.299,190.189,86.2974,322.885,394.724,79.3254
858,0,277.727,464.289,912.928,335.003,294.156,984.712,440.142,294.252,994.16,510.191,457.357,924.802,565.654,409.635,842.46,544.228,558.284,508.962,438.903,572.169,489.753,541.631,557.791,406.774,531.215,419.312,186.479,470.473,467.115,178.507,465.487,367.567,166.263,555.493,540.718,92.8281,229.805,388.325,837.745,276.472,366.377,464.755,379.327,351.827,466.1,295.997,371.258,363.791,381.105,278.594,131.785,300.924,262.17,127.25,352.254,190.39,86.8331,322.827,394.753,79.324
859,0,277.672,470.998,912.223,335.224,301.221,984.408,440.463,301.608,993.85,510.214,464.548,924.201,565.881,416.622,842.118,545.646,565.88,508.891,440.504,580.561,489.841,543.624,569.608,406.619,533.612,443.14,179.281,473.195,491.086,173.643,468.206,392.242,156.093,559.257,568.85,92.4834,229.952,394.53,837.309,276.037,367.937,464.816,379.156,353.401,466.417,295.408,372.467,363.948,381.225,278.986,132.247,300.899,262.407,127.731,352.347,190.519,87.3937,322.808,394.781,79.2737
860,0,277.848,477.784,911.268,335.739,308.232,984.142,440.927,308.923,993.603,510.404,471.869,923.519,566.29,423.658,841.59,546.755,573.181,508.129,442.781,588.629,488.523,545.349,581.371,406.111,536.63,466.813,172.427,476.149,515.115,168.8,471.142,417.3,146.221,562.906,596.952,92.5352,230.099,400.621,836.913,275.681,369.763,464.741,378.852,354.93,466.407,294.847,373.514,364.273,381.137,279.292,132.566,300.846,262.813,128.169,352.348,190.708,87.9384,322.819,394.818,79.2615
861,0,277.792,484.501,910.475,336.132,315.42,983.856,441.294,316.321,993.283,510.576,479.251,922.608,566.529,430.603,841.099,548.014,579.895,506.903,444.253,595.968,487.798,546.92,592.709,405.378,539.497,490.736,165.965,478.996,539.244,164.535,474.265,442.772,136.826,566.186,625.01,93.1941,230.466,406.719,836.437,275.469,371.42,464.777,378.425,356.823,466.51,294.41,374.764,364.338,381.12,279.633,133.111,302.198,262.622,128.366,352.648,190.722,88.7024,322.775,394.863,79.2416
862,0,277.956,491.299,909.467,336.721,322.544,983.527,441.94,324.021,992.886,510.831,486.635,921.608,566.736,437.62,840.194,549.409,586.282,505.332,445.652,602.929,486.766,548.55,603.741,404.597,541.807,514.31,159.677,481.759,563.196,160.932,477.4,468.409,128.149,569.357,652.645,94.1802,230.751,412.786,835.99,275.077,373.219,464.743,378.185,358.581,466.486,294.04,376.064,364.368,381.011,280.02,133.568,302.247,262.876,128.798,352.599,190.893,89.3144,322.761,394.905,79.1956
863,0,277.991,498.055,908.444,337.394,329.955,983.21,442.523,331.619,992.55,510.458,494.475,920.013,567.085,444.847,839.436,550.363,592.352,503.138,446.88,609.36,485.47,550.005,614.446,403.745,546.432,539.806,154.995,484.398,587.264,157.962,480.596,494.09,120.329,572.057,680.106,95.7277,231.082,418.789,835.548,274.812,375.044,464.776,377.883,360.576,466.47,293.526,377.283,364.428,381.666,280.05,134.12,302.36,263.087,129.334,352.763,191.118,89.9462,322.804,394.741,79.0662
864,0,278.198,504.871,907.4,338.054,337.279,982.945,443.32,339.45,992.089,510.505,502.312,918.681,566.921,452.11,838.268,551.754,597.913,500.979,447.927,615.366,483.862,551.459,624.633,402.796,548.665,563.788,150.267,486.841,610.766,155.131,483.845,519.792,113.45,574.292,707.53,98.1911,231.346,424.774,835.01,274.608,376.89,464.828,377.857,362.667,466.439,293.152,378.801,364.367,381.019,281.109,134.545,302.46,263.341,129.957,352.896,191.314,90.6282,322.661,394.875,79.166
