Trajectories
100
,,XZY:LASI,,,XZY:LPSI,,,XZY:RPSI,,,XZY:RASI,,,XZY:RHIP,,,XZY:RKNE,,,XZY:RKNE2,,,XZY:RTIB,,,XZY:RANK,,,XZY:RANK2,,,XZY:RHEEL,,,XZY:RTOE,,,XZY:LHIP,,,XZY:LKNE,,,XZY:LKNE2,,,XZY:LTIB,,,XZY:LANK,,,XZY:LANK2,,,XZY:LHEEL,,,XZY:LTOE,,,Wand:TFXN,,,Wand:TFORI,,,Wand:TFXP,,,Wand:TFYMid,,,Wand:TFYP,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.2059,6.07276,53.1733,5.75012,5.71396,52.8689,166.216,5.99315,52.7112,6.39875,126.677,52.638,6.02073,246.838,52.7912
2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.1967,6.07311,53.1625,5.7515,5.71193,52.8712,166.224,5.99293,52.7034,6.39701,126.666,52.6234,6.0434,246.865,52.7601
3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.1958,6.07768,53.1694,5.74826,5.70851,52.8505,166.216,5.99153,52.7218,6.38259,126.672,52.6477,6.02488,246.843,52.7784
4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.215,6.08116,53.163,5.74512,5.71212,52.8788,166.234,5.98699,52.7371,6.38259,126.672,52.6477,6.03926,246.86,52.7729
5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.1335,6.09317,53.1398,5.78241,5.73555,52.8579,166.266,6.00755,52.7108,6.41509,126.676,52.6181,6.05252,246.858,52.7633
6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.0579,6.10543,53.1073,5.8283,5.77335,52.8588,166.302,6.02974,52.7255,6.45869,126.684,52.6088,6.08397,246.867,52.7711
7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.0246,6.12689,53.0856,5.86233,5.76471,52.8541,166.336,6.04589,52.6798,6.46161,126.676,52.6202,6.09846,246.856,52.7614
8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.9655,6.13404,53.0679,5.90697,5.8002,52.8293,166.364,6.04548,52.7006,6.50357,126.697,52.6181,6.11865,246.854,52.772
9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.9276,6.14851,53.042,5.93072,5.80813,52.8485,166.389,6.0651,52.7061,6.54421,126.693,52.5911,6.12797,246.875,52.7699
