Trajectories
100
,,XZY:LASI,,,XZY:LPSI,,,XZY:RPSI,,,XZY:RASI,,,XZY:RHIP,,,XZY:RKNE,,,XZY:RKNE2,,,XZY:RTIB,,,XZY:RANK,,,XZY:RANK2,,,XZY:RHEEL,,,XZY:RTOE,,,XZY:LHIP,,,XZY:LKNE,,,XZY:LKNE2,,,XZY:LTIB,,,XZY:LANK,,,XZY:LANK2,,,XZY:LHEEL,,,XZY:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
835,0,226.162,416.891,988.721,288.461,256.667,1061.55,396.996,253.687,1060.96,482.627,403.888,1007.28,521.485,361.111,925.998,504.693,548.923,572.947,393.78,548.999,558.596,495.181,562.018,467.465,533.033,394.158,216.163,422.447,418.662,212.796,476.426,323.6,191.552,485.294,546.457,140.359,183.1,345.391,907.474,215.238,328.38,516.935,323.802,321.709,500.696,227.513,349.895,410.268,197.128,252.197,128.874,307.155,279.195,131.782,254.23,187.257,94.2137,244.327,415.4,91.621
836,0,226.211,427.951,987.434,288.897,267.768,1060.82,397.582,265.495,1060.22,482.705,415.941,1006.35,521.931,373.272,925.575,505.705,562.838,572.966,395.289,562.787,558.107,497.071,580.719,468.388,535.641,425.599,208.476,427.132,450.414,204.693,479.55,358.559,178.966,489.838,582.377,140.602,183.545,355.755,906.489,215.465,333.247,516.289,324.178,326.658,500.02,227.707,353.561,409.357,197.236,252.344,128.964,307.533,279.31,131.457,254.308,187.263,94.4871,244.267,415.468,91.4454
837,0,226.298,439.12,986.057,289.49,279.156,1059.85,398.14,277.333,1059.27,482.91,428.099,1005.16,522.453,385.504,924.745,507.243,576.045,572.548,396.67,576.043,557.047,498.971,598.429,468.611,538.551,457.535,200.846,429.828,486.192,199.054,482.319,391.786,168.007,494.152,617.892,141.216,184.021,366.273,905.387,215.551,338.29,515.809,324.552,332.002,499.346,227.91,357.327,408.447,197.362,252.51,129.091,307.922,279.395,131.482,254.391,187.374,94.6276,244.262,415.762,91.2067
838,0,226.646,450.576,984.488,290.101,290.828,1058.66,398.818,289.378,1058.16,483.208,440.288,1003.87,523.074,397.413,923.536,508.743,588.524,571.219,398.298,589.024,555.394,500.786,615.747,468.515,541.642,489.387,193.601,432.986,518.388,193.4,485.318,425.755,156.926,498.211,653.135,142.158,184.607,377.063,904.023,216.831,343.552,514.592,324.841,337.583,498.506,228.076,361.399,407.337,197.552,252.749,129.189,308.122,279.64,131.404,254.517,187.524,94.8468,244.22,415.854,91.0255
839,0,226.894,462.073,982.892,290.802,302.668,1057.26,399.56,301.512,1056.74,483.643,452.612,1002.3,523.779,409.352,922.066,510.327,600.426,569.251,398.054,602.755,553.769,502.764,632.357,467.952,544.315,521.926,186.326,436.344,550.605,187.838,488.076,460.523,146.343,502.187,688.261,144.112,185.165,388.05,902.546,217.298,349.375,513.706,325.358,343.427,497.645,228.414,365.749,406.198,197.743,253.04,129.321,308.298,279.796,131.408,254.618,187.667,95.1161,244.22,416.039,90.7632
840,0,226.781,473.556,981.556,291.54,314.672,1055.66,400.26,313.69,1055.16,484.161,464.938,1000.52,524.319,421.341,920.115,512.11,611.684,566.599,399.958,614.542,550.892,504.754,648.333,467.056,548.612,554.924,179.918,439.551,584.08,180.718,491.187,495.193,136.091,505.405,722.635,146.366,185.885,399.307,900.969,217.784,355.687,512.734,325.7,349.635,496.627,228.813,370.433,405.036,197.955,253.424,129.487,308.509,279.943,131.378,254.719,187.857,95.4232,244.151,416.201,90.5619
841,0,226.947,485.484,980.046,292.398,326.797,1053.92,401.033,325.992,1053.3,484.818,477.35,998.482,524.757,433.512,917.933,514.189,622.347,563.533,401.751,625.934,547.706,506.679,663.921,465.679,550.822,586.791,173.573,443.189,615.587,176.285,494.591,530.057,126.644,508.224,756.589,149.517,186.517,410.745,899.348,218.412,362.342,511.709,326.169,356.078,495.64,229.018,375.494,403.795,198.111,253.741,129.765,308.8,280.233,131.427,254.854,188.073,95.7572,244.106,416.379,90.3916
842,0,227.773,497.629,978.274,293.149,339.079,1052.06,401.883,338.471,1051.36,485.517,490.029,996.39,525.443,445.683,915.637,516.188,632.461,559.491,403.708,636.682,543.832,508.659,678.709,464.051,553.765,619.131,167.958,446.009,647.044,172.571,499.295,565.095,118.327,510.262,789.796,153.801,186.936,422.379,897.753,219.016,369.331,510.638,326.819,362.792,494.671,229.618,380.471,402.752,198.45,254.112,130.099,309.202,280.71,131.515,255.162,188.374,96.3082,244.034,416.591,90.1522
843,0,228.428,510.108,976.451,293.958,351.508,1050.09,402.648,351.153,1049.13,486.418,502.831,994.179,526.018,457.827,912.99,518.101,641.903,555.026,405.922,646.755,539.316,510.317,693.816,462.102,556.644,651.246,163.254,448.378,677.915,169.507,501.351,599.551,109.771,511.636,822.01,159.064,187.656,434.311,895.89,219.58,376.645,509.556,327.57,369.978,493.703,230.155,385.919,401.435,199.066,254.698,130.62,311.774,279.174,131.617,255.474,188.659,96.9711,244.001,416.968,89.8358
