Trajectories
100
,,XZY:LASI,,,XZY:LPSI,,,XZY:RPSI,,,XZY:RASI,,,XZY:RHIP,,,XZY:RKNE,,,XZY:RKNE2,,,XZY:RTIB,,,XZY:RANK,,,XZY:RANK2,,,XZY:RHEEL,,,XZY:RTOE,,,XZY:LHIP,,,XZY:LKNE,,,XZY:LKNE2,,,XZY:LTIB,,,XZY:LANK,,,XZY:LANK2,,,XZY:LHEEL,,,XZY:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
871,0,246.281,363.186,988.127,304.559,195.321,1049.66,412.774,189.549,1051.94,504.483,340.855,1010.23,543.97,297.565,922.226,548.903,436.578,542.645,438.229,439.846,522.844,543.096,481.132,445.159,596.374,418.445,150.337,485.284,439.915,156.788,543.455,359.696,102.764,540.041,585.999,134.503,205.415,294.347,901.618,251.681,270.347,513.691,361.49,267.438,502.821,267.064,285.898,406.359,255.977,179.906,127.69,363.614,213.259,132.072,317.189,118.24,93.928,296.979,345.899,90.5397
872,0,246.502,367.332,987.448,305.02,199.492,1049.16,413.292,194.058,1051.23,504.82,345.296,1009.35,544.344,301.977,921.368,549.063,440.489,541.947,438.576,444.266,522.208,543.556,487.319,445.645,595.952,433.676,148.913,485.081,455.259,156.347,543.157,376.202,101.067,540.276,601.797,137.163,205.719,298.188,901.182,251.627,272.418,513.474,361.619,269.441,502.421,267.217,287.409,405.927,256.008,179.907,127.719,364.617,212.654,132.33,317.227,118.255,93.9507,296.953,345.915,90.5182
873,0,246.718,371.524,986.781,305.611,203.798,1048.61,413.939,198.608,1050.66,505.289,349.909,1008.42,544.738,306.407,920.547,549.303,444.396,541.179,438.748,448.3,521.402,543.755,493.596,446.198,595.499,448.783,147.85,484.766,470.667,155.939,542.569,392.484,99.1379,540.558,617.379,139.581,206.059,302.132,900.669,251.985,274.457,513.088,361.74,271.389,502.216,267.453,288.871,405.478,256.044,179.944,127.759,364.681,212.672,132.299,317.236,118.269,93.9783,296.932,345.926,90.481
874,0,246.968,375.814,986.133,306.186,208.246,1048.14,414.611,203.266,1050.1,505.793,354.619,1007.5,545.181,310.956,919.752,549.532,447.611,540.324,439.092,452.237,520.44,543.932,499.895,446.703,595.118,463.831,146.899,484.294,485.823,155.505,542.093,408.541,97.4917,540.602,632.821,142.182,206.318,306.081,900.287,252.095,276.677,512.801,361.896,274.444,500.761,267.724,290.353,405.12,256.058,180.015,127.799,364.798,212.65,132.278,317.25,118.299,94.0121,296.915,345.956,90.4419
875,0,247.312,380.252,985.48,306.794,212.703,1047.64,415.191,208.096,1049.44,506.348,359.409,1006.58,545.393,315.677,918.86,549.849,451.971,539.229,439.274,455.78,519.451,544.186,506.019,447.173,594.673,478.741,146.457,484.598,500.624,155.404,541.456,424.514,96.0276,540.473,647.921,144.916,206.724,310.196,899.75,252.33,279.014,512.414,361.948,276.602,500.155,267.91,292.311,404.681,256.075,180.045,127.823,364.873,212.648,132.247,317.288,118.315,94.0346,296.908,345.954,90.4412
876,0,247.75,384.684,984.735,307.538,217.329,1047.1,415.845,212.971,1048.87,506.782,364.348,1005.63,545.849,320.473,918.05,550.208,455.926,538.033,439.636,459.225,518.256,544.622,512.236,447.498,594.32,493.35,146.302,484.101,515.265,155.607,539.04,441.205,92.5698,540.115,662.706,147.728,207.05,314.228,899.33,252.62,281.4,512.017,362.5,278.759,499.887,268.413,294.106,404.079,256.125,180.053,127.863,364.993,212.604,132.176,317.288,118.335,94.0635,296.877,345.965,90.4257
877,0,248.078,389.106,984.016,308.178,221.919,1046.64,416.647,218,1048.27,507.263,369.442,1004.65,546.47,325.344,917.314,550.686,459.817,536.918,440.052,462.774,517.201,544.305,517.974,447.543,593.998,507.52,146.153,483.572,529.261,155.924,538.406,456.56,91.2124,539.624,676.85,151.142,207.476,318.35,898.814,253.242,283.808,511.474,362.86,281.107,499.477,268.702,295.982,403.471,256.138,180.053,127.905,365.027,212.61,132.147,317.318,118.318,94.0523,296.877,345.923,90.4569
878,0,248.555,393.629,983.237,308.958,226.617,1046.04,417.472,223.035,1047.55,507.803,374.639,1003.63,546.98,330.449,916.394,551.086,464.048,535.653,440.692,466.272,515.7,544.323,523.588,447.45,593.779,521.292,145.934,483.179,542.711,156.411,537.83,471.517,89.7967,539.124,690.396,154.753,207.859,322.401,898.276,253.19,286.591,511.067,362.954,282.594,499.755,269.021,298.05,402.795,256.18,180.056,127.887,365.091,212.567,132.051,317.327,118.3,94.013,296.858,345.875,90.453
879,0,248.806,398.084,982.527,309.948,231.378,1045.4,418.414,228.24,1046.78,508.35,379.934,1002.63,547.391,335.795,915.333,551.328,468.64,534.285,441.378,469.93,514.403,544.647,529.563,447.556,593.388,534.504,145.755,482.612,555.696,157.16,537.302,486.138,88.6438,538.369,703.532,158.598,208.417,326.519,897.585,253.876,289.308,510.302,363.638,286.376,498.124,269.511,300.273,401.949,256.241,180.065,127.93,365.171,212.565,132.001,317.375,118.3,93.9981,296.845,345.826,90.4862
