Trajectories
100
,,XZY:LASI,,,XZY:LPSI,,,XZY:RPSI,,,XZY:RASI,,,XZY:RHIP,,,XZY:RKNE,,,XZY:RKNE2,,,XZY:RTIB,,,XZY:RANK,,,XZY:RANK2,,,XZY:RHEEL,,,XZY:RTOE,,,XZY:LHIP,,,XZY:LKNE,,,XZY:LKNE2,,,XZY:LTIB,,,XZY:LANK,,,XZY:LANK2,,,XZY:LHEEL,,,XZY:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
885,0,235.433,382.603,993.535,299.151,218.229,1055.2,407.541,214.506,1053.91,492.908,367.38,1006.61,529.705,325.829,919.078,505.018,492.799,555.503,393.908,496.691,543.474,493.605,500.546,450.087,519.082,319.639,206.254,411.061,350.878,205.684,458.284,250.528,187.255,475.512,470.536,124.581,191.271,319.587,907.563,237.396,324.485,517.271,344.792,312.228,505.235,253.786,349.154,412.205,231.942,265.616,128.243,342.527,291.417,130.847,288.387,201.147,91.5612,281.697,429.971,92.6313
886,0,235.273,389.589,993.018,299.284,225.408,1055.06,407.697,221.873,1053.79,492.709,374.935,1006.26,529.688,333.256,919.005,505.862,502.701,556.265,394.455,506.565,544.064,494.29,513.674,451.038,520.014,343.845,199.402,412.208,374.952,200.6,459.165,276.149,177.201,477.102,498.199,124.272,191.236,326.058,907.222,236.953,326.374,517.137,344.35,314.208,505.091,253.463,350.486,411.839,231.967,265.633,128.246,342.387,291.838,130.685,288.698,199.783,93.3925,281.491,429.832,92.8121
887,0,234.943,396.57,992.552,299.279,232.602,1054.88,407.719,229.28,1053.55,492.568,382.487,1005.76,529.803,340.618,918.704,505.893,511.393,556.231,393.074,517.09,545.125,494.627,526.541,451.44,521.158,368.12,192.908,413.754,399.183,194.791,460.071,301.138,167.786,478.359,525.476,124.205,191.123,332.618,906.901,236.669,328.515,516.908,344.149,316.217,505.02,253.044,351.835,411.503,231.968,265.634,128.265,343.553,290.137,131.442,288.198,200.629,92.4557,281.471,429.79,92.7547
888,0,234.841,403.664,991.975,299.409,239.957,1054.63,407.887,236.835,1053.25,492.553,390.138,1005.23,529.812,348.07,918.259,506.317,520.073,556.144,393.522,526.346,545.242,495.809,539.743,452.337,522.299,392.606,186.57,415.632,424.062,187.765,462.9,327.841,157.966,479.996,553.075,124.737,191.029,339.2,906.602,236.35,330.711,516.674,343.81,318.156,504.903,252.858,353.4,411.088,231.961,265.646,128.268,342.25,291.248,131.369,288.175,200.818,92.2531,281.401,429.795,92.686
889,0,234.86,410.972,991.359,299.497,247.366,1054.32,408.035,244.481,1052.84,492.538,397.756,1004.55,529.741,355.612,917.627,506.834,528.591,555.382,394.403,534.94,544.832,496.458,552.142,452.596,523.742,417.341,180.601,416.473,448.212,184.191,464.38,353.684,149.162,481.074,579.825,125.243,190.97,345.986,906.215,236.07,333.19,516.415,343.57,320.4,504.814,252.519,355.178,410.71,231.923,265.671,128.281,342.768,291.305,131.162,288.213,200.498,92.8222,281.347,429.771,92.6338
890,0,234.752,418.25,990.767,299.734,254.926,1053.93,408.149,252.196,1052.33,492.603,405.525,1003.83,529.877,363.17,917.078,507.565,536.733,554.536,394.944,543.371,544.277,496.962,564.354,452.77,525.467,441.707,174.951,417.794,472.175,180.233,466.114,379.526,140.857,482.075,606.603,126.147,191.062,352.87,905.747,235.641,335.758,516.22,343.142,322.84,504.533,252.355,356.96,410.259,231.906,265.723,128.291,342.646,291.55,131.172,288.189,200.556,92.8825,281.202,429.723,92.5403
891,0,234.882,425.694,990.068,299.83,262.499,1053.47,408.366,259.997,1051.67,492.755,413.415,1003.01,529.948,370.92,916.133,508.324,544.5,553.404,395.792,551.331,543.21,497.685,576.312,452.648,526.419,467.251,169.386,419.303,496.028,176.302,467.759,405.725,132.876,483.069,633.501,128.205,191.099,359.863,905.237,235.359,338.614,515.877,343.221,325.643,504.412,252.056,359.038,409.89,231.882,265.8,128.329,342.616,291.633,131.212,288.175,200.601,92.9855,281.143,429.965,92.3996
892,0,234.91,433.255,989.353,300.225,270.222,1052.91,408.657,267.96,1050.98,492.848,421.5,1002.01,530.073,378.629,915.318,509.364,551.851,551.896,396.736,558.937,541.68,498.54,587.815,452.453,527.751,491.577,164.335,420.925,521.15,170.674,469.639,431.728,125.46,483.721,659.722,130.243,191.149,366.815,904.656,235.103,341.599,515.603,342.978,328.767,504.094,251.715,361.259,409.383,231.875,265.9,128.365,342.558,291.725,131.194,288.208,200.658,93.0844,281.07,430.05,92.2431
893,0,234.913,440.8,988.643,300.469,278.021,1052.25,408.883,276.036,1050.17,493.045,429.636,1000.96,530.325,386.559,914.221,510.331,559.081,550.014,397.684,566.234,539.814,499.332,598.841,452.022,530.189,516.959,160.216,422.368,544.533,167.823,471.62,457.642,118.616,484.231,685.143,132.644,191.175,373.922,904.045,234.803,344.794,515.323,343.067,332.146,503.854,251.687,363.567,408.772,231.862,266.016,128.413,342.576,291.833,131.163,288.218,200.752,93.209,280.969,430.128,92.0831
894,0,234.993,448.502,987.907,300.807,286,1051.49,409.205,284.296,1049.23,493.292,437.95,999.804,530.456,394.598,913.035,511.159,565.868,547.835,399.075,572.995,537.323,500.187,609.528,451.485,531.227,540.957,156.2,423.964,567.776,165.109,473.656,483.375,112.243,484.606,710.268,135.475,191.278,381.013,903.409,234.886,348.248,514.815,343.027,335.796,503.404,251.662,366.12,408.153,231.869,266.156,128.454,342.666,291.954,131.243,288.241,200.859,93.3486,280.839,430.194,91.8919
895,0,234.628,455.679,986.796,301.235,293.956,1050.72,409.744,292.698,1048.26,493.546,446.313,998.569,530.454,402.92,911.777,512.514,571.912,545.91,400.151,579.498,534.695,501.124,620,450.779,533.108,565.005,152.622,425.432,590.592,163.149,477.798,508.871,107.661,485.04,734.692,138.975,191.531,388.402,902.59,235.087,352.046,514.191,343.198,339.668,502.967,251.684,368.965,407.492,231.871,266.284,128.52,342.684,292.109,131.233,288.291,200.957,93.4778,280.735,430.259,91.7083
896,0,234.909,463.631,985.818,301.542,301.751,1049.96,410.238,301.303,1047.17,493.828,455.127,997.135,530.773,411.253,910.531,513.852,578.311,542.973,401.37,585.357,531.615,501.972,630.178,450.144,535.128,588.676,149.868,426.92,612.853,161.825,477.955,534.019,101.601,485.433,758.313,143.193,191.791,395.719,901.736,235.188,356.106,513.579,343.446,343.762,502.383,251.63,372.208,406.712,231.908,266.444,128.599,343.53,291.688,131.327,288.464,201.259,93.2049,280.619,430.334,91.509
897,0,235.283,471.802,984.63,302.002,309.921,1049.08,410.78,310.074,1046.09,494.24,464.003,995.757,530.886,419.733,909.035,514.82,584.827,539.898,403.452,590.227,528.056,503.128,639.54,449.477,536.82,611.774,147.464,428.69,634.567,160.61,479.788,558.443,96.9463,485.782,781.175,147.973,192.025,403.308,900.781,235.388,360.417,512.966,343.689,348.322,501.741,251.873,375.524,405.894,231.945,266.63,128.657,342.756,292.422,131.143,288.329,201.138,93.7543,280.552,430.426,91.3206
898,0,235.694,480.212,983.518,302.749,318.308,1048.05,411.558,319.051,1044.95,494.643,473.216,994.206,531.16,428.675,907.531,515.874,590.77,536.67,404.675,595.255,524.486,504.145,648.653,448.631,538.657,634.358,145.759,430.302,655.338,159.84,482.358,583.108,92.917,485.991,803.053,153.175,192.532,410.983,899.711,235.725,365.065,512.261,344.117,353.106,501.108,252.188,379.217,404.896,231.993,266.851,128.734,343.122,292.262,131.21,288.362,201.251,93.9822,280.445,430.568,91.1093
899,0,236.236,488.867,982.237,303.576,326.888,1046.95,412.398,328.272,1043.65,495.094,482.52,992.745,531.633,437.741,905.906,517.036,596.472,533.847,405.896,600.163,520.414,505.013,657.492,448.014,540.364,656.013,144.964,431.618,675.457,159.599,485.169,606.052,90.1363,486.097,823.807,158.7,192.903,418.777,898.605,236.1,370.056,511.374,344.751,358.3,500.325,252.283,383.044,404.074,232.041,267.036,128.815,342.765,292.923,131.215,288.337,201.349,94.265,280.34,430.739,90.9459
900,0,236.926,497.55,980.836,304.748,335.752,1045.69,413.477,337.669,1042.36,495.579,492.052,991.04,532.022,447.168,904.063,518.309,602.155,530.967,406.859,604.678,517.002,505.923,665.759,447.323,541.629,676.84,144.51,432.603,694.818,159.663,487.205,628.413,87.6407,486.076,843.487,164.244,193.46,426.708,897.374,236.581,375.257,510.528,345.258,363.894,499.475,252.595,387.184,402.998,232.061,267.298,128.906,342.848,293.098,131.263,288.35,201.539,94.5411,280.214,430.897,90.8015
901,0,237.455,506.272,979.494,305.909,344.749,1044.34,414.658,347.169,1040.9,495.985,501.925,989.424,532.518,456.884,902.381,519.594,607.974,528.149,408.285,609.003,513.573,506.881,674.029,446.695,542.698,696.272,144.362,433.282,713.145,159.825,488.644,649.468,85.7249,485.891,861.9,169.423,193.978,434.871,896.167,236.999,380.857,509.561,345.586,369.807,498.318,252.975,391.729,401.841,232.061,267.587,129.037,344.011,292.137,131.396,288.349,201.675,94.8164,279.803,431.252,90.5846
902,0,238.366,515.234,977.93,307.331,353.975,1042.88,415.997,356.837,1039.44,496.575,511.78,987.719,533.178,466.694,900.516,521.244,614.235,525.5,409.748,613.399,510.234,508.106,682.126,446.108,543.026,714.281,144.163,433.29,730.284,160.175,489.348,668.997,84.1075,485.747,878.809,174.033,194.757,442.985,894.81,237.49,386.76,508.548,346.207,375.944,497.31,253.751,396.275,400.479,232.079,267.864,129.179,343.959,292.571,131.57,288.358,201.784,95.0523,280.195,431.149,90.2696
903,0,238.895,524.109,976.512,308.816,363.212,1041.42,417.466,366.533,1037.89,497.17,521.757,986.09,533.854,476.86,898.838,523.062,620.717,522.937,412.445,617.898,506.519,509.567,690.144,445.089,542.993,730.472,143.48,433.576,745.914,160.49,489.104,686.589,82.512,485.677,894.067,177.957,195.47,451.373,893.414,238.187,393.12,507.425,347.264,382.206,496.251,254.884,400.916,398.919,232.106,268.098,129.352,343.955,292.988,131.759,288.408,201.977,95.372,280.151,431.257,90.0795
904,0,239.581,532.991,975.057,310.384,372.538,1039.83,419.025,376.335,1036.34,497.815,531.751,984.262,534.749,486.912,897.252,525.072,627.881,520.438,414.343,623.475,503.421,511.374,698.174,443.722,542.824,744.606,142.11,433.712,759.587,160.831,488.195,702.02,80.8934,486.017,907.43,180.689,196.378,459.75,891.956,239.144,399.79,506.024,348.039,389.111,494.863,255.668,405.88,397.401,232.171,268.434,129.592,344.023,293.403,131.965,288.433,202.182,95.8336,280.101,431.409,89.882
905,0,239.659,541.4,973.799,312.03,381.934,1038.21,420.658,386.092,1034.77,498.623,541.861,982.589,535.721,497.166,895.674,526.735,635.66,518.166,415.918,630.07,500.712,513.415,706.293,442.043,543.021,756.399,139.991,434.33,771.036,160.808,487.21,714.735,79.1135,486.694,918.671,181.869,197.508,468.358,890.369,240.042,407,504.708,349.322,396.295,493.525,256.684,411.15,395.904,232.461,268.87,129.921,344.177,293.76,132.138,288.568,202.41,96.4384,280.061,431.611,89.6594
906,0,240.743,550.509,972.104,313.69,391.346,1036.62,422.317,395.809,1033.24,499.688,551.81,980.881,536.62,507.457,894.138,527.948,644.313,516.132,416.877,638.141,498.517,514.851,714.917,440.141,543.364,765.612,137.023,435.047,780.296,159.767,486.774,724.558,76.9766,487.638,927.885,180.912,198.915,477.153,888.715,241.686,414.306,503.156,350.483,403.997,491.871,257.648,416.964,394.251,232.832,269.405,130.565,344.46,294.362,132.389,288.877,202.814,97.2073,280.059,431.936,89.4528
907,0,241.995,559.62,970.409,315.355,400.867,1034.94,424.056,405.571,1031.7,501.04,561.651,979.127,538.189,517.6,892.849,528.117,654.177,514.47,417.253,647.621,497.374,515.592,723.904,438.06,543.756,772.642,134.431,435.722,787.367,157.147,486.917,731.348,74.6505,488.326,934.992,177.772,200.424,486.087,886.915,242.822,422.504,501.579,352.313,411.848,490.376,259.086,422.972,392.461,233.349,270.13,131.412,344.931,295.05,132.632,289.206,203.278,98.4265,280.125,432.374,89.1358
908,0,243.423,568.957,968.722,317.206,410.55,1033.29,425.802,415.421,1030.08,502.806,571.643,977.565,539.553,528.075,891.583,528.032,664.567,513.201,417.382,658.105,496.613,515.436,733.166,435.545,544.191,777.206,132.321,435.459,792.909,153.671,487.361,735.227,72.6385,488.896,940.318,172.64,201.999,495.198,885.229,244.754,430.42,500.031,354.198,420.286,488.782,260.561,429.265,390.86,233.881,271.072,132.603,345.472,295.938,133.167,289.691,203.91,100.047,280.292,432.79,88.6086
909,0,245.251,578.602,966.904,319.099,420.362,1031.68,427.786,425.475,1028.6,504.554,581.973,975.811,541.066,538.77,890.43,527.212,675.442,511.946,415.089,670.3,496.94,514.784,742.433,432.782,543.945,780.012,131.664,434.935,797.572,151.612,486.706,736.517,73.4514,490.155,944.974,165.88,203.67,504.525,883.543,246.353,439.184,498.583,356.023,429.253,487.18,262.253,435.842,389.034,234.471,272.273,134.116,346.066,296.955,133.872,290.228,204.7,102.23,280.021,432.768,88.5782
910,0,246.886,588.172,965.419,321.226,430.265,1030.24,429.832,435.706,1027.17,506.415,592.271,974.495,542.825,549.639,889.55,526.526,685.95,510.6,415.186,680.762,495.975,513.577,751.468,429.665,542.649,783.211,131.263,432.626,803.621,148.19,485.253,738.832,73.8288,490.73,949.845,158.831,205.742,513.965,881.891,249.466,447.695,496.667,357.972,438.652,485.611,263.808,443.197,387.562,235.049,273.607,136.054,346.627,298.401,134.904,290.782,205.705,105.046,280.19,433.408,88.0108
911,0,248.726,597.997,964.069,323.579,440.128,1028.91,432.186,446.083,1025.93,508.062,602.987,973.365,544.482,560.618,888.947,525.822,695.86,509.14,414.8,690.619,495.208,512.077,760.534,427.307,540.436,787.009,131.285,429.417,810.117,144.277,483.339,741.401,74.631,490.266,955.325,151.563,207.706,523.473,880.449,251.309,457.38,495.328,360.014,448.767,484.157,265.151,450.711,386.125,235.519,275.346,138.351,346.84,300.163,136.506,291.366,206.941,108.542,280.162,433.784,87.4259
912,0,250.671,607.794,962.928,325.814,450.087,1027.91,434.693,456.53,1025.17,510.135,613.56,972.591,546.702,571.764,888.68,525.531,705.1,508.061,414.033,699.413,494.499,510.434,769.543,425.911,538.817,791.707,131.345,427.022,815.655,141.136,482.351,743.736,75.8313,488.738,960.765,143.643,209.893,533.031,879.274,253.1,467.699,494.102,362.016,459.539,482.92,266.37,458.615,384.925,235.861,277.365,141.122,347.169,302.311,138.644,292.432,208.131,113.227,280.013,434.239,86.7795
