Trajectories
100
,,XZY:LASI,,,XZY:LPSI,,,XZY:RPSI,,,XZY:RASI,,,XZY:RHIP,,,XZY:RKNE,,,XZY:RKNE2,,,XZY:RTIB,,,XZY:RANK,,,XZY:RANK2,,,XZY:RHEEL,,,XZY:RTOE,,,XZY:LHIP,,,XZY:LKNE,,,XZY:LKNE2,,,XZY:LTIB,,,XZY:LANK,,,XZY:LANK2,,,XZY:LHEEL,,,XZY:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,238.271,296.671,996.564,297.93,129.426,1054.74,405.935,123.961,1055.81,497.172,270.974,1008.31,529.753,214.796,920.807,522.224,193.593,514.264,412.338,201.053,499.59,515.365,219.794,411.651,537.568,111.146,129.746,433.909,151.155,133.972,474.023,57.7187,89.8863,516.037,282.316,92.8829,194.223,230.067,910.509,228.005,214.676,520.375,335.564,207.829,505.705,238.916,236.285,414.673,217.543,151.582,128.205,324.781,188.256,132.633,281.879,90.9661,95.2476,252.052,319.645,90.7877
2,0,238.271,296.723,996.54,297.894,129.456,1054.75,405.898,123.99,1055.83,497.183,271.004,1008.29,529.712,214.822,920.778,522.224,193.593,514.264,412.349,201.066,499.569,515.378,219.787,411.669,537.532,111.159,129.735,433.909,151.155,133.972,474.023,57.7187,89.8863,516.03,282.317,92.89,194.14,230.081,910.532,227.978,214.657,520.353,335.564,207.829,505.705,238.897,236.293,414.679,217.554,151.603,128.18,324.76,188.276,132.628,281.871,90.959,95.2637,252.053,319.654,90.7865
3,0,238.241,296.757,996.545,297.871,129.485,1054.76,405.895,124.031,1055.82,497.201,271.016,1008.29,529.674,214.86,920.783,522.228,193.575,514.267,412.349,201.066,499.569,515.378,219.787,411.669,537.67,111.097,129.805,433.873,151.154,134.001,474.023,57.7187,89.8863,516.035,282.311,92.8788,194.179,230.118,910.503,227.965,214.634,520.371,335.502,207.868,505.736,238.89,236.254,414.682,217.543,151.582,128.205,324.781,188.256,132.633,281.879,90.9661,95.2476,252.07,319.656,90.7842
4,0,238.258,296.8,996.516,297.88,129.511,1054.77,405.866,124.058,1055.81,497.182,271.065,1008.3,529.691,214.879,920.77,522.202,193.56,514.259,412.349,201.066,499.569,515.352,219.766,411.649,537.692,111.087,129.78,433.936,151.181,133.967,474.034,57.7179,89.8969,516.053,282.298,92.8851,194.156,230.15,910.507,227.958,214.631,520.363,335.566,207.874,505.743,238.864,236.258,414.68,217.563,151.575,128.196,324.781,188.256,132.633,281.868,90.9718,95.2647,252.051,319.651,90.7942
5,0,238.201,296.823,996.527,297.877,129.559,1054.79,405.891,124.103,1055.85,497.178,271.067,1008.29,529.663,214.906,920.778,522.229,193.573,514.269,412.356,201.058,499.573,515.352,219.762,411.65,537.921,110.996,129.901,433.906,151.169,133.947,474.025,57.7157,89.8849,516.041,282.305,92.8848,194.197,230.171,910.506,227.971,214.618,520.378,335.534,207.936,505.706,238.884,236.245,414.654,217.557,151.584,128.194,324.775,188.268,132.65,281.835,90.997,95.2612,252.062,319.654,90.761
6,0,238.238,296.845,996.518,297.906,129.575,1054.78,405.863,124.116,1055.84,497.193,271.092,1008.3,529.663,214.923,920.777,522.199,193.556,514.272,412.361,201.058,499.557,515.31,219.765,411.641,538.097,110.934,129.943,433.882,151.188,133.948,474.016,57.7124,89.894,516.042,282.295,92.8858,194.154,230.188,910.525,227.987,214.628,520.376,335.483,208.064,505.639,238.864,236.264,414.675,217.546,151.598,128.217,324.774,188.267,132.65,281.852,90.9919,95.2573,252.065,319.65,90.7596
7,0,238.237,296.882,996.512,297.887,129.621,1054.81,405.86,124.142,1055.84,497.207,271.119,1008.32,529.694,214.945,920.801,522.2,193.554,514.273,412.355,201.035,499.596,515.349,219.74,411.667,538.126,110.917,129.964,433.905,151.179,133.939,474.04,57.7192,89.889,516.025,282.298,92.8929,194.193,230.203,910.508,228.008,214.666,520.347,335.454,208.143,505.554,238.873,236.302,414.679,217.559,151.599,128.207,324.771,188.282,132.649,281.831,91.0555,95.1949,252.053,319.63,90.7761
8,0,238.231,296.91,996.508,297.895,129.636,1054.8,405.867,124.175,1055.86,497.235,271.143,1008.33,529.654,214.979,920.801,522.21,193.543,514.298,412.36,201.029,499.598,515.349,219.737,411.668,538.178,110.896,129.98,433.894,151.16,133.982,474.041,57.7074,89.8918,516.042,282.31,92.896,194.184,230.242,910.49,228.024,214.679,520.376,335.468,208.197,505.511,238.9,236.321,414.668,217.571,151.626,128.229,324.772,188.266,132.65,281.732,91.1079,95.1675,252.074,319.65,90.7712
9,0,238.189,296.923,996.517,297.865,129.65,1054.79,405.859,124.187,1055.87,497.228,271.153,1008.33,529.654,215.004,920.817,522.207,193.532,514.278,412.363,201.026,499.6,515.345,219.723,411.677,538.233,110.879,129.985,433.929,151.216,133.993,474.043,57.7144,89.887,516.039,282.309,92.8711,194.156,230.22,910.51,228.041,214.701,520.359,335.454,208.249,505.45,238.877,236.321,414.663,217.576,151.626,128.209,324.772,188.268,132.635,281.685,91.1128,95.1766,252.057,319.65,90.7587
10,0,238.209,296.949,996.508,297.878,129.661,1054.78,405.83,124.214,1055.86,497.196,271.185,1008.34,529.648,215.022,920.825,522.215,193.53,514.323,412.367,201.022,499.6,515.33,219.711,411.707,538.282,110.859,130,433.926,151.226,133.985,474.045,57.7019,89.8898,516.044,282.31,92.896,194.175,230.27,910.483,228.034,214.704,520.364,335.454,208.318,505.429,238.889,236.358,414.643,217.566,151.639,128.231,324.77,188.265,132.65,281.668,91.1619,95.149,252.074,319.636,90.7556
11,0,238.164,296.948,996.507,297.864,129.69,1054.77,405.827,124.228,1055.86,497.213,271.205,1008.35,529.641,215.051,920.821,522.215,193.519,514.304,412.343,200.991,499.606,515.333,219.698,411.694,538.328,110.861,130.008,433.942,151.241,133.96,474.047,57.698,89.8893,516.05,282.317,92.8817,194.175,230.264,910.496,228.066,214.708,520.357,335.435,208.382,505.362,238.909,236.347,414.635,217.554,151.633,128.243,324.767,188.279,132.65,281.658,91.172,95.1264,252.079,319.629,90.7684
12,0,238.176,296.981,996.501,297.848,129.693,1054.77,405.799,124.241,1055.85,497.215,271.21,1008.35,529.606,215.09,920.828,522.217,193.517,514.305,412.346,200.986,499.609,515.331,219.663,411.712,538.367,110.833,130.011,433.9,151.208,133.971,474.048,57.7081,89.8837,516.073,282.304,92.8706,194.15,230.278,910.487,228.085,214.693,520.344,335.398,208.405,505.297,238.895,236.358,414.651,217.569,151.651,128.241,324.798,188.25,132.639,281.622,91.2187,95.1001,252.077,319.63,90.7537
13,0,238.175,297.012,996.488,297.875,129.707,1054.76,405.807,124.247,1055.88,497.209,271.235,1008.36,529.655,215.07,920.87,522.219,193.498,514.308,412.366,200.954,499.61,515.354,219.668,411.709,538.413,110.824,130.009,433.943,151.242,133.959,474.039,57.7052,89.8718,516.055,282.316,92.8803,194.126,230.265,910.505,228.055,214.711,520.353,335.425,208.455,505.282,238.902,236.382,414.633,217.557,151.643,128.253,324.766,188.278,132.649,281.56,91.2512,95.0464,252.073,319.631,90.7798
14,0,238.183,297.021,996.472,297.882,129.725,1054.78,405.801,124.246,1055.89,497.209,271.221,1008.37,529.627,215.085,920.863,522.218,193.513,514.307,412.398,200.979,499.606,515.351,219.711,411.706,538.475,110.811,130.035,433.926,151.241,133.961,474.04,57.6923,89.8753,516.069,282.304,92.8775,194.163,230.295,910.478,228.078,214.735,520.334,335.455,208.533,505.282,238.901,236.367,414.633,217.558,151.65,128.257,324.767,188.263,132.648,281.536,91.27,95.0342,252.077,319.628,90.753
15,0,238.188,297.036,996.481,297.86,129.74,1054.79,405.813,124.262,1055.91,497.188,271.245,1008.36,529.598,215.057,920.868,522.221,193.497,514.309,412.398,200.971,499.624,515.361,219.695,411.719,538.484,110.782,130.046,433.899,151.211,133.982,474.052,57.7033,89.8805,516.069,282.318,92.8809,194.158,230.308,910.512,228.074,214.69,520.362,335.411,208.568,505.204,238.903,236.378,414.645,217.558,151.648,128.255,324.765,188.278,132.65,281.585,91.2431,95.0738,252.081,319.623,90.7669
