Trajectories
100
,,XZY:LASI,,,XZY:LPSI,,,XZY:RPSI,,,XZY:RASI,,,XZY:RHIP,,,XZY:RKNE,,,XZY:RKNE2,,,XZY:RTIB,,,XZY:RANK,,,XZY:RANK2,,,XZY:RHEEL,,,XZY:RTOE,,,XZY:LHIP,,,XZY:LKNE,,,XZY:LKNE2,,,XZY:LTIB,,,XZY:LANK,,,XZY:LANK2,,,XZY:LHEEL,,,XZY:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
825,0,214.236,380.609,992.854,269.123,211.505,1050.47,377.265,203.885,1051.13,471.822,353.78,1010.75,508.986,309.649,921.934,518.714,463.432,547.544,408.013,476.082,530.409,514.383,503.203,449.086,556.539,419.787,159.862,449.278,452.83,162.375,497.915,364.171,114.657,521.156,590.73,132.118,169.84,315.798,905.878,216.405,294.125,517.207,324.384,286.64,506.843,233.491,315.405,412.033,225.312,234.165,127.216,335.003,261.944,133.211,283.506,170.814,92.5499,274.535,398.569,91.9747
826,0,214.439,384.8,992.544,269.471,215.899,1050.37,377.642,208.363,1051.06,472.264,358.334,1010.26,509.317,314.034,921.544,519.118,467.028,546.76,408.379,479.462,529.592,515.208,509.373,449.643,558.678,435.747,157.925,451.099,467.998,161.443,500.533,380.608,111.652,521.584,607.068,133.598,170.158,319.727,905.598,216.638,296.188,517.168,325.136,288.504,506.514,233.722,317.034,411.763,225.38,234.265,127.233,334.973,262.067,133.114,283.583,170.742,92.7374,274.581,398.699,91.88
827,0,214.885,389.178,992.146,270.09,220.375,1050.2,378.169,212.984,1051.02,472.732,362.977,1009.96,509.535,318.555,921.166,519.937,470.3,545.925,409.145,482.615,528.457,515.742,515.355,449.93,561.236,451.146,156.029,453.338,482.784,160.502,503.125,396.702,108.907,522.396,622.772,135.363,170.598,323.721,905.312,216.987,298.489,516.92,325.705,290.701,506.429,234.113,318.806,411.485,225.449,234.353,127.296,334.288,262.626,132.939,283.859,170.224,93.5485,274.605,398.745,91.8032
828,0,215.395,393.585,991.697,270.657,224.882,1050.1,378.788,217.766,1050.82,473.292,367.634,1009.67,509.72,323.324,920.915,520.375,473.621,544.812,409.777,485.436,527.222,516.524,521.121,450.25,562.994,467.064,154.395,455.112,496.921,160.061,507.241,412.251,106.995,522.722,638.011,137.203,171.079,327.801,904.995,217.356,300.833,516.775,325.867,293.059,506.098,234.377,320.444,411.139,225.513,234.445,127.348,335.348,261.972,133.276,283.865,170.281,93.5945,274.604,398.767,91.7347
829,0,215.713,397.926,991.398,271.341,229.473,1049.95,379.52,222.634,1050.62,473.877,372.624,1009.26,509.927,328.351,920.265,521.085,476.313,544.274,410.421,488.096,525.959,517.174,526.935,450.651,564.906,481.878,153.069,456.906,510.816,159.89,509.969,426.755,105.49,523.848,653.514,139.7,171.688,331.941,904.657,217.775,303.441,516.518,326.686,295.59,505.997,234.385,321.846,410.987,225.584,234.581,127.376,335.396,262.013,133.248,283.904,170.315,93.6411,274.605,398.774,91.6869
830,0,216.184,402.391,991.036,272.227,234.189,1049.76,380.363,227.574,1050.49,474.53,377.673,1008.97,510.362,333.515,919.729,522.224,479.415,543.181,411.158,490.421,524.337,517.76,532.478,450.792,566.48,496.428,151.986,458.3,524.265,159.953,511.485,442.966,103.469,523.773,667.521,142.704,172.278,336.094,904.384,218.255,306.206,516.195,327.029,298.284,505.623,235.088,324.34,410.427,225.63,234.648,127.436,335.429,262.054,133.236,283.915,170.329,93.6815,274.581,398.791,91.647
831,0,216.683,406.968,990.628,273.172,238.965,1049.53,381.403,232.743,1050.18,475.258,382.942,1008.49,511.121,338.686,919.469,522.884,482.792,541.727,412.051,492.576,522.705,518.342,537.457,450.923,567.638,510.164,151.212,459.333,537.081,159.897,510.887,457.678,100.047,523.736,681.213,145.934,173.052,340.32,903.976,218.811,308.978,515.976,327.598,301.388,505.202,235.564,326.707,409.88,225.671,234.721,127.458,335.452,262.09,133.2,283.975,170.36,93.7274,274.539,398.767,91.6239
832,0,217.374,411.543,990.149,274.389,243.76,1049.18,382.612,237.994,1049.88,475.941,388.339,1008.04,511.604,344.23,918.862,523.717,485.774,540.472,412.819,494.596,521.173,518.97,542.341,450.999,568.766,523.429,150.612,460.028,549.165,159.758,512.452,471.846,98.1345,523.45,694.218,149.568,173.874,344.483,903.609,219.514,312.142,515.598,328.36,304.486,504.848,236.1,329.066,409.375,225.719,234.796,127.499,335.484,262.157,133.156,283.996,170.4,93.7655,274.551,398.767,91.5905
833,0,218.161,416.267,989.54,275.688,248.677,1048.85,383.883,243.29,1049.56,476.789,393.874,1007.57,512.591,349.841,918.303,524.642,488.703,539.227,413.768,496.476,519.544,519.48,547.051,450.955,569.526,536.164,149.985,460.657,560.702,159.975,513.651,485.321,96.3311,523.042,706.474,153.112,174.844,348.742,903.115,220.324,315.315,515.245,329.266,307.806,504.461,236.668,331.616,408.811,225.773,234.892,127.576,335.55,262.264,133.125,284.028,170.487,93.8381,274.539,398.792,91.5279
