Devices
1000
,,Sensors - Force,Imported AMTI 400600 V1.0 - Force,,,Imported AMTI 400600 V1.0 - Moment,,,Imported AMTI 400600 V1.0 - CoP,,,Imported AMTI 400600 V1.0 - Force,,,Imported AMTI 400600 V1.0 - Moment,,,Imported AMTI 400600 V1.0 - CoP,,,
Frame,Sub Frame,FP3,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,0.0814819,-14.1999,0.140421,-253.806,32770.8,22568.3,3791.23,288.919,170.883,0,1.0337,-0.857077,-26.3316,-50.5667,-381.307,2325.39,585.519,1021.92,0
1,1,0.124817,-13.9205,-0.0850067,-256.677,32809.6,22634.5,3850.24,288.183,172.175,0,0.898132,-0.760681,-27.418,-124.478,-279.265,2322.01,589.815,1024.54,0
1,2,0.0869751,-14.2779,0.224673,-255.149,33073,22719,3815.11,289.042,170.378,0,0.692486,-0.978672,-27.453,-266.923,-358.235,2296.92,586.951,1029.72,0
1,3,0.125427,-13.9174,0.252535,-254.932,33062.9,22622,3742.16,288.737,170.307,0,1.03372,-0.8972,-28.5048,-77.3875,-359.46,2271.86,587.389,1022.71,0
1,4,0.13855,-14.3123,-0.0016118,-255.227,33112.4,22534.3,3817.23,288.292,170.263,0,0.962265,-0.550109,-26.8424,-208.946,-291.216,2362.22,589.151,1027.78,0
1,5,0.117493,-14.3906,-0.137912,-255.355,32895.5,22592.2,3810.03,288.474,171.177,0,0.994283,-0.606509,-27.5171,-236.004,-263.62,2341.96,590.42,1028.58,0
1,6,0.0845337,-14.0488,0.00501966,-255.808,32978.2,22566.5,3790.47,288.217,171.082,0,1.12122,-0.598925,-29.2443,-321.288,-315.032,2271.71,589.228,1030.99,0
1,7,0.0958252,-13.8521,0.255767,-255.285,33129.6,22618.3,3825.68,288.6,170.225,0,1.08174,-0.873432,-28.9865,-198.203,-491.176,2352.17,583.055,1026.84,0
1,8,0.0946045,-13.9509,0.0481193,-255.392,32955.1,22534.4,3793.35,288.235,170.963,0,1.20871,-0.768204,-28.0281,-124.848,-359.956,2320.35,587.157,1024.45,0
1,9,0.103149,-14.139,0.134434,-254.637,33019,22663,3833.56,289.001,170.329,0,1.20116,-0.606534,-28.7632,-260.395,-265.966,2363.76,590.753,1029.05,0
2,0,0.0796509,-14.2185,0.221642,-254.972,32922.8,22683.5,3752.89,288.965,170.877,0,1.47116,-0.598827,-28.1229,-101.58,-215.08,2291.64,592.352,1023.61,0
2,1,0.101318,-13.8756,0.313221,-254.26,32828,22557.2,3813.48,288.717,170.888,0,1.38369,-0.792229,-27.5776,-202.7,-156.764,2300.07,594.316,1027.35,0
2,2,0.108948,-13.7107,0.34612,-256.04,32894.2,22328.1,3870.47,287.206,171.527,0,1.32815,-0.502035,-26.94,-101.187,-523.252,2276.56,580.577,1023.76,0
2,3,0.106812,-14.0283,0.105611,-254.996,33001.4,22555.9,3796.78,288.456,170.581,0,1.30389,-1.05921,-29.1157,-67.7245,-348.102,2310.29,588.044,1022.33,0
2,4,0.133667,-14.0843,0.0584575,-255.84,32881,22722.8,3859.04,288.816,171.478,0,0.890732,-0.720097,-28.4111,-102.37,-304.998,2315.29,589.265,1023.6,0
2,5,0.117493,-14.039,0.27493,-256.936,33019.2,22578,3799.56,287.874,171.488,0,0.99406,-1.0596,-27.7709,-6.29214,-205.346,2276.81,592.606,1020.23,0
2,6,0.0848389,-14.2248,0.503083,-256.513,32953,22724.6,3796.2,288.59,171.535,0,1.15311,-0.638954,-27.4826,-5.28796,-289.527,2313.53,589.465,1020.19,0
2,7,0.0689697,-14.3365,0.174526,-256.057,32933.9,22688.2,3784.08,288.606,171.38,0,1.20882,-0.727918,-27.5466,-98.4222,-346.981,2347.1,587.404,1023.57,0
2,8,0.0933838,-14.1882,0.0135176,-256.133,32923.5,22624.2,3802.31,288.33,171.46,0,1.13722,-0.768431,-27.643,-173.342,-249.969,2352.19,590.957,1026.27,0
2,9,0.119629,-14.0824,-0.0905179,-253.997,33072.5,22601.3,3826.04,288.982,169.792,0,1.07373,-0.671224,-26.7779,-169.13,-474.076,2313.56,582.296,1026.32,0
3,0,0.0973511,-13.6258,-0.136808,-254.944,33052.2,22488.9,3868.54,288.211,170.355,0,0.834911,-0.841287,-26.9696,-208.594,-396.397,2340.55,585.302,1027.73,0
3,1,0.115051,-13.9541,0.236981,-255.098,33017.7,22506.1,3826.79,288.225,170.569,0,0.986297,-0.638923,-27.5794,-322.673,-234.125,2311.94,591.511,1031.7,0
3,2,0.093689,-14.1064,0.00652869,-254.509,33104.3,22630.2,3723.12,288.917,169.929,0,0.810819,-0.695635,-26.7449,-206.752,-262.334,2271.65,590.191,1027.73,0
3,3,0.109863,-14.1051,0.252176,-254.517,33002.7,22533.8,3788.23,288.536,170.332,0,1.18538,-0.735631,-28.3149,-204.618,-313.803,2342.15,588.917,1027.23,0
3,4,0.133667,-14.1642,0.0271297,-254.774,32864,22580.1,3772.14,288.628,171.007,0,0.707412,-1.19724,-28.6367,-321.488,-304.209,2285.19,589.377,1031.23,0
3,5,0.106506,-14.3926,0.0635189,-255.36,33081.9,22409.9,3905.63,287.758,170.45,0,1.15306,-0.962564,-27.4188,-116.022,-240.874,2412.73,591.215,1024.23,0
3,6,0.11322,-14.1212,0.128009,-253.306,32904.9,22548.5,3882.04,289.017,170.098,0,1.17721,-0.938007,-27.5766,-216.896,-264.658,2300.24,590.403,1027.87,0
3,7,0.142822,-14.1558,-0.176135,-255.747,32908.4,22656,3857,288.588,171.324,0,0.993916,-1.10833,-29.4054,-163.433,-222.125,2280.13,592.446,1025.56,0
3,8,0.118408,-13.9976,0.170584,-254.739,33029.2,22505.4,3858.77,288.347,170.341,0,1.13722,-0.809255,-28.667,-32.9705,-204.978,2328.68,592.85,1021.15,0
