Trajectories
100
,,XJA:LASI,,,XJA:LPSI,,,XJA:RPSI,,,XJA:RASI,,,XJA:RHIP,,,XJA:RKNE,,,XJA:RKNE2,,,XJA:RTIB,,,XJA:RANK,,,XJA:RANK2,,,XJA:RHEEL,,,XJA:RTOE,,,XJA:LHIP,,,XJA:LKNE,,,XJA:LKNE2,,,XJA:LTIB,,,XJA:LANK,,,XJA:LANK2,,,XJA:LHEEL,,,XJA:LTOE,,,Wand:TFXN,,,Wand:TFORI,,,Wand:TFXP,,,Wand:TFYMid,,,Wand:TFYP,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.6804,5.93944,52.7283,5.97609,5.91638,52.9016,166.235,6.10091,52.791,6.71702,126.917,52.7942,6.47243,246.968,52.7916
2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.6413,5.94075,52.6879,5.98283,5.92469,52.8889,166.237,6.09525,52.7911,6.71085,126.905,52.8311,6.48967,246.967,52.8019
3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.6668,5.92262,52.7182,5.99042,5.93584,52.9069,166.219,6.09785,52.7834,6.72083,126.912,52.8058,6.47818,246.974,52.8034
4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.7958,6.1499,53.0551,5.98656,5.92075,52.8996,166.214,6.1013,52.7947,6.72085,126.912,52.8058,6.46691,246.973,52.803
5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.6348,5.95723,52.6962,6.00616,5.94236,52.8942,166.256,6.10897,52.8058,6.66319,126.86,52.8393,6.47576,246.97,52.7861
6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.6122,5.96294,52.7036,6.02752,5.96021,52.8905,166.29,6.14859,52.7863,6.75642,126.926,52.7901,6.48692,246.959,52.792
7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.6061,5.96032,52.7005,6.04037,5.97839,52.8962,166.299,6.15324,52.8143,6.73149,126.904,52.8127,6.465,246.971,52.7656
8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.5962,5.97511,52.6957,6.07404,5.99376,52.8787,166.326,6.15798,52.8161,6.74517,126.908,52.7749,6.49034,246.967,52.7711
9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.5683,5.97249,52.6852,6.07898,6.00166,52.8794,166.339,6.18222,52.811,6.70841,126.88,52.8194,6.48864,246.978,52.7935
10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.626,6.16403,52.925,6.08696,6.00591,52.8787,166.355,6.19382,52.806,6.68988,126.853,52.8422,6.46819,246.971,52.7905
