Trajectories
100
,,XJA:LASI,,,XJA:LPSI,,,XJA:RPSI,,,XJA:RASI,,,XJA:RHIP,,,XJA:RKNE,,,XJA:RKNE2,,,XJA:RTIB,,,XJA:RANK,,,XJA:RANK2,,,XJA:RHEEL,,,XJA:RTOE,,,XJA:LHIP,,,XJA:LKNE,,,XJA:LKNE2,,,XJA:LTIB,,,XJA:LANK,,,XJA:LANK2,,,XJA:LHEEL,,,XJA:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
769,0,228.658,380.612,971.785,307.799,226.891,1017.07,413.337,208.824,1015.19,513.056,361.603,967.107,545.576,328.707,871.774,532.841,441.229,500.106,417.118,465.997,483.315,513.059,437.607,400.205,506.556,237.873,200.478,428.87,273.955,200.211,458.6,165.394,192.287,486.216,353.397,107.519,199.476,345.084,868.226,242.217,344.262,475.34,361.008,338.768,472.679,255.274,356.256,372.899,269.624,270.247,120.438,348.78,280.372,135.118,318.254,201.251,84.6223,319.424,407.371,86.7508
770,0,228.159,390.688,972.02,307.123,236.995,1017.78,412.648,218.782,1016.01,512.386,371.418,967.927,545.223,338.983,873.002,531.529,456.55,502.087,415.692,480.41,486.216,511.558,457.239,401.778,505.768,267.585,192.369,428.008,303.594,193.931,457.746,195.412,180.161,485.983,388.027,106.024,200.17,354.514,867.885,241.45,345.633,475.75,360.248,341.737,472.902,254.255,357.139,373.27,269.473,270.499,120.86,349.164,281.681,135.91,318.583,201.394,84.9325,319.057,407.678,86.67
771,0,227.824,400.761,972.133,306.547,247.05,1018.3,412.017,228.718,1016.5,511.764,381.161,968.46,545.013,349.143,873.786,530.28,471.568,503.622,414.352,494.115,488.866,510.184,476.46,403.309,505.218,298.023,184.284,427.502,333.919,187.442,457.29,226.214,168.223,485.343,422.89,104.541,198.694,364.041,868.819,240.395,347.278,476.453,359.531,344.587,473.005,253.151,357.877,373.693,269.112,270.639,121.29,348.973,282.546,136.869,318.042,201.915,86.1007,318.756,407.842,86.6003
772,0,227.608,410.809,972.062,306.031,257.04,1018.64,411.522,238.677,1016.77,511.544,390.909,968.565,544.883,359.199,874.193,529.417,486.029,504.804,413.312,507.104,490.895,509.147,495.53,404.668,504.998,328.924,176.118,426.649,364.806,181.75,456.629,258.615,155.694,484.659,458.069,103.761,198.465,373.438,868.901,239.553,349.147,477.007,359.107,347.413,473.206,252.158,358.865,374.206,268.756,270.948,121.758,348.978,283.769,137.828,318.099,202.086,87.0711,318.486,407.956,86.5799
773,0,227.709,420.783,971.758,305.65,267.022,1018.76,411.102,248.661,1016.65,511.436,400.611,968.342,544.941,369.312,874.211,528.681,499.775,505.673,412.461,519.578,492.239,508.239,513.927,405.902,505.353,360.667,168.306,426.675,395.13,175.819,457.076,290.646,144.174,483.49,493.366,103.215,198.414,382.793,868.737,240.282,351.14,477.016,358.767,350.211,473.508,251.48,360.436,374.521,268.483,271.089,122.186,348.764,284.575,138.485,317.857,202.583,87.9648,318.192,408.159,86.5811
774,0,227.764,430.695,971.313,305.531,276.912,1018.62,411.12,258.652,1016.37,511.376,410.52,967.824,545.065,379.454,873.977,528.115,512.992,506.041,411.872,531.568,493.123,507.684,531.839,407.053,506.175,392.452,160.984,426.952,425.549,170.556,460.333,325.165,131.337,482.292,528.265,103.268,198.25,391.973,868.393,239.945,354.191,477.356,358.64,353.296,473.777,251.056,362.584,374.751,268.344,271.456,122.856,348.915,285.109,139.431,317.801,202.879,88.8582,317.981,408.344,86.4944
775,0,227.761,440.435,970.655,305.5,286.599,1018.26,411.115,268.562,1015.8,511.431,420.493,967.11,545.105,389.646,873.411,527.544,525.619,506.08,411.228,543.473,493.147,507.122,549.146,407.953,507.653,424.373,154.206,427.517,455.735,165.967,462.54,357.82,121.557,480.565,562.982,103.724,198.175,401.147,867.954,239.967,357.827,477.339,358.313,356.527,474.006,251.18,365.206,374.774,268.292,271.699,123.444,349.024,285.766,140.083,317.885,203.208,89.8926,317.824,408.625,86.3232
776,0,227.752,449.981,969.866,305.758,296.307,1017.59,411.447,278.482,1014.96,511.428,430.608,966.27,545.225,400.001,872.715,526.818,537.897,505.574,410.58,555.258,492.611,506.669,565.776,408.758,508.451,457.354,147.812,428.879,485.397,161.762,465.884,390.332,112.835,478.798,596.419,104.44,198.007,410.355,867.333,240.167,361.915,477.25,358.373,359.985,474.204,251.607,368.266,374.566,268.492,272.162,124.266,349.238,286.426,140.579,318.112,203.563,90.7175,317.786,409.031,86.1886
777,0,227.811,459.496,968.743,306.3,305.944,1016.59,412.051,288.483,1013.92,511.499,440.928,965.295,545.373,410.515,871.889,526.072,549.858,504.9,409.942,566.643,491.787,505.439,582.299,409.219,510.394,489.121,142.642,430.246,514.577,158.222,468.297,423.34,104.732,477.399,629.76,106.141,198.46,419.568,866.236,240.646,366.473,476.931,358.634,364.066,474.184,252.313,371.647,374.211,268.771,272.438,125.006,349.756,287.169,141.2,318.441,203.937,91.6271,317.609,408.705,86.2002
778,0,227.725,468.86,967.583,306.879,315.519,1015.36,412.72,298.49,1012.66,511.441,451.524,964.126,545.514,421.116,870.722,525.282,561.53,503.882,408.91,578.415,490.395,506.035,599.141,409.639,512.338,520.455,138.349,432.116,543.005,155.019,472,455.284,98.029,476.185,661.762,108.304,198.349,428.825,865.314,241.221,371.384,476.466,359.14,368.524,474.108,252.669,375.067,374.018,269.461,273.11,125.69,350.244,287.963,141.728,318.912,204.312,92.4723,317.714,409.241,86.0517
779,0,227.795,478.315,966.232,307.647,325.21,1013.9,413.664,308.661,1011.28,511.47,462.248,962.861,545.666,431.849,869.271,524.527,572.883,502.688,,,,505.875,613.746,411.018,514.664,550.924,135.161,433.885,570.954,152.537,475.662,486.622,92.3374,475.592,692.683,111.021,200.188,437.962,863.129,241.777,376.52,475.987,359.504,373.615,473.735,253.07,378.525,373.909,270.118,273.624,126.498,350.815,288.732,142.134,319.961,204.159,94.077,317.756,409.536,85.8557
780,0,227.998,487.79,964.701,308.504,335.071,1012.26,414.601,319.021,1009.65,511.874,473.063,961.49,546.001,442.725,867.512,524.007,584.187,501.432,,,,504.959,628.388,411.628,516.891,580.537,132.75,435.753,598.538,150.527,479.19,517.335,87.8385,475.413,722.532,114.104,200.556,447.319,861.781,242.329,381.931,475.334,360.229,380.024,472.599,252.994,382.752,373.426,270.763,274.275,127.333,351.31,289.672,142.499,320.51,204.594,94.9972,317.362,409.962,85.8022
781,0,228.357,497.524,963.109,309.564,345.023,1010.51,415.706,329.663,1007.89,512.422,484.155,959.843,546.208,453.693,865.507,523.406,594.921,499.951,,,,504.328,642.435,412.081,520.238,609.764,131.659,437.539,625.531,149.095,482.416,547.184,84.062,475.96,751.428,117.618,201.115,456.805,860.339,242.762,387.416,474.652,360.774,385.935,472.072,252.825,387.098,372.683,271.373,275.049,128.128,352.222,290.418,142.952,321.023,205.047,96.2452,318.04,409.972,85.3322
782,0,228.724,507.372,961.419,310.706,355.155,1008.7,416.84,340.408,1006.05,513.159,495.309,958.058,546.664,464.895,863.308,523.366,604.859,498.951,,,,503.419,656.535,412.304,521.236,637.042,130.633,439.096,652.028,148.507,485.927,576.502,79.5202,476.929,779.313,121.514,201.697,466.417,858.855,243.157,392.951,473.946,358.778,392.279,470.474,253.488,391.36,371.453,271.812,275.854,129.1,352.063,291.687,143.484,321.353,205.609,97.5765,318.078,410.35,85.1278
783,0,229.177,517.438,959.848,311.711,365.469,1007.05,418.299,351.439,1004.14,514.033,506.544,955.983,547.169,476.111,860.95,523.654,615.253,496.719,407.29,629.219,481.42,503.311,669.758,412.782,522.832,663.577,130.699,440.604,677.733,148.271,488.468,604.482,78.0375,478.03,805.999,125.721,202.288,476.089,857.425,243.402,398.738,473.408,361.424,398.536,470.354,254.271,395.324,370.585,272.271,276.846,130.223,352.31,292.694,144.308,321.738,206.156,99.1874,318.059,410.717,84.9682
784,0,229.773,527.737,958.317,312.701,375.209,1005.72,419.751,362.65,1002.3,514.976,517.994,954.029,547.757,487.525,858.507,524.477,624.665,494.689,407.672,637.748,478.692,504.138,682.017,413.247,524.096,688.69,131.254,441.626,702.266,149.11,489.705,631.378,76.594,479.159,831.355,130.522,202.942,485.858,856.145,243.641,404.625,472.892,361.467,405.095,469.494,254.48,399.906,369.986,272.383,277.798,131.382,352.557,294.106,145.225,322.023,206.726,101.28,318.015,411.057,84.84
