Trajectories
100
,,XJA:LASI,,,XJA:LPSI,,,XJA:RPSI,,,XJA:RASI,,,XJA:RHIP,,,XJA:RKNE,,,XJA:RKNE2,,,XJA:RTIB,,,XJA:RANK,,,XJA:RANK2,,,XJA:RHEEL,,,XJA:RTOE,,,XJA:LHIP,,,XJA:LKNE,,,XJA:LKNE2,,,XJA:LTIB,,,XJA:LANK,,,XJA:LANK2,,,XJA:LHEEL,,,XJA:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1005,0,222.625,352.134,958.312,309.773,204.433,1017.67,415.704,194.891,1015.7,509.178,346.187,957.55,546.246,309.144,872.129,543.642,450.89,512.327,431.242,482.873,496.584,527.263,469.722,412.851,517.78,324.73,171.236,441.013,363.015,178.594,465.935,258.097,147.636,503.074,459.086,106.791,198.141,304.763,858.424,233.204,255.735,471.071,351.031,257.361,465.421,241.268,265.65,369.432,256.361,176.466,119.973,336.74,203.197,128.882,317.597,121.559,81.9148,277.069,322.532,88.0167
1006,0,222.62,355.458,957.884,309.663,207.852,1017.53,415.509,198.14,1015.83,509.114,349.404,957.698,546.169,312.497,872.582,542.907,454.712,511.865,430.074,485.836,496.818,526.876,477.512,413.206,519.134,345.871,163.888,442.735,382.81,173.189,467.912,279.489,136.674,504.607,483.254,107.254,198.178,308.102,857.964,233.472,257.859,470.958,351.236,259.381,465.272,241.503,267.153,369.232,256.48,176.561,120.131,335.661,204.197,128.806,317.674,121.628,81.9832,277.113,322.639,87.9616
1007,0,222.735,358.916,957.447,309.507,211.268,1017.39,415.376,201.572,1015.87,509.095,352.793,957.672,546.13,316.035,872.666,541.945,458.306,511.201,428.789,487.943,496.567,526.312,485.207,413.309,521.043,366.283,156.902,444.465,403.096,168.07,472.967,302.12,124.914,505.958,507.316,108.161,198.371,311.396,857.532,233.891,259.907,470.609,351.479,261.262,465.075,241.895,268.607,368.926,256.63,176.571,120.259,337.372,203.271,128.996,317.742,121.65,82.0114,277.151,322.704,87.9717
1008,0,222.955,362.293,957.017,309.676,214.789,1017.11,415.586,205.193,1015.73,509.232,356.413,957.669,546.225,319.8,872.526,541.175,461.447,509.998,427.566,489.501,495.83,525.494,492.695,413.223,523.026,388.68,150.659,446.16,423.633,163.473,476.117,325.575,115.668,507.534,531.163,109.396,198.599,314.713,857.003,234.192,261.688,470.39,351.902,262.981,464.787,242.312,270.127,368.552,256.735,176.605,120.316,337.497,203.32,128.968,317.778,121.677,82.031,277.167,322.715,87.9614
1009,0,223.286,365.805,956.357,309.931,218.432,1016.77,415.909,209.057,1015.38,509.458,360.402,957.229,546.465,323.855,872.034,540.556,464.411,508.524,426.322,490.639,494.422,524.935,499.797,413.145,525.386,410.208,145.192,448.162,443.81,159.391,479.152,348.426,107.548,508.703,554.57,111.314,199.008,318.108,856.347,234.623,263.416,470.146,352.433,264.508,464.504,242.566,271.345,368.285,256.852,176.6,120.416,337.605,203.367,128.872,317.826,121.703,82.0475,277.202,322.721,87.9802
1010,0,223.698,369.418,955.634,310.54,222.327,1016.29,416.593,213.131,1014.91,509.751,364.624,956.755,546.699,328.147,871.315,540.054,467.247,506.695,425.524,491.223,492.364,524.382,506.842,412.908,527.878,431.791,140.483,450.001,464.212,155.931,482.258,371.177,100.403,509.916,577.506,113.352,199.372,321.47,855.774,235.006,264.981,469.775,352.628,266.124,463.993,242.891,272.442,367.983,257.074,176.661,120.378,337.736,203.403,128.814,317.854,121.677,82.0093,277.209,322.725,87.9711
1011,0,224.138,373.077,954.831,311.528,226.315,1015.72,417.442,217.472,1014.3,510.287,369.237,955.963,547.085,332.821,870.241,539.495,469.797,504.669,424.317,492.398,489.566,524.806,512.694,413.161,530.419,453.24,136.446,452.567,483.85,153.12,485.521,394.149,94.0196,511.511,600.14,115.974,200.004,324.828,855.053,235.407,266.367,469.494,352.949,267.596,463.689,243.132,273.375,367.589,257.233,176.7,120.368,337.788,203.459,128.708,317.89,121.696,81.935,277.208,322.7,87.9606
1012,0,224.629,376.806,954.019,312.666,230.401,1015.11,418.625,222.074,1013.54,510.693,374.291,954.89,547.613,337.8,868.993,539.253,472.188,502.451,423.78,493.346,486.507,524.796,518.425,412.7,532.913,474.143,133.186,455.075,503.127,151.269,488.714,415.999,88.7754,512.351,621.355,119.086,200.513,328.193,854.465,235.746,267.67,469.341,353.47,268.937,463.371,243.49,274.216,367.214,257.391,176.735,120.359,337.867,203.505,128.66,317.907,121.644,81.8966,277.199,322.667,87.9663
1013,0,225.05,380.618,953.223,313.996,234.681,1014.5,420.114,226.94,1012.71,511.303,379.534,953.757,548.052,343.114,867.468,538.862,474.529,500.033,423.656,493.121,482.935,524.34,524.509,412.053,535.939,494.272,130.78,457.583,521.399,150.233,490.11,439.309,81.9721,513.665,641.655,122.752,201.253,331.546,853.805,236.138,269.037,469.116,353.801,270.301,462.963,243.636,275.134,366.956,257.524,176.738,120.358,337.93,203.538,128.571,317.935,121.639,81.8642,277.129,322.618,87.9141
