Trajectories
100
,,XJA:LASI,,,XJA:LPSI,,,XJA:RPSI,,,XJA:RASI,,,XJA:RHIP,,,XJA:RKNE,,,XJA:RKNE2,,,XJA:RTIB,,,XJA:RANK,,,XJA:RANK2,,,XJA:RHEEL,,,XJA:RTOE,,,XJA:LHIP,,,XJA:LKNE,,,XJA:LKNE2,,,XJA:LTIB,,,XJA:LANK,,,XJA:LANK2,,,XJA:LHEEL,,,XJA:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
855,0,202.136,397.048,967.362,284.379,243.944,1008.55,390.026,232.387,1003.54,486.941,385.22,955.497,520.059,355.721,862.336,504.754,513.768,510.61,386.98,525.52,492.133,488.603,528.453,410.859,510.395,377.041,173.189,428.505,404.118,177.302,471.195,302.882,151.002,478.052,505.168,102.875,172.975,360.648,863.496,206.919,345.969,471.921,323.215,332.34,468.021,219.103,359.275,370.018,227.807,273.08,118.675,309.102,288.039,128.009,280.972,210.08,80.3995,266.993,415.392,89.0978
856,0,201.875,403.63,966.716,283.967,250.466,1008.04,389.582,238.804,1003.19,486.614,391.469,955.252,519.934,361.919,862.289,505.094,521.14,510.801,387.638,533.274,492.332,489.155,539.792,411.499,510.827,400.307,166.537,428.763,426.476,172.459,472.387,326.872,141.174,477.363,531.177,102.429,172.917,367.128,862.763,206.946,349.092,471.334,323.817,336.042,466.894,219.068,361.315,369.477,227.927,273.217,118.816,309.281,288.282,127.942,281.075,210.081,80.5114,267.013,415.381,89.0002
857,0,201.688,410.236,965.975,283.598,257.008,1007.56,389.109,245.259,1002.83,486.393,397.771,954.952,519.648,368.277,862.187,505.641,528.088,510.595,388.435,540.736,492.165,489.793,550.838,411.909,511.69,423.674,160.316,429.278,449.306,167.81,473.488,350.813,132.583,476.912,557.166,102.403,172.907,373.669,862.035,206.931,352.242,470.766,324.257,339.11,466.838,218.904,363.377,368.87,228.096,273.407,118.986,309.465,288.501,127.844,280.414,210.652,80.1613,267.036,415.367,88.8594
858,0,201.466,416.983,965.193,283.254,263.674,1007,388.912,251.842,1002.44,486.297,404.279,954.544,519.573,374.573,861.94,506.179,534.744,510.037,389.388,547.828,491.695,490.487,561.637,412.357,512.732,447.437,154.678,430.246,472.08,163.597,474.909,375.826,123.524,476.802,583.249,102.806,173.013,380.242,861.206,206.924,355.398,470.287,324.163,342.507,466.271,218.834,365.663,368.18,228.302,273.68,119.198,308.993,289.138,127.659,280.488,210.724,80.2684,267.072,415.534,88.7146
859,0,201.553,423.712,964.341,283.044,270.402,1006.45,388.782,258.505,1002,486.231,410.838,954.031,519.753,380.861,861.692,507.042,540.918,509.173,390.351,554.338,490.877,491.233,572.079,412.647,514.382,470.629,149.346,431.571,494.939,159.749,475.509,402.916,113.423,476.929,609.019,103.809,173.063,386.763,860.455,207.213,358.711,469.702,324.276,345.977,465.846,218.937,367.949,367.615,228.565,273.989,119.386,309.69,289,127.645,280.558,210.814,80.3717,267.148,415.602,88.5868
860,0,201.651,430.487,963.54,283.032,277.155,1005.84,388.61,265.277,1001.47,486.316,417.404,953.547,520.054,387.333,861.251,507.619,546.963,507.908,390.781,561.439,489.751,492.381,582.056,413.161,516.412,496.255,144.796,433.312,517.516,156.39,477.99,427.908,106.288,477.178,634.67,105.345,173.062,393.273,859.704,207.729,362.079,469.145,324.562,349.362,465.516,219.311,370.454,366.902,228.859,274.321,119.545,310.059,289.248,127.638,280.652,210.867,80.4769,267.247,415.687,88.5014
861,0,201.884,437.364,962.623,283.122,283.99,1005.16,388.806,272.151,1000.86,486.565,424.21,952.816,520.024,393.908,860.563,508.008,552.186,506.853,391.876,568.004,488.472,493.055,591.791,413.139,517.769,519.874,140.396,435.413,539.986,153.687,479.874,453.642,99.411,477.898,659.533,107.715,173.372,399.853,858.844,207.986,365.582,468.667,325.302,352.445,465.33,219.865,373.035,366.397,229.151,274.614,119.785,310.139,289.627,127.502,280.681,210.906,80.5879,267.286,415.727,88.4103
862,0,202.093,444.183,961.803,283.343,290.869,1004.5,389.088,279.183,1000.09,486.901,431.134,952.098,520.065,400.642,859.584,509.354,558.507,505.187,392.792,573.996,486.988,493.955,601.267,413.287,520.413,543.432,137.417,437.784,561.964,151.428,483.492,478.379,94.1029,478.806,684.002,110.712,173.688,406.423,857.987,208.447,368.994,468.112,325.743,355.705,465.034,220.496,375.643,365.739,229.45,274.859,120.033,310.358,289.858,127.444,280.845,210.952,80.6899,267.328,415.777,88.361
863,0,202.431,451.143,960.823,283.738,297.827,1003.73,389.558,286.328,999.187,487.403,438.274,951.227,520.215,407.512,858.489,510.131,563.66,504.231,393.84,580.211,485.24,494.844,610.38,413.64,523.206,566.746,135.011,440.434,583.754,149.897,487.359,502.915,89.7026,480,707.789,114.201,174.11,413.058,857.039,209.018,372.389,467.553,326.188,358.799,464.536,221.107,378.082,365.113,229.818,275.079,120.281,310.748,290.012,127.532,281.039,211.034,80.825,267.381,415.888,88.2351
864,0,202.945,458.141,959.82,284.333,304.917,1002.79,390.051,293.578,998.334,488.146,445.533,950.312,520.418,414.538,857.308,511.208,569.592,502.629,394.578,586.178,483.309,495.972,619.118,414.107,526.279,589.658,133.658,443.111,605.185,148.852,491.704,526.85,85.9467,481.509,730.963,118.164,174.575,419.686,856.069,209.584,375.679,466.869,326.738,362.242,464.065,221.648,380.553,364.405,230.096,275.275,120.481,310.933,290.307,127.471,281.157,211.108,80.9662,267.416,415.648,88.0869
865,0,203.397,465.054,958.827,285.025,312.097,1001.89,390.847,301.059,997.261,488.886,452.955,949.311,520.567,421.895,855.956,512.192,575.232,501.055,396.296,589.753,481.05,496.828,628.187,414.539,529.389,611.878,133.153,446.002,625.971,148.588,497.653,550.634,81.3761,483.286,753.184,122.777,175.169,426.499,855.018,209.957,379.086,466.348,327.164,365.801,463.281,222.105,382.884,364.041,230.491,275.602,120.784,311.349,290.736,127.413,281.301,211.211,81.146,267.398,415.81,88.0457
