Trajectories
100
,,XJA:LASI,,,XJA:LPSI,,,XJA:RPSI,,,XJA:RASI,,,XJA:RHIP,,,XJA:RKNE,,,XJA:RKNE2,,,XJA:RTIB,,,XJA:RANK,,,XJA:RANK2,,,XJA:RHEEL,,,XJA:RTOE,,,XJA:LHIP,,,XJA:LKNE,,,XJA:LKNE2,,,XJA:LTIB,,,XJA:LANK,,,XJA:LANK2,,,XJA:LHEEL,,,XJA:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
849,0,162.192,377.941,953.916,235.804,221.388,1010.4,341.367,204.427,1008.8,446.051,352.8,958.715,481.03,315.386,867.607,498.876,449.101,505.139,385.384,470.611,479.307,490.956,481.711,408.834,524.318,388.58,142.788,442.709,415.852,152.293,484.191,323.552,103.037,494.365,530.795,103.608,135.636,341.068,852.885,202.177,343.39,462.336,318.237,327.569,466.183,221.188,351.728,359.954,239.667,243.675,118.736,320.853,258.464,128.254,292.001,180.377,81.856,281.697,385.775,88.3757
850,0,162.292,380.361,953.768,236.421,224.061,1009.88,342.04,207.566,1008.02,446.284,356.587,958.157,481.115,319.328,866.933,499.026,452.662,504.01,385.73,473.947,478.311,491.247,487.789,408.749,526.095,405.036,139.732,444.128,431.074,149.873,486.836,340.713,98.3925,494.478,548.031,104.6,135.216,343.683,852.952,202.112,344.881,462.184,318.355,329.316,465.954,221.109,352.75,359.604,239.821,243.792,118.827,322.655,259.453,128.926,291.983,180.418,81.8869,281.626,385.076,88.2647
851,0,162.363,382.892,953.641,237.196,226.733,1009.3,342.985,210.834,1007.25,446.553,360.423,957.688,481.203,323.382,866.156,498.973,455.954,502.794,385.803,477.145,477.281,491.507,493.465,408.601,527.912,421.139,137.101,445.577,446.092,147.786,489.25,357.594,94.1132,494.751,564.89,105.759,135.044,346.233,852.905,202.246,346.516,461.774,318.368,331.141,465.559,221.181,353.802,359.309,239.969,243.942,118.906,322.539,259.647,128.828,292.012,180.458,81.9502,281.748,385.891,88.1764
852,0,162.439,385.281,953.433,238.07,229.443,1008.66,343.888,214.177,1006.4,446.874,364.462,957.182,481.234,327.717,865.39,499.22,459.024,501.593,385.98,480.112,475.915,491.548,499.112,408.48,529.706,436.507,134.939,447.19,460.806,145.877,491.596,373.94,90.666,495.365,581.166,107.008,135.596,348.632,852.509,202.417,348.062,461.493,318.593,332.846,465.393,221.224,355.051,358.907,240.112,244.048,118.999,320.605,260.74,127.414,292.024,180.494,82.0171,281.8,385.942,88.0826
853,0,162.533,387.735,953.198,239.044,232.187,1008.05,344.964,217.673,1005.52,447.214,368.668,956.572,481.279,332.224,864.451,498.309,461.169,500.04,386.107,483.237,474.567,491.642,504.612,408.457,531.658,452.166,132.889,448.606,475.255,144.705,493.74,389.928,87.718,495.981,596.768,108.233,136.004,351.229,852.07,202.556,349.727,461.094,318.896,334.666,465.278,221.377,356.303,358.549,240.237,244.226,119.086,319.524,260.24,126.775,292.105,180.55,82.0963,281.862,385.987,88.0257
854,0,162.634,390.174,952.987,240.202,235.014,1007.37,346.19,221.175,1004.68,447.636,372.944,956.056,481.476,336.675,863.566,499.64,464.127,499.122,386.318,486.015,473.152,491.858,509.635,408.523,533.209,466.166,131.646,450.146,489.218,143.444,495.656,405.313,85.3213,497.041,611.911,109.553,137.59,353.534,851.041,202.655,351.324,460.718,319.072,336.445,464.94,221.654,357.529,358.229,240.406,244.348,119.222,323.508,260.07,128.769,292.103,180.587,82.1756,281.879,386.025,87.9558
855,0,162.732,392.68,952.83,241.411,237.837,1006.79,347.47,224.821,1003.85,448.089,377.362,955.426,481.736,341.369,862.729,499.669,466.338,497.823,386.648,488.323,471.584,492.247,514.219,408.529,533.427,481.99,130.273,451.673,502.915,142.854,497.231,420.162,83.2839,498.178,626.304,111.029,137.877,356.044,850.848,202.853,352.664,460.545,318.851,338.44,464.41,221.772,358.528,357.933,240.583,244.495,119.333,323.712,260.236,128.924,292.091,180.631,82.2541,281.876,386.039,87.8769
856,0,162.929,395.211,952.693,242.701,240.735,1006.3,348.821,228.566,1003.08,448.521,381.95,954.699,482.159,346.1,861.832,500.683,467.989,497.143,386.633,488.878,469.423,492.735,519.047,408.713,534.93,495.244,129.809,452.974,516.036,142.621,498.917,434.06,81.7514,499.434,640.131,112.646,138.247,358.58,850.77,202.597,353.928,460.45,319.084,340.193,464.379,221.88,359.244,357.542,240.717,244.596,119.449,321.392,260.072,128.293,292.168,180.676,82.3361,281.851,386.068,87.7947
857,0,163.317,397.906,952.591,244.22,243.8,1005.72,350.358,232.39,1002.33,449.032,386.589,954.091,482.235,351.028,860.815,501.207,470.215,495.719,387.355,490.441,467.739,493.224,523.49,408.668,536.072,507.71,129.235,454.12,528.499,142.668,499.642,447.821,80.5864,500.804,653.276,114.59,138.627,361.069,850.686,202.558,354.855,460.3,319.244,341.865,464.174,221.683,359.846,357.314,240.834,244.722,119.548,323.686,260.655,128.92,292.26,180.749,82.4638,281.811,386.098,87.7321
