Trajectories
100
,,XJA:LASI,,,XJA:LPSI,,,XJA:RPSI,,,XJA:RASI,,,XJA:RHIP,,,XJA:RKNE,,,XJA:RKNE2,,,XJA:RTIB,,,XJA:RANK,,,XJA:RANK2,,,XJA:RHEEL,,,XJA:RTOE,,,XJA:LHIP,,,XJA:LKNE,,,XJA:LKNE2,,,XJA:LTIB,,,XJA:LANK,,,XJA:LANK2,,,XJA:LHEEL,,,XJA:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1010,0,227.7,430.988,960.861,309.001,277.869,1013.22,414.717,263.362,1012.82,513.849,415.335,966.844,549.753,383.692,875.462,539.145,503.004,502.615,425.138,529.528,487.853,526.847,556.276,418.329,538.959,542.542,135.734,461.004,570.745,157.287,493.103,496.122,78.3779,521.425,690.582,144.974,204.723,391.187,855.854,250.311,337.8,469.646,368.751,326.959,469.012,265.175,344.692,368.008,283.654,248.69,123.051,365.005,264.61,130.875,336.43,182.875,84.8867,322.81,389.385,86.3632
1011,0,228.168,435.291,960.624,310.301,282.603,1013.03,416.195,268.75,1012.5,514.395,421.284,966.361,550.295,389.723,874.794,539.559,506.249,501.703,425.217,532.411,486.91,527.526,561.676,418.996,540.18,557.691,136.043,462.46,585.297,158.107,494.486,513.116,77.0528,522.977,705.423,149.922,205.409,395.107,855.61,252.18,339.557,469.276,369.212,329.666,469.045,265.604,346.37,367.962,284.153,249.134,123.614,365.549,265.151,131.227,336.775,183.166,85.3805,322.881,389.578,86.2281
1012,0,228.707,439.663,960.439,311.748,287.43,1012.81,417.638,274.16,1012.2,515.19,427.288,965.99,550.903,395.583,874.158,540.324,509.583,500.877,425.345,535.331,485.939,528.055,567.109,419.668,541.56,571.811,136.368,463.818,598.745,159.175,496.009,528.856,76.1096,524.05,719.083,154.559,205.984,399.118,855.521,252.627,341.799,469.4,369.773,332.585,468.814,266.105,348.115,367.94,284.649,249.625,124.036,365.863,265.735,131.531,337.04,183.401,86.1881,322.952,389.708,86.1174
1013,0,229.209,444.141,960.17,313.159,292.359,1012.58,419.135,279.581,1011.86,515.716,433.237,965.491,551.433,401.598,873.427,540.992,513.447,499.915,425.856,537.196,484.49,528.474,573.44,420.102,542.738,584.789,136.762,464.962,611.126,160.322,497.117,543.305,75.3927,524.75,731.526,158.714,206.766,403.267,855.395,253.199,344.161,469.556,370.513,335.433,468.934,266.449,349.913,368.049,285.197,250.121,124.625,366.434,266.284,132.036,337.583,183.812,86.6654,323.011,389.941,85.9792
1014,0,229.934,448.595,959.963,314.666,297.313,1012.36,420.664,285.043,1011.5,516.511,439.282,965.017,552.085,407.553,872.819,541.598,517.692,499.056,426.49,540.503,483.574,529.121,578.902,420.429,543.887,596.653,136.848,466.06,621.9,161.356,498.184,555.6,75.0468,525.177,742.728,162.247,207.543,407.5,855.274,253.822,346.553,469.65,370.866,338.728,468.92,266.706,351.612,368.193,285.594,250.612,125.318,366.679,267.052,132.342,337.949,184.147,87.6136,323.009,390.196,85.8672
1015,0,230.759,453.18,959.805,316.175,302.332,1012.22,422.287,290.525,1011.09,517.3,445.178,964.436,553.031,413.386,872.047,542.318,522.415,498.395,427.215,544.285,482.816,529.714,584.478,420.558,544.775,607.136,136.997,467.055,631.535,162.317,500.535,567.259,73.7659,525.505,752.551,165,208.316,411.795,855.246,254.426,349.134,469.861,371.598,341.892,469.133,267.291,353.885,368.138,286.006,251.191,125.974,366.98,267.554,132.832,338.293,184.458,88.5713,322.915,390.435,85.8425
1016,0,231.654,457.765,959.559,317.81,307.359,1011.99,423.919,295.959,1010.7,518.363,451.029,963.871,553.793,419.229,871.324,542.846,527.429,497.851,428.032,548.685,482.403,530.469,590.143,420.472,545.816,616.075,136.706,468.143,639.584,162.787,501.101,576.851,73.9705,525.829,760.937,166.977,209.144,416.04,855.283,254.918,351.961,470.145,372.049,345.375,469.115,267.483,356.051,368.339,286.356,251.802,126.802,367.265,268.381,133.376,338.527,184.853,89.6966,322.702,390.676,85.882
1017,0,232.644,462.432,959.426,319.345,312.296,1011.88,425.625,301.342,1010.38,519.248,456.941,963.204,554.694,424.967,870.716,543.185,532.764,497.257,429.109,553.809,482.19,531.252,595.836,420.265,546.764,623.57,136.342,469.131,646.389,162.965,502.001,584.442,73.4599,526.006,767.964,167.976,210.119,420.419,855.358,255.365,354.965,470.429,372.462,349.095,469.096,267.79,358.405,368.548,286.714,252.421,127.558,370.88,268.749,135.248,338.752,185.246,90.855,322.51,390.869,85.989
1018,0,233.806,467.07,959.421,321.065,317.231,1011.76,427.429,306.671,1010.03,520.385,462.701,962.709,555.834,430.767,870.14,543.41,538.626,496.894,429.833,559.41,482.437,532.125,601.528,419.946,547.703,629.524,135.879,469.855,651.781,162.746,503.201,590.289,72.9602,526.104,773.767,167.763,211.346,424.903,855.416,255.938,358.39,470.665,373.138,352.921,469.251,268.102,361.073,368.707,286.875,253.123,128.493,369.046,269.114,135.245,338.967,185.683,92.1999,322.492,391.153,85.8586
