Devices
1000
,,Sensors - Force,Imported AMTI 400600 V1.0 - Force,,,Imported AMTI 400600 V1.0 - Moment,,,Imported AMTI 400600 V1.0 - CoP,,,Imported AMTI 400600 V1.0 - Force,,,Imported AMTI 400600 V1.0 - Moment,,,Imported AMTI 400600 V1.0 - CoP,,,
Frame,Sub Frame,FP3,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,0.0891113,-8.91753,-1.25303,-267.266,-26054,29834.3,-313.034,311.628,397.484,0,13.3842,4.27895,-134.583,31413.6,-8611.02,2025.53,536.017,786.586,0
1,1,0.123291,-8.65234,-1.07633,-267.276,-26002.9,29788.7,-420.359,311.453,397.289,0,13.3801,4.79326,-133.895,31433.4,-8469.13,2059.96,536.748,785.239,0
1,2,0.111694,-8.82273,-1.26075,-267.974,-25801,29760.7,-294.644,311.058,396.281,0,13.1272,4.10371,-134.253,31311.4,-8391.5,1953.56,537.495,786.773,0
1,3,0.0863647,-8.81598,-1.78505,-267.276,-25952.7,29626.2,-313.884,310.845,397.101,0,13.4717,4.79474,-134.963,30989.9,-8579.09,2098.01,536.434,790.382,0
1,4,0.109558,-8.47647,-0.989314,-266.927,-26131.2,29851.6,-329.921,311.834,397.896,0,13.4717,4.18709,-135.971,31141,-8441.22,2061.59,537.919,790.973,0
1,5,0.116272,-8.46973,-1.51985,-267.272,-26152.3,29919.1,-348.746,311.943,397.849,0,13.4653,4.53879,-133.905,31158.5,-8580.17,2042.48,535.924,787.309,0
1,6,0.0918579,-8.46851,-1.44051,-266.577,-26151.6,29641,-404.563,311.191,398.102,0,13.0382,4.62514,-134.947,31338.8,-8527.41,1988.57,536.809,787.769,0
1,7,0.0979614,-8.37745,-1.53231,-267.64,-26238.7,29674.2,-296.765,310.873,398.037,0,13.2968,4.54268,-134.957,31375.6,-8502.85,2024.35,536.996,787.514,0
1,8,0.0567627,-8.38322,-1.42328,-267.597,-25978.6,29848.4,-313.26,311.542,397.081,0,13.2942,4.88559,-135.651,31126.1,-8502.46,1990.01,537.321,790.543,0
1,9,0.132751,-8.75,-1.0747,-265.509,-26130.8,29829.2,-364.276,312.347,398.418,0,13.1193,4.36727,-135.651,31195.1,-8462.24,2135.46,537.618,790.035,0
2,0,0.144348,-9.00512,-1.6013,-266.212,-25980.6,29909.6,-399.396,312.352,397.593,0,12.9519,4.88823,-135.636,31347.4,-8594.41,2117.68,536.636,788.886,0
2,1,0.130005,-8.64993,-1.43435,-266.922,-26062.7,29789.5,-403.136,311.604,397.642,0,13.2955,4.54386,-134.604,31244.8,-8502.68,2153.55,536.832,787.877,0
2,2,0.108337,-8.65404,-1.61349,-266.926,-26151.4,29822,-349.264,311.724,397.972,0,13.208,4.97344,-135.314,31218.6,-8500.36,2116,537.18,789.287,0
2,3,0.0970459,-8.82334,-1.51751,-267.261,-25853.2,29798.4,-366.471,311.496,396.734,0,13.128,4.35575,-136.321,31238.5,-8566.2,2043.98,537.161,790.846,0
2,4,0.115051,-8.82867,-1.26494,-266.911,-26054.7,29690.4,-385.981,311.237,397.616,0,13.5518,4.10646,-133.909,31314.7,-8477.77,2080.85,536.69,786.15,0
2,5,0.121765,-8.6393,-1.60895,-267.281,-25902.5,29684.4,-332.856,311.061,396.911,0,13.0343,5.0713,-135.304,31177.9,-8491.74,2115.77,537.24,789.571,0
2,6,0.108337,-8.38468,-1.356,-267.281,-26150.4,29671,-404.97,311.011,397.839,0,13.0343,5.06134,-135.646,31217.7,-8458.7,2025.31,537.642,789.859,0
2,7,0.090332,-8.65127,-1.80521,-267.277,-26376.8,29682.3,-316.042,311.055,398.687,0,13.0392,4.36078,-135.304,30928.3,-8597.92,2061.93,536.455,791.416,0
2,8,0.106506,-8.91298,-1.60817,-266.906,-25902.4,29735.3,-330.047,311.407,397.047,0,13.3842,4.44728,-135.627,31194.6,-8507.63,2062.32,537.272,789.997,0
2,9,0.12085,-8.74577,-1.16035,-266.911,-26219.5,29964.9,-273.826,312.266,398.233,0,13.3854,4.35831,-133.923,31062.1,-8574.98,2098.49,535.971,788.061,0
3,0,0.122986,-8.56472,-1.15742,-267.231,-25964.9,29889.6,-364.44,311.849,397.163,0,13.4693,4.28034,-136.351,31277.1,-8403.88,2080.3,538.366,790.614,0
3,1,0.11322,-8.73984,-1.24417,-264.471,-25970,29725.8,-309.17,312.397,398.196,0,13.2933,4.97639,-135.994,31179.2,-8435.54,2080.11,537.971,790.732,0
3,2,0.0930786,-8.38087,-1.43895,-267.281,-26236.3,29741.2,-333.253,311.273,398.16,0,13.0436,4.53394,-135.285,31597.4,-8705.12,2080.09,535.653,786.438,0
3,3,0.0891113,-8.38344,-1.34719,-267.281,-26233.3,29739.2,-352.384,311.266,398.149,0,13.7295,4.27527,-134.251,31186.8,-8628.19,2061.77,535.731,787.698,0
3,4,0.112305,-8.56426,-1.0867,-267.277,-26223.5,29576.7,-442.143,310.659,398.114,0,13.3773,4.6171,-134.956,30982.8,-8681.6,2062.48,535.671,790.423,0
3,5,0.129395,-8.91922,-1.16615,-266.915,-26049.5,29866.9,-309.92,311.897,397.595,0,12.8685,3.9205,-135.624,31174.9,-8450.86,2116.53,537.689,790.136,0
3,6,0.121155,-8.72981,-1.52706,-267.628,-26024.4,29758.6,-278.841,311.194,397.241,0,13.5546,4.35723,-133.56,31192.7,-8549.04,2044.53,535.991,786.452,0
3,7,0.085144,-8.38148,-1.51568,-266.571,-26024.8,29745.6,-420.608,311.586,397.628,0,13.2138,4.18965,-135.313,31138.9,-8569.96,2136,536.665,789.874,0
3,8,0.0967407,-8.5651,-1.2669,-267.238,-26227.2,29785,-297.443,311.455,398.142,0,13.5558,4.80668,-136.342,30990.6,-8513.43,2152.49,537.558,792.7,0
3,9,0.109558,-8.82884,-1.6817,-264.825,-26022.9,29937.5,-378.995,313.046,398.264,0,13.2956,4.97436,-135.312,31263.4,-8465.9,2044.15,537.434,788.954,0
4,0,0.104675,-8.38254,-1.33122,-267.257,-25890,29849.2,-402.499,311.687,396.873,0,13.2093,4.35954,-136.329,31281,-8360.74,2116.31,538.672,790.548,0
4,1,0.0601196,-8.744,-1.06581,-265.149,-26087.2,29895.3,-378.297,312.749,398.387,0,13.2071,4.3663,-134.282,31194.1,-8638.87,2043.9,535.666,787.697,0
4,2,0.10498,-8.55908,-1.51908,-265.883,-25938.8,29615.4,-242.045,311.385,397.557,0,13.0398,4.88888,-137.386,31257,-8422.75,2081.14,538.693,792.488,0
4,3,0.149231,-8.64549,-1.25912,-267.973,-26144,29717,-387.88,310.896,397.562,0,13.4673,4.53748,-135.294,31114.1,-8511.26,2152.42,537.091,790.027,0
4,4,0.145264,-8.55515,-1.07657,-266.934,-25923.8,29644.7,-385.871,311.056,397.117,0,13.1251,4.53305,-134.925,31376.9,-8602.79,2026.32,536.24,787.449,0
4,5,0.13855,-8.47127,-1.17788,-267.977,-26099.7,29573.1,-315.789,310.357,397.396,0,13.3799,4.18601,-133.22,31188.1,-8613.07,2134.8,535.347,785.89,0
4,6,0.132446,-9.0986,-1.60827,-265.875,-26020.5,29741.5,-401.208,311.863,397.867,0,13.0408,4.53638,-136.004,31333.1,-8636.23,2061.42,536.5,789.616,0
4,7,0.127563,-9.00044,-1.16115,-267.255,-25752.6,29771.6,-275.26,311.398,396.36,0,13.5521,4.45265,-135.987,31241.8,-8725.47,2025.28,535.836,790.259,0
4,8,0.117798,-8.4707,-1.24543,-266.2,-26008.9,29781.9,-310.211,311.878,397.704,0,12.9509,4.80336,-134.582,31301.3,-8523.43,2063.09,536.667,787.418,0
4,9,0.0967407,-8.4725,-1.1568,-265.859,-25920.5,29749.4,-311.44,311.899,397.497,0,13.2978,4.7103,-133.57,31341.5,-8466.78,2171.84,536.612,785.355,0
5,0,0.0964355,-8.64631,-1.25326,-265.852,-25882.1,29687.5,-437.089,311.669,397.355,0,13.3842,4.27159,-136.336,31277.5,-8470,2117.02,537.874,790.585,0
5,1,0.111084,-8.29115,-1.85927,-265.162,-25907.3,29780,-236.143,312.309,397.704,0,13.3852,4.36358,-134.594,31192.3,-8366.16,2098.96,537.842,788.249,0
5,2,0.119629,-8.64357,-1.34264,-267.266,-26015.6,29755.4,-368.626,311.333,397.34,0,13.4697,4.70939,-134.594,31118.4,-8580.7,2116.86,536.248,788.798,0
5,3,0.108032,-8.20291,-0.977908,-267.281,-25918,29806,-383.969,311.516,396.969,0,13.3017,4.18659,-134.59,31143.3,-8538.98,2098.83,536.556,788.606,0
5,4,0.0869751,-8.3795,-1.07495,-267.259,-25921.3,29744.7,-331.878,311.296,396.99,0,13.7244,4.62149,-134.25,31337.7,-8590.19,2098.57,536.013,786.572,0
5,5,0.101929,-8.29272,-1.42789,-266.549,-26065,29704.5,-440.858,311.441,397.787,0,12.871,4.18653,-134.958,31274,-8451.39,2098.54,537.378,788.269,0
5,6,0.12146,-8.57059,-1.07357,-265.147,-26216.8,29749,-384.069,312.198,398.876,0,13.9014,4.63233,-135.98,31158.2,-8631.31,2061.2,536.525,790.863,0
5,7,0.116577,-8.64907,-1.25422,-265.856,-26010.5,29651.7,-366.744,311.533,397.837,0,13.2093,5.15637,-133.897,31092.1,-8288.13,2024.91,538.101,787.791,0
5,8,0.0854492,-8.55989,-1.32084,-265.507,-25882.5,29894.8,-325.115,312.595,397.483,0,13.2102,4.80439,-134.602,31120.8,-8569.34,2043.48,536.336,788.793,0
5,9,0.103149,-8.38799,-0.794815,-266.21,-25948.8,29918.3,-326.661,312.386,397.475,0,13.2968,4.8015,-135.314,31033.5,-8468.08,2061.72,537.419,790.656,0
6,0,0.129395,-8.47324,-1.25346,-266.929,-26011.2,29748.1,-367.479,311.446,397.446,0,13.2968,4.53652,-136.685,31155,-8538.69,2062.99,537.53,792.068,0
6,1,0.103149,-8.63911,-1.51753,-267.637,-25854.6,29757.7,-384.615,311.187,396.603,0,13.3014,4.44946,-134.594,31152.5,-8502.92,2172.17,536.826,788.545,0
6,2,0.0891113,-8.47638,-1.25401,-267.25,-26182.6,29848.1,-276.181,311.686,397.97,0,13.7323,4.53559,-134.609,31200.8,-8520.14,2135.5,536.705,788.212,0
6,3,0.102539,-8.56218,-1.15508,-265.512,-25963,29787.7,-291.884,312.189,397.785,0,13.5556,4.36045,-135.982,31235.2,-8477.74,2135.8,537.655,790.299,0
