Trajectories
100
,,XYF:LASI,,,XYF:LPSI,,,XYF:RPSI,,,XYF:RASI,,,XYF:RHIP,,,XYF:RKNE,,,XYF:RKNE2,,,XYF:RTIB,,,XYF:RANK,,,XYF:RANK2,,,XYF:RHEEL,,,XYF:RTOE,,,XYF:LHIP,,,XYF:LKNE,,,XYF:LKNE2,,,XYF:LTIB,,,XYF:LANK,,,XYF:LANK2,,,XYF:LHEEL,,,XYF:LTOE,,,Wand:TFXN,,,Wand:TFORI,,,Wand:TFXP,,,Wand:TFYMid,,,Wand:TFYP,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,324.635,-591.469,881.148,,,,,,,591.978,-590.776,868.255,648.7,-630.484,774.74,593.526,-680.297,440.819,,,,565.723,-649.7,338.888,546.589,-681.756,111.08,457.957,-659.639,113.988,543.318,-552.91,72.1759,359.44,-555.04,161.533,273.725,-642.862,798.812,295.768,-659.601,452.718,437.329,-613.209,444.455,295.423,-640.567,363.016,287.094,-711.809,110.369,365.477,-657.453,118.264,351.237,-757.222,70.1725,277.74,-559.497,77.1725,331.413,403.193,51.2587,411.279,403.411,51.5499,571.324,403.72,51.8709,411.246,523.455,51.5314,410.799,643.638,51.5633
2,0,324.976,-591.868,881.414,,,,,,,592.604,-591.471,868.35,649.044,-630.8,774.567,593.723,-680.328,440.725,466.202,-668.842,423.903,565.878,-649.688,338.817,546.575,-681.756,111.018,457.957,-659.61,113.991,543.494,-553.331,71.9803,359.526,-555.057,161.461,274.102,-642.969,798.966,296.053,-658.367,452.743,413.947,-661.738,427.464,295.59,-639.665,363.078,287.073,-711.706,110.506,365.564,-657.326,118.265,351.233,-757.161,70.2496,277.75,-559.447,77.1021,331.421,403.191,51.2458,411.286,403.424,51.5365,571.35,403.721,51.8712,411.264,523.454,51.5174,410.818,643.642,51.5754
3,0,325.43,-592.146,881.617,,,,,,,593.044,-591.967,868.279,649.395,-631.103,774.535,593.872,-680.359,440.618,443.5,-718.302,406.537,566.011,-649.715,338.767,546.604,-681.749,110.994,458.033,-659.655,114.003,543.72,-553.852,71.7757,359.647,-555.077,161.401,274.471,-643.108,799.167,296.194,-657.222,452.739,437.048,-612.453,444.217,295.762,-638.747,363.029,287.108,-711.623,110.642,365.632,-657.178,118.23,351.232,-757.125,70.3533,277.754,-559.412,77.0765,331.413,403.193,51.2587,411.279,403.411,51.5499,571.329,403.715,51.8832,411.251,523.445,51.5182,410.82,643.651,51.5752
4,0,325.996,-592.376,881.719,,,,,,,593.362,-592.102,868.171,649.93,-631.519,774.606,594.138,-680.405,440.567,444.09,-718.192,406.546,566.161,-649.727,338.706,546.618,-681.742,110.907,458.069,-659.712,114,543.872,-554.291,71.5961,359.736,-555.052,161.288,274.871,-643.178,799.298,296.37,-656.062,452.737,,,,295.928,-637.89,362.865,287.158,-711.531,110.744,365.641,-656.99,118.294,351.228,-757.083,70.4547,277.715,-559.378,77.0786,331.426,403.185,51.2582,411.279,403.411,51.5499,571.328,403.718,51.8583,411.233,523.446,51.5322,410.803,643.644,51.5893
5,0,326.47,-592.661,881.935,,,,,,,593.855,-592.298,868.179,650.255,-631.874,774.501,594.384,-680.447,440.366,444.663,-717.747,406.48,566.262,-649.714,338.637,546.605,-681.761,110.905,458.125,-659.729,114.014,544.041,-554.621,71.4576,359.815,-555.107,161.218,275.305,-643.247,799.384,296.753,-654.86,452.65,436.668,-611.516,444.258,297.913,-640.755,360.956,287.128,-711.443,110.857,365.7,-656.957,118.214,351.109,-757.121,70.7352,277.745,-559.331,77.0443,331.4,403.173,51.2385,411.277,403.406,51.5481,571.329,403.704,51.868,411.242,523.451,51.5291,410.827,643.624,51.5882
6,0,326.88,-592.93,882.102,,,,,,,594.447,-593.09,868.095,650.617,-632.197,774.414,594.652,-680.457,440.238,445.265,-717.087,406.458,566.397,-649.695,338.612,546.623,-681.754,110.815,458.203,-659.756,114.023,544.123,-554.886,71.3606,359.983,-555.108,161.162,275.757,-643.354,799.542,297.076,-653.816,452.685,436.597,-611.209,444.23,297.915,-639.944,360.96,287.244,-711.323,110.889,365.764,-656.909,118.195,350.996,-757.175,70.9238,277.762,-559.31,77.0165,331.42,403.171,51.2541,411.269,403.407,51.5574,571.327,403.711,51.8662,411.244,523.455,51.5125,410.814,643.638,51.5737
7,0,327.318,-593.177,882.267,,,,,,,594.837,-593.366,868.068,650.885,-632.593,774.232,594.844,-680.458,440.105,445.565,-716.556,406.459,566.649,-649.79,338.514,546.614,-681.753,110.748,458.256,-659.834,114.004,544.181,-555.039,71.2407,360.026,-555.096,161.004,276.225,-643.378,799.719,297.285,-652.835,452.713,436.491,-610.518,444.192,297.958,-639.191,360.956,287.28,-711.241,111.026,365.793,-656.908,118.212,350.931,-757.15,71.0931,277.7,-559.297,77.0074,331.401,403.171,51.2535,411.28,403.412,51.5547,571.331,403.68,51.8777,411.256,523.444,51.51,410.816,643.662,51.5665
8,0,327.81,-593.396,882.47,,,,,,,595.248,-593.633,868.02,651.365,-633,774.212,595.218,-680.507,440.131,445.881,-716.026,406.485,566.766,-649.839,338.471,546.657,-681.758,110.698,458.339,-659.883,113.981,544.191,-555.227,71.2374,360.149,-555.115,160.942,276.59,-643.386,799.828,297.597,-651.915,452.67,436.384,-610.311,443.952,298.018,-638.325,360.918,287.3,-711.136,111.104,365.858,-656.916,118.186,350.843,-757.188,71.2918,277.732,-559.252,76.9708,331.391,403.163,51.2456,411.265,403.4,51.5538,571.33,403.665,51.8753,411.234,523.442,51.5227,410.801,643.651,51.5671
9,0,328.317,-593.647,882.635,,,,,,,595.943,-594.179,868.108,651.752,-633.395,774.16,595.595,-680.661,440.132,446.513,-715.44,406.509,567.028,-649.885,338.417,546.772,-681.801,110.738,458.437,-659.967,113.98,544.09,-554.989,71.313,360.273,-555.127,160.839,276.909,-643.489,799.927,297.901,-650.945,452.593,436.408,-610,443.863,298.128,-637.683,360.925,287.315,-711.102,111.216,365.862,-656.874,118.149,350.752,-757.23,71.4859,277.727,-559.249,76.973,331.405,403.155,51.2374,411.263,403.396,51.5525,571.302,403.676,51.861,411.246,523.43,51.5208,410.814,643.644,51.5489
