Trajectories
100
,,XYF:LASI,,,XYF:LPSI,,,XYF:RPSI,,,XYF:RASI,,,XYF:RHIP,,,XYF:RKNE,,,XYF:RKNE2,,,XYF:RTIB,,,XYF:RANK,,,XYF:RANK2,,,XYF:RHEEL,,,XYF:RTOE,,,XYF:LHIP,,,XYF:LKNE,,,XYF:LKNE2,,,XYF:LTIB,,,XYF:LANK,,,XYF:LANK2,,,XYF:LHEEL,,,XYF:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,291.949,350.906,871.133,353.511,162.242,954.217,451.225,151.72,956.365,555.306,333.336,869.922,603.1,267.138,784.106,566.14,198.378,449.872,452.545,238.305,427.234,560.026,242.841,352.416,543.43,206.474,109.414,466.406,251.8,120.274,476.885,165.793,76.6893,550.68,359.402,81.1913,239.038,295.389,789.898,270.156,235.421,452.092,387,217.093,430.56,276.88,252.171,364.508,279.521,206.49,110.194,359.434,244.921,120.503,333.765,154.443,76.9813,285.476,358.244,81.6474
2,0,291.914,350.942,871.118,353.487,162.269,954.214,451.194,151.755,956.391,555.292,333.358,869.928,603.073,267.171,784.13,566.133,198.379,449.882,452.519,238.361,427.201,559.986,242.851,352.421,543.41,206.472,109.427,466.406,251.8,120.274,476.899,165.829,76.682,550.669,359.43,81.2048,239.002,295.421,789.897,270.125,235.403,452.091,387,217.093,430.56,276.855,252.15,364.531,279.521,206.49,110.194,359.434,244.921,120.503,333.785,154.472,76.9704,285.485,358.235,81.6369
3,0,291.847,350.973,871.12,353.443,162.317,954.196,451.161,151.795,956.392,555.257,333.394,869.955,603.033,267.186,784.128,566.134,198.415,449.919,452.49,238.332,427.205,559.975,242.888,352.434,543.402,206.473,109.435,466.383,251.81,120.282,476.9,165.816,76.6857,550.661,359.413,81.1892,238.956,295.468,789.908,270.103,235.4,452.082,387.027,217.123,430.563,276.809,252.169,364.546,279.484,206.474,110.216,359.434,244.921,120.503,333.765,154.443,76.9813,285.496,358.254,81.6273
4,0,291.86,351.018,871.117,353.402,162.351,954.212,451.131,151.818,956.4,555.227,333.427,869.95,603.042,267.179,784.149,566.128,198.416,449.929,452.483,238.398,427.209,559.905,242.915,352.441,543.417,206.453,109.458,466.39,251.837,120.299,476.9,165.816,76.6857,550.653,359.432,81.2024,238.926,295.508,789.902,270.1,235.423,452.097,387.027,217.123,430.563,276.801,252.161,364.553,279.521,206.49,110.194,359.413,244.929,120.516,333.766,154.456,76.9776,285.507,358.298,81.6261
5,0,291.805,351.058,871.094,353.403,162.409,954.2,451.11,151.86,956.416,555.204,333.46,869.976,603.006,267.218,784.151,566.102,198.402,449.922,452.491,238.395,427.194,559.895,242.914,352.434,543.394,206.451,109.439,466.392,251.835,120.298,476.884,165.795,76.7,550.654,359.419,81.1894,238.907,295.533,789.894,270.067,235.423,452.078,386.961,217.139,430.562,276.816,252.175,364.519,279.482,206.473,110.213,359.397,244.949,120.528,333.748,154.468,76.9624,285.501,358.299,81.6495
6,0,291.802,351.095,871.083,353.366,162.444,954.224,451.077,151.892,956.433,555.167,333.487,869.959,602.999,267.237,784.158,566.068,198.435,449.958,452.499,238.38,427.216,559.854,242.941,352.434,543.376,206.439,109.423,466.373,251.812,120.303,476.88,165.793,76.7035,550.65,359.416,81.1902,238.869,295.546,789.851,270.024,235.412,452.091,387.004,217.152,430.589,276.786,252.175,364.544,279.516,206.489,110.189,359.409,244.946,120.51,333.73,154.48,76.9465,285.478,358.296,81.6396
7,0,291.746,351.118,871.073,353.328,162.473,954.201,451.058,151.912,956.432,555.153,333.527,869.963,602.965,267.252,784.145,566.087,198.431,449.959,452.465,238.366,427.225,559.785,242.966,352.453,543.39,206.432,109.414,466.388,251.824,120.264,476.857,165.781,76.6724,550.646,359.412,81.191,238.857,295.576,789.849,270.002,235.419,452.096,387.01,217.169,430.603,276.751,252.178,364.56,279.485,206.507,110.2,359.367,244.971,120.51,333.703,154.512,76.9337,285.513,358.277,81.6117
8,0,291.74,351.138,871.062,353.307,162.501,954.205,451.032,151.933,956.44,555.113,333.556,869.944,602.993,267.262,784.18,566.064,198.446,449.989,452.469,238.368,427.208,559.673,243.016,352.432,543.368,206.396,109.405,466.373,251.838,120.268,476.84,165.744,76.6913,550.642,359.409,81.1917,238.83,295.592,789.832,269.966,235.418,452.11,387.022,217.169,430.586,276.771,252.189,364.549,279.512,206.489,110.184,359.368,244.966,120.518,333.704,154.522,76.9251,285.483,358.277,81.6149
9,0,291.711,351.171,871.069,353.268,162.534,954.222,451.027,151.951,956.447,555.077,333.582,869.936,602.934,267.263,784.161,566.06,198.463,449.986,452.433,238.431,427.236,559.576,243.06,352.413,543.364,206.376,109.397,466.375,251.832,120.284,476.842,165.761,76.6675,550.631,359.4,81.1766,238.814,295.607,789.822,269.976,235.391,452.101,387.024,217.169,430.583,276.785,252.203,364.515,279.446,206.491,110.218,359.367,244.971,120.488,333.632,154.516,76.9302,285.49,358.213,81.6046
