Trajectories
100
,,XYF:LASI,,,XYF:LPSI,,,XYF:RPSI,,,XYF:RASI,,,XYF:RHIP,,,XYF:RKNE,,,XYF:RKNE2,,,XYF:RTIB,,,XYF:RANK,,,XYF:RANK2,,,XYF:RHEEL,,,XYF:RTOE,,,XYF:LHIP,,,XYF:LKNE,,,XYF:LKNE2,,,XYF:LTIB,,,XYF:LANK,,,XYF:LANK2,,,XYF:LHEEL,,,XYF:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,274.246,395.406,870.221,334.575,203.148,952.722,432.205,191.277,956.087,536.375,375.842,869.655,586.432,308.778,787.258,562.473,242.152,452.563,448.105,286.953,425.694,557.543,287.909,353.635,551.933,249.495,110.008,475.428,294.892,119.098,485.714,209.157,77.3193,564.395,406.306,80.044,219.929,339.535,789.255,245.643,279.252,452.13,366.778,268.906,429.651,250.102,295.312,364.482,247.895,249.326,111.354,326.534,291.15,118.712,303.219,199.034,77.3686,244.852,399.808,81.2089
2,0,274.242,395.399,870.208,334.575,203.148,952.722,432.212,191.287,956.078,536.397,375.846,869.65,586.432,308.778,787.258,562.481,242.152,452.555,448.108,286.917,425.713,557.569,287.899,353.632,551.935,249.488,109.993,475.418,294.871,119.142,485.707,209.164,77.3339,564.416,406.294,80.0338,219.93,339.539,789.242,245.7,279.252,452.083,366.776,268.923,429.678,250.15,295.333,364.477,247.895,249.326,111.354,326.525,291.172,118.734,303.228,199.056,77.3779,244.855,399.819,81.2086
3,0,274.258,395.388,870.205,334.584,203.147,952.733,432.212,191.287,956.078,536.397,375.869,869.625,586.432,308.778,787.258,562.481,242.152,452.555,448.118,286.935,425.733,557.565,287.906,353.615,551.933,249.505,109.989,475.401,294.865,119.101,485.705,209.178,77.3303,564.404,406.286,80.0343,219.97,339.54,789.246,245.678,279.255,452.115,366.733,268.953,429.664,250.122,295.319,364.475,247.896,249.343,111.351,326.554,291.165,118.716,303.21,199.039,77.385,244.852,399.808,81.2089
4,0,274.255,395.372,870.205,334.584,203.147,952.733,432.265,191.283,956.066,536.409,375.862,869.639,586.432,308.778,787.258,562.503,242.138,452.546,448.116,286.942,425.714,557.562,287.899,353.608,551.933,249.505,109.989,475.419,294.895,119.121,485.714,209.157,77.3193,564.404,406.286,80.0343,219.951,339.518,789.274,245.702,279.265,452.123,366.726,268.954,429.604,250.151,295.322,364.477,247.866,249.353,111.39,326.534,291.15,118.712,303.237,199.05,77.3614,244.87,399.819,81.2056
5,0,274.257,395.37,870.218,334.609,203.119,952.735,432.267,191.285,956.066,536.41,375.882,869.62,586.423,308.808,787.251,562.526,242.116,452.538,448.119,286.936,425.733,557.562,287.898,353.609,551.932,249.484,109.969,475.461,294.898,119.114,485.715,209.147,77.3341,564.4,406.284,80.034,219.969,339.5,789.251,245.699,279.245,452.108,366.772,268.924,429.614,250.18,295.312,364.468,247.892,249.326,111.351,326.529,291.145,118.713,303.219,199.03,77.362,244.85,399.806,81.21
6,0,274.263,395.379,870.231,334.621,203.13,952.714,432.275,191.284,956.053,536.422,375.881,869.618,586.461,308.809,787.249,562.529,242.126,452.534,448.12,286.936,425.733,557.515,287.907,353.574,551.928,249.47,109.965,475.411,294.885,119.122,485.689,209.125,77.3327,564.403,406.298,80.0565,220.011,339.486,789.253,245.707,279.233,452.121,366.782,268.906,429.646,250.168,295.304,364.488,247.86,249.354,111.387,326.515,291.16,118.735,303.244,199.037,77.3523,244.84,399.819,81.1973
7,0,274.28,395.37,870.228,334.65,203.13,952.71,432.301,191.298,956.054,536.411,375.896,869.602,586.465,308.792,787.25,562.562,242.101,452.544,448.121,286.936,425.733,557.552,287.884,353.601,551.927,249.456,109.96,475.464,294.89,119.133,485.68,209.105,77.3032,564.416,406.286,80.0529,220.067,339.472,789.236,245.71,279.252,452.089,366.786,268.889,429.616,250.17,295.31,364.473,247.886,249.337,111.371,326.516,291.132,118.714,303.249,199.007,77.3537,244.853,399.812,81.2252
8,0,274.284,395.372,870.227,334.673,203.118,952.709,432.324,191.283,956.032,536.388,375.93,869.591,586.463,308.809,787.247,562.573,242.088,452.541,448.122,286.937,425.733,557.553,287.882,353.602,551.921,249.443,109.956,475.412,294.885,119.122,485.674,209.087,77.3486,564.36,406.285,80.0523,220.067,339.457,789.231,245.782,279.188,452.073,366.781,268.907,429.578,250.17,295.305,364.488,247.884,249.337,111.37,326.525,291.164,118.739,303.236,199.008,77.3522,244.845,399.802,81.2123
9,0,274.279,395.352,870.214,334.674,203.118,952.708,432.333,191.285,956.023,536.374,375.933,869.585,586.464,308.809,787.245,562.58,242.075,452.533,448.122,286.937,425.733,557.551,287.882,353.604,551.917,249.431,109.953,475.438,294.863,119.135,485.681,209.088,77.2972,564.398,406.275,80.0534,220.101,339.443,789.209,245.742,279.179,452.112,366.782,268.906,429.577,250.149,295.296,364.481,247.883,249.354,111.364,326.502,291.144,118.736,303.224,199.015,77.3411,244.847,399.813,81.2132
