Trajectories
100
,,XYF:LASI,,,XYF:LPSI,,,XYF:RPSI,,,XYF:RASI,,,XYF:RHIP,,,XYF:RKNE,,,XYF:RKNE2,,,XYF:RTIB,,,XYF:RANK,,,XYF:RANK2,,,XYF:RHEEL,,,XYF:RTOE,,,XYF:LHIP,,,XYF:LKNE,,,XYF:LKNE2,,,XYF:LTIB,,,XYF:LANK,,,XYF:LANK2,,,XYF:LHEEL,,,XYF:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
917,0,243.799,515.849,875.717,311.365,324.161,944.035,409.741,317.621,947.151,507.192,503.565,881.071,563.787,469.614,792.501,534.934,597.961,488.56,416.699,641.523,473.97,520.096,607.395,383.672,498.107,444.081,194.339,421.222,485.693,192.187,433.347,384.986,185.533,488.106,563.916,104.091,199.773,469.809,786.621,251.758,450.916,445.793,371.639,435.856,433.896,266.729,457.942,351.294,274.494,360.75,110.812,359.671,391.557,122.208,324.381,302.359,77.4464,297.873,508.46,79.8432
918,0,243.531,523.651,874.944,310.519,331.85,943.528,408.937,324.994,946.828,506.914,510.556,880.838,563.754,476.774,792.911,535.013,608.376,489.571,417.243,652.317,475.719,520.719,622.474,384.545,498.591,469.781,186.454,420.837,511.66,188.103,434.089,411.702,173.615,489.114,594.954,103.619,199.645,477.396,785.778,251.726,453.613,445.323,372.498,436.988,434.876,267.099,459.86,350.789,274.694,360.986,111.108,360.934,391.672,120.761,324.546,302.413,77.604,297.714,508.495,79.8844
919,0,243.314,531.544,874.022,309.927,339.528,942.967,408.248,332.479,946.402,506.536,517.801,880.504,563.722,484.026,793.204,535.169,618.402,490.04,417.744,662.858,477.091,521.291,637.206,385.215,499.742,494.889,178.645,421.871,538.075,182.357,436.288,438.316,161.975,490.895,625.72,103.071,199.269,484.806,784.938,251.719,456.399,444.71,371.361,440.138,433.664,266.921,461.989,350.785,275.083,361.301,111.41,361.504,391.959,120.544,324.681,302.49,77.7437,298.038,508.735,79.5565
920,0,243.32,539.346,873.038,309.285,347.36,942.362,407.413,340.045,945.967,506.499,524.964,880.09,563.709,491.21,793.215,535.236,628.012,489.954,418.848,672.916,477.695,522.255,651.57,385.744,500.649,523.039,171.132,423.363,564.778,176.958,435.871,467.956,151.078,492.948,656.635,102.939,199.111,492.274,783.906,251.472,459.172,444.494,370.774,443.318,432.749,267.198,463.982,350.382,275.448,361.614,111.799,362.063,392.285,120.367,324.888,302.61,77.9115,297.997,508.722,79.6042
921,0,243.063,547.249,871.839,308.727,355.297,941.625,406.898,347.742,945.456,506.134,532.514,879.459,563.637,498.636,793.081,535.208,637.175,489.575,420.21,682.562,477.586,523.046,665.436,386.022,502.441,550.128,164.063,425.136,591.625,171.909,437.621,496.367,140.611,495.248,687.323,103.312,198.792,499.6,782.865,251.147,462.219,444.03,370.555,445.958,432.234,267.415,466.145,350.03,275.873,361.927,112.108,362.576,392.503,120.088,324.977,302.759,78.0442,298.338,508.984,79.1917
922,0,242.972,555.049,870.602,308.326,363.269,940.86,406.495,355.512,944.838,506.013,540.093,878.75,563.686,506.087,792.611,535.451,645.656,488.805,419.141,692.32,479.088,524.068,679.147,386.295,504.467,577.532,157.183,427.342,618.695,167.151,439.874,525.107,130.86,497.898,718.02,104.316,198.768,507.04,781.543,252.139,464.836,442.976,373.175,445.774,434.977,268.511,468.522,348.891,276.311,362.274,112.393,363.189,392.836,119.904,325.995,302.528,78.3621,298.386,509.061,79.0048
923,0,242.904,562.916,869.12,308.159,371.169,940.032,406.303,363.366,944.071,505.977,547.926,877.848,563.87,513.565,791.933,535.544,653.74,487.5,420.042,701.039,478.718,524.93,692.315,386.339,505.575,603.692,150.236,430.162,645.452,162.838,442.587,554.023,122.033,500.541,748.006,105.294,198.628,514.385,780.385,252.39,467.724,442.389,,,,268.937,470.594,348.426,276.671,362.652,112.724,364.725,392.441,119.842,326.178,302.649,78.7994,298.441,509.141,78.8233
924,0,242.855,570.816,867.56,308.072,379.259,939.07,406.248,371.302,943.23,505.877,555.898,876.753,564.136,521.193,791.083,535.609,661.271,485.9,420.514,709.06,478.122,525.9,705.099,386.485,510.278,632.767,146.218,432.86,672.171,159.434,445.722,582.895,114.282,503.189,777.501,107.066,198.61,521.836,779.107,252.578,470.636,441.941,,,,269.077,472.589,348.06,277.024,362.979,113.008,364.206,393.327,119.951,326.213,302.764,79.1748,298.525,509.203,78.6322
925,0,242.891,578.766,866.045,308.287,387.398,938.024,406.473,379.39,942.262,505.939,564.101,875.643,564.143,529.045,789.947,535.814,668.288,483.755,420.791,716.667,477.21,526.751,717.48,386.437,513.577,659.973,142.127,435.744,698.33,156.632,449.302,611.301,107.634,505.532,806.413,109.008,198.674,529.36,777.859,252.599,473.338,441.624,371.945,455.521,431.698,269.034,474.375,347.804,277.376,363.323,113.465,364.164,394.039,120.167,326.301,302.908,79.4098,298.479,509.366,78.5119
926,0,242.893,586.798,864.52,308.47,395.461,936.94,406.661,387.43,941.201,506.169,572.43,874.437,564.442,537.032,788.713,535.917,675.093,480.951,421.081,723.783,475.698,527.537,729.588,386.259,517.101,686.805,139.28,438.703,723.782,154.594,453.097,639.186,101.784,507.563,834.515,111.795,198.773,536.769,776.59,252.687,476.101,441.393,372.696,457.579,432.642,268.797,476.075,347.581,277.636,363.653,113.985,364.487,394.576,120.411,326.535,303.099,79.8495,298.697,509.716,78.0959
927,0,243.064,594.869,862.908,309.038,403.727,935.644,407.054,395.73,940.046,506.397,581.166,873.14,564.935,545.075,787.401,536.072,681.614,477.929,421.111,730.298,473.59,528.294,741.136,386.066,520.427,713.205,137.102,441.448,748.466,153.253,457.687,666.091,97.5032,509.401,862.029,116.105,198.76,544.301,775.424,252.587,478.721,441.289,373.043,459.962,433.569,268.715,477.932,347.417,277.964,363.986,114.536,364.811,395.015,120.677,326.836,303.234,80.3624,298.588,509.441,78.1828
928,0,243.25,602.997,861.46,309.565,411.98,934.372,407.637,404.141,938.823,506.841,589.936,871.897,565.228,553.534,785.918,536.385,688.063,474.901,421.433,736.806,470.752,528.797,752.06,385.968,523.617,738.235,136.079,444.101,771.902,152.835,461.847,692.05,93.7956,510.985,887.805,120.717,198.829,551.983,774.196,252.547,481.476,441.112,373.874,462.525,434.472,268.567,479.702,347.372,278.238,364.362,115.169,364.963,395.557,121.021,327.1,303.384,80.9142,298.616,509.579,78.0344
