Trajectories
100
,,XYF:LASI,,,XYF:LPSI,,,XYF:RPSI,,,XYF:RASI,,,XYF:RHIP,,,XYF:RKNE,,,XYF:RKNE2,,,XYF:RTIB,,,XYF:RANK,,,XYF:RANK2,,,XYF:RHEEL,,,XYF:RTOE,,,XYF:LHIP,,,XYF:LKNE,,,XYF:LKNE2,,,XYF:LTIB,,,XYF:LANK,,,XYF:LANK2,,,XYF:LHEEL,,,XYF:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1135,0,174.076,494.409,859.057,206.507,312.459,968.311,300.874,293.757,986.261,430.896,452.759,895.244,485.314,387.018,816.921,489.288,404.727,474.56,374.748,441.284,443.782,486.735,453.967,375.684,510.249,405.672,129.034,426.475,436.415,136.941,453.893,351.977,88.5228,487.15,557.818,98.2211,128.614,441.839,779.423,189.103,428.495,444.962,308.233,399.695,434.962,206.572,440.837,352.513,210.92,351.048,110.421,299.254,378.194,117.823,260.409,290.277,78.6357,235.762,497.941,79.498
1136,0,174.277,496.21,859.074,207.213,314.125,968.027,301.597,295.587,985.839,431.324,455.013,895.027,485.728,389.634,816.432,489.744,408.793,474.337,373.983,447.144,443.789,487.222,459.247,376.008,510.764,413.936,128.703,426.95,444.35,136.902,454.665,360.474,87.7921,486.844,566.006,98.899,128.911,443.502,779.417,189.283,429.347,444.828,308.303,400.714,434.945,206.82,441.616,352.335,210.927,351.065,110.504,299.294,378.269,117.784,260.422,290.317,78.6537,235.779,497.983,79.472
1137,0,174.612,497.982,859.051,208.003,315.823,967.762,302.493,297.526,985.385,431.706,457.322,894.677,486.155,392.183,815.843,490.352,412.725,474.143,374.427,451.129,443.899,487.272,464.468,376.076,511.269,421.872,128.415,427.405,452.71,136.739,455.455,368.633,87.1679,486.816,574.844,99.4982,128.971,445.366,779.455,189.45,430.324,444.781,308.509,401.832,434.532,206.959,442.35,352.179,210.871,350.951,110.52,299.601,376.984,117.454,260.397,290.358,78.6764,235.765,498.04,79.4275
1138,0,174.881,499.855,859.098,208.863,317.569,967.495,303.403,299.467,984.932,432.151,459.636,894.352,486.769,394.741,815.518,490.789,416.766,473.868,374.796,455.157,444.112,487.788,469.43,376.471,511.676,429.692,128.133,427.714,459.621,136.923,456.042,376.651,86.5408,486.651,582.801,100.383,129.468,447.074,779.308,189.72,431.538,444.551,308.755,402.656,434.524,207.344,443.26,351.962,210.931,351.032,110.597,299.528,378.307,117.715,260.466,290.379,78.7233,235.77,498.266,79.4591
1139,0,175.345,501.634,859.006,209.715,319.236,967.193,304.352,301.399,984.511,432.732,461.996,893.99,487.447,397.437,815.059,491.167,420.635,473.498,375.334,459.286,444.092,488.263,474.254,376.647,512.099,437.326,127.945,428.285,466.784,136.774,456.668,384.378,86.0048,486.635,590.445,101.094,129.808,448.847,779.24,190.08,432.626,444.387,309.061,403.694,434.417,207.68,444.121,351.792,210.951,351.043,110.643,299.633,378.502,117.7,260.441,290.433,78.7548,235.675,497.874,79.5104
1140,0,175.811,503.485,858.988,210.724,320.996,966.865,305.426,303.346,984.033,433.195,464.376,893.561,488.118,400.083,814.637,491.85,424.495,473.207,375.736,462.913,444.121,488.557,479.138,376.789,512.504,444.557,127.763,429.064,473.185,136.377,457.171,391.895,85.3297,486.755,597.814,101.744,130.096,450.582,779.209,190.27,433.716,444.224,309.417,404.558,434.412,207.932,444.857,351.543,211.089,351.218,110.708,299.733,378.593,117.672,260.456,290.465,78.7952,235.658,497.884,79.5041
1141,0,176.034,505.322,859.029,211.708,322.69,966.544,306.491,305.317,983.572,433.838,466.883,893.218,489.057,402.833,814.227,492.169,428.483,472.9,376.29,466.874,444.359,488.901,483.986,376.862,511.997,452.802,127.693,428.694,480.856,136.803,457.52,399.15,84.8317,486.952,604.999,102.484,130.653,452.209,779.129,190.697,434.739,444.062,309.652,405.884,434.1,208.167,445.67,351.446,211.052,351.061,110.71,299.825,378.669,117.672,260.37,290.513,78.7431,235.674,497.847,79.522
1142,0,176.455,507.056,859.019,212.872,324.434,966.285,307.716,307.317,983.067,434.516,469.21,892.806,489.874,405.597,813.709,492.821,432.297,472.615,376.532,470.794,444.486,489.308,488.603,377.008,512.22,459.52,127.374,429.076,487.575,136.803,457.726,406.045,84.3557,487.236,611.782,103.155,130.89,453.932,779.224,191.054,435.634,443.868,309.845,407.031,434.104,208.322,446.389,351.191,211.076,351.103,110.75,299.903,378.739,117.618,260.39,290.539,78.7718,235.667,497.833,79.5052
1143,0,176.98,508.931,858.937,213.953,326.176,965.965,308.983,309.388,982.571,435.1,471.794,892.417,490.761,408.402,813.295,493.413,436.189,472.272,377.088,474.694,444.872,489.646,493.16,377.078,512.678,465.774,127.28,429.298,493.789,136.907,457.751,412.657,83.9446,487.785,618.274,103.913,131.529,455.563,779.098,191.202,436.529,443.8,309.957,408.285,433.835,208.43,447.077,350.97,211.092,351.098,110.764,299.986,378.788,117.598,260.413,290.534,78.8089,235.666,497.843,79.4773
1144,0,177.492,510.667,858.909,215.185,328.013,965.607,310.249,311.417,982.161,435.794,474.244,892.027,491.905,411.201,813.135,494.088,440.049,472.082,377.469,478.538,445.164,490.217,497.557,377.11,511.887,472.409,126.234,429.524,499.961,137.033,458.514,420.572,82.0493,488.342,624.475,104.635,132.13,457.317,779.035,191.369,437.387,443.661,310.398,409.298,433.46,208.717,447.785,350.749,211.109,351.116,110.802,300.066,378.829,117.584,260.403,290.538,78.785,235.667,497.834,79.4937
1145,0,178.096,512.359,858.823,216.374,329.692,965.41,311.556,313.519,981.73,436.382,476.822,891.629,492.903,414.215,812.728,494.784,443.996,471.895,378.16,482.922,445.61,490.787,502.07,377.091,511.525,478.108,125.355,429.733,505.937,137.063,458.777,425.824,82.9541,489.098,630.342,105.28,132.894,458.894,778.898,191.6,438.207,443.429,310.727,410.406,433.215,208.86,448.442,350.597,211.176,351.224,110.842,300.111,378.865,117.552,260.42,290.54,78.8198,235.674,497.829,79.4811
