Trajectories
100
,,XYF:LASI,,,XYF:LPSI,,,XYF:RPSI,,,XYF:RASI,,,XYF:RHIP,,,XYF:RKNE,,,XYF:RKNE2,,,XYF:RTIB,,,XYF:RANK,,,XYF:RANK2,,,XYF:RHEEL,,,XYF:RTOE,,,XYF:LHIP,,,XYF:LKNE,,,XYF:LKNE2,,,XYF:LTIB,,,XYF:LANK,,,XYF:LANK2,,,XYF:LHEEL,,,XYF:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
917,0,234.617,394.976,870.578,294.248,200.69,945.098,391.858,189.792,951.696,496.377,374.375,880.79,553.385,332.549,794.626,529.858,450.664,476.35,415.528,501.46,466.057,524.591,501.694,380.974,519.811,451.509,134.114,441.341,488.235,148.925,457.652,402.605,98.2989,510.123,601.584,105.105,189.984,345.561,782.932,252.148,300.358,445.81,373.638,282.65,440.709,271.295,306.84,353.291,293.314,217.678,107.301,374.937,247.623,126.439,346.197,157.261,78.2728,322.582,364.116,80.5032
918,0,234.767,400.252,869.566,294.414,206.026,944.442,392.153,195.198,951.083,496.507,379.912,880.143,553.803,337.938,794.193,529.725,455.751,475.293,415.844,506.846,465.411,525.132,510.199,381.44,521.518,470.307,133.033,442.648,505.999,148.535,459.711,422.074,95.5416,510.84,621.14,108.097,190.056,350.427,782.06,252.196,302.425,445.488,373.71,285.081,440.276,271.338,308.261,352.998,293.485,217.778,107.363,375.116,247.766,126.386,346.267,157.275,78.3043,322.644,364.101,80.3112
919,0,234.812,405.495,868.539,294.624,211.386,943.622,392.364,200.653,950.361,496.529,385.59,879.44,554.104,343.476,793.611,529.848,460.723,473.948,416.124,512.156,464.568,525.916,518.302,381.963,522.805,488.386,131.916,444.092,523.275,148.424,461.576,441.08,93.1171,511.595,640.028,111.58,190.068,355.375,781.26,252.211,304.452,445.232,373.736,287.785,439.847,271.279,309.639,352.684,293.671,217.891,107.47,375.274,247.963,126.31,346.321,157.334,78.3801,322.729,364.065,80.1267
920,0,234.806,410.799,867.528,295.082,216.803,942.874,392.846,206.206,949.648,496.806,391.319,878.569,554.347,349.272,792.886,530.122,465.482,472.504,,,,526.867,526.796,382.866,522.308,504.29,129.671,445.263,539.963,148.727,463.202,459.29,90.7355,512.485,658.004,115.53,190.26,360.272,780.358,252.349,306.655,444.881,373.553,289.632,440.347,271.1,311.118,352.336,293.906,218,107.641,375.557,248.177,126.281,346.391,157.371,78.4397,322.79,364.036,79.9105
921,0,235.068,416.16,866.418,295.478,222.239,942.05,393.372,211.854,948.799,496.912,397.402,877.663,554.7,355.169,792.074,530.225,470.423,470.717,,,,527.677,534.411,383.156,525.745,522.745,131.183,446.401,555.946,149.168,464.821,477.288,88.8959,513.368,675.197,119.974,190.552,365.313,779.487,252.592,308.974,444.464,374.462,293.351,439.588,271.042,312.539,352.001,294.174,218.143,107.873,377.022,247.859,126.413,346.453,157.426,78.5253,322.707,364.155,79.73
922,0,235.146,421.586,865.49,296.196,227.806,941.096,394.066,217.642,947.948,497.162,403.448,876.814,555.026,361.289,791.061,530.69,475.519,469.074,,,,528.623,542.109,383.856,526.878,538.692,131.071,447.415,571.129,150.001,465.984,494.554,87.1198,514.315,691.414,124.693,190.73,370.369,778.642,252.68,311.46,444.189,374.45,296.447,439.014,270.68,314.204,351.905,294.41,218.287,108.184,376.746,248.488,126.21,346.56,157.463,78.6129,322.431,364.374,79.5549
923,0,235.461,427.008,864.441,296.881,233.263,940.276,394.851,223.608,946.989,497.554,409.699,875.815,555.492,367.442,790.004,531.475,481.206,467.561,,,,528.957,549.06,383.585,527.904,553.748,130.66,448.513,585.639,150.917,467.008,511.119,85.546,515.296,706.818,129.44,190.972,375.354,777.803,253.15,314.106,443.647,375.084,299.438,438.866,270.685,316.444,351.304,294.734,218.38,108.48,376.88,248.829,126.106,346.72,157.555,78.6833,323.052,364.285,79.1257
924,0,235.777,432.552,863.385,297.717,238.936,939.335,395.619,229.568,946.003,497.946,416.14,874.836,555.86,373.83,788.9,532.778,486.902,466.238,,,,529.132,555.881,383.259,528.719,568.208,130.686,449.373,599.372,151.907,467.922,526.714,84.1926,516.06,721.063,134.189,191.369,380.387,776.863,253.551,317.132,443.241,375.642,302.569,438.443,271.009,318.99,350.571,294.951,218.368,108.91,377.498,249.359,125.83,346.92,157.679,78.785,323.164,364.026,78.8915
925,0,236.238,438.138,862.292,298.735,244.682,938.322,396.668,235.733,944.982,498.375,422.716,873.697,556.498,380.329,787.721,533.931,492.794,464.955,,,,529.101,562.778,382.741,530.75,581.982,131.979,450.123,611.99,152.822,468.77,541.489,82.9476,516.692,734.328,138.73,191.848,385.596,775.839,254.13,320.329,442.592,376.421,305.73,438.113,271.265,322.085,349.609,295.141,218.393,109.42,378.06,249.679,125.582,347.145,157.793,78.8936,323.149,363.283,78.8795
926,0,236.58,443.874,861.114,299.622,250.275,937.398,397.732,241.993,943.86,498.928,429.368,872.612,556.934,387.015,786.501,534.65,498.342,463.481,,,,529.21,570.312,382.337,531.767,593.775,131.656,450.701,623.745,153.652,469.516,555.125,81.8986,516.958,746.69,142.72,192.365,390.938,774.79,254.978,323.957,441.767,377.228,309.14,437.421,272.477,324.905,348.595,295.427,218.48,109.854,378.74,250.046,125.357,347.294,157.898,79.0786,323.237,363.719,78.62
927,0,236.981,449.758,859.902,300.442,255.851,936.534,398.884,248.368,942.748,499.493,436.191,871.407,557.411,393.872,785.245,535.033,503.684,461.753,,,,529.348,577.321,381.861,531.069,605.875,130.562,451.169,634.491,154.26,470.078,567.469,80.8761,517.088,757.809,146.199,193.038,396.425,773.593,255.8,327.747,440.904,378.02,312.766,436.802,275.037,326.975,347.776,295.799,218.666,110.403,379.318,250.412,125.312,347.295,158.014,79.2086,323.35,363.99,78.3769
928,0,237.519,455.73,858.701,301.579,261.851,935.403,400.026,254.829,941.577,500.073,443.063,870.336,558.274,400.656,784.098,535.371,509.382,460.091,418.197,556.23,451.373,529.493,584.77,381.218,531.439,616.438,130.135,451.51,644.186,154.572,470.258,578.186,79.5397,516.686,768.054,148.863,193.733,402.116,772.546,256.675,331.676,440.238,378.78,316.712,436.06,276.042,329.895,347.189,296.143,218.849,110.887,379.762,250.863,125.273,347.099,158.127,79.3138,323.404,364.154,78.205
