Devices
1000
,,Sensors - Force,Imported AMTI 400600 V1.0 - Force,,,Imported AMTI 400600 V1.0 - Moment,,,Imported AMTI 400600 V1.0 - CoP,,,Imported AMTI 400600 V1.0 - Force,,,Imported AMTI 400600 V1.0 - Moment,,,Imported AMTI 400600 V1.0 - CoP,,,
Frame,Sub Frame,FP3,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
908,0,0.117798,-29.9092,-2.52644,-536.446,-63695.4,26437.6,1669.5,249.283,418.736,0,0,0,0,0,0,0,600,1020,0
908,1,0.112305,-29.8152,-3.01046,-537.341,-63736.9,26419.8,1654.52,249.168,418.615,0,0,0,0,0,0,0,600,1020,0
908,2,0.141296,-29.8018,-3.2649,-537.253,-63666.6,26475.9,1650.07,249.28,418.504,0,0,0,0,0,0,0,600,1020,0
908,3,0.0946045,-29.7727,-3.42758,-537.656,-63736.7,26496,1710.01,249.281,418.545,0,0,0,0,0,0,0,600,1020,0
908,4,0.0811768,-29.5115,-3.53426,-537.958,-63734,26403.9,1722.09,249.082,418.474,0,0,0,0,0,0,0,600,1020,0
908,5,0.0912476,-29.5041,-3.69588,-538.042,-63742.2,26407.5,1687.3,249.081,418.471,0,0,0,0,0,0,0,600,1020,0
908,6,0.088501,-29.7213,-3.96417,-537.191,-63815,26455.1,1705.8,249.247,418.794,0,0,0,0,0,0,0,600,1020,0
908,7,0.13031,-29.5914,-4.20464,-537.36,-63679.7,26558.9,1681.56,249.425,418.505,0,0,0,0,0,0,0,600,1020,0
908,8,0.119629,-29.6012,-4.23369,-538.659,-63594.8,26585,1676.5,249.354,418.061,0,0,0,0,0,0,0,600,1020,0
908,9,0.0561523,-29.8274,-4.61602,-538.597,-63578.4,26605.1,1691.46,249.397,418.044,0,0,0,0,0,0,0,600,1020,0
909,0,0.119629,-29.8902,-4.95574,-538,-63606,26600.1,1685.94,249.443,418.227,0,0,0,0,0,0,0,600,1020,0
909,1,0.126953,-29.8754,-4.98192,-538,-63601.9,26541.5,1675.58,249.334,418.219,0,0,0,0,0,0,0,600,1020,0
909,2,0.120239,-29.7683,-4.93493,-537.535,-63441.4,26538.6,1635.24,249.371,418.023,0,0,0,0,0,0,0,600,1020,0
909,3,0.117188,-29.5682,-5.53546,-537.252,-63479.3,26665.6,1656.92,249.633,418.155,0,0,0,0,0,0,0,600,1020,0
909,4,0.131226,-29.6812,-5.86006,-537.807,-63342.7,26756.3,1679.98,249.751,417.78,0,0,0,0,0,0,0,600,1020,0
909,5,0.105591,-29.9456,-5.92176,-538.314,-63295,26741.4,1686.91,249.676,417.58,0,0,0,0,0,0,0,600,1020,0
909,6,0.0939941,-30.0609,-5.99374,-538.405,-63395.8,26801.3,1674.33,249.779,417.747,0,0,0,0,0,0,0,600,1020,0
909,7,0.098877,-29.9274,-6.21411,-538.464,-63253.8,26706,1619.61,249.597,417.471,0,0,0,0,0,0,0,600,1020,0
909,8,0.0982666,-30.0163,-6.42925,-539.377,-63123.1,26706.3,1592.4,249.513,417.03,0,0,0,0,0,0,0,600,1020,0
909,9,0.14801,-29.9915,-6.85911,-539.631,-63232.8,26723.3,1604.65,249.521,417.178,0,0,0,0,0,0,0,600,1020,0
910,0,0.101624,-29.7949,-7.28815,-538.809,-63236.7,26805.4,1658.4,249.749,417.364,0,0,0,0,0,0,0,600,1020,0
910,1,0.0839233,-29.997,-7.35027,-538.928,-63168.1,26885.8,1680.71,249.887,417.211,0,0,0,0,0,0,0,600,1020,0
910,2,0.0909424,-29.9919,-7.49797,-540.603,-63263.5,26813.8,1694.89,249.6,417.024,0,0,0,0,0,0,0,600,1020,0
910,3,0.0808716,-30.0282,-7.90924,-540.905,-63293.9,26795.7,1662.99,249.539,417.015,0,0,0,0,0,0,0,600,1020,0
910,4,0.137024,-30.2328,-8.18405,-540.036,-63113.6,26790.2,1653.18,249.608,416.869,0,0,0,0,0,0,0,600,1020,0
910,5,0.0921631,-30.1991,-8.24368,-539.588,-63131.3,26784.1,1712.44,249.638,416.999,0,0,0,0,0,0,0,600,1020,0
910,6,0.10376,-29.977,-8.27048,-539.154,-63124.3,26853.4,1670.7,249.807,417.08,0,0,0,0,0,0,0,600,1020,0
