Trajectories
100
,,Wand:TFXN,,,Wand:TFORI,,,Wand:TFXP,,,Wand:TFYMid,,,Wand:TFYP,,,LFL:LASI,,,LFL:LPSI,,,LFL:RPSI,,,LFL:RASI,,,LFL:RHIP,,,LFL:RKNE,,,LFL:RKNE2,,,LFL:RTIB,,,LFL:RANK,,,LFL:RANK2,,,LFL:RHEEL,,,LFL:RTOE,,,LFL:LHIP,,,LFL:LKNE,,,LFL:LKNE2,,,LFL:LTIB,,,LFL:LANK,,,LFL:LANK2,,,LFL:LHEEL,,,LFL:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,331.97,346.062,51.9686,411.719,346.069,52.0979,571.756,345.531,52.321,412.36,466.07,52.1438,412.106,586.178,52.1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,331.957,346.069,51.969,411.72,346.06,52.0988,571.762,345.544,52.3085,412.349,466.068,52.163,412.105,586.173,52.2132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,331.97,346.062,51.9686,411.719,346.069,52.0979,571.762,345.544,52.3085,412.343,466.067,52.156,412.119,586.168,52.2175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,331.97,346.062,51.9686,411.719,346.069,52.0979,571.762,345.544,52.3085,412.349,466.068,52.163,412.119,586.168,52.2175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,331.974,346.055,51.9599,411.72,346.063,52.0852,571.757,345.532,52.321,412.354,466.072,52.1525,412.105,586.175,52.2165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,331.959,346.057,51.9597,411.699,346.054,52.0995,571.771,345.52,52.3086,412.338,466.076,52.1506,412.107,586.167,52.2053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,331.964,346.046,51.9641,411.695,346.05,52.0995,571.746,345.515,52.3078,412.339,466.056,52.1492,412.096,586.177,52.2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,331.968,346.04,51.9559,411.705,346.056,52.0982,571.762,345.503,52.3191,412.35,466.062,52.146,412.099,586.17,52.1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,331.966,346.036,51.9549,411.713,346.041,52.0982,571.741,345.509,52.3051,412.336,466.05,52.1452,412.097,586.168,52.1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,331.964,346.031,51.9537,411.704,346.056,52.0826,571.745,345.502,52.3066,412.335,466.047,52.1437,412.102,586.163,52.2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,331.975,346.017,51.9525,411.701,346.044,52.0838,571.743,345.498,52.3058,412.347,466.054,52.1402,412.09,586.17,52.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,331.955,346.025,51.9583,411.68,346.034,52.1009,571.76,345.497,52.3167,412.352,466.057,52.1515,412.091,586.161,52.1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,331.946,346.025,51.9535,411.692,346.043,52.0982,571.756,345.5,52.3033,412.332,466.039,52.1387,412.09,586.168,52.2123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,331.944,346.02,51.9529,411.688,346.039,52.0986,571.776,345.475,52.2999,412.344,466.047,52.1351,412.097,586.159,52.2195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,331.964,345.998,51.9361,411.688,346.039,52.0986,571.736,345.49,52.3022,412.331,466.036,52.1372,412.099,586.174,52.1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,331.958,346.016,51.9492,411.706,346.03,52.098,571.767,345.484,52.3144,412.344,466.056,52.135,412.104,586.168,52.2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
