Trajectories
100
,,LFL:LASI,,,LFL:LPSI,,,LFL:RPSI,,,LFL:RASI,,,LFL:RHIP,,,LFL:RKNE,,,LFL:RKNE2,,,LFL:RTIB,,,LFL:RANK,,,LFL:RANK2,,,LFL:RHEEL,,,LFL:RTOE,,,LFL:LHIP,,,LFL:LKNE,,,LFL:LKNE2,,,LFL:LTIB,,,LFL:LANK,,,LFL:LANK2,,,LFL:LHEEL,,,LFL:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
779,0,212.478,371.272,906.16,294.432,195.219,980.069,396.692,193.443,977.135,480.252,372.046,915.045,525.667,336.974,827.229,509.387,469.026,477.16,395.599,497.738,473.818,498.184,510.127,381.83,492.244,478.714,129.312,420.19,509.528,145.808,429.78,429.524,91.7096,493.488,616.67,109.598,176.406,316.005,816.752,224.446,256.058,451.002,337.856,273.468,444.07,241.493,271.279,352.109,252.486,168.514,115.44,330.762,189.874,127.415,293.966,96.877,90.6346,280.34,299.567,76.1328
780,0,212.423,382.012,904.547,295.011,206.398,978.755,397.27,205.003,975.658,480.294,383.964,913.06,525.469,348.357,825.067,509.608,479.435,474.484,,,,498.621,526.241,382.15,495.663,512.432,128.08,422.552,540.211,145.733,434.613,464.283,86.5631,493.678,651.331,117.536,176.523,325.738,815.385,224.523,259.551,450.839,337.776,278.078,443.295,240.412,273.779,352.136,252.933,168.867,115.618,331.84,189.986,127.678,294.749,96.7323,91.3793,280.463,299.691,75.9294
781,0,212.305,392.901,902.784,295.599,217.752,977.2,397.87,216.68,973.981,480.555,395.967,910.995,525.513,359.87,822.748,509.787,489.537,471.72,,,,498.648,542.041,382.793,500.233,544.558,129.093,424.605,569.477,147.113,439.802,497.958,82.8187,492.985,684.338,126.647,178.735,335.744,812.504,224.728,263.523,450.491,337.769,282.877,442.528,240.271,276.854,351.319,253.248,169.211,116.062,331.712,191.034,127.988,295.05,97.0302,91.8745,280.439,299.881,75.8117
782,0,212.466,404.112,900.719,296.199,229.271,975.469,398.525,228.536,972.091,480.834,408.192,908.701,525.441,371.668,820.193,510.059,499.685,469.024,394.933,522.97,464.286,498.614,557.378,383.606,501.798,576.338,129.641,426.548,597.19,148.942,444.773,530.48,80.2378,491.402,715.218,136.839,179.083,345.895,810.711,224.882,267.982,450.125,337.884,288.049,441.595,241.2,279.71,350.284,253.675,169.628,116.453,331.749,192.167,128.272,295.305,97.3402,92.4452,280.408,300.087,75.6158
783,0,212.619,415.36,898.528,296.939,240.94,973.43,399.208,240.533,970.032,481.239,420.556,906.361,525.629,383.668,817.516,510.374,509.409,467.11,394.494,530.912,460.039,498.262,572.643,384.999,504.036,606.046,131.972,428.33,623.172,151.39,449.293,561.419,78.8339,489.399,743.755,147.423,179.566,356.285,808.763,225.362,272.927,449.569,338.105,293.655,440.639,241.56,283.656,349.313,254.161,170.157,116.979,332.049,193.007,128.57,295.448,97.7009,93.2214,280.358,300.277,75.3807
784,0,212.847,426.822,896.105,297.629,252.646,971.385,400.034,252.65,967.863,481.607,433.105,903.997,525.95,395.843,814.984,510.949,520.985,464.192,394.203,538.237,455.762,498.271,586.965,386.286,505.891,633.303,135.056,429.665,647.237,154.316,452.985,590.221,78.6287,487.089,769.638,157.454,180.079,366.882,806.724,226.007,278.465,448.932,338.263,299.742,439.491,241.767,287.764,348.527,254.498,170.778,117.672,332.356,194.053,129.027,295.659,98.1233,94.1588,280.271,300.456,75.2204
785,0,213.294,438.382,893.554,298.561,264.538,969.023,400.931,264.775,965.602,482.234,445.605,901.673,526.433,408.285,812.455,511.779,531.774,462.632,393.813,546.307,451.732,498.314,600.863,387.255,507.103,658.286,138.086,430.153,669.673,157.749,455.457,616.51,79.2688,485.149,793.216,166.209,180.875,377.812,804.475,226.577,284.568,448.194,338.58,306.443,438.277,241.973,292.238,347.623,254.694,171.465,118.612,332.66,195.136,129.593,295.823,98.696,95.3846,280.177,300.674,75.039
786,0,213.736,450.018,890.888,299.635,276.483,966.743,402.064,276.976,963.423,482.892,458.208,899.358,527.167,420.933,810.021,512.821,543.622,460.71,394.277,555.476,448.473,498.726,614.419,387.977,507.884,680.35,140.558,430.619,689.888,160.644,457.354,640.488,79.8585,483.944,814.192,173.112,181.628,388.981,802.26,227.103,291.262,447.378,338.677,313.615,436.896,242.238,297.26,346.589,254.93,172.327,119.636,332.677,196.333,130.426,295.866,99.3858,96.8057,280.088,300.899,74.8377
787,0,214.347,461.561,888.062,300.784,288.393,964.276,403.197,289.157,961.124,483.678,470.709,897.198,528.301,433.701,807.88,513.478,556.098,458.65,394.586,566.26,446.445,499.154,628,387.88,508.025,699.499,141.616,430.98,707.902,162.631,458.625,661.799,80.0482,483.715,832.364,177.857,182.554,400.501,800.021,227.629,298.599,446.636,338.723,321.029,435.665,242.373,302.687,345.695,254.977,173.361,120.917,332.794,197.637,131.422,295.714,100.165,98.6467,279.996,301.082,74.6562
