Trajectories
100
,,LFL:LASI,,,LFL:LPSI,,,LFL:RPSI,,,LFL:RASI,,,LFL:RHIP,,,LFL:RKNE,,,LFL:RKNE2,,,LFL:RTIB,,,LFL:RANK,,,LFL:RANK2,,,LFL:RHEEL,,,LFL:RTOE,,,LFL:LHIP,,,LFL:LKNE,,,LFL:LKNE2,,,LFL:LTIB,,,LFL:LANK,,,LFL:LANK2,,,LFL:LHEEL,,,LFL:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
917,0,214.807,375.152,895.548,294.151,206.685,989.885,396.25,206.88,995.005,483.097,380.257,917.426,534.381,334.472,840.539,529.277,407.577,473.435,414.528,431.33,458.984,526.456,437.033,374.3,533.243,376.057,126.834,462.183,411.542,136.693,470.871,326.357,88.1725,544.073,511.125,104.148,185.037,311.281,808.956,216.013,250.347,448.921,331.273,262.007,436.569,231.777,265.314,348.665,227.702,162.458,113.35,308.271,179.8,122.577,269.059,92.8166,84.4771,257.802,292.888,78.1823
918,0,216.17,381.262,894.563,295.706,213.211,988.904,397.827,213.435,994.197,484.496,386.848,916.824,536.091,341.491,840.38,531.119,417.291,473.447,416.503,440.829,459.317,528.262,449.719,376.17,536.629,398.106,126.309,465.08,432.576,136.861,474.639,348.591,86.9138,546.04,533.938,105.377,186.718,317.156,807.946,218.432,252.75,447.963,332.271,265.066,435.8,232.673,267.443,348.059,228.014,162.746,113.536,307.681,180.775,122.29,269.269,92.933,84.6717,257.797,292.729,78.0167
919,0,217.629,387.619,893.345,297.472,219.844,987.829,399.441,220.215,993.205,485.754,393.792,915.935,537.742,348.636,839.932,532.179,426.035,472.847,418.774,450.02,459.424,530.662,462.379,377.342,540.17,420.252,126.097,468.238,453.61,136.984,478.337,370.565,86.2202,547.891,556.548,106.287,188.359,323.036,806.907,219.477,255.614,447.527,334.172,267.823,433.946,233.424,269.304,347.526,228.264,163.035,113.601,309.119,180.394,122.558,269.455,93.0088,84.9461,257.711,292.621,77.9884
920,0,219.106,394.089,892.141,299.386,226.667,986.743,401.354,227.2,992.099,487.373,400.749,914.969,539.482,356.039,839.265,537.36,437.778,474.035,420.879,459.431,459.385,532.733,475.026,378.092,543.64,442.009,125.962,471.215,474.346,137.733,482.264,392.402,85.6708,549.591,579.015,107.493,190.098,329.111,805.787,220.55,258.563,447.065,335.199,270.985,433.232,234.157,271.514,347.003,228.516,163.318,113.643,309.446,180.778,122.473,269.61,93.1232,85.1996,257.746,293.08,77.8256
921,0,220.766,400.684,890.8,301.347,233.682,985.578,403.344,234.378,990.891,488.9,408.076,913.756,541.172,363.462,838.292,539.57,446.812,473.479,423.142,468.914,459.201,535.238,487.426,378.999,546.91,463.539,125.924,474.245,494.7,138.467,485.999,413.915,85.2703,551.255,601.094,109.271,191.932,335.377,804.563,221.646,261.656,446.47,336.213,274.278,432.332,234.926,273.651,346.306,228.699,163.625,113.797,309.751,181.1,122.456,269.744,93.2123,85.4521,257.739,293.363,77.6315
922,0,222.477,407.5,889.39,303.401,240.87,984.305,405.487,241.8,989.566,490.611,415.508,912.272,543.069,370.985,837.285,541.585,456.235,472.525,426.052,478.18,458.471,537.484,499.864,379.736,550.036,484.608,126.054,477.031,514.991,139.692,489.786,434.953,84.7544,552.448,622.708,111.583,193.654,341.696,803.379,222.639,264.872,446,337.211,277.757,431.353,235.66,276.045,345.405,228.825,163.884,114.096,310.113,181.405,122.443,269.858,93.2966,85.7395,257.703,293.527,77.4791
923,0,224.127,414.356,887.963,305.739,248.305,983.005,407.814,249.404,988.174,492.508,423.085,910.631,544.868,378.732,835.927,544.389,465.659,471.69,428.653,487.373,457.641,539.954,512.153,380.273,553.314,504.78,126.59,479.958,533.049,140.253,493.433,455.411,83.9815,553.385,643.503,114.856,195.538,348.168,802.101,223.752,268.332,445.384,338.162,281.284,430.417,236.133,279.064,344.869,228.929,164.198,114.351,310.401,181.943,122.394,270.039,93.3937,86.1585,257.642,293.78,77.2667
924,0,226.058,421.459,886.381,308.108,255.835,981.693,410.234,257.179,986.664,494.345,431.073,908.715,546.757,386.608,834.341,546.966,475.513,470.796,431.19,496.42,456.621,542.193,524.416,380.703,556.417,524.382,126.959,482.182,551.257,141.453,497.76,474.766,82.1531,553.971,663.367,118.744,197.58,354.836,800.73,224.988,272.157,444.666,339.086,285.139,429.694,237.217,281.703,343.791,229.347,164.541,114.42,310.742,182.383,122.434,270.196,93.4925,86.589,257.587,293.955,77.0001
925,0,228.199,428.639,884.683,310.701,263.583,980.274,412.87,265.141,985.052,496.663,438.956,906.874,548.786,394.638,832.605,549.809,485.234,469.771,433.644,505.473,455.325,544.324,536.432,380.878,559.052,543.199,127.219,484.362,568.168,142.412,501.112,494.19,81.4123,554.146,682.335,122.944,199.608,361.63,799.419,226.047,276.204,443.975,339.743,289.328,428.797,237.716,285.014,342.94,229.467,165.014,114.844,311.122,182.897,122.514,270.34,93.5662,87.0501,257.549,294.153,76.7715
926,0,230.368,436.159,882.971,313.444,271.456,978.817,415.585,273.261,983.316,498.959,447.09,904.853,550.871,402.924,830.67,552.085,495.37,468.386,436.204,513.455,453.521,546.007,548.822,380.901,561.742,561.053,127.495,486.445,584.112,143.21,504.908,512.227,79.8806,554.156,700.346,126.613,201.809,368.595,798.05,227.433,280.582,443.13,339.95,294.364,427.981,238.61,288.011,342.011,230.377,164.931,115.081,311.301,183.592,122.644,270.525,93.6523,87.6734,257.47,294.334,76.5799
927,0,232.656,443.691,881.222,316.338,279.478,977.239,418.406,281.451,981.501,501.304,455.579,902.697,552.977,411.237,828.723,554.252,505.451,467.096,438.219,522.98,452.226,547.86,560.776,380.898,564.175,578.099,127.501,488.557,599.028,143.236,508.938,529.134,78.3929,553.88,717.044,129.72,204.149,375.708,796.621,228.733,285.323,442.269,341.051,299.356,426.66,239.23,291.325,341.078,230.556,165.306,115.489,311.606,184.285,122.839,270.606,93.7934,88.2601,257.384,294.506,76.3888
928,0,235.186,451.404,879.464,319.472,287.657,975.547,421.673,289.874,979.529,503.939,464.07,900.496,555.397,419.919,826.562,556.317,515.032,466.131,440.3,532.089,450.636,549.154,572.187,380.292,566.715,593.88,127.29,490.531,612.992,142.876,512.658,544.693,76.8099,553.394,732.494,131.854,206.662,382.998,795.086,230.18,290.143,441.392,341.986,304.569,425.243,240.266,295.26,339.897,230.798,165.897,116.053,311.998,185.002,123.115,270.705,93.8961,88.9423,257.254,294.713,76.2631
929,0,237.718,459.345,877.7,322.655,295.883,973.701,424.871,298.443,977.36,506.557,472.786,898.213,557.732,428.92,824.205,558.543,525.543,464.344,442.248,540.926,449.07,550.475,583.464,379.454,568.776,608.349,126.579,492.075,625.815,142.036,515.979,558.9,75.2785,552.87,746.698,132.886,209.264,390.579,793.501,231.56,295.24,440.477,343.064,310.061,423.695,241.017,298.81,338.943,230.985,166.383,116.583,312.243,185.679,123.409,270.82,93.9867,89.6877,257.136,294.965,76.1262
930,0,240.307,467.456,875.87,326.125,304.264,971.632,428.338,307.144,975.073,509.382,481.709,895.925,560.445,438.054,821.822,560.634,535.971,462.154,444.055,549.707,447.281,551.767,594.18,378.036,570.468,621.155,125.623,493.464,637.6,140.879,518.655,571.275,74.8866,552.349,759.744,131.957,211.981,398.439,791.893,232.902,300.43,439.663,344.318,315.475,422.112,241.903,302.616,337.927,231.287,166.981,117.264,312.467,186.604,123.798,270.772,94.2405,90.369,257.047,295.245,75.9867
931,0,243.203,475.781,873.908,329.697,312.847,969.504,431.92,315.956,972.59,512.39,490.787,893.527,563.429,447.446,819.254,562.488,546.032,459.789,445.818,558.682,445.092,552.909,604.67,376.031,571.68,632.51,124.056,494.586,648.337,138.923,520.964,581.77,74.2759,551.897,771.152,129.32,214.829,406.443,790.221,234.541,305.704,438.625,345.564,321.1,420.628,242.733,306.324,336.914,231.462,167.53,118.045,312.767,187.487,124.194,270.822,94.4742,91.101,256.978,295.486,75.8695
932,0,246.131,484.333,872.038,333.517,321.578,967.108,435.71,325.057,969.964,515.277,500.243,890.935,566.174,457.244,816.423,564.404,556.072,457.327,447.451,567.859,442.779,554.144,614.917,373.547,572.757,642.151,122.123,495.375,657.396,136.258,521.982,590.634,73.4146,551.329,781.068,124.853,217.789,414.846,788.432,236.07,310.983,437.859,347.833,327.509,418.699,243.914,310.032,335.873,231.749,168.142,118.831,312.952,188.464,124.704,270.829,94.7659,92.0182,256.909,295.675,75.7811
933,0,249.235,493.215,870.012,337.438,330.679,964.609,439.623,334.303,967.217,518.657,509.67,888.337,569.424,467.051,813.526,566.106,566.263,454.373,449.035,577.127,440.307,555.096,624.78,370.401,573.289,649.829,119.297,495.935,665.076,132.857,524.07,597.74,73.0871,550.648,788.762,118.022,221.011,423.534,786.488,237.823,316.38,437.019,349.117,333.148,417.008,244.56,314.05,335.236,232.172,168.956,119.726,313.13,189.65,125.235,270.832,95.1825,93.1427,256.861,295.853,75.5443
