Trajectories
100
,,LFL:LASI,,,LFL:LPSI,,,LFL:RPSI,,,LFL:RASI,,,LFL:RHIP,,,LFL:RKNE,,,LFL:RKNE2,,,LFL:RTIB,,,LFL:RANK,,,LFL:RANK2,,,LFL:RHEEL,,,LFL:RTOE,,,LFL:LHIP,,,LFL:LKNE,,,LFL:LKNE2,,,LFL:LTIB,,,LFL:LANK,,,LFL:LANK2,,,LFL:LHEEL,,,LFL:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
824,0,181.46,483.099,909.565,268.761,309.238,984.039,371.164,310.933,982.881,451.464,492.116,920.085,497.818,455.726,832.55,486.814,564.941,477.822,370.923,587.414,468.408,477.92,600.119,381.037,484.533,555.205,131.215,410.355,583.356,142.794,426.918,502.099,91.4604,481.122,691.153,109.079,150.396,428.621,817.141,201.288,384.573,452.065,315.007,400.872,446.998,220.62,404.906,353.947,232.89,307.861,115.999,312.578,328.079,127.782,276.483,237.961,90.5545,258.098,440.308,76.3046
825,0,181.755,489.719,908.681,268.994,315.778,983.326,371.367,317.406,982.083,451.838,498.481,919.312,498.09,462.098,831.627,487.999,571.594,476.82,371.282,593.365,467.012,478.4,610.622,381.648,486.141,577.064,130.245,411.171,603.33,142.503,429.271,524.245,88.3013,479.908,713.884,112.887,150.611,434.915,816.465,201.41,386.821,451.877,315.131,403.28,446.753,220.546,406.259,354.153,233.017,308.05,116.132,312.624,328.378,127.936,276.555,238.04,90.7625,258.065,440.359,76.2213
826,0,182.004,496.373,907.858,269.129,322.359,982.524,371.549,324.015,981.114,452.185,505.138,918.372,498.355,468.459,830.76,488.681,578.126,475.655,,,,479.328,620.674,382.685,487.494,598.493,129.353,411.962,622.786,143.304,431.738,546.108,85.6654,478.234,735.505,116.854,150.731,441.258,815.83,201.541,389.177,451.796,315.179,405.846,446.364,220.584,407.585,353.999,233.085,308.226,116.251,312.729,328.655,128.102,277.101,237.94,91.0124,258.042,440.421,76.1456
827,0,182.37,503.165,906.984,269.499,329.123,981.634,371.866,330.761,980.159,452.519,511.961,917.371,498.683,475.285,829.513,489.33,584.51,474.307,,,,479.734,630.322,383.218,489.178,619.106,129.053,413.026,641.034,144.045,434.634,567.183,83.4499,477.198,756.855,121.545,150.982,447.724,815.059,201.737,391.658,451.581,315.377,408.382,446.065,220.731,409.176,353.653,233.13,308.443,116.441,312.776,329.063,128.3,276.971,237.966,91.5844,258.035,440.443,76.082
828,0,182.976,510.126,905.877,269.942,335.941,980.628,372.467,337.571,979.053,452.964,518.796,916.277,499.04,482.136,828.407,490.264,590.815,473.122,,,,479.882,639.726,383.726,491.093,638.972,129.279,414.412,658.455,144.82,437.625,587.22,81.6648,475.376,776.398,126.233,151.4,454.319,814.194,201.943,394.323,451.418,315.49,411.164,445.601,220.857,411.072,353.159,233.169,308.646,116.654,312.828,329.396,128.455,277.089,238.124,91.7464,257.976,440.505,76.032
829,0,183.433,517.022,904.876,270.644,342.904,979.559,373.079,344.527,977.857,453.54,525.831,915.102,499.392,489.139,827.089,490.662,597.418,471.725,,,,479.877,649.027,384.14,492.747,657.791,129.846,416.085,675.092,145.514,440.6,606.426,80.4125,473.87,794.969,130.984,151.814,460.906,813.356,202.244,397.106,451.216,315.72,413.996,445.148,221.032,412.971,352.643,233.244,308.835,116.836,312.918,329.67,128.605,277.097,238.214,91.9973,257.895,440.596,75.9719
830,0,184.138,524.109,903.701,271.304,349.894,978.426,373.754,351.559,976.694,454.206,533.035,913.891,499.885,496.349,825.657,491.919,603.938,470.609,,,,479.675,658.799,384.551,494.133,675.508,130.559,417.355,690.614,146.643,443.307,624.46,79.3594,472.345,812.206,135.584,152.462,467.654,812.365,202.549,400.044,450.977,315.987,417.025,444.667,221.421,415.016,351.887,233.368,309.078,117.008,313.028,329.963,128.822,277.085,238.271,92.304,257.597,440.696,76.0163
831,0,184.8,531.219,902.535,272.234,356.974,977.22,374.68,358.733,975.382,454.77,540.332,912.522,500.455,503.624,824.068,492.768,610.566,469.212,375.15,622.128,455.857,480.206,667.53,385.232,495.771,691.949,131.676,418.458,705.06,147.664,446.136,641.103,78.7863,470.928,828.119,140.022,153.008,474.436,811.402,202.919,403.244,450.726,316.383,420.228,444.135,221.092,417.516,351.421,233.416,309.33,117.252,313.932,329.792,129.132,277.085,238.355,92.5995,257.26,440.765,76.1646
832,0,185.718,538.486,901.336,273.176,364.095,975.955,375.798,366.022,974.084,455.594,547.638,911.219,501.182,510.944,822.653,493.765,617.065,467.898,375.626,627.292,454.042,480.986,675.878,385.384,496.966,706.981,132.447,419.485,718.566,148.475,448.336,656.641,78.0979,469.873,842.557,143.858,153.673,481.288,810.341,203.216,406.564,450.287,316.669,423.704,443.51,221.232,419.953,350.723,233.488,309.614,117.509,313.505,330.51,129.39,277.099,238.468,92.963,257.828,440.692,75.6335
833,0,186.722,545.723,899.912,274.295,371.391,974.719,376.845,373.346,972.831,456.514,555.12,909.728,502.277,518.234,821.156,494.713,623.675,466.417,376.226,632.783,452.402,481.512,683.954,385.341,497.228,720.677,132.191,420.379,730.777,149.17,450.912,671.03,77.3966,469.114,855.559,147.092,154.563,488.082,809.287,203.666,410.2,449.932,316.971,427.653,442.772,221.217,422.494,350.207,233.541,309.94,117.757,313.246,331.101,129.608,276.933,238.577,93.3966,257.731,440.725,75.5385
834,0,187.834,553.085,898.597,275.515,378.697,973.417,378.031,380.801,971.495,457.61,562.571,908.34,503.259,525.699,819.689,495.707,630.541,465.05,377.013,638.936,451.104,482.368,691.863,385.016,498.927,732.463,133.221,421.065,741.873,149.588,452.974,683.833,76.8005,468.901,867.212,149.083,155.607,495.049,808.141,203.917,413.94,449.682,317.281,431.918,441.985,221.195,425.098,349.529,233.357,310.268,118.255,313.032,331.766,129.904,276.825,238.664,93.8611,257.636,440.781,75.4493
835,0,189.034,560.586,897.257,276.84,386.103,972.136,379.425,388.311,970.193,458.8,569.951,906.953,504.358,533.255,818.251,496.806,637.582,463.886,378.058,645.691,449.786,483.159,699.848,384.407,499.432,742.805,132.697,421.783,751.829,149.445,453.253,694.835,75.986,469.359,877.257,150.041,156.688,501.995,807.04,204.394,418.157,449.258,317.695,436.367,441.057,221.747,428.545,348.523,233.315,310.667,118.774,312.977,332.407,130.358,276.618,238.839,94.4262,257.535,440.851,75.3458
836,0,190.264,568.005,895.939,278.27,393.589,970.922,380.788,395.794,969.036,460.14,577.496,905.659,505.647,540.702,816.983,497.638,645.145,462.709,379.343,653.275,447.968,484.029,707.742,383.511,500.084,751.503,131.853,422.299,760.399,148.693,452.99,703.501,74.9555,470.101,885.854,149.69,157.955,508.998,805.915,204.934,422.525,448.834,317.934,441.343,440.107,221.731,431.452,348.469,233.359,311.177,119.306,312.741,333.071,130.796,276.368,239.092,95.1017,257.375,440.953,75.2768
837,0,191.824,575.699,894.586,279.788,401.197,969.721,382.363,403.418,967.853,461.353,585.116,904.326,507.187,548.302,815.778,498.545,652.96,461.56,380.082,661.325,447.261,484.777,715.61,382.205,500.413,758.638,130.341,422.687,767.974,147.29,452.52,710.598,73.682,471.036,893.188,148.081,159.48,516.241,804.816,205.539,427.225,448.423,318.354,446.249,439.274,221.874,434.883,347.884,233.265,311.704,119.967,312.756,333.848,131.473,276.144,239.363,96.0551,257.214,441.069,75.1699
838,0,193.325,583.389,893.352,281.462,408.918,968.528,383.96,411.113,966.692,462.93,592.95,903.2,508.763,556.1,814.693,499.224,661.306,460.329,380.799,670.055,446.656,485.591,723.383,380.39,500.497,764.43,128.174,423.08,774.431,145.359,452.217,716.19,72.1438,471.962,899.146,145.383,160.964,523.504,803.828,206.184,432.176,448.038,318.097,451.388,438.342,222.199,438.519,347.384,233.019,312.318,120.909,312.659,334.619,132.103,275.95,239.793,97.1428,256.989,441.206,75.0419
839,0,195.057,591.294,892.086,283.101,416.748,967.449,385.689,419.003,965.544,464.642,600.688,902.055,510.489,563.896,813.618,499.808,669.914,459.136,381.611,678.762,446.1,486.199,731.131,378.417,500.536,768.778,125.953,423.056,779.852,143.113,451.664,720.053,72.2814,472.83,903.842,141.444,162.688,531.063,802.73,206.897,437.37,447.71,318.276,456.77,437.522,222.538,442.273,346.969,232.877,313.037,122.007,312.366,335.648,132.808,275.677,240.266,98.6019,256.792,441.325,74.9163
840,0,196.809,599.394,891.035,284.985,424.752,966.294,387.473,426.965,964.475,466.487,608.798,901.038,512.435,572.097,812.643,500.451,678.563,458.045,382.241,687.954,445.715,486.703,738.647,376.067,500.373,771.789,123.829,422.688,783.769,140.587,451.216,722.207,72.2771,473.243,907.545,136.353,164.398,538.726,801.863,207.598,442.715,447.476,318.754,462.09,436.876,222.832,446.179,346.609,232.432,313.663,123.192,312.128,336.804,133.763,275.276,241.054,100.101,256.581,441.389,74.7281
