Trajectories
100
,,LFL:LASI,,,LFL:LPSI,,,LFL:RPSI,,,LFL:RASI,,,LFL:RHIP,,,LFL:RKNE,,,LFL:RKNE2,,,LFL:RTIB,,,LFL:RANK,,,LFL:RANK2,,,LFL:RHEEL,,,LFL:RTOE,,,LFL:LHIP,,,LFL:LKNE,,,LFL:LKNE2,,,LFL:LTIB,,,LFL:LANK,,,LFL:LANK2,,,LFL:LHEEL,,,LFL:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
926,0,197.269,346.199,904.065,277.202,188.594,1011.46,379.416,189.607,1016.1,464.501,358.662,925.839,513.25,302.88,848.12,508.745,301.149,473.287,392.877,305.598,457.487,496.664,337.233,377.424,514.776,300.106,127.284,436.334,319.068,137.082,465.759,239.825,88.0731,494.561,437.121,101.685,167.698,281.599,820.406,212.232,281.931,455.359,327.586,296.817,449.852,231.014,313.913,360.25,237.493,246.089,114.59,317.883,268.714,124.031,287.52,180.566,86.0332,254.888,381.142,78.2761
927,0,197.732,349.542,904.145,278.233,191.881,1011.15,380.478,193.083,1015.67,465.061,362.522,925.829,513.814,307.177,848.064,509.975,308.782,473.366,393.93,313.204,457.499,498.094,346.047,378.072,516.278,314.571,126.905,438.305,330.941,137.442,467.44,252.116,87.9195,496.205,449.346,102.603,168.454,284.895,820.365,212.595,283.027,455.348,327.945,298.205,449.393,231.22,314.715,359.955,237.647,246.074,114.628,317.962,268.905,123.993,287.595,180.588,86.046,254.878,381.135,78.2577
928,0,198.48,353.033,904.036,279.48,195.288,1010.84,381.621,196.589,1015.26,465.921,366.453,925.635,514.584,311.538,847.863,511.115,316.26,473.372,395.214,320.73,457.573,499.498,354.43,378.692,521.072,324.677,131.164,440.211,342.362,137.531,469.029,264.019,87.7924,497.614,461.265,103.4,169.158,288.277,820.331,213.311,284.099,455.163,328.149,299.672,449.116,231.488,315.389,359.739,237.676,246.104,114.692,318.007,269.078,123.946,287.634,180.608,86.0747,254.863,381.132,78.2331
929,0,199.169,356.479,904.112,280.661,198.688,1010.48,382.908,200.254,1014.69,466.726,370.357,925.551,515.446,316.063,847.583,512.46,323.461,473.499,396.516,328.203,457.283,500.847,362.681,379.113,519.86,337.01,127.595,441.853,351.616,137.009,471.224,275.264,87.978,499.279,472.66,103.869,170.008,291.705,820.296,213.167,285.298,455.41,328.424,301.006,448.732,231.753,316.185,359.569,237.828,246.18,114.689,318.212,268.625,123.696,287.706,180.664,86.1218,254.815,381.17,78.1904
930,0,200.042,360.156,904.01,282.064,202.211,1010.04,384.317,203.907,1014.13,467.737,374.371,925.251,516.535,320.489,847.352,513.81,330.533,473.486,397.839,335.422,457.267,502.336,370.598,379.55,521.51,347.785,127.563,441.521,363.026,137.302,473.156,286.202,88.0146,500.927,483.713,104.149,170.948,295.138,820.266,213.923,286.449,455.26,329.041,302.245,448.59,232.071,317.066,359.433,237.92,246.277,114.798,318.231,269.68,123.835,287.73,180.688,86.1912,254.804,381.16,78.1409
931,0,200.874,363.792,904.133,283.523,205.76,1009.64,385.796,207.682,1013.48,468.797,378.476,925.098,517.555,325.089,846.904,515.14,337.367,473.3,399.244,342.466,457.084,503.632,378.703,379.649,523.386,358.304,127.934,444.445,374.563,138.02,474.801,296.741,88.0882,502.378,494.277,104.204,171.946,298.738,820.205,214.441,287.54,455.293,329.62,303.628,448.396,232.376,317.915,359.303,238.044,246.34,114.776,318.449,269.779,123.781,287.852,180.767,86.2471,254.786,381.175,78.1296
932,0,202.098,367.458,904.049,285.132,209.421,1009.21,387.352,211.566,1012.79,469.848,382.627,924.656,518.614,329.635,846.501,516.701,344.085,473.239,400.707,349.401,456.79,505.382,386.28,380.05,525.186,368.312,127.89,444.496,382.878,137.387,475.51,307.248,87.3495,503.867,504.51,103.835,172.919,302.396,820.266,216.214,288.403,454.778,330.201,305.175,448.041,232.814,318.736,359.159,238.26,246.383,114.786,318.687,269.855,123.681,287.9,180.816,86.3001,254.766,381.172,78.0943
933,0,203.105,371.267,904.179,286.804,213.174,1008.72,389.137,215.474,1012.13,471.169,386.836,924.329,519.756,334.311,845.963,518.181,350.607,472.942,402.239,356.25,456.558,507.164,393.27,380.421,526.857,377.936,127.886,448.456,393.909,138.342,478.02,316.551,88.0733,505.239,514.046,103.698,174.041,306.02,820.285,216.856,289.572,454.751,330.607,306.682,447.959,233.076,319.532,359.072,238.498,246.446,114.716,318.867,269.997,123.683,287.969,180.876,86.3299,254.787,381.204,78.0519
934,0,204.272,375.191,904.16,288.662,216.934,1008.26,390.965,219.489,1011.43,472.466,391.081,923.84,521.081,338.881,845.445,519.757,356.911,472.591,403.784,362.937,456.078,508.705,400.429,380.347,528.605,387.107,127.632,448.904,402.071,138.03,479.608,325.114,88.0849,506.511,523.251,103.744,175.417,309.818,820.196,217.418,290.6,454.823,331.04,308.21,447.668,233.497,320.253,358.996,238.83,246.489,114.626,318.994,270.138,123.595,288.014,180.92,86.3973,254.748,381.215,78.0327
