Trajectories
100
,,LFL:LASI,,,LFL:LPSI,,,LFL:RPSI,,,LFL:RASI,,,LFL:RHIP,,,LFL:RKNE,,,LFL:RKNE2,,,LFL:RTIB,,,LFL:RANK,,,LFL:RANK2,,,LFL:RHEEL,,,LFL:RTOE,,,LFL:LHIP,,,LFL:LKNE,,,LFL:LKNE2,,,LFL:LTIB,,,LFL:LANK,,,LFL:LANK2,,,LFL:LHEEL,,,LFL:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
924,0,178.346,247.313,911.836,263.66,71.5466,984.717,365.976,73.4348,984.972,448.893,255.804,922.583,494.354,215.266,834.603,490.358,295.904,471.745,376.075,322.849,457.481,485.564,321.807,372.823,492.76,255.042,128.382,421.436,292.311,135.663,428.937,205.863,90.6487,505.552,388.015,98.3345,146.53,195.39,819.277,201.263,184.018,452.037,316.497,190.839,449.548,224.646,210.993,356.074,232.448,133.206,113.109,314.582,146.967,124.929,274.298,64.7257,84.3876,267.121,265.74,77.9951
925,0,178.38,251.011,911.564,264.203,75.5367,984.637,366.545,77.7318,984.852,448.896,260.467,922.401,494.435,219.953,834.641,491.33,301.349,471.71,376.819,327.709,457.318,487.199,330.528,374.369,495.409,273.49,127.025,423.55,309.45,135.51,432.476,224.464,87.946,506.249,407.561,100.664,146.816,198.819,819.046,201.347,185.539,451.923,316.511,193.012,449.322,224.723,212.168,355.846,232.553,133.317,113.174,314.728,147.054,124.925,274.403,64.7895,84.4581,267.126,265.788,77.9217
926,0,178.408,254.747,911.277,264.848,79.5678,984.494,367.192,82.114,984.674,448.865,265.046,922.253,494.603,224.914,834.522,492.4,306.724,471.575,377.574,332.328,457.137,488.826,339.938,375.493,496.165,291.485,125.26,425.688,326.436,135.509,435.374,243.301,85.9783,507.081,426.863,103.271,147.141,202.244,818.814,201.594,187.102,451.681,317.324,193.534,449.454,224.792,213.373,355.632,232.734,133.456,113.193,314.894,147.19,124.959,274.451,64.8683,84.5189,267.115,265.815,77.8574
927,0,178.463,258.547,910.991,265.535,83.6738,984.262,367.876,86.5947,984.44,449.004,269.84,922.024,494.766,229.602,834.389,493.443,311.969,471.349,378.327,336.995,456.993,489.478,348.157,376.568,500.406,310.73,125.911,427.7,343.114,136.199,438.707,261.464,84.4973,507.604,445.702,105.987,147.476,205.746,818.559,201.893,188.739,451.495,317.588,195.627,449.153,225.071,214.653,355.198,232.853,133.628,113.213,314.053,147.962,124.657,275.542,64.4066,84.9053,267.13,265.87,77.7981
928,0,178.608,262.438,910.716,266.346,87.869,984.139,368.643,91.0608,984.218,449.114,274.727,921.685,495.007,234.651,834.044,494.387,317.128,471.042,379.405,341.482,456.771,490.188,356.509,377.675,502.658,328.213,126.02,429.837,359.324,136.968,442.014,279.154,83.3894,508.01,463.954,109.285,147.961,209.39,818.201,202.019,190.466,451.494,317.469,198.269,448.702,225.08,215.933,354.978,232.992,133.842,113.245,315.149,147.56,124.981,275.624,64.5165,84.975,267.15,266.023,77.7684
929,0,178.913,266.425,910.342,267.146,91.9897,983.904,369.512,95.6374,983.884,449.354,279.53,921.442,495.311,239.673,833.766,495.101,322.155,470.607,380.409,345.596,456.526,491.037,364.821,378.873,505.131,345.316,126.454,431.764,374.913,138.203,445.384,296.405,82.7139,508.205,481.842,112.95,148.286,213.035,817.995,202.23,192.304,451.271,317.446,200.499,448.304,225.324,217.252,354.586,233.113,134.039,113.267,315.364,147.799,125.013,275.695,64.5741,85.1508,267.119,266.046,77.6766
930,0,179.223,270.47,910.051,267.99,96.1883,983.63,370.349,100.297,983.537,449.594,284.483,921.086,495.599,244.718,833.356,496.158,326.552,470.925,381.262,348.214,455.745,491.705,373.374,380.09,507.705,361.854,127.469,433.447,390.062,139.843,448.647,313.116,82.2152,508.525,498.634,116.771,148.886,216.886,817.667,202.708,194.21,451.024,317.702,202.802,448.001,225.61,218.725,354.269,233.208,134.19,113.38,315.495,148.007,125.038,275.789,64.6152,85.3249,267.121,266.115,77.5943
931,0,179.627,274.637,909.6,268.938,100.467,983.316,371.385,104.994,983.059,449.996,289.478,920.563,495.993,249.823,832.875,497.929,332.333,470.777,382.463,352.278,455.068,492.644,381.569,381.58,510.002,377.941,128.549,435.24,404.482,141.57,451.825,329.33,82.0451,508.438,515.259,120.926,149.323,220.727,817.449,202.863,196.122,450.976,318.007,205.15,447.622,225.846,219.654,354.02,233.299,134.318,113.457,315.84,147.899,125.002,275.882,64.6586,85.5651,267.112,266.186,77.5129
932,0,180.092,278.901,909.25,269.893,104.744,983.015,372.408,109.81,982.661,450.455,294.539,920.012,496.673,254.818,832.35,500.087,338.559,470.741,383.675,356.219,454.401,493.596,389.133,382.799,512.16,393.508,129.892,436.651,418.465,143.428,454.846,344.844,82.1568,507.978,531.106,125.205,150.033,224.805,817.061,203.282,198.149,450.747,318.283,207.479,447.289,225.652,220.777,353.865,233.398,134.4,113.557,317.733,144.555,125.794,275.95,64.7291,85.742,267.104,266.248,77.4268
933,0,180.73,283.321,908.857,271.035,109.274,982.572,373.504,114.691,982.041,451.053,299.689,919.374,497.285,259.866,831.737,502.07,344.528,470.656,384.846,360.112,453.717,494.609,396.64,384.119,514.409,408.494,131.416,438.526,431.5,145.354,457.477,358.668,81.6829,507.481,546.15,129.411,150.692,229.005,816.757,203.769,200.195,450.563,318.625,209.805,446.911,226.433,223.099,353.354,233.407,134.56,113.648,316.33,147.885,125.232,276.068,64.7725,85.8645,267.103,266.354,77.3117
934,0,181.346,287.82,908.408,272.128,113.807,982.153,374.619,119.581,981.501,451.697,304.802,918.743,497.926,265.059,831.011,503.288,349.683,470.376,386.132,363.997,453.06,495.525,403.98,385.266,516.324,422.764,132.974,440.073,444.043,147.211,461.04,374.167,82.7313,506.636,560.355,133.823,151.371,233.299,816.376,204.128,202.384,450.366,319.012,212.1,446.52,226.827,224.695,352.882,233.55,134.692,113.739,316.336,148.472,125.181,276.124,64.8403,86.0364,267.087,266.426,77.1934
935,0,182.227,292.578,907.874,273.358,118.591,981.634,375.913,124.565,980.868,452.433,309.958,918.017,498.755,270.157,830.359,504.504,354.938,470.006,387.43,368.237,452.32,496.633,411.142,386.377,518.155,436.267,134.477,441.584,455.759,148.758,463.853,387.658,83.033,505.947,573.739,138.114,152.233,237.761,815.987,204.677,204.658,450.027,319.449,214.37,446.051,227.176,226.43,352.52,233.707,134.872,113.787,316.461,148.761,125.126,276.235,64.9047,86.2149,267.08,266.526,77.0747
936,0,183.207,297.421,907.278,274.596,123.48,981.023,377.073,129.666,980.18,453.355,315.176,917.32,499.641,275.36,829.632,505.451,360.165,469.539,388.802,372.338,451.578,497.452,418.245,387.313,520.039,449.062,136.065,443.012,466.779,150.469,466.726,400.546,83.1974,504.985,586.141,142.263,153.179,242.464,815.513,205.255,206.924,449.839,319.972,216.797,445.627,227.557,228.176,352.137,233.692,135.173,113.884,316.59,149.026,125.11,276.296,64.9678,86.4041,267.057,266.59,76.9956
937,0,184.241,302.368,906.655,275.801,128.45,980.481,378.382,134.751,979.547,454.421,320.432,916.559,500.768,280.704,828.872,506.514,365.707,469.143,389.944,376.723,450.736,498.299,425.232,388.006,521.782,460.919,137.415,444.513,476.958,151.787,469.244,412.542,83.3551,504.237,597.766,145.981,154.208,247.194,815.077,205.664,209.351,449.758,320.521,219.219,445.285,228.144,230.03,351.802,233.796,135.377,114.028,316.745,149.337,125.116,276.362,65.0591,86.5645,267.063,266.678,76.9265
938,0,185.362,307.42,906.054,277.133,133.482,979.913,379.717,139.909,978.836,455.519,325.751,915.85,501.739,286.038,828.093,507.773,371.252,468.876,391.181,381.327,449.938,499.02,432.048,388.633,523.448,471.981,138.688,445.817,486.459,152.953,471.719,423.378,83.2555,503.58,608.394,149.26,155.325,252.046,814.527,206.465,211.838,449.486,321.164,221.71,444.765,228.663,231.944,351.199,233.992,135.605,114.153,317.027,149.63,125.13,276.49,65.1092,86.8111,267.077,266.781,76.8308
939,0,186.56,312.567,905.424,278.595,138.638,979.336,381.039,145.179,978.145,456.86,331.139,915.041,502.997,291.507,827.183,508.89,377.14,468.38,392.481,385.892,449.291,499.948,438.859,389.019,524.957,482.121,139.528,446.978,495.287,153.834,474.503,433.892,83.2086,503.291,618.146,151.84,156.546,257.051,814.018,207.264,214.318,449.217,321.742,224.218,444.349,229.133,233.861,350.839,234.151,135.852,114.24,317.273,149.954,125.184,276.625,65.1632,87.1014,267.12,266.91,76.6715
