Devices
1000
,,Sensors - Force,Imported AMTI 400600 V1.0 - Force,,,Imported AMTI 400600 V1.0 - Moment,,,Imported AMTI 400600 V1.0 - CoP,,,Imported AMTI 400600 V1.0 - Force,,,Imported AMTI 400600 V1.0 - Moment,,,Imported AMTI 400600 V1.0 - CoP,,,
Frame,Sub Frame,FP3,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,0.113525,0,0,0,0,0,0,200,300,0,-0.0703107,1.69043,-26.7071,-170.923,15.7127,-2757.83,600.588,1026.4,0
1,1,0.100708,0,0,0,0,0,0,200,300,0,0.139789,1.61935,-27.6224,-138.545,177.413,-2691.46,606.423,1025.02,0
1,2,0.101318,0,0,0,0,0,0,200,300,0,-0.174482,2.1701,-26.9904,-276.62,247.793,-2765.18,609.181,1030.25,0
1,3,0.0796509,0,0,0,0,0,0,200,300,0,0.0170898,2.10001,-26.7779,-145.693,183.075,-2802.22,606.837,1025.44,0
1,4,0.0830078,0,0,0,0,0,0,200,300,0,-0.401646,1.54885,-27.3408,-159.097,356.522,-2849.86,613.04,1025.82,0
1,5,0.0683594,0,0,0,0,0,0,200,300,0,-0.035793,1.6367,-28.3268,-164.789,241.92,-2728.47,608.54,1025.82,0
1,6,0.0930786,0,0,0,0,0,0,200,300,0,0.297064,2.32991,-27.1327,-171.876,78.9364,-2798.53,602.909,1026.33,0
1,7,0.102539,0,0,0,0,0,0,200,300,0,-0.139073,2.13593,-26.7779,-10.0585,153.56,-2809.62,605.735,1020.38,0
1,8,0.0823975,0,0,0,0,0,0,200,300,0,0.0169596,2.18839,-27.9032,-70.3407,253.77,-2747.02,609.095,1022.52,0
1,9,0.112,0,0,0,0,0,0,200,300,0,-0.0521301,1.72729,-28.4684,-116.384,192.61,-2761.42,606.766,1024.09,0
2,0,0.0912476,0,0,0,0,0,0,200,300,0,-0.157267,1.88538,-26.572,-359.27,232.807,-2783.63,608.761,1033.52,0
2,1,0.0979614,-0.691506,0.978811,-16.2875,-199.707,434.488,-153.642,226.676,312.261,0,-0.174957,2.17026,-25.23,-267.828,106.187,-2772.73,604.209,1030.62,0
2,2,0.0836182,-0.181606,0.257059,-4.27749,-52.4479,114.107,-40.35,226.676,312.261,0,0.0343685,1.86943,-27.8266,-173.254,117.593,-2813.11,604.226,1026.23,0
2,3,0.0811768,0,0,0,0,0,0,200,300,0,0.0177099,1.63749,-28.5396,-57.7581,217.777,-2765.36,607.631,1022.02,0
2,4,0.0894165,0,0,0,0,0,0,200,300,0,-0.209287,1.74337,-27.4157,-204.358,135.341,-2779.82,604.937,1027.45,0
