Devices
1000
,,Sensors - Force,Imported AMTI 400600 V1.0 - Force,,,Imported AMTI 400600 V1.0 - Moment,,,Imported AMTI 400600 V1.0 - CoP,,,Imported AMTI 400600 V1.0 - Force,,,Imported AMTI 400600 V1.0 - Moment,,,Imported AMTI 400600 V1.0 - CoP,,,
Frame,Sub Frame,FP3,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
497,0,0.138855,-41.758,-49.497,-693.129,23284.6,62966.7,11163.6,290.844,266.407,0,0,0,0,0,0,0,600,1020,0
497,1,0.0976563,-42.4022,-50.2739,-696.227,22911.3,62985.9,11152.5,290.468,267.092,0,0,0,0,0,0,0,600,1020,0
497,2,0.098877,-42.6908,-50.8381,-699.553,22498.4,63229.5,11037.4,290.386,267.839,0,0,0,0,0,0,0,600,1020,0
497,3,0.108337,-42.9766,-51.2192,-701.816,22146.6,63518.4,10965.8,290.506,268.444,0,0,0,0,0,0,0,600,1020,0
497,4,0.111084,-43.1232,-51.5592,-703.205,21921.8,63533.7,10898.5,290.349,268.826,0,0,0,0,0,0,0,600,1020,0
497,5,0.0558472,-43.7627,-52.0614,-704.472,21495.5,63717.5,10780.2,290.447,269.487,0,0,0,0,0,0,0,600,1020,0
497,6,0.114746,-44.3766,-52.3758,-706.08,21092.4,63958.1,10774.7,290.582,270.128,0,0,0,0,0,0,0,600,1020,0
497,7,0.117188,-44.8512,-52.5664,-709.791,20822.8,64078.1,10737.5,290.278,270.663,0,0,0,0,0,0,0,600,1020,0
497,8,0.129089,-45.3553,-53.0507,-712.594,20361.9,64143.1,10633.6,290.014,271.426,0,0,0,0,0,0,0,600,1020,0
497,9,0.100708,-45.5208,-53.2339,-714.644,20030.3,64206,10598.4,289.843,271.972,0,0,0,0,0,0,0,600,1020,0
498,0,0.088501,-45.802,-53.4562,-717.643,19798.3,64339.1,10585.3,289.653,272.412,0,0,0,0,0,0,0,600,1020,0
498,1,0.0909424,-46.2403,-53.8963,-720.708,19339.2,64495.3,10556.1,289.489,273.166,0,0,0,0,0,0,0,600,1020,0
498,2,0.0897217,-46.7427,-54.233,-722.732,18907.2,64738.8,10504.1,289.575,273.839,0,0,0,0,0,0,0,600,1020,0
498,3,0.140076,-47.0397,-54.3603,-724.719,18670.1,64921.1,10429.3,289.581,274.238,0,0,0,0,0,0,0,600,1020,0
498,4,0.10498,-47.5048,-54.8149,-728.519,18291.7,65078.7,10343.1,289.33,274.892,0,0,0,0,0,0,0,600,1020,0
498,5,0.105286,-47.8654,-55.0881,-730.421,17740.7,65183.6,10295.4,289.241,275.712,0,0,0,0,0,0,0,600,1020,0
498,6,0.108643,-48.2054,-55.4663,-731.611,17260,65349.5,10271.7,289.323,276.408,0,0,0,0,0,0,0,600,1020,0
498,7,0.117188,-48.534,-56.0808,-733.72,16941.9,65509.5,10193.5,289.284,276.91,0,0,0,0,0,0,0,600,1020,0
498,8,0.0515747,-48.6148,-56.3512,-736.062,16575.9,65565.6,10070.8,289.076,277.48,0,0,0,0,0,0,0,600,1020,0
498,9,0.106506,-48.7471,-56.5406,-738.517,16141.6,65733.7,9959.19,289.008,278.143,0,0,0,0,0,0,0,600,1020,0
499,0,0.0921631,-49.165,-57.1658,-741.047,15728.7,65900.8,9915.22,288.929,278.775,0,0,0,0,0,0,0,600,1020,0
499,1,0.130615,-49.5918,-57.7692,-743.296,15316.6,66083.5,9893.03,288.906,279.394,0,0,0,0,0,0,0,600,1020,0
499,2,0.0881958,-49.8553,-58.194,-746.032,14888.6,66220.5,9833.03,288.764,280.043,0,0,0,0,0,0,0,600,1020,0
499,3,0.0830078,-50.3146,-58.6909,-747.843,14486.3,66329.6,9717.11,288.695,280.629,0,0,0,0,0,0,0,600,1020,0
499,4,0.0939941,-50.691,-58.9037,-749.921,14156.6,66467.9,9658.71,288.633,281.123,0,0,0,0,0,0,0,600,1020,0
499,5,0.101318,-51.0076,-59.3053,-752.704,13815.5,66604.5,9605.45,288.487,281.645,0,0,0,0,0,0,0,600,1020,0
499,6,0.119324,-51.2568,-59.9316,-754.469,13375.6,66673.7,9502.19,288.372,282.271,0,0,0,0,0,0,0,600,1020,0
499,7,0.118408,-51.7288,-60.234,-756.093,12960.5,66631.6,9436.47,288.126,282.859,0,0,0,0,0,0,0,600,1020,0
499,8,0.0976563,-52.1364,-60.6771,-758.265,12528.2,66771.7,9319.02,288.059,283.478,0,0,0,0,0,0,0,600,1020,0
499,9,0.135193,-52.5123,-61.2061,-760.561,12079.8,66988,9165.02,288.077,284.117,0,0,0,0,0,0,0,600,1020,0
500,0,0.0875854,-52.7481,-61.3276,-762.482,11663.4,67121.2,9112.89,288.03,284.703,0,0,0,0,0,0,0,600,1020,0
