Trajectories
100
,,ZSZ2:LASI,,,ZSZ2:LPSI,,,ZSZ2:RPSI,,,ZSZ2:RASI,,,ZSZ2:RHIP,,,ZSZ2:RKNE,,,ZSZ2:RKNE2,,,ZSZ2:RTIB,,,ZSZ2:RANK,,,ZSZ2:RANK2,,,ZSZ2:RHEEL,,,ZSZ2:RTOE,,,ZSZ2:LHIP,,,ZSZ2:LKNE,,,ZSZ2:LKNE2,,,ZSZ2:LTIB,,,ZSZ2:LANK,,,ZSZ2:LANK2,,,ZSZ2:LHEEL,,,ZSZ2:LTOE,,,Wand:TFXN,,,Wand:TFORI,,,Wand:TFXP,,,Wand:TFYMid,,,Wand:TFYP,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.1588,6.26795,52.4609,5.50701,6.01427,52.6513,165.999,5.86245,52.4885,6.41055,127.226,52.5392,6.34166,247.395,52.6654
2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.1848,6.69487,52.8535,5.52022,6.0141,52.6592,166.002,5.87186,52.505,6.44627,127.227,52.5336,6.35493,247.398,52.6612
3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.1766,6.28216,52.4715,5.53121,6.02468,52.6547,165.997,5.86388,52.5091,6.42193,127.232,52.5367,6.32894,247.388,52.6682
4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.1744,6.27304,52.4723,5.51566,6.0263,52.6472,166.014,5.86872,52.5065,6.40457,127.231,52.5508,6.33466,247.393,52.6777
5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.1143,6.7264,52.833,5.56335,6.0258,52.6616,166.055,5.88604,52.5076,6.43261,127.234,52.5559,6.36612,247.409,52.6491
6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.068,6.32238,52.443,5.59619,6.07517,52.6681,166.069,5.91682,52.5128,6.46369,127.252,52.5363,6.37413,247.402,52.6743
7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.0397,6.34642,52.4448,5.63174,6.10648,52.6552,166.103,5.9316,52.5103,6.48955,127.255,52.5406,6.40103,247.418,52.6696
8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.9478,6.78011,52.706,5.68124,6.15178,52.6381,166.146,5.95029,52.5075,6.50572,127.254,52.5267,6.38881,247.429,52.6482
9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.9475,6.39837,52.4173,5.72868,6.15671,52.6245,166.182,6.00462,52.5115,6.52422,127.258,52.5211,6.42153,247.443,52.6672
10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.9221,6.40996,52.4272,5.75547,6.19319,52.6204,166.219,6.01365,52.4989,6.54787,127.281,52.5137,6.44935,247.435,52.6632
11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8776,6.43333,52.414,5.79543,6.21183,52.632,166.249,6.05327,52.4978,6.57717,127.283,52.5058,6.46851,247.448,52.6456
12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8552,6.45923,52.4156,5.83582,6.25249,52.6014,166.275,6.05588,52.5086,6.5865,127.291,52.5108,6.47939,247.449,52.63
13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8119,6.48951,52.3886,5.87657,6.28677,52.5773,166.309,6.09213,52.4903,6.59563,127.294,52.5062,6.48279,247.448,52.6454
14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.673,6.87741,52.5502,5.90137,6.30341,52.5933,166.331,6.11081,52.5014,6.63547,127.294,52.4798,6.49925,247.47,52.6327
15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.6864,6.87166,52.5698,5.91039,6.31588,52.5822,166.338,6.11127,52.5019,6.62392,127.302,52.4912,6.49375,247.479,52.6314
16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.6411,6.89883,52.5112,5.89827,6.28746,52.611,166.337,6.11922,52.4984,6.60992,127.292,52.497,6.48405,247.472,52.6369
17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.7772,6.4973,52.3684,5.90305,6.30798,52.6117,166.333,6.11169,52.4948,6.63525,127.288,52.4901,6.47755,247.488,52.6329
18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.7841,6.51424,52.3486,5.90936,6.29768,52.5969,166.329,6.09875,52.5074,6.63725,127.28,52.5015,6.51637,247.457,52.6251
19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.6399,6.89289,52.5194,5.89959,6.30101,52.635,166.34,6.11782,52.4956,6.63201,127.306,52.4884,6.49965,247.461,52.6471
20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.6718,6.88545,52.547,5.91901,6.29183,52.6048,166.342,6.12564,52.5021,6.63238,127.307,52.4889,6.50773,247.459,52.6549
21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.7879,6.50174,52.381,5.90263,6.28488,52.6164,166.324,6.09914,52.5093,6.62628,127.316,52.4887,6.51,247.463,52.6406
22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.7964,6.51078,52.3848,5.90226,6.29484,52.6227,166.336,6.13164,52.4997,6.63223,127.288,52.493,6.51848,247.468,52.6386
23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.789,6.51013,52.3871,5.89561,6.28613,52.62,166.334,6.09636,52.496,6.62848,127.305,52.4907,6.48712,247.473,52.6485
24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.7888,6.52077,52.3748,5.89657,6.28898,52.6159,166.331,6.10603,52.5087,6.62711,127.308,52.4989,6.51107,247.471,52.6289
25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.7696,6.51895,52.3923,5.93438,6.28306,52.5966,166.327,6.10474,52.5088,6.62805,127.308,52.4822,6.4914,247.443,52.6579
26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.7694,6.50124,52.3799,5.91245,6.2979,52.6075,166.318,6.09833,52.4924,6.63324,127.288,52.491,6.49401,247.451,52.6482
27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.791,6.50191,52.3907,5.92226,6.30353,52.5893,166.334,6.10845,52.5023,6.623,127.301,52.4904,6.50442,247.456,52.6365
28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.7681,6.5134,52.3614,5.93313,6.30302,52.5678,166.332,6.11104,52.4973,6.64371,127.292,52.4898,6.50235,247.459,52.659
29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.7641,6.50797,52.3748,5.90766,6.30104,52.5841,166.331,6.09494,52.5038,6.63735,127.288,52.4905,6.49741,247.46,52.6492
30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.7718,6.51144,52.37,5.89972,6.29674,52.6003,166.333,6.09917,52.497,6.61619,127.294,52.4923,6.51553,247.457,52.649
31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.7885,6.5095,52.385,5.91927,6.30155,52.5891,166.334,6.10311,52.495,6.61689,127.302,52.5016,6.52409,247.468,52.648
32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.7799,6.50534,52.3837,5.91837,6.28838,52.5914,166.334,6.09056,52.4981,6.6157,127.298,52.5035,6.50341,247.453,52.6424
