Trajectories
100
,,ZSZ2:LASI,,,ZSZ2:LPSI,,,ZSZ2:RPSI,,,ZSZ2:RASI,,,ZSZ2:RHIP,,,ZSZ2:RKNE,,,ZSZ2:RKNE2,,,ZSZ2:RTIB,,,ZSZ2:RANK,,,ZSZ2:RANK2,,,ZSZ2:RHEEL,,,ZSZ2:RTOE,,,ZSZ2:LHIP,,,ZSZ2:LKNE,,,ZSZ2:LKNE2,,,ZSZ2:LTIB,,,ZSZ2:LANK,,,ZSZ2:LANK2,,,ZSZ2:LHEEL,,,ZSZ2:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
521,0,205.399,357.258,1085.15,295.71,182.195,1134.87,403.734,187.742,1131.2,497.019,341.511,1083.27,539.101,306.576,988.851,521.262,512.885,596.951,408.718,544.284,598.495,500.509,541.984,483.279,493.722,441.191,168.163,415.388,489.144,179.056,411.376,362.95,139.829,498.827,603.719,108.351,167.84,294.577,999.575,216.781,251.505,561.237,328.494,272.909,551.985,243.386,277.489,442.223,237.418,167.546,127.615,324.209,179.645,140.738,292.864,67.3702,98.2629,270.533,325.901,92.344
522,0,205.265,371.531,1082.6,295.974,196.788,1132.94,404.165,202.689,1128.97,497.301,356.569,1080.46,539.028,321.223,985.861,520.438,530.699,595.967,408.475,561.949,598.176,500.788,565.543,484.018,495.88,483.547,163.639,417.957,531.25,176.707,413.837,408.492,131.255,502.439,649.371,112.806,167.965,307.793,997.556,217.769,257.296,560.401,329.381,279.012,550.714,244.578,281.681,441.067,238.495,168.227,127.949,324.669,179.434,140.783,293.525,68.2805,98.5408,270.885,326.254,91.4324
523,0,205.413,385.799,1079.73,296.526,211.396,1130.84,404.667,217.556,1126.52,497.596,371.748,1077.44,538.997,335.886,982.716,519.817,547.612,594.556,407.955,579.336,597.174,501.112,588.536,484.576,498.371,525.207,159.895,420.557,572.745,175.128,415.944,452.734,123.19,506.041,693.605,117.809,168.341,321.317,995.212,218.971,263.678,559.238,332.027,282.186,550.388,245.628,286.457,439.729,239.657,169.127,128.399,325.902,180.624,140.586,294.463,68.7181,98.929,270.816,326.911,90.5801
524,0,205.522,400.071,1076.83,297.188,226.013,1128.53,405.426,232.571,1123.97,498.027,387.12,1074.1,538.875,350.551,979.318,518.61,564.437,592.398,407.32,596.181,595.793,501.164,610.799,485.059,500.788,566.323,157.22,422.981,613.399,174.503,418.301,496.318,116.054,509.575,736.705,124.008,168.734,334.833,992.758,220.074,270.657,558.024,331.981,291.226,548.076,246.628,291.648,438.386,240.819,170.133,128.866,327.451,181.844,140.486,295.317,69.0425,99.3975,271.585,327.009,89.5651
525,0,205.737,414.432,1073.81,298.039,240.7,1126.05,406.238,247.697,1121.28,498.594,402.446,1070.73,539.035,365.412,975.807,517.654,580.542,589.912,406.428,612.589,593.991,501.251,632.33,485.321,503.489,606.486,155.5,425.416,652.769,174.778,420.946,539.159,109.909,512.886,778.395,131.22,169.326,348.505,990.133,221.169,278.37,556.588,333.074,298.809,546.438,247.44,297.594,437.008,241.928,171.152,129.387,328.94,183.113,140.391,296.055,69.4234,99.8374,271.96,327.376,88.7148
526,0,206.31,428.957,1070.6,299.048,255.464,1123.47,407.34,262.97,1118.5,499.191,417.929,1067.3,539.34,380.469,972.195,516.303,596.643,586.819,405.644,628.38,591.715,501.058,653.327,485.305,505.894,645.375,154.63,427.704,690.729,175.823,423.608,580.73,104.859,515.885,818.363,139.314,170.028,362.135,987.443,222.202,286.787,554.966,334.178,306.885,544.585,249.072,303.462,434.927,242.9,172.319,130.124,330.446,184.507,140.208,296.906,69.8981,100.323,272.406,327.676,87.8965
527,0,206.662,443.512,1067.41,300.363,270.365,1120.74,408.443,278.328,1115.66,499.854,433.805,1063.84,539.869,395.813,968.819,515.124,612.051,583.701,404.763,643.604,589.175,500.859,673.612,485.179,508.246,682.912,154.403,429.844,727.036,177.693,426.325,621.018,100.731,518.645,856.466,148.206,170.835,375.981,984.613,223.189,295.777,553.214,335.101,315.508,542.578,251.372,310.258,432.397,243.868,173.578,130.866,331.634,185.091,140.566,297.644,70.2713,100.993,272.683,328.017,86.9985
528,0,207.26,458.229,1064.2,301.612,285.489,1117.86,409.778,293.998,1112.77,500.6,450.018,1060.41,540.367,411.524,965.359,514.157,626.963,580.24,404.139,658.429,586.376,500.464,693.229,484.939,510.761,718.68,155.02,431.493,761.514,180.093,429.158,659.585,97.418,520.754,892.458,157.689,171.714,389.917,981.709,224.176,305.09,551.477,336.035,324.685,540.459,253.013,317.323,430.436,244.664,174.863,131.877,333.018,187.276,140.674,298.66,70.8035,101.862,272.952,328.353,86.2276
529,0,207.819,473.206,1060.89,302.982,300.804,1114.87,411.268,309.86,1109.87,501.242,466.737,1057.08,541.142,427.621,962.24,513.126,641.456,576.554,403.372,672.504,583.331,500.103,712.025,484.482,512.887,752.708,155.943,433.05,794.181,182.618,431.922,696.327,94.8071,522.38,926.143,167.522,172.665,404.154,978.78,225.143,314.705,549.798,336.954,334.209,538.434,254.486,324.434,428.407,245.672,176.302,133.074,334.228,188.969,141.082,299.633,71.6083,103.493,273.168,328.95,85.5325
