Trajectories
100
,,ZSZ2:LASI,,,ZSZ2:LPSI,,,ZSZ2:RPSI,,,ZSZ2:RASI,,,ZSZ2:RHIP,,,ZSZ2:RKNE,,,ZSZ2:RKNE2,,,ZSZ2:RTIB,,,ZSZ2:RANK,,,ZSZ2:RANK2,,,ZSZ2:RHEEL,,,ZSZ2:RTOE,,,ZSZ2:LHIP,,,ZSZ2:LKNE,,,ZSZ2:LKNE2,,,ZSZ2:LTIB,,,ZSZ2:LANK,,,ZSZ2:LANK2,,,ZSZ2:LHEEL,,,ZSZ2:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
623,0,212.029,504.942,1076.54,293.961,330.097,1133.1,401.863,329.069,1132.58,506.449,478.141,1081.92,542.977,434.875,989.165,541.94,600.474,579.159,434.08,640.862,577.905,535.862,659.643,479.056,554.681,654.138,148.558,480.235,705.299,167.469,468.28,596.85,95.3891,580.207,825.592,138.116,172.402,446.55,987.538,224.784,381.635,552.992,338.014,401.164,544.897,255.648,404.553,434.421,250.613,284.935,130.474,341.894,300.912,134.905,315.918,191.394,96.4189,258.73,442.75,86.1946
624,0,212.766,510.372,1075.63,295.15,335.717,1132.63,403.104,334.955,1131.98,507.213,484.163,1080.84,543.628,440.979,988.093,541.302,604.522,578.014,433.636,645.09,576.916,535.758,665.888,479.165,556.679,668.035,148.771,481.673,718.712,168.223,470.207,611.357,93.4061,581.853,839.793,142.117,173.283,451.321,986.766,225.333,383.454,552.727,338.557,403.129,544.412,256.025,405.921,434.187,250.757,285.002,130.487,341.631,301.231,134.856,316.005,191.413,96.4897,258.684,442.737,86.1551
625,0,213.59,515.928,1074.7,296.427,341.519,1132.13,404.308,340.931,1131.35,508.035,490.087,1079.71,544.465,447.111,987.123,540.846,608.929,576.562,433.188,649.266,575.731,535.726,672.115,479.126,558.384,681.405,148.851,483.031,731.371,168.92,473.094,626.083,92.1397,583.147,853.364,145.854,174.127,456.224,986.072,225.959,385.582,552.432,339.083,405.354,543.815,256.279,407.476,433.709,250.853,285.13,130.597,341.608,301.578,134.727,316.098,191.467,96.5624,258.637,442.748,86.099
626,0,214.672,521.646,1073.65,297.72,347.347,1131.54,405.784,347.053,1130.63,508.91,496.125,1078.5,545.512,453.39,985.976,540.597,613.473,575.301,432.823,653.332,574.43,535.614,678.397,479.001,560.143,694.002,149.116,484.23,743.273,169.471,475.407,639.302,90.7644,584.024,866.01,149.208,174.936,461.244,985.357,226.616,388.061,552.091,339.763,407.791,543.283,256.701,409.386,433.316,251.033,285.336,130.702,341.801,301.864,134.781,316.191,191.558,96.6154,258.607,442.786,86.0026
627,0,215.663,527.372,1072.64,299.111,353.321,1130.92,407.202,353.223,1129.94,510.003,502.551,1077.21,546.442,459.672,984.91,540.515,618.447,573.94,432.329,657.586,573.133,535.614,684.615,478.844,561.576,705.793,149.188,485.423,754.418,170.009,477.469,651.548,89.5067,584.601,878.007,152.225,175.999,466.457,984.571,227.288,390.738,551.778,340.401,410.391,542.693,256.911,411.498,432.911,251.215,285.549,130.839,341.931,302.069,134.753,316.345,191.637,96.697,258.586,442.834,85.9453
628,0,216.914,533.317,1071.53,300.534,359.408,1130.3,408.574,359.513,1129.17,511.056,509.133,1075.95,547.597,466.033,983.76,540.669,623.531,572.918,431.473,662.102,571.905,535.485,690.905,478.312,562.809,716.9,149.16,486.244,764.689,170.253,479.378,663.061,88.2284,584.814,889.126,154.677,177.101,471.881,983.747,228.054,393.637,551.398,341.042,413.269,542.113,257.503,413.518,432.482,251.462,285.841,130.943,342.08,302.371,134.735,316.551,191.712,96.848,258.577,442.916,85.8528
629,0,218.163,539.321,1070.53,302.191,365.61,1129.58,410.22,365.883,1128.41,512.298,515.692,1074.7,548.847,472.465,982.657,540.549,629.144,571.491,431.595,666.268,570.198,535.693,697.2,477.847,564.106,726.963,148.944,486.91,774.131,170.322,480.975,673.387,86.9898,584.809,899.371,156.559,178.36,477.43,982.906,228.832,396.61,551.115,341.947,416.188,541.426,257.531,416.074,432.019,251.538,286.068,131.134,342.259,302.701,134.732,316.59,191.756,97.1031,258.559,443.024,85.7966
630,0,219.769,545.555,1069.42,303.836,371.973,1128.93,411.82,372.371,1127.6,513.638,522.416,1073.39,550.036,478.987,981.429,540.925,634.943,570.297,431.443,670.896,568.716,535.757,703.42,477.098,565.144,735.881,148.253,487.452,782.549,170.049,482.439,682.71,85.5558,584.397,908.634,157.949,179.576,483.058,982.112,229.755,399.758,550.656,342.695,419.227,540.728,258.662,418.013,431.503,251.588,286.281,131.36,342.48,303.074,134.855,316.665,191.833,97.2773,258.58,443.103,85.6857
631,0,221.316,551.898,1068.3,305.548,378.38,1128.22,413.564,378.967,1126.79,515.025,529.255,1072.17,551.518,485.478,980.287,541.457,640.951,569.193,431.512,675.75,567.084,536.036,709.727,476.157,565.46,744.518,147.316,487.679,790.193,169.375,483.539,690.97,84.0993,583.703,917.068,158.408,180.99,488.936,981.22,230.635,403.054,550.256,343.637,422.56,539.914,259.316,420.416,430.964,251.741,286.57,131.549,342.604,303.368,134.936,316.732,191.922,97.4635,258.244,442.349,85.7216
