Trajectories
100
,,ZSZ2:LASI,,,ZSZ2:LPSI,,,ZSZ2:RPSI,,,ZSZ2:RASI,,,ZSZ2:RHIP,,,ZSZ2:RKNE,,,ZSZ2:RKNE2,,,ZSZ2:RTIB,,,ZSZ2:RANK,,,ZSZ2:RANK2,,,ZSZ2:RHEEL,,,ZSZ2:RTOE,,,ZSZ2:LHIP,,,ZSZ2:LKNE,,,ZSZ2:LKNE2,,,ZSZ2:LTIB,,,ZSZ2:LANK,,,ZSZ2:LANK2,,,ZSZ2:LHEEL,,,ZSZ2:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
513,0,223.122,498.706,1082.16,309.87,322.153,1129.62,418.983,323.4,1129.7,516.489,480.065,1085.89,557.3,447.081,991.167,541.253,638.254,593.341,429.187,668.306,593.385,521.234,666.092,479.728,518.079,566.169,164.537,439.453,612.743,175.692,437.566,486.092,137.77,519.146,728.429,102.042,186.106,440.545,991.415,243.588,397.107,555.735,356.406,416.043,549.679,274.722,423.282,438.034,272.423,310.07,128.184,363.853,329.721,137.551,335.145,217.158,97.3987,286.997,470.638,86.7118
514,0,223.297,509.453,1080.72,309.753,332.787,1128.65,418.795,334.081,1128.51,516.686,490.475,1084.42,557.158,457.234,989.647,539.346,649.899,592.143,427.383,679.625,592.883,520.203,683.168,480.135,520.041,600.23,160.024,441.001,646.212,172.733,439.445,522.952,128.577,521.646,765.364,105.22,186.202,450.686,990.25,243.985,401.724,555.153,356.817,420.616,548.944,275.763,426.199,437.22,272.746,310.491,128.372,363.894,330.491,137.616,335.324,217.323,97.7093,286.914,470.725,86.5492
515,0,223.373,520.165,1079.25,309.723,343.565,1127.64,418.572,344.949,1127.17,516.951,501.069,1082.82,557.131,467.448,988.107,537.392,661.04,590.573,425.888,690.825,592.275,518.943,699.652,480.499,521.848,634.306,156.376,442.891,679.313,170.882,441.859,558.486,120.602,523.656,802.329,110.232,186.294,460.893,988.987,244.289,406.439,554.681,357.104,425.241,548.169,275.923,429.776,436.527,272.986,310.925,128.677,364.145,330.987,137.759,335.491,217.474,97.9863,286.829,470.806,86.3729
516,0,223.651,531.038,1077.69,309.738,354.368,1126.54,418.498,355.877,1125.8,517.335,511.738,1081.18,557.113,477.68,986.461,535.629,671.576,588.849,423.795,701.333,590.391,517.862,715.656,480.902,523.776,667.724,153.784,444.473,711.776,169.957,444.263,593.627,113.652,525.85,837.767,115.548,186.361,471.095,987.851,244.573,411.373,554.211,357.374,430.21,547.31,276.196,433.504,435.861,273.059,311.325,129.16,364.263,331.749,137.958,335.674,217.609,98.3165,286.633,471.078,86.1711
517,0,223.935,542.019,1076.15,309.914,365.364,1125.27,418.553,366.967,1124.33,517.612,522.603,1079.47,556.995,488.185,984.516,533.734,681.633,586.61,422.296,711.227,588.473,517.024,730.725,481.189,525.791,700.202,152.362,445.937,743.673,169.746,446.458,628.363,107.865,527.771,872.236,121.639,186.526,481.426,986.644,244.894,416.479,553.771,357.534,435.549,546.54,276.253,437.354,435.221,273.236,311.803,129.598,364.596,332.463,138.27,335.801,217.77,98.6673,286.756,471.076,85.9691
518,0,224.309,553.176,1074.54,310.194,376.463,1123.92,418.854,378.281,1122.82,518.001,533.807,1077.6,556.938,499.004,982.601,531.937,691.363,584.152,420.995,720.66,586.322,516.295,745.391,481.52,527.251,731.984,151.524,447.057,774.606,170.706,448.269,662.387,103.119,529.538,905.351,128.914,186.842,491.853,985.296,245.245,421.765,553.331,357.894,441.074,545.689,276.373,441.353,434.582,273.448,312.437,130.127,364.671,333.19,138.589,335.951,217.994,99.0673,286.719,471.193,85.7416
519,0,224.702,564.317,1072.98,310.514,387.683,1122.53,419.171,389.648,1121.33,518.537,545.09,1075.69,556.88,510.052,980.548,530.466,700.659,581.485,419.541,729.779,583.867,515.565,759.489,481.746,528.666,762.744,151.564,448.171,804.481,172.314,449.908,695.513,99.4144,531.027,937.092,137.026,187.043,502.36,984,245.474,427.345,552.792,358.063,446.902,544.767,276.372,445.383,433.93,273.666,313.011,130.747,364.855,334.055,139.056,336.034,218.194,99.5996,286.65,471.393,85.5043
520,0,225.107,575.57,1071.31,311.259,399.076,1121.05,419.866,401.286,1119.66,518.944,556.897,1073.73,557.029,521.502,978.391,529.202,709.708,578.512,418.223,738.472,581.235,514.936,773.06,481.906,529.694,792.028,152.256,448.808,832.716,174.851,450.956,727.553,96.3974,532.333,966.862,145.865,187.333,512.887,982.643,245.769,433.174,552.264,358.221,453.175,543.734,276.316,449.691,433.29,273.638,313.331,131.538,365.056,334.913,139.501,336.271,218.471,100.234,286.597,471.603,85.3074
521,0,225.586,586.89,1069.56,311.967,410.617,1119.5,420.593,413.122,1118.06,519.444,568.879,1071.71,557.284,533.227,976.308,527.859,718.666,575.443,416.837,747.062,578.43,514.287,786.109,482.065,530.437,819.661,153.397,449.573,859.421,177.834,451.861,758.172,94.3261,533.47,994.766,155.518,187.752,523.417,981.181,246.12,439.354,551.631,358.531,459.627,542.602,276.46,454.34,432.478,273.638,313.863,132.404,365.2,335.967,140.1,336.574,218.796,101.026,286.505,471.803,85.1486
