Trajectories
100
,,ZSZ2:LASI,,,ZSZ2:LPSI,,,ZSZ2:RPSI,,,ZSZ2:RASI,,,ZSZ2:RHIP,,,ZSZ2:RKNE,,,ZSZ2:RKNE2,,,ZSZ2:RTIB,,,ZSZ2:RANK,,,ZSZ2:RANK2,,,ZSZ2:RHEEL,,,ZSZ2:RTOE,,,ZSZ2:LHIP,,,ZSZ2:LKNE,,,ZSZ2:LKNE2,,,ZSZ2:LTIB,,,ZSZ2:LANK,,,ZSZ2:LANK2,,,ZSZ2:LHEEL,,,ZSZ2:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,281.765,526.461,1086.87,367.028,347.967,1139.78,476.219,351.853,1142.91,576.403,506.941,1090.09,609.828,447.9,997.843,583.222,404.806,563.501,473.71,431.484,552.256,572.396,426.578,448.749,591.932,323.203,133.269,511.971,372.111,138.227,514.258,249.596,94.6634,608.982,489.732,85.1736,240.577,462.872,999.791,259.599,408.94,567.508,368.62,439.484,549.719,273.405,440.199,449.066,241.088,339.194,135.527,330.523,367.289,135.417,315.691,253.698,97.5314,227.167,496.88,87.2833
2,0,281.787,526.403,1086.88,367.057,347.94,1139.8,476.226,351.794,1142.94,576.424,506.875,1090.13,609.828,447.831,997.895,583.486,404.597,563.477,473.68,431.356,552.31,572.418,426.508,448.763,591.932,323.203,133.269,511.945,372.113,138.275,514.253,249.605,94.7067,608.985,489.703,85.1681,240.61,462.872,999.783,259.591,408.906,567.514,368.65,439.453,549.719,273.446,440.192,449.054,241.102,339.197,135.514,330.523,367.289,135.417,315.705,253.688,97.534,227.162,496.885,87.2935
3,0,281.837,526.405,1086.87,367.033,347.908,1139.8,476.22,351.693,1142.99,576.419,506.834,1090.13,609.843,447.759,997.928,583.471,404.518,563.498,473.722,431.279,552.337,572.435,426.429,448.771,591.932,323.203,133.269,511.961,372.091,138.27,514.253,249.605,94.7067,608.987,489.674,85.1626,240.671,462.882,999.751,259.657,408.9,567.521,368.693,439.403,549.758,273.469,440.177,449.073,241.109,339.233,135.523,330.523,367.289,135.417,315.691,253.698,97.5314,227.181,496.892,87.2787
4,0,281.87,526.374,1086.87,367.033,347.864,1139.82,476.2,351.609,1143.04,576.447,506.784,1090.13,609.817,447.693,997.936,583.241,404.516,563.319,473.744,431.188,552.328,572.455,426.342,448.83,591.93,323.21,133.284,511.97,372.111,138.293,514.253,249.605,94.7067,608.991,489.654,85.1566,240.696,462.851,999.789,259.658,408.894,567.552,368.753,439.351,549.738,273.468,440.176,449.13,241.094,339.206,135.544,330.523,367.289,135.417,315.695,253.708,97.5584,227.186,496.904,87.2672
5,0,282.191,526.559,1086.75,367.036,347.895,1139.8,477.086,350.408,1143.81,576.442,506.691,1090.15,609.93,447.555,998.013,583.053,404.498,563.264,473.719,431.117,552.325,572.47,426.264,448.837,591.943,323.212,133.301,511.97,372.111,138.292,514.242,249.597,94.7245,608.983,489.641,85.1555,240.731,462.87,999.779,259.687,408.869,567.564,368.805,439.295,549.737,273.534,440.162,449.121,241.142,339.328,135.54,330.524,367.289,135.416,315.715,253.718,97.5567,227.183,496.907,87.2782
6,0,282.364,526.622,1086.67,367.092,347.917,1139.78,477.054,350.403,1143.79,576.474,506.597,1090.16,610.095,447.381,998.151,582.935,404.493,563.183,473.759,431.044,552.294,572.5,426.177,448.873,591.959,323.195,133.306,512.007,372.109,138.307,514.256,249.59,94.7262,608.991,489.612,85.161,240.759,462.858,999.773,259.73,408.889,567.559,368.854,439.284,549.739,273.54,440.173,449.135,241.2,339.386,135.549,330.525,367.289,135.415,315.702,253.693,97.5627,227.183,496.896,87.2792
7,0,282.609,526.748,1086.6,367.09,347.938,1139.77,477.049,350.328,1143.78,576.516,506.476,1090.15,610.265,447.21,998.242,582.841,404.447,563.122,473.78,430.95,552.304,572.514,426.112,448.905,591.948,323.181,133.272,511.979,372.081,138.308,514.268,249.583,94.7276,608.988,489.611,85.1416,240.815,462.857,999.774,259.76,408.857,567.551,368.885,439.264,549.718,273.576,440.148,449.139,241.211,339.455,135.556,330.526,367.289,135.414,315.713,253.697,97.5496,227.17,496.865,87.2839
8,0,282.703,526.759,1086.54,367.142,347.966,1139.75,477.051,350.319,1143.76,576.537,506.389,1090.15,610.444,447.007,998.339,582.727,404.407,563.119,473.787,430.905,552.299,572.519,426.072,448.891,591.948,323.178,133.271,512.002,372.065,138.301,514.245,249.577,94.7153,608.985,489.605,85.1403,240.851,462.876,999.763,259.762,408.87,567.581,368.929,439.217,549.756,273.578,440.149,449.138,241.257,339.489,135.562,330.526,367.289,135.413,315.71,253.689,97.5646,227.191,496.883,87.2766
9,0,282.905,526.843,1086.48,367.165,347.957,1139.73,477.14,350.205,1143.82,576.576,506.292,1090.16,610.62,446.862,998.412,582.499,404.477,563.005,473.823,430.863,552.31,572.562,426.023,448.899,591.948,323.175,133.27,511.984,372.075,138.326,514.246,249.566,94.7337,608.987,489.598,85.1327,240.921,462.872,999.74,259.806,408.897,567.545,368.937,439.238,549.7,273.615,440.177,449.113,241.254,339.514,135.579,330.527,367.289,135.412,315.709,253.676,97.5388,227.195,496.889,87.2635
