Trajectories
100
,,ZSZ2:LASI,,,ZSZ2:LPSI,,,ZSZ2:RPSI,,,ZSZ2:RASI,,,ZSZ2:RHIP,,,ZSZ2:RKNE,,,ZSZ2:RKNE2,,,ZSZ2:RTIB,,,ZSZ2:RANK,,,ZSZ2:RANK2,,,ZSZ2:RHEEL,,,ZSZ2:RTOE,,,ZSZ2:LHIP,,,ZSZ2:LKNE,,,ZSZ2:LKNE2,,,ZSZ2:LTIB,,,ZSZ2:LANK,,,ZSZ2:LANK2,,,ZSZ2:LHEEL,,,ZSZ2:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
615,0,247.007,420.094,1089.78,321.533,239.76,1137.47,429.202,234.362,1136.43,537.175,379.673,1089.39,574.956,342.182,994.988,565.616,519.651,588.648,452.973,551.591,585.73,541.556,524.904,471.681,525.644,353.669,190.118,444.33,406.168,193.524,441.175,273.522,180.576,532.822,499.589,98.9813,201.499,370.746,999.272,253.769,370.784,556.592,369.525,377.381,552.145,290.961,399.563,439.808,275.641,302.627,129.341,,,,301.078,459.601,87.2147,330.628,203.316,96.3911
616,0,247.104,428.147,1089.41,321.364,247.785,1137.41,428.942,242.208,1136.42,537.165,387.51,1089.44,573.494,349.114,994.93,565.293,530.423,589.425,452.869,562.46,587.147,542.223,540.182,472.813,527.037,382.449,183.472,448.14,433.178,188.539,441.711,303.411,170.555,535.712,532.157,98.7282,201.566,378.413,998.93,253.668,372.802,556.551,369.439,379.266,551.889,290.867,400.999,439.553,275.768,302.789,129.39,367.414,306.152,131.833,300.997,459.506,87.1672,330.709,203.365,96.4931
617,0,247.185,436.218,1088.95,321.146,255.822,1137.33,428.76,250.147,1136.24,537.267,395.255,1089.26,573.491,356.735,994.876,564.807,540.442,590.081,452.657,572.86,588.213,542.908,555.064,473.838,528.746,411.153,177.339,451.512,462.183,182.786,443.269,333.647,160.221,539.367,564.311,99.173,201.849,386.261,998.447,253.844,374.698,556.437,369.438,381.219,551.589,290.912,402.246,439.325,275.861,302.966,129.482,365.071,308.11,132.624,300.994,459.537,87.0791,330.81,203.42,96.6082
618,0,247.432,444.257,1088.52,321.108,263.823,1137.15,428.734,258.067,1135.98,537.02,402.722,1089,573.567,364.314,994.596,564.221,549.966,590.255,452.355,582.772,588.99,543.295,569.496,474.826,530.83,439.693,171.932,453.722,491.014,178.971,444.363,364.2,150.064,543.219,596.272,100.56,202.199,393.968,997.977,253.661,376.788,556.407,369.602,383.131,551.37,290.881,403.644,439.123,275.991,303.108,129.574,367.38,308.839,131.846,300.953,459.546,87.0242,330.873,203.47,96.708
619,0,247.672,452.338,1088,321.205,271.933,1136.8,428.693,266.01,1135.64,537.711,410.86,1088.72,573.637,371.89,994.191,563.375,558.585,590.324,451.787,592.352,589.524,543.513,583.561,476.05,532.791,468.384,166.867,456.231,519.639,175.816,446.322,393.935,141.534,547.271,627.668,102.796,202.393,401.731,997.522,254.207,378.567,556.244,369.65,384.997,551.096,291.039,405.031,438.907,276.014,303.194,129.665,367.973,308.908,132.389,300.9,459.431,86.9565,330.941,203.491,96.7728
620,0,248.084,460.425,1087.34,321.284,279.996,1136.43,428.832,274.049,1135.22,538.809,419.158,1088.22,573.66,379.593,993.651,562.368,567.075,589.983,451.152,601.607,589.812,543.49,597.263,477.082,534.989,496.521,162.481,458.726,547.706,173.123,448.462,423.726,133.122,551.095,658.331,105.738,202.704,409.493,996.964,254.099,380.832,556.17,369.846,386.816,550.796,291.28,406.344,438.634,276.093,303.28,129.773,368.428,309.108,132.935,300.902,459.634,86.8722,330.996,203.544,96.8412
621,0,248.428,468.665,1086.57,321.322,288.04,1135.9,429.043,282.089,1134.66,538.776,426.826,1087.6,573.67,387.503,992.933,561.253,575.538,589.452,450.395,610.487,589.81,543.442,610.433,477.976,537.586,523.806,159.056,461.14,574.944,171.048,450.989,452.933,125.64,554.683,688.054,109.217,203.083,417.072,996.29,254.558,382.832,556.109,370.26,388.808,550.484,291.282,407.755,438.43,276.211,303.333,129.877,366.808,308.548,133.279,300.834,459.638,86.8247,331.3,203.226,97.2902
622,0,248.708,476.716,1085.85,321.608,296.249,1135.26,429.205,290.235,1134.01,539.071,435.013,1086.88,573.978,395.428,992.362,560.264,583.798,588.478,449.734,618.818,589.396,543.35,623.207,478.522,539.945,550.882,156.024,463.763,601.123,169.663,453.508,481.361,119.196,557.768,716.555,112.623,203.422,424.753,995.551,254.389,385.221,556.103,370.543,390.954,550.085,291.454,409.297,438.154,276.342,303.416,129.962,369.094,309.509,133.678,300.797,459.67,86.7737,331.47,203.304,97.263
623,0,249.017,484.884,1084.97,321.905,304.185,1134.56,429.617,298.476,1133.33,539.385,443.298,1086.12,574.056,403.731,991.473,559.201,591.832,587.051,448.925,626.846,588.587,543.208,635.539,478.91,542.556,576.837,153.756,466.116,626.685,168.725,456.45,508.856,113.734,560.531,744.546,116.958,203.872,432.252,994.683,254.742,387.455,556.016,370.883,393.353,549.737,291.629,410.987,437.886,276.502,303.484,130.035,370.88,309.196,134.774,300.75,459.693,86.7136,331.552,203.406,97.3339
