Trajectories
100
,,Wand:TFXN,,,Wand:TFORI,,,Wand:TFXP,,,Wand:TFYMid,,,Wand:TFYP,,,JHB:LASI,,,JHB:LPSI,,,JHB:RPSI,,,JHB:RASI,,,JHB:RHIP,,,JHB:RKNE,,,JHB:RKNE2,,,JHB:RTIB,,,JHB:RANK,,,JHB:RANK2,,,JHB:RHEEL,,,JHB:RTOE,,,JHB:LHIP,,,JHB:LKNE,,,JHB:LKNE2,,,JHB:LTIB,,,JHB:LANK,,,JHB:LANK2,,,JHB:LHEEL,,,JHB:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,330.975,403.296,51.7406,410.812,403.072,52.0828,570.999,402.282,52.7374,411.672,523.109,52.1125,411.928,643.266,52.2198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,330.986,403.305,51.7388,410.816,403.072,52.0898,571.026,402.304,52.7347,411.665,523.108,52.1055,411.922,643.272,52.2069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,330.986,403.305,51.7388,410.837,403.069,52.0774,571.011,402.311,52.7104,411.657,523.118,52.1119,411.933,643.278,52.1859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,330.983,403.311,51.7185,410.804,403.081,52.0691,571.024,402.295,52.7354,411.664,523.117,52.1049,411.949,643.278,52.1923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,330.989,403.307,51.7249,410.827,403.065,52.0693,571.024,402.298,52.7337,411.668,523.117,52.1128,411.939,643.26,52.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,330.977,403.296,51.7256,410.822,403.063,52.0437,571.02,402.294,52.7087,411.66,523.114,52.1066,411.932,643.264,52.2144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,330.977,403.293,51.7248,410.819,403.046,52.0702,571.021,402.287,52.7316,411.648,523.123,52.1066,411.93,643.276,52.1882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,330.987,403.3,51.7221,410.831,403.041,52.0694,571.008,402.288,52.7171,411.663,523.12,52.0934,411.934,643.267,52.1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,330.977,403.312,51.714,410.8,403.062,52.0566,571.031,402.29,52.7048,411.656,523.111,52.1082,411.924,643.276,52.2189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,330.998,403.303,51.7192,410.826,403.029,52.0643,570.998,402.286,52.7166,411.654,523.109,52.1089,411.916,643.293,52.1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,330.995,403.298,51.7191,410.791,403.043,52.058,571.006,402.27,52.7182,411.661,523.1,52.1172,411.938,643.26,52.2105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,330.967,403.298,51.7211,410.794,403.034,52.0705,570.996,402.263,52.7206,411.667,523.117,52.1086,411.899,643.277,52.2143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,330.974,403.281,51.7199,410.819,403.031,52.0682,570.992,402.257,52.7432,411.653,523.107,52.1098,411.914,643.267,52.2142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,330.984,403.285,51.7186,410.795,403.058,52.0645,571.005,402.259,52.7279,411.649,523.097,52.1109,411.913,643.266,52.2146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,330.985,403.284,51.7335,410.789,403.027,52.0708,570.99,402.264,52.7294,411.634,523.106,52.1116,411.913,643.266,52.2145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,330.971,403.281,51.7434,410.796,403.037,52.0712,571,402.247,52.7273,411.652,523.098,52.1111,411.925,643.256,52.2146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,330.977,403.28,51.7336,410.787,403.027,52.0799,571.023,402.255,52.717,411.648,523.104,52.1112,411.925,643.257,52.2146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,330.974,403.285,51.7219,410.78,403.027,52.073,570.999,402.257,52.7276,411.646,523.122,52.1103,411.925,643.257,52.2144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,330.966,403.27,51.7359,410.796,403.015,52.0805,571.003,402.257,52.7174,411.639,523.117,52.1103,411.928,643.275,52.2204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,330.962,403.274,51.7246,410.785,403.034,52.0577,571.004,402.252,52.7175,411.646,523.099,52.1182,411.919,643.262,52.2265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,330.981,403.285,51.7188,410.79,403.027,52.0703,570.998,402.259,52.7281,411.658,523.116,52.1166,411.918,643.274,52.1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,330.974,403.28,51.7189,410.801,403.017,52.071,570.996,402.26,52.7285,411.652,523.097,52.1112,411.918,643.274,52.1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,330.982,403.285,51.7184,410.796,403.023,52.0578,570.984,402.251,52.7283,411.639,523.116,52.1105,411.918,643.274,52.1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,330.979,403.283,51.7189,410.805,403.019,52.0699,570.983,402.255,52.7278,411.632,523.117,52.1179,411.923,643.274,52.2137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,330.977,403.279,51.7333,410.803,403.023,52.0648,570.995,402.271,52.714,411.649,523.104,52.1109,411.936,643.259,52.2118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,330.991,403.269,51.7328,410.812,403.021,52.0766,571.015,402.256,52.7262,411.644,523.107,52.1181,411.931,643.252,52.2267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,330.983,403.286,51.7179,410.787,403.043,52.0573,571.021,402.244,52.7173,411.652,523.106,52.1101,411.913,643.266,52.2148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,330.971,403.279,51.7407,410.783,403.04,52.0791,571.018,402.253,52.705,411.631,523.109,52.0982,411.913,643.266,52.2145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,330.988,403.266,51.7341,410.796,403.022,52.0577,571.02,402.252,52.7179,411.634,523.109,52.1254,411.929,643.269,52.2261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,330.981,403.265,51.7273,410.777,403.027,52.0731,571.02,402.251,52.7174,411.649,523.104,52.1109,411.931,643.252,52.2266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,330.974,403.277,51.7343,410.799,403.016,52.1019,570.997,402.24,52.7331,411.659,523.1,52.1318,411.911,643.272,52.2234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,330.96,403.263,51.7221,410.796,403.031,52.0571,570.995,402.249,52.7271,411.651,523.106,52.1104,411.913,643.266,52.2147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,330.966,403.269,51.7212,410.796,403.03,52.0773,571,402.238,52.7277,411.651,523.106,52.1106,411.919,643.262,52.2266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,330.975,403.278,51.7344,410.811,403.021,52.0771,571.014,402.255,52.7042,411.649,523.104,52.111,411.913,643.267,52.2144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,330.974,403.279,51.7191,410.819,403.015,52.0636,571.005,402.251,52.7264,411.652,523.095,52.1052,411.919,643.262,52.2271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,330.972,403.278,51.7198,410.795,403.017,52.0723,571.003,402.247,52.7272,411.661,523.11,52.1171,411.919,643.262,52.2266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0,330.967,403.277,51.698,410.811,403.02,52.0766,571.008,402.262,52.7257,411.634,523.112,52.0974,411.913,643.267,52.2147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
