Trajectories
100
,,JHB:LASI,,,JHB:LPSI,,,JHB:RPSI,,,JHB:RASI,,,JHB:RHIP,,,JHB:RKNE,,,JHB:RKNE2,,,JHB:RTIB,,,JHB:RANK,,,JHB:RANK2,,,JHB:RHEEL,,,JHB:RTOE,,,JHB:LHIP,,,JHB:LKNE,,,JHB:LKNE2,,,JHB:LTIB,,,JHB:LANK,,,JHB:LANK2,,,JHB:LHEEL,,,JHB:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
648,0,274.579,380.055,1033.62,336.867,207.695,1051.94,460.407,198.687,1048.43,556.988,361.848,1032.17,604.288,341.892,926.003,570.59,517.661,549.871,452.943,547.629,542.286,549.44,536.264,442.937,534.148,387.141,183.204,447.712,423.418,188.604,472.948,305.932,166.838,525.849,538.01,108.398,223.69,335.163,923.809,280.057,303.525,506.569,398.709,313.697,498.363,302.334,336.276,411.457,307.557,260.059,116.667,397.418,287.094,129.18,351.312,181.709,87.8058,329.994,422.841,88.0188
649,0,274.68,389.983,1032.43,336.393,217.379,1051.17,460.219,207.028,1047.95,556.968,370.807,1031.24,604.01,350.747,925.143,570.387,526.862,548.545,453.146,556.771,541.63,549.682,551.05,442.474,535.672,418.913,173.634,449.328,454.315,180.814,474.26,338.724,152.589,526.908,573.73,107.533,223.743,344.495,922.811,279.829,305.892,506.437,398.6,316.109,498.151,302.111,338.034,411.153,307.641,260.09,116.671,397.423,287.27,129.06,351.378,181.727,87.8482,329.983,422.817,87.8298
650,0,275.041,400.153,1031.16,335.924,227.19,1050.29,459.63,216.535,1046.96,557.128,379.96,1030.11,604.052,359.429,924.205,569.951,535.409,546.514,453.363,564.857,540.253,549.987,565.029,441.758,537.65,451.297,164.675,450.793,486.165,174.019,476.478,372.203,138.967,528.437,610.044,107.741,223.745,353.887,921.81,279.596,308.318,506.333,398.453,318.305,497.693,301.8,339.829,410.787,307.713,260.085,116.673,397.535,287.329,129.059,351.412,181.749,87.8976,329.97,422.874,87.679
651,0,275.251,410.293,1029.8,335.635,237.221,1049.26,458.984,226.354,1045.7,557.303,389.307,1028.75,604.127,368.224,922.917,569.654,543.231,543.902,453.217,572.28,538.058,550.245,578.288,440.778,540.01,484.206,156.419,452.783,517.745,167.779,479.217,406.226,126.201,529.522,645.99,108.576,223.811,363.349,920.677,279.525,310.833,506.161,398.443,320.535,497.568,301.153,341.889,410.433,307.751,259.967,116.715,397.612,287.36,129.042,351.512,181.775,87.9368,329.933,422.88,87.4876
652,0,275.674,420.766,1028.23,335.312,247.441,1048.07,458.591,236.425,1044.33,557.61,398.869,1027.34,604.013,377.224,921.263,569.281,550.454,540.759,453.139,578.637,535.136,550.542,590.65,439.715,542.589,517.747,149.047,455.122,549.344,162.264,482.554,440.842,114.551,530.576,681.903,110.417,223.933,373.042,919.409,279.457,313.55,505.916,398.289,322.633,497.615,301.504,343.51,409.999,307.722,259.667,116.735,399.171,286.577,129.226,351.622,181.784,87.9886,329.921,422.796,87.2764
653,0,275.99,431.414,1026.54,335.037,257.842,1046.84,458.118,246.656,1042.96,557.842,408.706,1025.65,604.097,386.365,919.441,568.82,557.109,537.14,452.976,583.972,531.493,550.457,603.288,438.536,545.783,551.245,143.562,457.566,580.823,158.009,487.305,475.407,103.662,531.135,717.52,113.32,224.092,382.742,917.988,279.329,316.487,505.677,398.203,325.217,497.467,301.376,345.732,409.463,307.827,259.534,116.718,398.017,287.523,128.975,351.738,181.814,88.034,329.917,422.752,87.0529
654,0,276.33,442.01,1024.73,334.8,268.42,1045.4,457.906,257.117,1041.45,558.171,418.971,1023.76,604.144,395.681,917.504,568.34,563.082,533.263,452.665,588.817,526.977,550.765,614.644,437.81,548.617,584.797,139.159,460.244,611.628,155.314,493.56,511.008,95.1973,531.049,752.362,117.393,224.187,392.672,916.483,279.279,320.118,505.251,398.282,329.464,496.005,301.27,348.445,408.763,307.903,259.341,116.742,398.06,287.667,128.863,351.891,181.821,88.1085,329.899,422.74,86.8216
655,0,276.845,452.713,1022.76,334.742,279.109,1043.83,457.902,267.778,1039.8,558.602,429.468,1021.8,603.976,405.4,915.037,567.72,568.639,528.996,452.152,592.656,521.651,551.093,625.238,437.113,552.509,617.906,137.271,462.963,641.591,154.119,498.387,544.725,89.6467,530.66,785.979,122.857,224.413,402.669,914.742,279.321,324.511,504.663,397.783,332.837,495.743,301.216,351.746,407.884,308.008,259.204,116.803,398.849,287.515,128.654,352.019,181.922,88.2378,329.296,423.003,86.6723
656,0,277.127,463.691,1020.82,334.858,289.962,1042.07,457.977,278.718,1038.02,558.97,440.453,1019.72,603.862,415.348,912.635,567.449,573.724,524.392,451.44,596.137,515.974,551.181,635.311,436.494,555.058,649.325,136.793,465.511,670.152,154.601,503.262,577.337,85.9095,530.056,817.867,130.052,224.49,412.754,913.091,279.351,329.82,503.958,398.42,338.541,493.994,301.153,355.774,406.779,308.169,259.148,116.821,398.924,287.956,128.523,352.197,182.011,88.45,329.818,422.795,86.0556
657,0,277.566,474.711,1018.77,335.2,300.908,1040.19,458.279,289.837,1035.97,559.358,451.629,1017.42,603.543,425.855,909.877,567.197,579.057,519.942,450.613,599.55,510.081,550.893,645.275,436.253,557.532,678.695,138.411,467.301,696.552,156.486,507.682,608.009,84.1059,528.98,847.348,139.111,224.712,422.944,911.342,279.624,336.085,502.98,398.553,344.487,492.85,301.409,360.626,405.437,308.485,259.317,116.888,399.088,288.438,128.261,352.383,182.152,88.7233,329.835,422.894,85.689
658,0,277.939,485.84,1016.74,335.657,311.933,1038.18,458.774,301.135,1033.85,559.761,463.147,1015.14,603.309,436.707,906.907,567.692,585.067,515.897,449.991,603.213,504.646,550.632,655.289,436.334,559.098,705.413,141.139,468.095,720.542,159.103,512.095,637.303,81.266,527.382,873.601,149.928,224.886,433.189,909.578,279.83,343.03,502.028,398.835,351.345,491.766,301.623,366.29,403.886,308.761,259.62,116.998,399.418,288.846,128.057,352.917,181.823,89.6869,329.848,423.03,85.2178
659,0,278.26,497.086,1014.72,336.21,323.173,1036.04,459.447,312.567,1031.59,560.16,474.891,1012.7,603.395,447.778,903.945,568.75,591.935,512.497,449.853,607.718,499.789,550.697,665.259,436.521,559.661,728.783,144.37,468.028,741.349,162.053,514.797,663.337,79.7253,525.453,896.336,161.543,225.116,443.621,907.716,280.16,350.78,500.826,399.003,358.955,490.441,302.154,372.482,402.225,309.048,260.068,117.177,399.657,289.348,127.959,353.145,182.034,90.0137,329.835,423.234,84.8057
660,0,278.527,508.421,1012.68,336.883,334.441,1033.85,460.149,323.943,1029.32,560.53,486.613,1010.28,603.58,459.308,901.246,569.8,599.542,509.558,450.186,613.202,496.026,551.146,674.945,436.525,559.439,749.019,146.829,467.566,759.578,164.788,516.502,686.75,77.306,523.784,915.471,172.213,225.603,454.318,905.798,280.602,359.11,499.549,399.315,367.194,489.392,302.57,379.037,400.397,309.297,260.746,117.539,399.88,289.837,127.956,353.271,182.284,90.4807,329.841,423.458,84.3335
661,0,278.776,519.781,1010.63,337.823,345.76,1031.66,461.091,335.312,1026.98,560.945,498.437,1007.94,604.041,470.862,898.792,570.83,607.017,507.205,450.663,619.993,493.494,552.268,684.008,435.658,558.943,765.417,147.384,467.487,775.307,166.577,515.281,706.768,75.6825,523.821,930.85,180.748,225.953,465.159,903.946,281.054,367.908,498.241,399.717,375.777,488.101,302.97,385.945,398.668,309.44,261.368,117.97,400.089,290.553,128.208,353.285,182.539,91.0417,329.796,423.724,83.7931
662,0,279.423,531.137,1008.52,338.693,357.115,1029.56,462.195,346.586,1024.74,561.507,509.858,1005.77,604.94,482.559,896.758,571.497,616.33,503.905,452.002,627.965,491.831,553.726,693.408,434.091,558.665,778.468,145.454,467.91,788.04,167.556,512.536,722.404,72.5659,525.818,942.49,185.759,226.628,476.298,902.011,281.559,377.202,496.915,400.306,384.939,486.905,303.321,392.995,396.846,309.405,262.082,118.446,400.225,291.306,128.518,353.358,182.699,91.5937,329.414,423.885,83.4573
663,0,279.831,542.496,1006.5,339.823,368.527,1027.4,463.1,357.745,1022.66,561.809,521.14,1003.75,606.16,494.21,895.279,572.17,627.136,501.586,452.553,638.556,491.015,554.943,703.673,431.839,558.535,787.786,141.054,468.727,797.3,166.581,509.712,733.359,68.694,529.209,950.734,186.111,227.363,487.633,899.983,282.259,387,495.455,401.102,394.665,485.412,303.762,400.371,395.083,309.417,262.772,119.017,399.972,292.256,128.911,353.325,182.961,92.252,329.234,424.158,83.0182
664,0,280.846,554.038,1004.37,340.553,379.944,1025.4,463.986,368.948,1020.68,562.562,532.223,1002.05,607.68,505.681,894.17,573.136,639.868,500.787,452.227,651.156,490.148,555.592,714.975,429.079,558.859,793.883,137.803,469.605,805.271,163.672,509.051,737.477,69.8504,532.296,956.641,181.173,228.365,499.236,897.815,283.357,397.291,493.662,402.204,404.913,483.755,304.382,408.342,393.073,309.33,263.582,119.689,399.906,293.344,129.367,353.405,183.048,93.1869,328.951,424.463,82.588
665,0,281.653,565.534,1002.31,341.357,391.542,1023.29,464.592,380.274,1018.92,563.47,543.336,1000.7,609.354,516.97,893.571,572.751,652.93,500.203,452.683,664.878,489.723,555.878,726.095,425.584,559.017,796.42,134.722,470.019,810.816,158.904,508.811,739.216,70.3116,533.79,961.782,170.988,229.476,511.16,895.541,284.479,408.011,491.932,403.388,415.971,481.609,305.429,416.812,390.733,309.308,264.524,120.566,400.091,294.574,130.085,353.537,183.293,94.1304,328.588,424.881,82.1013
666,0,282.883,577.277,1000.09,341.739,403.122,1021.34,465.13,391.79,1017.2,564.396,554.521,999.585,610.731,528.508,893.178,571.046,665.843,498.815,452.932,679.494,489.875,556.148,736.801,421.804,558.273,798.355,130.878,469.382,816.151,153.406,507.545,741.701,70.8302,535.537,966.529,159.896,230.624,523.175,893.103,285.995,419.37,489.779,404.908,427.665,479.111,306.799,425.833,388.145,309.442,265.53,121.654,400.318,296.142,130.839,353.785,183.796,95.3356,328.238,425.329,81.7057
667,0,284.047,589.18,997.987,342.29,414.847,1019.28,465.67,403.398,1015.64,565.597,565.837,998.683,611.705,540.375,892.776,571.651,678.88,498.446,453.553,693.49,489.612,555.72,747.395,418.586,556.871,801.824,128.217,468.593,822.307,149.246,506.408,744.457,72.0533,538.23,972.263,151.1,231.92,535.363,890.525,287.675,431.242,487.514,406.514,440.308,476.326,308.172,435.605,385.61,309.775,266.71,123.281,400.782,298.05,131.644,354.435,184.438,97.2944,327.938,425.849,81.4161
668,0,285.209,601.038,995.931,342.745,426.651,1017.32,466.122,415.058,1014.16,566.615,577.358,998.006,612.286,552.8,892.245,571.482,690.523,497.307,454.551,706.459,489.07,555.529,757.603,416.389,555.422,807.406,126.731,467.651,829.475,146.52,505.665,746.798,74.9713,539.536,978.515,144.008,233.389,547.564,887.809,289.662,443.59,485.053,408.38,453.583,473.622,309.669,445.341,382.86,310.481,268.376,125.505,401.644,300.055,132.78,355.005,185.524,100.266,327.772,426.507,81.0781
669,0,286.281,612.924,993.926,343.34,438.416,1015.26,466.705,426.845,1012.92,567.865,588.963,997.711,612.894,565.745,891.964,572.098,701.059,496.374,455.008,718.699,488.964,555.455,768.428,415.461,554.547,813.436,125.521,466.465,836.156,144.028,504.79,750.263,76.2334,538.4,984.652,136.854,234.87,559.652,885.115,291.603,456.384,482.755,409.993,467.592,470.5,311.301,455.393,380.15,311.338,270.467,128.538,402.742,302.47,134.234,355.975,187.045,104.804,327.656,427.343,80.9311
670,0,287.208,624.767,992.125,343.9,450.088,1013.44,467.527,438.612,1011.95,568.732,600.756,997.761,613.395,578.922,892.175,573.432,711.745,496.467,455.509,730.475,489.402,555.75,779.735,415.128,553.701,819.203,124.101,465.059,841.282,141.43,504.196,753.115,77.6634,534.951,990.762,128.196,236.332,571.731,882.539,293.467,469.789,480.524,411.876,482.048,467.608,312.793,465.881,377.741,312.31,273.022,132.328,403.609,305.604,136.505,357.14,189.109,110.716,327.507,428.155,80.7064
671,0,287.858,636.601,990.619,344.755,461.78,1011.66,468.434,450.267,1011.35,569.686,612.479,998.573,613.954,592.181,892.816,573.63,723.542,497.268,456.089,741.96,490.483,555.52,791.659,414.86,553.663,823.781,123.11,464.248,844.757,139.388,503.828,754.746,78.302,531.153,995.752,119.776,237.837,583.758,880.252,295.265,483.904,478.573,413.897,497.047,464.856,313.992,476.825,375.763,313.361,276.1,137.037,404.753,309.1,139.635,358.584,191.965,117.752,327.341,429.05,80.2181
672,0,288.551,648.342,989.417,345.827,473.458,1010.37,469.391,461.927,1011.4,570.413,624.339,999.974,614.795,605.07,894.183,575.054,738.283,500.005,456.688,753.982,492.409,554.539,803.89,414.746,553.745,827.534,122.255,463.831,847.526,138.031,503.425,755.871,79.3223,528.522,999.158,113.302,239.377,595.671,878.416,296.859,498.837,477.025,415.709,513.005,462.218,315.203,488.532,374.319,314.374,280.08,142.829,405.777,313.467,143.618,359.958,195.519,126.29,327.912,431.002,80.0722
673,0,289.311,660.082,988.651,346.582,485.187,1009.63,470.276,473.703,1011.98,571.051,636.212,1001.86,616.002,617.313,896.302,575.352,753.244,502.657,457.172,765.885,494.504,553.301,816.063,415.06,554.34,830.888,121.964,464.003,850.468,136.961,504.245,757.002,80.7373,528.022,1001.84,107.961,241.147,607.629,877,298.253,514.905,475.813,417.256,529.905,459.869,316.307,501.413,373.308,315.213,284.976,149.355,406.606,318.725,148.466,361.23,200.203,136.385,328.741,431.943,79.2541
674,0,290.255,671.596,988.42,347.394,497.03,1009.52,471.259,485.422,1013.01,571.768,648.104,1003.87,617.456,628.971,898.79,575.647,767.055,504.488,457.407,776.615,496.083,552.859,827.11,415.587,555.017,833.65,121.296,464.886,853.507,136.223,504.915,757.489,82.4819,528.696,1004.22,102.685,242.933,619.884,876.188,299.558,532.384,474.808,418.709,547.77,458.114,317.26,515.584,372.747,315.981,291.017,156.474,407.248,325.438,154.284,362.697,206.224,147.93,328.688,434.427,79.8612
675,0,291.375,683.281,988.763,348.499,508.727,1009.96,472.226,497.084,1014.39,572.494,659.826,1005.69,619.039,640.035,901.007,576.293,779.651,505.885,458.057,786.877,497.53,553.231,836.942,415.761,555.833,836.001,120.754,465.904,856.226,135.647,505.492,758.326,83.1892,529.27,1006.21,97.9894,244.532,632.095,875.983,300.428,550.979,474.335,419.856,566.604,456.69,318.091,531.047,372.659,316.413,298.408,164.415,407.506,333.15,160.889,363.46,213.564,161.235,328.791,436.525,79.9202
676,0,292.7,694.686,989.774,349.634,520.208,1010.8,473.269,508.682,1015.85,573.565,671.458,1007.38,620.817,650.764,902.755,577.627,790.422,506.717,459.892,797.308,498.884,554.568,845.512,415.47,556.472,837.52,120.485,466.5,858.15,135.192,505.845,758.969,83.6733,529.668,1007.4,94.8405,246.28,644.385,876.411,301.472,570.8,474.226,420.9,586.826,455.434,318.365,547.614,373.274,316.317,306.949,173.033,407.84,342.844,167.882,364.906,222.89,175.631,328.055,437.971,80.0961
