Trajectories
100
,,JHB:LASI,,,JHB:LPSI,,,JHB:RPSI,,,JHB:RASI,,,JHB:RHIP,,,JHB:RKNE,,,JHB:RKNE2,,,JHB:RTIB,,,JHB:RANK,,,JHB:RANK2,,,JHB:RHEEL,,,JHB:RTOE,,,JHB:LHIP,,,JHB:LKNE,,,JHB:LKNE2,,,JHB:LTIB,,,JHB:LANK,,,JHB:LANK2,,,JHB:LHEEL,,,JHB:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
667,0,273.923,379.399,1030.88,335.955,207.07,1051.02,459.13,199.126,1054.95,556.357,361.827,1042.3,607.336,342.144,936.337,580.214,498.679,550.739,461.708,522.534,536.945,564.658,522.71,444.731,568.227,398.09,171.159,477.291,420.996,174.022,510.101,314.086,152.432,552.727,550.627,101.251,227.24,334.752,921.147,284.865,303.134,507.127,402.997,317.37,499.28,305.233,336.739,412.319,314.52,264.435,114.559,401.3,296.87,130.54,365.44,188.907,84.7082,334.645,429.268,90.6865
668,0,273.868,384.8,1030.34,335.871,212.42,1050.71,459.021,204.528,1054.69,556.025,367.428,1041.85,607.194,347.613,935.997,579.703,502.914,549.318,461.113,525.649,535.506,564.101,531.046,444.207,569.618,420.226,164.752,478.384,441.846,168.552,512.19,336.624,142.182,552.417,575.776,101.935,227.012,339.747,920.673,284.822,305.727,506.973,403.096,319.846,499.142,305.328,338.678,411.88,314.663,264.365,114.514,402.502,296.097,130.615,365.488,188.926,84.7412,334.672,429.206,90.3424
669,0,273.754,390.338,1029.75,335.845,217.945,1050.22,459.031,210.124,1054.36,555.915,373.055,1041.33,607.253,353.124,935.576,579.15,507.006,547.398,460.452,528.371,533.609,563.856,538.88,443.67,571.182,442.401,159.12,479.774,463.125,163.564,515.294,358.469,132.684,552.164,600.683,103.03,226.981,344.953,920.166,284.845,308.319,506.666,403.083,322.274,498.808,305.353,340.546,411.466,314.678,264.218,114.518,402.586,296.195,130.461,365.516,188.969,84.7703,334.551,428.64,90.1393
670,0,273.727,395.987,1029.19,335.69,223.589,1049.81,458.965,215.893,1053.94,555.831,378.914,1040.66,606.993,358.764,934.791,578.739,510.418,545.395,459.875,530.73,531.541,563.424,546.669,443.102,573.58,465.544,153.936,480.986,484.26,159.184,516.456,382.374,123.81,551.532,625.507,104.697,226.956,350.296,919.63,284.888,310.813,506.458,403.204,324.722,498.618,305.452,342.521,411.022,314.762,264.196,114.529,402.67,296.322,130.328,365.563,188.99,84.8026,334.801,429.223,89.749
671,0,273.818,401.832,1028.46,335.855,229.526,1049.25,459.094,221.885,1053.44,555.806,384.95,1039.82,606.708,364.595,933.895,578.545,513.687,543.078,459.599,532.818,529.01,563.122,554.199,442.455,574.368,488.093,149.767,482.376,505.208,155.253,520.836,406.701,115.306,550.587,650.016,106.964,226.693,355.759,919.213,284.907,313.352,506.185,403.087,327.299,498.323,305.6,344.679,410.562,314.836,264.1,114.465,402.844,296.435,130.195,365.575,189.02,84.8418,334.837,429.2,89.5191
672,0,273.884,407.927,1027.75,335.879,235.448,1048.7,459.074,227.945,1052.88,555.877,391.289,1038.82,606.651,370.385,932.851,578.33,516.673,540.589,459.39,534.597,526.349,562.94,561.067,442.024,576.092,510.95,146.365,483.847,526.023,152.362,523.54,431.349,106.055,549.213,674.168,109.958,226.621,361.396,918.599,284.889,315.914,505.901,403.082,329.656,498.037,305.589,346.54,410.095,314.851,263.993,114.487,402.997,296.602,130.037,365.602,189.066,84.8705,334.894,429.195,89.239
673,0,273.978,414.16,1027,336.056,241.725,1047.99,459.253,234.302,1052.09,555.872,397.674,1037.65,606.479,376.378,931.554,577.998,519.54,537.904,459.013,536.296,523.445,562.608,567.676,441.752,577.286,533.593,144.044,484.789,546.468,150.411,526.477,454.373,100.868,547.375,697.649,113.903,226.528,367.194,918.013,284.88,318.515,505.609,403.189,332.008,497.789,305.695,348.374,409.603,314.992,264.001,114.44,403.16,296.764,129.912,365.671,189.067,84.9017,334.925,429.168,89.0073
674,0,274.059,420.54,1026.24,336.148,248.049,1047.34,459.44,240.779,1051.28,555.989,404.235,1036.47,606.391,382.338,930.215,578.167,521.896,535.768,458.724,537.495,520.449,562.204,574.141,441.644,578.671,555.668,142.824,485.553,566.294,149.365,529.628,477.028,96.6336,545.142,720.298,118.818,226.384,373.177,917.364,284.804,321.045,505.342,403.19,334.347,497.255,305.588,350.208,409.15,315.09,263.937,114.35,403.357,296.85,129.847,365.66,189.078,84.9161,334.883,429.133,88.8026
675,0,274.132,426.996,1025.41,336.23,254.546,1046.42,459.596,247.479,1050.3,556.156,411.086,1035.05,606.174,388.51,928.628,578.315,524.894,532.99,459.324,538.08,517.331,561.678,580.586,441.62,579.541,576.981,142.373,485.923,585.456,149.314,532.009,498.846,93.0662,542.416,741.859,124.773,226.216,379.321,916.657,284.683,323.585,505.089,403.177,336.738,497.125,305.946,351.795,408.932,315.156,264.013,114.419,403.492,296.913,129.816,365.698,189.101,84.9386,334.858,429.081,88.5696
