Trajectories
100
,,JHB:LASI,,,JHB:LPSI,,,JHB:RPSI,,,JHB:RASI,,,JHB:RHIP,,,JHB:RKNE,,,JHB:RKNE2,,,JHB:RTIB,,,JHB:RANK,,,JHB:RANK2,,,JHB:RHEEL,,,JHB:RTOE,,,JHB:LHIP,,,JHB:LKNE,,,JHB:LKNE2,,,JHB:LTIB,,,JHB:LANK,,,JHB:LANK2,,,JHB:LHEEL,,,JHB:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
589,0,242.527,374.16,1033.39,302.677,202.051,1056.53,426.308,192.564,1056.69,524.692,354.439,1041.99,574.461,332.97,935.038,543.903,489.826,548.454,426.102,515.908,537.44,525.028,510.945,441.63,520.197,372.236,177.152,432.454,406.079,180.807,459.967,289.646,153.545,512.662,525.58,112.575,195.481,328.994,921.543,253.78,298.059,507.925,372.1,311.958,499.625,275.019,329.762,411.847,283.141,246.896,116.495,373.303,271.866,132.488,328.894,165.707,88.0717,314.439,408.377,85.4506
590,0,242.256,381.773,1032.77,301.925,209.55,1055.97,425.581,199.717,1056.15,524.486,361.202,1041.55,574.201,339.516,934.551,543.678,496.674,547.596,425.951,522.483,536.876,525.167,522.127,441.62,521.732,398.489,169.942,433.749,431.247,175.169,462.045,316.61,142.501,513.09,554.537,112.155,195.176,336.418,920.837,253.623,300.911,507.634,371.983,314.573,499.425,274.945,331.872,411.383,283.221,246.946,116.521,373.392,272.017,132.484,328.951,165.773,88.187,314.359,408.403,85.3229
591,0,242.21,389.498,1031.89,301.379,217.121,1055.29,424.91,206.952,1055.61,524.265,368.096,1040.95,573.894,346.206,933.841,543.285,502.98,546.155,425.803,528.401,535.628,525.283,532.783,441.504,523.674,424.884,163.277,435.3,456.692,169.858,464.423,343.767,132.402,513.595,583.417,112.05,194.932,343.81,920.09,253.432,303.818,507.442,372.059,317.133,499.129,274.801,334.077,410.991,283.311,247.018,116.542,373.471,272.174,132.452,329.027,165.795,88.265,314.23,408.105,85.2342
592,0,242.118,397.344,1031.01,300.831,224.767,1054.6,424.396,214.337,1054.94,524.076,375.288,1040.17,573.765,353.067,933.092,542.897,508.872,544.344,425.412,533.703,534.086,525.505,542.882,441.257,525.655,451.85,157.105,436.885,482.428,165.241,467.104,371.358,122.904,513.834,612.425,112.307,194.666,351.225,919.343,253.242,306.703,507.207,372.158,319.75,498.936,274.826,336.237,410.482,283.326,247.098,116.649,373.474,272.352,132.491,329.077,165.842,88.3445,314.216,408.466,85.072
593,0,242.089,405.195,1030.06,300.464,232.547,1053.78,423.953,221.914,1054.19,523.877,382.703,1039.24,573.383,360.07,932.107,542.327,514.205,542.208,425.164,538.457,532.135,525.583,552.796,440.999,527.976,478.98,151.726,439.147,507.835,161.131,470.764,399.32,112.974,514.169,641.227,112.721,194.639,358.836,918.434,253.132,309.757,506.962,372.137,322.39,498.655,274.738,338.403,410.041,283.394,247.223,116.714,373.47,272.597,132.558,329.113,165.882,88.4529,314.138,408.539,84.8981
594,0,242.142,413.164,1029.07,300.125,240.338,1052.99,423.65,229.614,1053.33,523.956,390.203,1038.17,573.096,367.209,930.811,542.134,518.911,539.806,424.424,542.497,530.118,525.351,562.815,440.637,530.215,506.353,147.332,440.911,533.486,158.079,475.143,428.585,105.049,513.879,670.155,114.413,194.396,366.307,917.646,253.098,312.855,506.638,371.942,325.171,498.446,274.504,340.822,409.59,283.382,247.336,116.831,373.446,272.817,132.569,329.142,165.928,88.5647,314.061,408.657,84.754
595,0,242.194,421.261,1028.06,299.967,248.329,1052.03,423.404,237.465,1052.37,524.054,398.026,1036.86,572.967,374.441,929.436,541.73,523.32,536.912,424.745,545.74,526.507,525.478,571.639,440.502,532.561,533.615,144.426,442.84,558.635,155.903,478.907,456.645,99.6792,513.189,698.616,116.53,194.25,373.886,916.738,252.95,316.196,506.369,371.621,328.115,498.22,274.257,343.17,409.225,283.446,247.451,116.895,373.492,273.092,132.663,329.196,166.004,88.6924,313.972,408.723,84.5747
596,0,242.288,429.324,1027.03,299.761,256.361,1051.05,423.251,245.602,1051.21,524.132,406.196,1035.47,572.767,381.832,927.998,541.601,527.161,533.923,424.594,548.524,522.998,525.261,580.108,440.261,534.357,560.478,142.457,444.476,583.085,154.819,482.277,484.08,95.6158,511.828,726.333,119.872,194.092,381.543,915.856,252.887,319.532,506.087,371.541,331.288,497.89,274.06,345.737,408.705,283.473,247.565,117.005,374.146,272.894,132.796,329.231,166.078,88.8302,313.884,408.782,84.3981
597,0,242.415,437.618,1025.83,299.778,264.562,1049.83,423.339,253.863,1050.02,524.345,414.452,1033.77,572.272,389.552,926.161,541.527,531.041,530.709,424.364,550.813,519.027,524.896,588.23,440.049,536.17,586.411,141.989,445.559,606.739,154.892,486.272,510.043,92.4478,510.06,752.901,124.32,193.941,389.243,914.896,252.88,323.064,505.753,371.178,334.836,497.37,273.992,348.352,408.111,283.491,247.629,117.094,373.566,273.659,132.836,329.33,166.126,89.0077,313.748,408.853,84.2102
