Trajectories
100
,,JHB:LASI,,,JHB:LPSI,,,JHB:RPSI,,,JHB:RASI,,,JHB:RHIP,,,JHB:RKNE,,,JHB:RKNE2,,,JHB:RTIB,,,JHB:RANK,,,JHB:RANK2,,,JHB:RHEEL,,,JHB:RTOE,,,JHB:LHIP,,,JHB:LKNE,,,JHB:LKNE2,,,JHB:LTIB,,,JHB:LANK,,,JHB:LANK2,,,JHB:LHEEL,,,JHB:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
679,0,279.565,447.052,1027.94,328.601,271.009,1053.79,451.343,256.077,1058.49,560.324,412.303,1038.33,606.069,381.34,930.946,576.736,496.344,527.69,457.237,508.088,511.226,559.129,551.174,435.433,573.349,540.115,135.804,479.724,550.902,144.097,526.135,466.369,79.773,543.316,705.168,136.85,228.035,405.542,920.287,276.405,389.754,506.038,396.322,391.845,496.309,297.956,419.838,409.83,292.627,336.732,116.685,384.796,361.737,126.616,333.655,258.175,88.3958,318.31,499.451,85.8268
680,0,280.395,451.604,1027.68,329.769,275.569,1053.41,452.54,260.935,1057.96,561.174,417.409,1037.42,606.724,386.242,930.061,577.464,499.484,526.352,457.624,509.271,509.767,559.633,555.468,435.392,574.571,550.571,135.928,480.041,560.48,144.164,527.285,478.421,77.895,542.52,715.355,139.899,228.649,409.883,920.132,276.585,391.565,505.998,396.905,393.207,496.273,298.303,421.096,409.457,292.611,336.566,116.653,384.828,361.777,126.573,333.665,258.164,88.4107,318.391,499.939,85.8909
681,0,281.211,456.207,1027.38,331.006,280.225,1052.96,453.781,265.777,1057.36,562.203,422.507,1036.54,607.332,391.238,929.135,578.1,502.574,524.99,458.06,511.363,508.434,560.154,559.549,435.134,575.02,559.957,135.706,480.508,569.091,144.372,528.046,488.373,76.8265,542.445,724.381,142.249,229.326,414.281,919.97,276.612,393.419,505.954,396.974,394.981,496.012,298.495,422.449,409.266,292.493,336.35,116.66,384.853,361.775,126.532,333.662,258.163,88.3638,318.429,499.944,85.9001
682,0,282.146,460.766,1027.04,332.282,284.827,1052.59,455.243,270.726,1056.71,563.083,427.743,1035.58,608.045,396.354,928.149,579.06,505.504,523.872,458.966,513.72,507.102,560.793,563.491,434.681,575.347,567.545,135.5,480.884,576.703,144.537,528.297,496.452,76.6699,542.809,732.203,143.61,230.084,418.579,919.852,277.181,395.101,505.753,,,,298.871,423.671,408.989,292.41,336.158,116.637,384.866,361.772,126.47,333.631,258.12,88.3358,318.453,499.881,85.9258
683,0,283.012,465.299,1026.8,333.81,289.558,1052.08,456.657,275.699,1056.02,564.053,433.075,1034.53,608.765,401.737,926.987,579.718,508.664,522.584,459.809,516.894,506.042,561.837,567.053,433.87,575.428,573.701,134.768,480.994,582.938,144.296,528.248,502.681,77.0919,543.509,738.38,143.843,230.776,422.918,919.715,277.418,396.999,505.741,,,,299.213,425.032,408.75,292.434,336.093,116.611,384.934,361.735,126.436,333.647,258.072,88.2925,318.479,499.808,85.9778
684,0,284.015,469.88,1026.58,335.342,294.257,1051.66,458.291,280.771,1055.33,565.23,438.439,1033.62,609.735,407.042,926.087,580.548,511.828,521.358,460.672,520.54,505.077,562.557,570.661,432.742,575.501,578.19,133.984,481.343,587.853,143.374,528.181,507.245,77.6003,544.449,742.978,143.183,231.549,427.297,919.594,277.924,398.606,505.708,,,,299.505,426.279,408.548,292.373,335.776,116.547,384.938,361.683,126.404,333.626,258.034,88.2529,318.494,499.734,86.0079
685,0,285.017,474.592,1026.16,336.983,299.139,1051.1,459.942,285.916,1054.55,566.207,443.903,1032.61,610.492,412.507,925.075,581.065,515.353,520.008,461.385,524.704,504.302,563.315,574.266,431.349,575.685,581.087,132.811,481.459,591.285,142.19,527.969,509.958,78.064,545.731,746.056,141.147,232.313,431.765,919.466,278.085,400.515,505.715,397.359,400.64,495.485,299.984,427.488,408.232,292.396,335.606,116.551,385.066,361.658,126.407,333.635,257.991,88.2455,318.525,499.649,86.0491
686,0,286.046,479.347,1025.94,338.475,303.957,1050.6,461.584,291.179,1053.63,567.375,449.542,1031.5,611.393,418.099,923.935,581.502,519.379,518.795,462.002,529.345,503.652,563.824,577.763,429.718,575.83,582.411,131.513,481.721,593.617,140.296,527.752,511.117,78.3207,547.222,747.595,137.79,233.284,436.194,919.294,278.787,402.263,505.605,,,,300.546,428.861,408.047,292.454,335.518,116.564,385.198,361.695,126.383,333.686,257.983,88.267,318.553,499.617,86.0868
687,0,287.027,484.365,1025.72,340.27,308.992,1049.95,463.272,296.549,1052.72,568.516,455.241,1030.38,612.458,423.843,922.874,582.013,523.597,517.63,462.57,534.183,502.857,564.215,581.323,427.717,575.688,582.665,129.883,481.942,594.665,138.516,527.571,511.88,78.4793,548.806,748.427,133.688,234.274,440.694,919.05,279.913,403.701,505.422,399.45,403.397,495.642,301.191,430.112,407.857,292.585,335.561,116.654,385.331,361.794,126.346,333.754,257.97,88.3081,318.612,499.584,86.1042
688,0,288.024,489.336,1025.42,341.912,314.055,1049.31,465.031,302.014,1051.77,569.724,461.015,1029.34,613.324,429.622,921.686,582.147,528.106,516.457,463.017,539.287,502.244,564.502,584.821,425.663,575.423,582.969,128.465,482.161,596.023,136.818,527.397,512.744,78.6392,550.328,749.509,130.195,235.177,445.348,918.932,280.396,405.594,505.391,,,,301.682,431.278,407.723,292.718,335.603,116.717,385.449,361.887,126.344,333.835,257.983,88.3387,318.644,499.545,86.1445
689,0,289.204,494.375,1025.11,343.591,319.18,1048.66,466.799,307.521,1050.85,570.915,466.866,1028.18,614.448,435.541,920.6,582.218,532.701,515.141,463.77,544.623,501.621,564.78,588.306,423.834,575.046,584.023,127.739,482.026,597.411,135.056,527.12,513.784,79.0956,551.372,751.368,127.162,236.131,450.054,918.649,280.689,407.33,505.545,,,,302.155,432.514,407.651,292.855,335.677,116.822,385.543,361.934,126.343,333.896,257.944,88.3796,318.676,499.489,86.1797
690,0,290.484,499.514,1024.71,345.405,324.385,1047.98,468.648,313,1050,571.999,472.804,1027.23,615.397,441.455,919.505,582.279,537.215,513.541,464.579,549.81,500.942,565.393,591.912,422.444,574.282,585.974,127.259,481.161,600.284,134.099,526.567,515.107,79.6628,551.773,753.693,123.992,237.284,454.709,918.39,282.797,408.276,505.03,,,,302.582,433.564,407.567,292.858,335.604,116.924,385.595,362.032,126.305,333.928,257.951,88.4201,318.669,499.477,86.1961
691,0,291.695,504.641,1024.35,347.208,329.594,1047.26,470.552,318.536,1049.09,573.33,478.671,1026.58,616.557,447.609,918.809,582.781,541.3,512.635,465.099,555.131,500.444,566.125,595.698,421.333,573.647,588.147,126.517,480.462,602.451,133.234,526.112,516.397,80.1521,551.569,756.002,120.371,238.56,459.498,917.996,283.332,409.919,505.173,,,,303.239,434.694,407.469,292.986,335.766,117.057,385.631,362.089,126.369,333.967,257.92,88.4879,318.694,499.443,86.2192
692,0,292.765,509.851,1024.06,349.015,334.842,1046.61,472.863,323.065,1048.61,574.45,484.581,1025.88,617.785,453.681,918.2,583.364,545.687,512.011,465.607,560.396,500.138,566.352,600.053,420.659,573.352,590.033,126.169,480.06,604.239,132.116,525.819,517.471,80.5929,550.881,758.228,116.643,239.712,464.329,917.651,284.139,411.477,505.234,,,,303.658,435.823,407.401,293.065,335.867,117.177,385.714,362.127,126.429,334,257.883,88.5435,318.67,499.401,86.2283
693,0,294.069,515.126,1023.58,350.697,340.112,1045.93,474.501,328.548,1047.84,575.777,490.329,1025.65,618.928,459.906,917.698,583.858,550.95,511.893,465.898,565.922,500.201,565.417,605.719,419.397,572.854,592.15,125.491,479.526,605.513,131.259,525.519,518.488,80.8977,549.913,759.935,113.43,240.99,469.182,917.279,284.794,413.175,505.376,,,,304.146,437.076,407.399,293.144,335.98,117.311,385.742,362.196,126.509,334.024,257.849,88.5734,318.673,499.382,86.243
694,0,295.47,520.444,1023.07,352.338,345.455,1045.29,476.143,334.167,1047.09,577.038,496.005,1025.53,620.342,466.153,917.444,585.122,557.502,512.783,466.065,571.435,500.334,564.797,611.097,418.733,572.478,593.668,125.095,479.078,606.692,130.672,525.291,519.323,81.1402,549.237,761.456,110.538,242.559,474.158,916.681,285.542,415.015,505.403,,,,304.8,438.439,407.242,293.228,336.117,117.487,385.746,362.243,126.601,334.062,257.802,88.6192,318.667,499.343,86.27
695,0,296.699,525.696,1022.54,353.945,350.837,1044.61,477.684,339.724,1046.39,578.691,501.584,1025.63,621.644,472.289,917.187,584.186,564.1,512.336,466.277,576.763,500.465,563.963,616.794,417.971,572.313,595.327,124.784,478.767,607.966,130.008,525.056,520.085,81.3959,548.928,762.798,107.858,243.896,479.153,916.203,286.403,417.126,505.356,,,,305.31,439.939,407.116,293.313,336.183,117.622,385.818,362.264,126.703,334.106,257.744,88.6341,318.622,499.271,86.3094
696,0,298.147,531.113,1022.02,355.518,356.22,1044.02,479.08,345.302,1045.68,580.033,507.071,1025.65,623.201,478.276,917.251,584.58,571.396,512.215,466.358,582.053,500.505,563.592,622.458,417.332,572.261,596.694,124.593,478.799,608.94,129.55,524.954,520.681,81.5774,548.727,763.941,105.513,245.408,484.281,915.528,287.312,419.471,505.223,,,,306.039,441.813,406.832,293.386,336.283,117.8,385.862,362.301,126.766,334.13,257.685,88.7094,318.597,499.219,86.2941
697,0,299.518,536.45,1021.46,357.096,361.602,1043.44,480.545,350.918,1045.24,581.524,512.613,1025.74,624.811,484.239,917.51,584.922,578.604,512.032,466.75,587.345,500.607,563.633,627.853,416.689,572.482,598.105,124.179,478.829,609.94,129.109,524.877,521.433,81.6384,548.56,764.898,103.181,246.876,489.278,914.852,288.289,422.365,505.085,,,,306.737,443.967,406.399,293.481,336.35,117.996,385.937,362.383,126.783,334.163,257.692,88.7749,318.526,499.199,86.2872
698,0,301.001,541.791,1020.82,358.626,366.962,1042.93,482.093,356.518,1044.86,582.877,518.234,1025.84,626.261,490.107,917.67,585.599,585.262,511.929,467.315,592.587,500.577,564.011,633.104,415.974,572.763,599.244,123.997,479.192,610.784,128.89,525.065,521.961,82.0135,548.439,765.9,100.991,248.405,494.373,914.185,289.288,425.608,504.781,,,,307.552,446.572,405.875,293.571,336.576,118.239,386.103,362.621,126.84,334.21,257.728,88.9295,318.49,499.227,86.2268
699,0,302.505,547.044,1020.2,360.123,372.337,1042.41,483.53,362.062,1044.6,584.478,523.651,1026.12,627.753,496.004,917.819,586.122,591.753,511.771,467.926,598.156,500.836,564.505,638.011,415.13,572.962,600.52,123.383,479.425,611.571,128.626,525.287,522.271,82.2963,548.278,766.79,98.9414,249.869,499.373,913.521,290.424,429.392,504.425,408.165,436.139,486.763,308.356,449.651,405.235,293.727,336.868,118.468,386.22,362.912,126.921,334.292,257.82,89.183,318.474,499.309,86.1495
