Trajectories
100
,,JHB:LASI,,,JHB:LPSI,,,JHB:RPSI,,,JHB:RASI,,,JHB:RHIP,,,JHB:RKNE,,,JHB:RKNE2,,,JHB:RTIB,,,JHB:RANK,,,JHB:RANK2,,,JHB:RHEEL,,,JHB:RTOE,,,JHB:LHIP,,,JHB:LKNE,,,JHB:LKNE2,,,JHB:LTIB,,,JHB:LANK,,,JHB:LANK2,,,JHB:LHEEL,,,JHB:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
693,0,274.812,376.885,1026.92,331.582,203.581,1048.1,456.219,196.46,1050.65,557.228,357.022,1034.27,604.817,331.812,928.852,582.982,454.98,527.866,464.368,467.874,510.091,567.649,517.086,441.029,585.406,533.722,139.461,492.189,541.062,149.445,540.235,459.82,86.8813,547.863,700.544,138.694,224.536,331.055,918.26,273.737,281.699,504.9,392.309,292.581,493.453,292.901,309.566,407.561,290.904,212.136,116.642,382.146,243.748,125.92,335.782,136.951,88.5875,307.142,377.2,85.9263
694,0,275.547,385.222,1025.94,332.372,211.676,1046.54,457.125,204.606,1049.11,557.843,365.391,1032.85,604.918,340.086,927.1,583.78,458.875,526.545,464.573,469.626,507.37,567.504,523.734,441.331,587.621,551.661,141.324,494.227,555.5,149.177,543.196,478.556,83.901,545.075,717.105,145.903,225.175,338.946,917.292,273.853,284.225,504.669,392.728,293.73,493.724,292.862,311.439,407.181,291.037,212.261,116.678,382.152,243.832,125.944,335.789,136.953,88.6801,307.058,377.189,85.7594
695,0,276.215,393.875,1024.82,333.214,219.98,1045.03,457.997,212.723,1047.43,558.468,373.736,1031.36,605.457,348.386,925.464,584.712,464.035,524.775,464.658,472.485,505.707,567.52,530.236,441.361,586.496,565.944,142.089,494.081,568.594,149.91,544.948,494.629,81.5202,542.564,731.043,151.347,225.923,347.057,916.265,274.028,287.084,504.537,392.923,295.886,493.704,292.843,313.36,406.802,291.139,212.364,116.75,382.16,243.936,125.952,335.78,136.977,88.8032,306.97,377.222,85.5909
696,0,277.282,402.837,1023.43,333.986,228.528,1043.43,458.991,220.865,1045.68,559.253,381.851,1029.83,606.173,356.544,923.886,585.511,469.441,522.959,464.916,476.695,504.374,568.005,536.299,440.72,585.841,577.876,141.67,493.838,579.861,150.01,544.852,507.764,79.8128,541.23,742.489,154.879,226.793,355.525,915.117,274.286,290.289,504.2,393.653,297.805,493.837,292.932,315.678,406.34,291.297,212.558,116.84,382.176,244.08,126.012,335.788,137.015,88.9162,306.807,376.62,85.4627
697,0,278.427,411.709,1021.94,334.508,237.03,1041.94,459.85,228.766,1043.97,560.316,389.639,1028.38,607.187,364.483,922.393,585.944,475.688,520.844,465.303,482.361,503.271,568.47,542.44,439.494,585.215,586.867,140.545,493.286,589.225,149.725,543.171,517.879,77.7866,541.546,751.611,155.989,227.791,364.274,913.884,274.736,294.124,503.919,,,,293.187,318.538,405.719,291.391,212.739,117.007,382.196,244.259,126.033,335.771,137.031,89.0464,306.862,377.034,85.2289
698,0,279.703,420.866,1020.45,335.152,245.742,1040.39,460.548,236.682,1042.32,561.316,397.124,1027.03,608.633,372.113,921.153,586.328,482.514,518.864,465.635,489.699,502.09,569.193,549.004,437.487,584.516,593.18,137.636,491.16,596.995,149.616,540.278,524.94,75.554,543.103,758.296,154.908,228.768,373.187,912.587,275.142,298.587,503.543,,,,293.596,322.026,404.977,291.51,213.02,117.202,382.239,244.441,126.05,335.727,137.071,89.196,306.859,377.139,85.0007
699,0,281.321,430.006,1018.77,335.753,254.466,1038.8,461.162,244.669,1040.66,562.87,404.471,1025.72,610.247,379.429,919.948,586.331,489.678,517.129,466.016,498.353,500.928,569.924,555.908,434.904,583.168,597.141,134.948,490.563,602.628,147.568,537.57,528.7,75.7817,545.219,762.488,151.645,229.92,382.319,911.167,275.873,303.983,502.875,,,,294.179,326.182,403.972,291.565,213.285,117.42,382.191,244.67,126.059,335.704,137.117,89.3821,306.817,377.201,84.7327
700,0,283.309,439.321,1017.04,336.206,263.169,1037.29,461.711,252.725,1038.9,564.538,411.587,1024.48,611.685,386.654,918.839,585.975,497.36,515.589,466.543,507.983,499.885,570.596,562.741,431.699,582.234,598.474,133.026,489.657,606.008,144.658,535.736,529.215,77.328,546.147,765.193,145.846,231.165,391.627,909.77,276.448,310.061,502.102,,,,294.872,331.027,402.802,291.653,213.617,117.673,382.267,245.004,126.112,335.708,137.202,89.5895,306.737,377.318,84.4841
701,0,285.454,448.689,1015.4,336.883,271.026,1036.08,462.241,260.763,1037.21,566.422,418.85,1023.21,613.087,393.944,917.563,585.247,505.455,513.954,466.934,518.319,499.383,570.902,569.62,428.278,581.297,598.621,130.712,488.579,608.561,140.851,534.626,530.116,77.5873,546.934,766.759,138.889,232.257,400.924,908.436,277.448,317.043,501.095,,,,295.67,336.539,401.334,291.752,214.049,118.02,382.393,245.48,126.226,335.755,137.304,89.976,306.573,377.453,84.2151
702,0,287.447,457.94,1013.9,337.415,280.154,1034.63,462.799,269.041,1035.58,568.451,426.325,1021.94,614.091,401.492,915.964,584.273,514.631,511.548,467.227,528.935,499.192,570.725,576.583,425.056,580.122,599.288,128.294,487.511,610.709,137.768,533.934,531.561,78.2537,548.741,768.836,132.758,233.59,410.397,907.06,278.657,324.734,499.858,396.905,334.762,482.296,296.623,342.492,399.738,291.849,214.532,118.482,382.476,246.073,126.402,335.829,137.471,90.4267,306.388,377.618,83.9201
