Devices
1000
,,Sensors - Force,Imported AMTI 400600 V1.0 - Force,,,Imported AMTI 400600 V1.0 - Moment,,,Imported AMTI 400600 V1.0 - CoP,,,Imported AMTI 400600 V1.0 - Force,,,Imported AMTI 400600 V1.0 - Moment,,,Imported AMTI 400600 V1.0 - CoP,,,
Frame,Sub Frame,FP3,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
914,0,0.117798,-40.9409,-68.9136,-642.799,97679.2,49506,-3640.72,277.016,148.041,0,0,0,0,0,0,0,600,1020,0
914,1,0.103455,-40.6784,-69.3694,-643.589,97335.2,49453.3,-3633.49,276.84,148.762,0,0,0,0,0,0,0,600,1020,0
914,2,0.135498,-40.5591,-69.9745,-644.91,97651.9,49343.2,-3722.5,276.512,148.581,0,0,0,0,0,0,0,600,1020,0
914,3,0.0552368,-40.793,-70.1362,-642.622,97554.2,49491.1,-3723.37,277.014,148.193,0,0,0,0,0,0,0,600,1020,0
914,4,0.0839233,-40.9082,-69.9074,-641.924,97582.2,49517.3,-3690.14,277.139,147.985,0,0,0,0,0,0,0,600,1020,0
914,5,0.0997925,-41.3086,-70.1189,-643.124,97576.3,49626.2,-3699.85,277.164,148.278,0,0,0,0,0,0,0,600,1020,0
914,6,0.114441,-41.206,-70.6958,-642.362,97553.9,49544.2,-3718.89,277.128,148.133,0,0,0,0,0,0,0,600,1020,0
914,7,0.0878906,-40.939,-71.0963,-643.169,97303.1,49492,-3690.9,276.95,148.713,0,0,0,0,0,0,0,600,1020,0
914,8,0.119629,-40.8243,-71.2904,-642.688,97530.3,49483,-3668.89,276.994,148.246,0,0,0,0,0,0,0,600,1020,0
914,9,0.0958252,-41.2722,-71.4007,-644.765,97407.5,49624.9,-3697.85,276.966,148.926,0,0,0,0,0,0,0,600,1020,0
915,0,0.133667,-41.1892,-71.8754,-643.547,97369.3,49456.5,-3749.6,276.85,148.699,0,0,0,0,0,0,0,600,1020,0
915,1,0.119629,-41.1626,-71.64,-644.859,97336.7,49490.5,-3804.62,276.746,149.057,0,0,0,0,0,0,0,600,1020,0
915,2,0.09552,-41.0027,-72.5163,-642.625,97379.5,49491.5,-3907.07,277.015,148.466,0,0,0,0,0,0,0,600,1020,0
915,3,0.119019,-41.2142,-72.4324,-642.576,97315.5,49622.5,-3842.45,277.224,148.554,0,0,0,0,0,0,0,600,1020,0
915,4,0.111694,-41.0838,-72.8698,-643.222,97247.1,49486.6,-3910.87,276.935,148.813,0,0,0,0,0,0,0,600,1020,0
915,5,0.0891113,-40.5296,-72.8465,-641.793,97282.4,49561.2,-3859.52,277.223,148.421,0,0,0,0,0,0,0,600,1020,0
915,6,0.116882,-40.9883,-73.3813,-641.237,97234.9,49657.6,-3866.06,277.44,148.364,0,0,0,0,0,0,0,600,1020,0
915,7,0.103149,-41.1398,-73.7835,-641.811,97016.4,49707.2,-3917.37,277.448,148.84,0,0,0,0,0,0,0,600,1020,0
915,8,0.141296,-41.386,-73.6015,-642.53,96994.6,49597.6,-3892.5,277.191,149.043,0,0,0,0,0,0,0,600,1020,0
915,9,0.0595093,-41.6524,-74.4952,-640.429,97077.5,49559.8,-3919.56,277.385,148.418,0,0,0,0,0,0,0,600,1020,0
916,0,0.0787354,-41.3638,-74.7181,-641.368,96778.1,49516,-3972.63,277.204,149.107,0,0,0,0,0,0,0,600,1020,0
916,1,0.0930786,-41.1653,-74.7305,-641.563,96764.4,49503,-3869.41,277.16,149.174,0,0,0,0,0,0,0,600,1020,0
916,2,0.121765,-41.3661,-75.0454,-642.484,96681.5,49483.3,-3961.98,277.019,149.519,0,0,0,0,0,0,0,600,1020,0
