Trajectories
100
,,Wand:TFXN,,,Wand:TFORI,,,Wand:TFXP,,,Wand:TFYMid,,,Wand:TFYP,,,GUY:LASI,,,GUY:LPSI,,,GUY:RPSI,,,GUY:RASI,,,GUY:RHIP,,,GUY:RKNE,,,GUY:RKNE2,,,GUY:RTIB,,,GUY:RANK,,,GUY:RANK2,,,GUY:RHEEL,,,GUY:RTOE,,,GUY:LHIP,,,GUY:LKNE,,,GUY:LKNE2,,,GUY:LTIB,,,GUY:LANK,,,GUY:LANK2,,,GUY:LHEEL,,,GUY:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-73.9877,5.66922,52.6579,5.64048,6.10972,53.3143,166.232,5.77475,52.5928,6.33804,126.684,52.7155,6.02249,246.873,52.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,-73.9953,5.65488,52.6475,5.65004,6.11414,53.3111,166.251,5.77102,52.5917,6.3392,126.67,52.6956,6.04266,246.901,52.6546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,-73.9886,5.65728,52.6465,5.74181,5.5137,52.6853,166.244,5.75834,52.5947,6.32241,126.657,52.7111,6.027,246.865,52.6731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,-73.9949,5.6627,52.646,5.64996,6.11595,53.2973,166.275,5.73966,52.5943,6.35102,126.674,52.715,6.05838,246.876,52.6547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,-73.9563,5.68891,52.6513,5.77374,5.55174,52.6922,166.312,5.78563,52.5908,6.3522,126.696,52.7361,6.05581,246.902,52.6713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,-73.8995,5.73947,52.6559,5.77544,6.16671,53.2471,166.341,5.81008,52.6268,6.36305,126.688,52.7417,6.05924,246.91,52.6764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,-73.8787,5.75509,52.6564,5.84788,6.19695,53.2249,166.367,5.84711,52.6235,6.36993,126.701,52.7372,6.08566,246.903,52.6755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,-73.8441,5.79862,52.6834,5.91861,6.21576,53.2068,166.386,5.87694,52.6427,6.401,126.723,52.7275,6.11306,246.929,52.6629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,-73.8044,5.83594,52.6533,5.94381,6.26638,53.1603,166.391,5.90777,52.6761,6.41556,126.733,52.7424,6.12114,246.928,52.6788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,-73.7774,5.86885,52.6618,5.94366,5.75465,52.7001,166.447,5.9544,52.6321,6.43671,126.735,52.7564,6.12739,246.943,52.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,-73.7474,5.87906,52.6654,5.9848,5.77129,52.6746,166.449,5.99228,52.6341,6.43354,126.741,52.753,6.17282,246.954,52.6765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,-73.6894,5.93088,52.6647,6.01816,5.80254,52.6674,166.471,6.02241,52.6741,6.4471,126.75,52.757,6.18154,246.959,52.6723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,-73.6726,5.94273,52.6518,6.13217,6.40079,53.0408,166.503,6.03899,52.6802,6.47034,126.771,52.7571,6.18486,246.977,52.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,-73.6488,5.98077,52.6539,6.08808,5.88974,52.645,166.543,6.07374,52.6808,6.48131,126.773,52.7696,6.1858,246.968,52.7092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,-73.6496,5.97231,52.6467,6.22958,6.41704,52.9927,166.547,6.06483,52.6751,6.48116,126.772,52.7585,6.16707,246.972,52.7059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,-73.6495,5.96233,52.6506,6.09142,5.89572,52.6545,166.556,6.08653,52.6785,6.48828,126.785,52.7756,6.19158,246.97,52.6937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,-73.6414,5.96728,52.6499,6.10491,5.88985,52.6722,166.577,6.03986,52.6856,6.47294,126.774,52.7631,6.22905,246.96,52.6802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,-73.637,5.9856,52.6432,6.10546,5.87621,52.6455,166.561,6.05017,52.6693,6.47179,126.771,52.7585,6.21689,246.961,52.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,-73.6423,5.96095,52.6425,6.11095,5.84385,52.6969,166.564,6.06896,52.67,6.48332,126.771,52.7559,6.19881,246.984,52.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,-73.6458,5.9611,52.6771,6.12152,5.83903,52.6878,166.552,6.05346,52.6912,6.48993,126.784,52.7591,6.19012,246.971,52.7084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,-73.6659,5.94707,52.6745,6.11275,5.8665,52.6906,166.574,6.04484,52.6688,6.48042,126.77,52.7572,6.18819,246.972,52.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,-73.6209,5.98638,52.6604,6.10086,5.85068,52.6843,166.568,6.06768,52.7007,6.48152,126.779,52.7621,6.18326,246.963,52.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,-73.6433,5.97777,52.6684,6.08028,5.86197,52.6847,166.542,6.04282,52.6989,6.47915,126.769,52.7505,6.2201,246.967,52.6973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,-73.6224,6.00364,52.6756,6.19077,6.38986,53.0437,166.551,6.05457,52.6851,6.49692,126.774,52.7477,6.20961,246.96,52.6925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,-73.6479,5.96045,52.6962,6.1062,5.89024,52.6608,166.531,6.06399,52.6971,6.48691,126.777,52.7692,6.19983,246.959,52.7073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,-73.6501,5.96474,52.6896,6.09229,5.8781,52.6782,166.575,6.06052,52.682,6.47677,126.771,52.7724,6.20009,246.998,52.6774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,-73.6455,5.96418,52.6515,6.10574,5.85999,52.6726,166.559,6.07653,52.6607,6.48082,126.766,52.7683,6.18467,246.973,52.7049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,-73.6426,5.96608,52.6473,6.19416,6.40664,53.0202,166.525,6.05574,52.708,6.48981,126.782,52.7566,6.17241,246.957,52.7114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,-73.6449,5.97161,52.6472,6.09721,5.88312,52.6732,166.578,6.054,52.6907,6.5007,126.791,52.7643,6.20983,246.966,52.6832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,-73.6357,5.98317,52.6474,6.20701,6.38449,53.0429,166.542,6.03841,52.708,6.48186,126.778,52.751,6.2045,246.977,52.7006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,-73.6459,5.96958,52.6738,6.09596,5.85393,52.6985,166.567,6.0501,52.6886,6.48239,126.772,52.7598,6.1912,246.965,52.7002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,-73.6402,5.97254,52.653,6.10801,5.85314,52.6638,166.547,6.06038,52.6886,6.50393,126.788,52.7437,6.21082,246.97,52.6895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,-73.6435,5.9645,52.696,6.22668,6.40032,53.0246,166.553,6.05952,52.6694,6.48341,126.767,52.7603,6.21665,246.99,52.6858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,-73.6445,5.96948,52.6714,6.11048,5.8611,52.6861,166.551,6.07759,52.6536,6.48187,126.778,52.759,6.19185,246.981,52.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,-73.6396,5.96604,52.6434,6.19799,6.41742,53.0327,166.543,6.07799,52.687,6.47221,126.763,52.7704,6.21281,246.987,52.6816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,-73.6486,5.96182,52.652,6.09603,5.84424,52.685,166.537,6.06343,52.7005,6.4907,126.76,52.7618,6.2164,247.005,52.6841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0,-73.6496,5.95903,52.6507,6.1025,5.84862,52.6664,166.553,6.04217,52.691,6.4791,126.77,52.7593,6.19304,246.991,52.6847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
