Trajectories
100
,,GUY:LASI,,,GUY:LPSI,,,GUY:RPSI,,,GUY:RASI,,,GUY:RHIP,,,GUY:RKNE,,,GUY:RKNE2,,,GUY:RTIB,,,GUY:RANK,,,GUY:RANK2,,,GUY:RHEEL,,,GUY:RTOE,,,GUY:LHIP,,,GUY:LKNE,,,GUY:LKNE2,,,GUY:LTIB,,,GUY:LANK,,,GUY:LANK2,,,GUY:LHEEL,,,GUY:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
834,0,250.219,520.47,970.363,321.407,340.878,1020.9,426.589,331.749,1024.18,522.079,493.347,980.181,578.254,459.316,887.829,555.992,603.833,516.575,442.364,630.3,507.864,534.743,615.859,412.488,511.38,485.821,176.094,438.077,523.405,193.92,451.193,418.899,154.41,492.533,633.803,115.982,200.031,466.014,869.646,234.983,449.115,475.913,353.19,436.799,477.724,270.059,461.518,380.397,251.324,340.334,126.095,337.163,337.18,141.013,286.034,254.098,96.3521,312.219,479.466,79.9733
835,0,250.506,532.093,969.578,321.534,352.543,1020.68,426.592,343.364,1023.8,522.695,504.983,979.688,578.814,470.566,887.5,557.107,618.603,516.657,443.606,644.684,508.43,536.62,636.315,413.254,516.097,521.492,168.961,442.276,557.348,188.469,456.352,456.043,141.692,496.94,673.224,119.416,199.894,476.411,869.474,234.219,450.824,476.369,353.306,440.294,477.672,269.237,462.913,380.735,251.625,340.722,126.849,337.538,337.928,141.943,286.45,254.504,97.6158,312.265,479.551,79.7641
836,0,250.889,543.726,968.423,321.727,364.171,1020.09,426.8,355.123,1022.98,523.371,516.633,978.725,579.601,481.679,886.745,558.289,632.824,516.108,444.651,658.242,508.274,538.249,656.645,413.783,521.143,557.932,162.246,446.837,591.193,183.62,462.189,493.491,129.719,501.146,712.377,123.848,199.871,486.9,868.97,233.291,452.796,476.761,352.12,442.456,478.473,268.415,464.745,381.039,251.821,341.038,127.74,337.836,338.701,142.879,286.808,254.886,98.954,312.294,479.702,79.6278
837,0,251.048,555.216,967.114,322.199,375.842,1019.11,427.205,366.954,1021.79,523.997,528.554,977.445,580.131,493.095,885.338,559.446,646.612,515.075,445.825,671.153,507.29,539.892,676.508,414.156,526.802,594.101,156.545,452.046,625.034,179.369,468.592,531.182,118.804,505.356,750.672,129.336,199.761,497.248,868.185,232.632,455.199,476.991,351.661,445.703,478.661,267.651,466.568,381.21,252.211,341.514,128.519,338.156,339.482,143.667,287.279,255.287,100.172,312.284,479.845,79.555
838,0,251.164,566.83,965.494,322.65,387.51,1017.84,427.593,378.812,1020.23,524.615,540.674,975.746,580.631,504.628,883.457,560.669,660.046,513.541,445.835,684.045,505.791,541.62,695.698,414.415,533.134,630.605,151.991,457.289,658.178,176.226,480.762,568.475,109.747,509.1,788.199,135.84,199.746,507.649,867.075,232.134,457.84,477.05,351.115,449.22,478.598,267.35,468.563,381.19,252.751,341.982,129.154,336.611,342.59,144.356,287.777,255.699,101.457,312.311,480.034,79.4555
839,0,251.253,578.595,963.609,323.355,399.267,1016.2,428.263,390.859,1018.39,525.299,552.901,973.809,581.262,516.32,881.242,561.884,673.24,511.668,447.34,694.859,503.178,543.678,714.375,414.887,539.484,666.561,148.585,462.727,690.758,173.99,488.522,606.107,102.496,512.736,824.298,143.345,199.659,518.014,865.852,231.644,461.141,477.028,350.718,453.006,478.471,266.957,470.97,380.858,253.141,342.342,130.02,333.28,343.576,143.454,288.267,256.059,102.809,311.922,480.545,79.3216
840,0,251.508,590.371,961.483,324.067,411.126,1014.24,429.045,402.99,1016.17,525.87,565.521,971.363,581.846,528.257,878.608,563.227,685.781,509.876,448.372,705.18,500.086,545.628,732.712,415.297,545.717,701.768,146.666,467.986,722.677,172.711,493.92,645.066,93.8176,515.913,858.921,151.569,199.616,528.457,864.461,231.291,464.438,477,350.746,457.761,477.685,266.557,473.754,380.433,253.442,342.695,131.023,337.618,344.288,145.926,288.687,256.695,104.027,312.148,480.552,79.0775
841,0,251.486,602.242,959.287,324.964,423.045,1011.99,429.979,415.259,1013.7,526.467,578.367,968.719,582.324,540.368,875.589,565.33,698.465,508.456,449.523,715.38,496.509,547.285,751.211,415.883,551.612,735.771,145.804,473.098,753.691,172.427,501.74,682.073,88.612,518.478,891.246,159.655,199.627,539.053,862.925,231.096,468.132,476.987,350.734,462.039,477.541,266.04,476.951,380.101,254.098,343.212,131.763,334.764,345.22,145.493,289.501,256.91,105.717,312.134,480.574,78.785
842,0,251.724,614.28,956.917,326.146,435.162,1009.54,431.084,427.702,1010.91,527.139,591.203,965.714,583.009,552.485,872.366,567.191,711.288,506.407,450.619,725.43,493.33,549.681,768.453,416.723,557.16,768.18,146.006,477.316,783.615,173.136,508.451,717.067,85.0995,521.557,922.451,168.297,199.775,549.832,861.265,231.767,472.106,476.533,351.027,466.959,477.366,265.729,480.418,379.564,254.548,343.709,132.809,337.281,346.771,147.29,290.188,257.419,107.376,312.168,480.554,78.5141
843,0,252.017,626.368,954.489,327.315,447.401,1006.93,432.404,440.275,1007.98,528.132,604.127,962.538,583.475,565.065,868.852,569.302,724.043,504.596,453.499,736.189,488.236,552.193,785.033,417.346,561.667,798.627,146.846,483.341,811.968,172.356,514.561,749.611,83.187,524.205,951.046,176.346,199.946,560.679,859.439,231.693,477.076,476.11,350.998,472.564,476.913,264.699,484.76,379.34,254.872,344.307,133.841,337.646,348.007,148.305,290.73,257.999,109.144,312.44,480.175,77.9261
844,0,252.369,638.506,951.904,328.762,459.766,1004.22,433.962,453.036,1004.88,529.354,616.97,959.155,584.12,577.827,865.087,571.748,737.002,502.644,455.731,747.759,485.088,555.078,801.079,417.711,565.416,826.557,147.781,487.201,838.314,173.84,518.837,780.033,82.0157,527.176,977.188,183.772,200.303,571.628,857.539,231.901,482.944,475.262,351.228,478.936,476.158,265.482,488.875,378.143,255.238,345.109,134.866,338.719,348.855,149.837,291.104,258.673,111.103,312.566,480.1,77.5655
845,0,252.867,650.854,949.198,330.409,472.305,1001.47,435.515,465.792,1001.77,530.782,629.618,955.885,585.064,590.666,861.329,574.346,750.152,500.465,458.244,760.422,482.444,558.209,816.603,417.643,568.744,851.308,148.612,490.699,862.423,175.288,521.59,807.482,81.0707,530.736,1000.7,189.988,200.634,582.83,855.582,232.183,489.684,474.321,351.602,486.177,475.152,265.624,494.165,376.941,255.421,346.191,136.113,338.214,348.917,150.547,291.305,259.639,113.475,312.578,480.127,77.2153
846,0,253.513,663.275,946.516,332.24,484.879,998.707,437.476,478.578,998.674,528.738,645.281,951.544,586.282,603.907,857.812,576.935,763.178,498.172,460.601,773.864,480.107,561.375,831.377,417.052,571.441,872.976,148.797,491.544,884.426,177.99,523.661,831.451,80.2817,534.756,1021.43,194.297,201.192,594.174,853.659,232.52,497.093,473.235,351.789,494.016,473.817,265.94,499.945,375.621,255.298,347.389,137.645,339.609,351.146,152.43,291.351,260.631,116.102,312.618,480.066,77.0274
847,0,254.383,675.891,943.92,334.305,497.527,995.964,439.45,491.391,995.657,530.199,658.271,947.876,587.658,617.4,854.517,579.073,776.495,495.897,462.624,788.058,478.129,564.201,845.816,415.768,574.132,891.687,148.169,494.51,903.107,177.697,525.559,851.559,79.1917,538.726,1039.48,196.507,202.112,606.009,851.716,232.998,505.385,472.055,352.29,502.512,472.556,266.258,506.343,374.203,255.441,349.104,139.166,337.858,352.819,153.432,291.129,261.93,119.2,312.482,479.899,77.0268
848,0,255.339,688.628,941.435,336.286,510.342,993.299,441.524,504.185,992.77,532.05,671.022,944.542,589.34,631.066,851.728,580.766,790.143,493.917,464.208,803.001,476.217,566.268,860.204,414.119,576.06,906.988,146.498,496.868,919.039,176.117,527.251,867.876,77.312,542.422,1054.75,196.163,203.149,618.04,849.84,233.553,514.466,470.811,352.664,511.851,471.065,266.81,513.502,372.797,255.091,350.956,141.194,337.736,354.839,155.629,290.889,263.543,122.815,312.406,479.659,77.0921
849,0,256.567,701.537,939.027,338.298,523.27,990.671,443.534,517.094,990.078,533.875,683.87,941.535,590.859,645.259,849.609,581.93,804.848,492.091,465.655,818.608,474.504,567.891,874.437,411.773,577.651,919.032,144.131,498.57,931.925,173.243,528.412,880.38,74.6593,545.497,1067.13,193.345,204.24,630.585,847.9,234.086,524.439,469.481,353.493,521.914,469.882,267.161,521.37,371.282,254.787,353.23,143.458,338.771,358.049,158.252,290.534,265.449,126.943,312.489,479.397,77.0687
850,0,257.811,714.782,936.933,340.215,536.417,988.228,445.344,530.212,987.548,535.699,697.091,938.936,592.36,659.766,848.23,582.732,820.437,490.417,466.265,834.507,473.032,568.636,888.639,408.743,578.559,928.063,140.498,499.347,942.173,169.356,528.947,889.179,71.7519,548.074,1076.9,188.539,205.568,643.489,845.982,234.603,535.436,468.048,354.178,533.2,468.408,267.475,530.058,369.82,254.373,355.984,145.999,338.341,361.103,160.933,290.075,267.856,131.721,312.925,479.182,77.1844
851,0,259.338,728.489,934.96,341.924,549.877,985.926,447.19,543.709,985.183,537.622,710.883,936.839,593.611,674.331,847.258,583.183,836.286,488.682,467.202,850.238,471.469,568.698,902.594,405.064,578.995,935.251,136.852,500.244,950.24,165.412,529.148,892.978,72.6082,549.591,1084.4,181.125,206.824,656.796,844.163,235.265,547.458,466.408,355.051,545.745,466.67,268.003,539.699,367.957,254.16,359.346,148.934,337.797,364.755,163.821,289.638,270.792,137.24,312.75,479.505,77.5815
852,0,260.994,742.385,933.186,343.775,563.678,983.709,448.909,557.584,983.029,539.421,725.163,935.188,595.059,688.711,846.251,583.453,852.159,486.764,467.902,865.417,470.076,568.291,915.914,401.225,578.951,939.868,132.127,500.06,955.546,159.843,529.265,895.572,72.4801,549.028,1090.59,171.157,208.396,670.434,842.318,236.021,560.782,464.546,355.626,559.686,464.527,268.566,550.534,366.023,253.777,363.265,152.386,337.375,369.331,167.128,289.621,273.944,144.276,312.712,480.085,78.0655
853,0,262.655,756.588,931.654,345.46,577.763,981.8,450.719,571.87,981.136,541.38,739.648,934.046,596.648,703.089,845.106,583.483,867.499,484.746,468.606,880.082,468.771,567.768,928.507,397.17,579.115,944.318,128.083,499.105,960.151,155.178,529.837,898.144,72.2668,546.386,1095.34,162.668,210.238,684.399,840.488,237.14,575.712,462.271,356.981,574.727,462.409,269.096,562.245,363.944,253.675,368.093,156.433,337.26,374.709,171.04,289.743,278.684,151.501,312.774,480.8,78.4734
854,0,264.465,771.061,930.363,347.413,592.18,980.156,452.515,586.419,979.774,543.379,754.404,933.44,598.553,717.582,843.864,583.769,881.925,483.027,469.613,893.892,467.558,567.334,940.714,393.811,578.948,950.187,124.821,500.855,964.813,150.28,530.421,901.408,72.9174,543.133,1101.21,155.486,212.289,698.823,838.656,238.319,592.154,459.81,358.595,591.5,460.045,269.535,575.438,362.025,253.672,374.011,161.14,337.399,381.268,175.371,289.466,284.296,160.293,312.793,481.662,78.9275
855,0,266.346,785.736,929.474,349.243,606.727,978.915,454.468,601.184,978.817,545.313,769.356,933.292,600.431,732.161,842.726,584.637,895.365,481.723,470.609,906.991,465.994,567.553,952.444,391.602,578.819,957.136,122.622,500.724,970.944,147.264,531.324,903.887,74.9893,539.847,1107.73,147.725,214.429,713.523,836.874,239.784,610.438,457.027,360.399,610.118,457.472,269.845,590.985,360.282,254.185,381.251,166.436,337.77,389.63,180.033,290.339,291.958,170.252,312.871,482.699,79.4837
856,0,268.44,800.204,928.845,351.118,621.308,978.194,456.399,615.911,978.425,547.3,784.154,933.6,602.416,746.738,842.236,585.924,908.431,481.285,470.742,919.312,464.669,568.008,963.902,390.005,578.989,962.686,120.824,499.269,976.28,146.182,531.867,907.175,75.4455,538.154,1113.44,140.214,216.816,728.583,835.104,241.192,630.507,453.979,362.008,630.517,454.565,270.658,607.731,357.917,255.078,390.127,172.383,338.788,399.725,185.354,292.23,301.978,181.494,313.062,484.416,79.8822
