Trajectories
100
,,GUY:LASI,,,GUY:LPSI,,,GUY:RPSI,,,GUY:RASI,,,GUY:RHIP,,,GUY:RKNE,,,GUY:RKNE2,,,GUY:RTIB,,,GUY:RANK,,,GUY:RANK2,,,GUY:RHEEL,,,GUY:RTOE,,,GUY:LHIP,,,GUY:LKNE,,,GUY:LKNE2,,,GUY:LTIB,,,GUY:LANK,,,GUY:LANK2,,,GUY:LHEEL,,,GUY:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
914,0,198.126,293.54,963.725,282.369,116.436,1014.28,388.288,114.85,1016.35,477.275,280.693,972.513,533.326,248.992,880.573,528.59,374.74,506.797,414.939,395.69,490.086,515.258,391.421,403.437,514.667,278.868,159.473,438.95,313.868,172.474,455.715,210.889,130.361,497.826,428.36,105.605,152.561,235.434,865.531,190.925,212.886,474.316,311.153,205.871,478.84,226.411,239.328,383.384,233.041,152.233,113.508,314.237,163.962,133.748,288.527,82.2628,78.0695,270.523,305.983,90.3968
915,0,198.025,298.732,963.139,281.863,121.579,1013.95,387.75,119.673,1015.99,477.507,284.936,972.323,533.332,253.506,880.712,529.057,381.203,507.147,415.212,402.45,490.757,515.506,402.856,404.181,515.292,297.661,156.184,439.633,332.094,170.503,455.932,230.384,125.014,498.278,448.899,107.473,152.402,240.393,865.02,190.984,215.394,473.926,311.075,208.315,478.546,226.572,241.217,382.782,233.083,152.268,113.55,314.368,164.019,133.709,288.571,82.2495,78.0795,270.522,306.054,90.279
916,0,197.972,304.064,962.499,281.423,126.693,1013.59,387.249,124.601,1015.62,478.017,289.292,972.249,533.405,258.211,880.63,529.279,387.102,507.209,415.466,409.046,491.295,515.91,412.128,404.94,515.951,316.678,153.032,440.612,350.38,168.706,456.756,250.427,119.729,498.686,469.64,109.548,152.333,245.496,864.4,191.072,218.054,473.433,311.18,210.924,478.217,226.611,243.251,382.092,233.124,152.386,113.569,314.435,164.143,133.557,288.587,82.2733,78.1137,270.53,306.1,90.1704
917,0,197.962,309.422,961.818,281.006,132.102,1013.06,386.867,129.668,1015.17,477.305,294.772,971.362,533.1,263.211,880.303,529.598,395.622,507.262,416.105,415.71,491.606,516.571,422.027,405.711,516.532,336.802,150.039,441.494,368.946,167.407,458.589,270.738,114.636,498.905,490.675,112.079,152.223,250.562,863.848,191.059,220.798,473.061,311.302,213.752,477.876,226.825,245.288,381.452,233.21,152.491,113.631,313.222,164.832,132.734,288.636,82.2929,78.1642,270.604,306.085,89.9319
918,0,197.994,314.864,961.1,280.711,137.44,1012.57,386.671,134.969,1014.57,475.227,301.413,970.199,533.364,268.158,880.118,529.962,401.049,507.799,416.446,422.317,491.684,517.2,432.07,406.414,518.025,356.422,147.714,442.374,387.932,166.126,460.171,291.819,109.609,499.646,511.516,115.245,152.198,255.811,863.16,191.12,223.731,472.646,311.384,216.706,477.393,226.992,247.569,380.755,233.324,152.671,113.686,312.448,164.355,132.288,288.708,82.3257,78.2229,270.621,306.277,89.6907
919,0,197.973,320.415,960.421,280.748,143.108,1011.92,386.471,140.448,1013.94,475.316,306.878,969.392,533.413,273.508,879.632,530.599,407.813,507.517,416.741,428.883,491.64,517.69,442.354,407.135,519.698,376.313,145.639,443.996,406.934,164.908,466.468,311.821,106.212,500.195,532.468,118.697,152.184,261.083,862.436,191.454,226.769,472.085,311.605,219.745,477.038,227.281,249.857,380.037,233.407,152.837,113.762,312.906,164.518,132.3,288.737,82.3619,78.309,270.666,306.392,89.4912
920,0,198.068,326.047,959.68,280.669,148.766,1011.29,386.49,146.085,1013.33,475.478,312.578,968.388,533.693,278.996,878.951,531.192,414.596,507.182,417.358,435.167,491.183,518.159,452.764,407.75,521.632,397.376,143.761,445.507,425.721,164.178,469.002,332.94,102.566,500.735,553.434,122.761,152.329,266.442,861.707,191.75,229.909,471.461,311.816,222.927,476.556,227.568,252.267,379.309,233.522,153.009,113.85,316.147,164.361,133.894,288.797,82.4173,78.4086,270.665,306.587,89.2122
921,0,198.128,331.757,958.787,280.905,154.397,1010.7,386.681,151.979,1012.56,475.947,318.319,967.434,533.739,284.666,878.133,531.488,421.46,506.533,417.58,441.431,490.729,518.743,463.065,408.62,523.946,417.012,142.799,447.508,444.594,163.771,472.236,353.975,99.3328,501.408,574.161,127.209,152.48,271.772,860.879,192.05,233.093,470.897,312.042,226.201,475.98,227.921,254.624,378.476,233.623,153.239,113.958,316.324,164.639,133.863,288.9,82.5333,78.5575,270.547,306.779,88.7433
922,0,198.36,337.607,957.987,281.205,160.48,1009.95,386.937,158.067,1011.73,476.39,324.28,966.48,534.293,290.505,877.5,531.846,428.369,506.179,417.82,447.545,490.018,519.447,473.128,409.658,526.27,437.31,142.205,449.266,463.678,163.662,477.352,373.949,98.27,502.145,594.667,132.123,152.638,277.246,860.1,192.29,236.274,470.33,312.454,229.602,475.447,228.205,257.038,377.665,233.87,153.569,113.996,316.485,165.031,133.724,288.997,82.6755,78.7395,270.477,307.078,88.1714
