Trajectories
100
,,GUY:LASI,,,GUY:LPSI,,,GUY:RPSI,,,GUY:RASI,,,GUY:RHIP,,,GUY:RKNE,,,GUY:RKNE2,,,GUY:RTIB,,,GUY:RANK,,,GUY:RANK2,,,GUY:RHEEL,,,GUY:RTOE,,,GUY:LHIP,,,GUY:LKNE,,,GUY:LKNE2,,,GUY:LTIB,,,GUY:LANK,,,GUY:LANK2,,,GUY:LHEEL,,,GUY:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,248.69,859.172,973.941,338.728,686.717,1025.26,444.092,689.969,1028.85,527.123,859.145,972.82,576.843,800.957,874.266,554.897,773.794,479.345,442.549,798.74,462.617,542.628,808.831,380.178,531.639,753.259,118.046,457.357,786.311,137.959,470.406,694.008,83.6523,519.255,914.201,84.1566,197.78,795.621,874.337,232.355,771.493,485.005,350.379,793.799,484.431,256.133,809.652,395.53,264,751.767,117.009,343.036,771.513,138.279,324.124,685.928,83.0484,291.887,910.455,87.5344
2,0,248.681,859.122,973.953,338.72,686.671,1025.26,444.114,689.93,1028.84,527.137,859.142,972.82,576.843,800.957,874.266,554.933,773.753,479.345,442.556,798.756,462.636,542.667,808.82,380.184,531.647,753.281,118.009,457.357,786.311,137.959,470.397,694.003,83.6689,519.256,914.215,84.1527,197.773,795.562,874.357,232.346,771.458,485.009,350.381,793.807,484.411,256.146,809.647,395.51,264,751.767,117.009,343.036,771.513,138.279,324.107,685.943,83.0589,291.908,910.482,87.5198
3,0,248.696,859.1,973.949,338.756,686.635,1025.24,444.119,689.895,1028.84,527.12,859.136,972.804,576.847,800.956,874.255,554.93,773.765,479.339,442.576,798.77,462.618,542.653,808.811,380.181,531.647,753.281,118.009,457.357,786.311,137.959,470.402,693.992,83.6854,519.249,914.215,84.1674,197.779,795.552,874.337,232.321,771.472,485.019,350.379,793.799,484.431,256.117,809.649,395.534,263.995,751.782,117.009,343.03,771.526,138.323,324.124,685.928,83.0484,291.906,910.473,87.5195
4,0,248.686,859.04,973.946,338.755,686.575,1025.24,444.123,689.872,1028.81,527.126,859.106,972.804,576.868,800.92,874.225,554.931,773.784,479.321,442.56,798.784,462.643,542.667,808.82,380.184,531.628,753.267,118.006,457.357,786.311,137.959,470.392,693.999,83.6554,519.27,914.191,84.1559,197.781,795.526,874.355,232.346,771.458,485.009,350.381,793.807,484.411,256.11,809.619,395.533,263.993,751.776,116.993,343.013,771.516,138.297,324.122,685.928,83.0306,291.895,910.467,87.5405
5,0,248.707,859.016,973.963,338.751,686.555,1025.22,444.147,689.837,1028.8,527.134,859.085,972.815,576.876,800.915,874.261,554.935,773.763,479.328,442.555,798.79,462.624,542.666,808.828,380.167,531.648,753.287,118.024,457.331,786.283,137.957,470.388,693.997,83.6559,519.262,914.204,84.1675,197.78,795.457,874.355,232.351,771.44,485.007,350.379,793.799,484.431,256.124,809.63,395.49,263.987,751.753,117.016,343.012,771.519,138.294,324.099,685.954,83.0155,291.899,910.473,87.528
6,0,248.693,858.967,973.954,338.748,686.497,1025.22,444.144,689.824,1028.78,527.135,859.083,972.814,576.907,800.885,874.253,554.929,773.776,479.302,442.575,798.77,462.618,542.665,808.82,380.184,531.663,753.285,118.028,457.357,786.311,137.959,470.399,694.005,83.653,519.259,914.19,84.1722,197.785,795.439,874.353,232.351,771.44,485.007,350.381,793.807,484.411,256.118,809.612,395.523,264.014,751.752,116.975,343.014,771.494,138.292,324.113,685.951,83.0051,291.874,910.449,87.5337
7,0,248.684,858.924,973.953,338.768,686.464,1025.22,444.16,689.779,1028.78,527.11,859.081,972.797,576.913,800.873,874.273,554.994,773.786,479.325,442.588,798.78,462.656,542.671,808.815,380.176,531.662,753.259,118.031,457.331,786.283,137.957,470.363,693.99,83.6826,519.24,914.206,84.1837,197.812,795.404,874.33,232.352,771.433,484.988,350.381,793.808,484.411,256.122,809.558,395.517,264.003,751.758,116.991,343.005,771.517,138.31,324.078,685.955,83.0255,291.862,910.44,87.536
8,0,248.701,858.897,973.945,338.74,686.428,1025.2,444.153,689.769,1028.78,527.118,859.06,972.807,576.907,800.883,874.251,554.946,773.803,479.284,442.592,798.75,462.672,542.646,808.835,380.173,531.669,753.267,118.015,457.357,786.311,137.959,470.395,694.003,83.6681,519.242,914.2,84.1742,197.784,795.366,874.337,232.357,771.415,484.986,350.411,793.784,484.387,256.124,809.556,395.517,264.002,751.767,116.972,343.031,771.49,138.304,324.081,685.959,83.0149,291.873,910.446,87.537
9,0,248.703,858.882,973.943,338.777,686.395,1025.2,444.178,689.744,1028.76,527.104,859.063,972.814,576.946,800.821,874.3,554.958,773.808,479.312,442.603,798.762,462.65,542.67,808.815,380.176,531.683,753.278,118.049,457.345,786.298,137.982,470.381,694.002,83.6788,519.257,914.202,84.1699,197.788,795.347,874.334,232.359,771.416,484.986,350.387,793.792,484.392,256.12,809.529,395.531,263.971,751.712,116.982,343.029,771.493,138.303,324.09,685.962,83.0069,291.881,910.459,87.5351
10,0,248.694,858.832,973.955,338.768,686.37,1025.21,444.173,689.721,1028.77,527.105,859.061,972.814,576.978,800.797,874.309,554.987,773.779,479.286,442.592,798.75,462.671,542.657,808.823,380.157,531.684,753.272,118.034,457.357,786.311,137.959,470.388,694.001,83.6873,519.251,914.194,84.1844,197.816,795.317,874.328,232.387,771.403,484.976,350.381,793.808,484.41,256.128,809.54,395.515,263.996,751.772,116.958,343.025,771.486,138.323,324.07,685.969,83.0082,291.871,910.451,87.5364
11,0,248.703,858.802,973.966,338.789,686.336,1025.22,444.194,689.685,1028.77,527.091,859.044,972.8,577.004,800.785,874.296,554.994,773.766,479.312,442.602,798.76,462.649,542.656,808.823,380.158,531.672,753.28,118.03,457.357,786.311,137.959,470.392,694.003,83.6677,519.24,914.212,84.1713,197.785,795.271,874.354,232.388,771.403,484.976,350.398,793.782,484.412,256.131,809.548,395.529,263.985,751.78,116.973,343.036,771.478,138.275,324.073,685.974,82.9905,291.879,910.442,87.5502
12,0,248.757,858.766,973.941,338.815,686.313,1025.22,444.204,689.673,1028.76,527.119,859.019,972.8,577.003,800.785,874.297,555.001,773.753,479.338,442.601,798.76,462.649,542.656,808.823,380.158,531.673,753.279,118.03,457.379,786.292,137.952,470.389,694.001,83.6682,519.252,914.223,84.1719,197.845,795.26,874.338,232.39,771.384,484.974,350.379,793.8,484.43,256.148,809.52,395.525,264.016,751.756,116.952,343.027,771.498,138.299,324.047,685.994,82.995,291.87,910.434,87.5663
13,0,248.73,858.741,973.957,338.798,686.279,1025.22,444.203,689.649,1028.76,527.102,859.008,972.795,577.002,800.785,874.297,555.001,773.753,479.338,442.591,798.748,462.669,542.667,808.813,380.176,531.686,753.27,118.034,457.357,786.311,137.959,470.374,693.992,83.6717,519.242,914.219,84.1579,197.84,795.209,874.34,232.385,771.381,485.016,350.387,793.792,484.392,256.153,809.526,395.531,264.001,751.72,116.978,343.025,771.504,138.294,324.078,685.973,82.989,291.87,910.434,87.5679
