Trajectories
100
,,GUY:LASI,,,GUY:LPSI,,,GUY:RPSI,,,GUY:RASI,,,GUY:RHIP,,,GUY:RKNE,,,GUY:RKNE2,,,GUY:RTIB,,,GUY:RANK,,,GUY:RANK2,,,GUY:RHEEL,,,GUY:RTOE,,,GUY:LHIP,,,GUY:LKNE,,,GUY:LKNE2,,,GUY:LTIB,,,GUY:LANK,,,GUY:LANK2,,,GUY:LHEEL,,,GUY:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
902,0,217.478,483.896,965.896,298.277,304.936,1010.64,403.369,302.458,1016.26,496.122,471.4,982.351,554.357,428.979,885.306,554.798,525.869,498.234,441.339,551.861,482.384,543.004,568.206,401.852,544.581,525.741,135.26,469.924,556.383,156.162,487.271,466.373,91.8659,529.052,684.773,114.082,174.287,425.005,865.788,211.586,391.07,479.38,331.17,407.295,480.308,240.12,418.143,385.338,252.824,322.657,117.675,331.459,340.674,138.471,307.997,249.384,86.9338,287.65,476.263,81.4846
903,0,217.98,489.188,965.499,298.841,310.151,1010.39,403.939,307.657,1015.81,496.505,476.637,981.656,554.942,433.638,884.596,555.238,530.162,497.686,441.373,555.621,481.661,543.247,574.717,402.172,544.622,539.942,134.111,471.048,569.786,155.875,490.03,482.097,89.3947,529.533,699.427,116.708,174.623,429.868,865.686,211.93,393.412,479.44,331.4,409.985,480.291,240.266,419.879,385.284,252.938,322.776,118.185,331.245,341.606,138.588,308.151,249.581,87.4832,287.684,476.493,81.2808
904,0,218.52,494.533,965.226,299.514,315.422,1010.06,404.569,312.88,1015.32,497.291,481.803,981.013,555.453,438.46,883.824,555.853,534.455,497.193,441.32,559.388,480.91,543.725,581.065,402.591,547.343,553.526,133.657,472.209,581.98,155.942,491.706,495.878,87.7643,529.809,712.951,119.166,174.941,434.694,865.588,212.27,395.959,479.566,331.706,413.02,480.17,240.498,421.919,385.181,252.959,322.954,118.667,332.972,341.176,139.135,308.297,249.864,88.0123,287.76,476.746,81.0428
905,0,219.152,499.868,964.973,300.21,320.777,1009.68,405.324,318.183,1014.82,497.67,487.248,980.154,556.164,443.409,883.284,556.157,538.84,496.601,441.33,563.498,480.109,544.386,587.02,403.023,548.851,566.118,134.259,473.356,593.242,156.086,493.112,508.44,86.3814,530.491,725.043,121.503,175.391,439.701,865.453,212.685,398.61,479.537,331.934,416.039,480.062,240.798,424.051,385.02,253.132,323.188,119.078,333.167,341.828,139.397,308.444,250.066,88.49,287.872,476.988,80.7742
906,0,219.887,505.276,964.592,301.023,326.14,1009.4,406.119,323.471,1014.37,498.695,492.523,979.59,556.777,448.608,882.518,554.374,542.009,495.218,441.468,567.682,479.53,544.79,592.795,403.374,549.235,576.486,133.805,473.971,603.46,156.295,494.034,519.644,85.1964,531.204,735.789,123.468,175.99,444.761,865.248,213.009,401.433,479.601,332.218,419.349,479.822,241.505,426.029,384.769,253.371,323.64,119.511,333.558,342.375,139.581,308.552,250.337,89.0884,287.916,477.276,80.4194
907,0,220.863,510.769,964.215,301.897,331.61,1009.06,407.067,328.9,1013.9,499.5,497.866,978.884,557.692,453.913,882.055,554,545.96,494.537,441.949,572.166,478.984,545.459,598.365,403.339,549.996,585.694,133.313,474.926,612.598,156.369,494.653,529.604,84.3557,531.888,745.421,124.833,176.682,449.815,865.066,213.517,404.532,479.457,332.721,422.515,479.572,242.033,428.422,384.504,253.477,323.941,119.95,333.905,342.969,139.749,308.63,250.533,89.6329,287.987,477.561,80.0796
908,0,221.685,516.248,963.923,302.949,337.027,1008.7,408.05,334.285,1013.48,500.496,503.156,978.333,558.746,459.252,881.589,554.56,550.825,493.845,442.525,576.866,478.317,545.922,603.923,403.11,550.47,593.886,132.908,475.56,620.663,156.182,495.035,538.202,83.5581,532.497,753.639,125.567,177.462,454.955,864.825,214.034,407.891,479.461,333.166,426.059,479.191,242.569,430.994,384.149,253.62,324.163,120.547,334.204,343.446,139.882,308.767,250.803,90.2457,288.056,477.814,79.7519
909,0,222.774,521.744,963.549,304.033,342.544,1008.39,409.211,339.766,1013.01,501.347,508.61,977.684,559.569,464.813,880.897,555.322,555.734,493.304,443.108,581.696,477.766,546.664,609.168,402.653,550.879,600.761,132.432,475.867,627.502,155.884,495.202,545.304,82.8083,533.066,760.638,125.705,178.431,460.197,864.479,214.727,411.47,479.208,333.641,429.549,478.675,243.24,433.702,383.781,253.822,324.482,121.031,334.605,344.192,140.011,308.937,251.061,90.8613,288.12,477.984,79.5194
910,0,223.74,527.23,963.227,305.18,348.041,1008.07,410.24,345.256,1012.59,502.42,513.913,977.018,560.6,470.393,880.386,555.881,560.762,492.566,443.684,586.874,477.271,547.245,614.255,401.961,550.983,606.495,131.665,476.07,633.208,155.302,495.315,551.174,81.9729,533.391,766.349,125.315,179.349,465.379,864.172,215.482,415.099,478.945,334.438,433.126,478.383,243.925,436.478,383.246,254.279,325.161,121.586,334.909,344.779,140.325,309.194,251.395,91.5327,288.164,478.167,79.3229
