Trajectories
100
,,GUY:LASI,,,GUY:LPSI,,,GUY:RPSI,,,GUY:RASI,,,GUY:RHIP,,,GUY:RKNE,,,GUY:RKNE2,,,GUY:RTIB,,,GUY:RANK,,,GUY:RANK2,,,GUY:RHEEL,,,GUY:RTOE,,,GUY:LHIP,,,GUY:LKNE,,,GUY:LKNE2,,,GUY:LTIB,,,GUY:LANK,,,GUY:LANK2,,,GUY:LHEEL,,,GUY:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,243.705,946.34,974.333,333.825,772.15,1021.49,439.196,775.205,1023.98,523.667,944.745,972.68,573.248,889.46,874.952,549.106,857.634,479.228,435.844,878.5,462.818,535.162,890.87,379.724,524.606,828.481,120.182,450.467,863.064,137.621,463.885,768.78,85.9899,518.412,988.124,83.9681,195.544,881.303,877.119,218.952,856.625,487.051,337.59,877.898,482.662,241.384,894.02,397.004,242.387,831.226,119.609,322.084,853.103,137.116,300.91,765.087,84.3916,261.253,989.355,87.9065
2,0,243.702,946.315,974.318,333.82,772.149,1021.48,439.203,775.219,1024,523.641,944.782,972.681,573.217,889.488,874.959,549.106,857.634,479.228,435.844,878.5,462.818,535.196,890.817,379.724,524.625,828.495,120.184,450.445,863.01,137.613,463.891,768.78,85.9896,518.393,988.133,83.9468,195.569,881.298,877.093,218.954,856.636,487.028,337.59,877.898,482.662,241.363,894.024,396.996,242.364,831.238,119.615,322.084,853.103,137.116,300.91,765.087,84.3916,261.232,989.375,87.8958
3,0,243.679,946.319,974.336,333.825,772.15,1021.49,439.227,775.207,1024,523.632,944.789,972.667,573.19,889.529,874.954,549.106,857.634,479.228,435.818,878.47,462.816,535.168,890.846,379.736,524.606,828.481,120.182,450.462,863.07,137.601,463.884,768.764,85.979,518.384,988.145,83.9546,195.572,881.273,877.11,218.922,856.615,487.042,337.604,877.897,482.662,241.367,894.033,397.009,242.384,831.253,119.607,322.084,853.103,137.116,300.91,765.087,84.3916,261.227,989.384,87.8827
4,0,243.695,946.308,974.332,333.865,772.139,1021.49,439.198,775.219,1023.99,523.613,944.806,972.68,573.19,889.529,874.954,549.066,857.658,479.227,435.844,878.5,462.818,535.162,890.87,379.724,524.606,828.481,120.182,450.462,863.07,137.601,463.889,768.769,85.991,518.408,988.122,83.946,195.572,881.273,877.11,218.922,856.615,487.042,337.564,877.937,482.647,241.363,894.024,396.996,242.387,831.226,119.609,322.064,853.083,137.111,300.92,765.087,84.408,261.232,989.384,87.896
5,0,243.683,946.316,974.335,333.838,772.151,1021.49,439.226,775.23,1024,523.577,944.837,972.664,573.19,889.528,874.953,549.106,857.634,479.228,435.829,878.516,462.822,535.183,890.859,379.74,524.599,828.481,120.19,450.462,863.07,137.601,463.882,768.789,85.9905,518.38,988.14,83.9482,195.571,881.273,877.109,218.951,856.626,487.051,337.571,877.878,482.658,241.365,894.023,396.996,242.406,831.238,119.603,322.098,853.12,137.117,300.929,765.095,84.3785,261.232,989.383,87.8974
6,0,243.688,946.3,974.332,333.844,772.14,1021.49,439.256,775.22,1023.99,523.604,944.846,972.693,573.195,889.544,874.955,549.071,857.676,479.23,435.829,878.516,462.822,535.187,890.863,379.729,524.605,828.487,120.196,450.462,863.07,137.601,463.882,768.791,86.0053,518.396,988.143,83.948,195.576,881.255,877.105,218.954,856.63,487.009,337.565,877.937,482.647,241.371,894.029,397.009,242.408,831.236,119.603,322.079,853.106,137.109,300.907,765.072,84.3997,261.226,989.39,87.8854
7,0,243.704,946.301,974.329,333.838,772.163,1021.48,439.199,775.221,1024,523.59,944.861,972.686,573.195,889.543,874.955,549.099,857.698,479.257,435.829,878.516,462.822,535.161,890.883,379.727,524.617,828.501,120.208,450.487,863.099,137.604,463.855,768.787,85.9942,518.392,988.151,83.9488,195.57,881.272,877.106,218.952,856.637,487.028,337.573,877.886,482.638,241.393,894.011,396.997,242.406,831.216,119.593,322.078,853.107,137.107,300.927,765.092,84.4197,261.227,989.407,87.8875
8,0,243.695,946.293,974.329,333.841,772.141,1021.47,439.217,775.232,1023.98,523.589,944.866,972.674,573.223,889.544,874.982,549.14,857.694,479.271,435.829,878.516,462.822,535.165,890.909,379.754,524.618,828.495,120.193,450.462,863.07,137.601,463.853,768.77,85.9996,518.402,988.157,83.9413,195.569,881.272,877.104,218.952,856.637,487.028,337.562,877.929,482.667,241.385,894.028,397.016,242.379,831.238,119.615,322.076,853.108,137.105,300.921,765.088,84.4131,261.227,989.388,87.8874
9,0,243.712,946.296,974.327,333.845,772.167,1021.48,439.191,775.22,1023.98,523.584,944.829,972.695,573.217,889.554,874.959,549.102,857.708,479.241,435.829,878.516,462.822,535.149,890.886,379.737,524.599,828.481,120.19,450.468,863.063,137.621,463.842,768.778,86.0008,518.399,988.14,83.9479,195.569,881.272,877.103,218.948,856.627,487.051,337.593,877.905,482.642,241.396,894.017,397.014,242.401,831.256,119.609,322.073,853.11,137.1,300.937,765.079,84.4152,261.242,989.392,87.8741
